"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdfs_med.wt",-0.00268241605013787,0.588235294117647,0.0723395813936218,0.0196078431372549,0.0346191682522767,0.0196078431372549,5.26183144656399,0.0196078431372549
"nmdns_med.wt",0.04447957326159,0.0196078431372549,0.0207960028794478,0.0196078431372549,0.0319449913287212,0.0196078431372549,7.93348255366597,0.0196078431372549
"nmdns_mean.wt",0.0281455313259683,0.0196078431372549,0.0285089916260878,0.0196078431372549,0.0273746098728449,0.0196078431372549,7.37916135872818,0.0196078431372549
"nmdfs_mean.wt",-0.00581258053122636,0.92156862745098,0.0394540936951874,0.0196078431372549,0.016411326516018,0.0196078431372549,3.60933229597687,0.117647058823529
"nmdns_mean",0.0260540193939626,0.0196078431372549,0.00213683876652262,0.431372549019608,0.0136283384567922,0.0392156862745098,3.34206242287643,0.627450980392157
"nmdns_med",0.018793993607139,0.0392156862745098,0.00267268517190571,0.352941176470588,0.0102399086115978,0.0588235294117647,3.38479992411195,0.470588235294118
"nmdfs_frac_decayed",0.00203877004679147,0.313725490196078,0.0176168358189122,0.0196078431372549,0.00950848992900255,0.0196078431372549,1.91515810226312,0.333333333333333
"nmdptc_max",0.00576995986926824,0.196078431372549,0.00940493734403714,0.0980392156862745,0.00731225635096482,0.0784313725490196,3.95131572654776,0.725490196078431
"nmdfs_mean",0.0036943144128823,0.235294117647059,0.00939382702554187,0.0588235294117647,0.00641273480434959,0.0392156862745098,2.31782872336203,0.980392156862745
"nmdfs_max",0.00999781382273057,0.0980392156862745,0.00155574749006988,0.333333333333333,0.00563036346353427,0.0784313725490196,2.39752592326894,0.980392156862745
"nmdns_frac_decayed",0.00187128771377668,0.313725490196078,0.00820594013675223,0.0980392156862745,0.00496708525664836,0.0784313725490196,1.66729116226796,0.725490196078431
"nmdptc_mean.wt",-0.00395715117058801,0.725490196078431,0.015133959352681,0.0588235294117647,0.00494245419615392,0.0980392156862745,3.38526691232755,0.627450980392157
"nmdfs_med",0.00204148547627041,0.411764705882353,0.00627968566944304,0.0784313725490196,0.00399312929683414,0.0980392156862745,2.27095368757022,0.980392156862745
"nmdfs_n_decayed",0.00246618512671052,0.313725490196078,0.00387077791581089,0.117647058823529,0.00310593602233766,0.0784313725490196,1.17301534175324,0.980392156862745
"nmdptc_mean",-0.00309796606101718,0.686274509803922,0.00898248154753029,0.117647058823529,0.0030666281773478,0.156862745098039,2.74003667708568,1
"nmdptc_n_decayed",-0.00298831811557763,0.745098039215686,0.00867774146673582,0.0392156862745098,0.00266375609646559,0.0784313725490196,2.15524667426868,0.568627450980392
"nmdptc_med.wt",-0.00145893837915676,0.588235294117647,0.00533101610103684,0.156862745098039,0.00197913688924709,0.254901960784314,3.43605875423495,0.549019607843137
"nmdns_max",-0.00104750699945777,0.529411764705882,0.00394667735762441,0.313725490196078,0.00141862502998673,0.411764705882353,2.25373209681268,1
"nmdns_n_decayed",-0.0026309535468758,0.764705882352941,0.0051552415238536,0.117647058823529,0.00120949973267304,0.294117647058824,0.905600586495095,1
"nmdfs_mut.bool",-0.000598902700240978,0.784313725490196,0.000252586876724808,0.176470588235294,-0.000195595195014196,0.627450980392157,0.07059191836646,1
"nmdns_mut.bool",-0.000794448559206624,0.901960784313726,0.000254242424242424,0.235294117647059,-0.000254328127556847,0.745098039215686,0.0473502684858027,1
"nmdptc_frac_decayed",-5.88251932910126e-05,0.529411764705882,-0.000631698496331595,0.431372549019608,-0.000437665207017918,0.470588235294118,1.54437889722427,0.980392156862745
"nmdptc_mut.bool",-0.00183018608522357,0.941176470588235,7.84570260657217e-05,0.156862745098039,-0.000877814626361872,0.941176470588235,0.144189951298177,0.137254901960784
"nmdptc_med",-0.0020984283848786,0.607843137254902,-0.000711967566523044,0.450980392156863,-0.00148092804292033,0.529411764705882,2.34891311698032,1
