"var","STAD_rho","STAD_rho_pval","STAD_LH_meddelta","STAD_LH_pval"
"silent",0.156126409769058,0.00991218322089482,16.5,0.00395708181167784
"missense",0.195526108145714,0.00119032348090786,94.5,0.000708649594949737
"nonstop",0.212250962853432,0.000424034253017957,0,9.33210163592564e-05
"nonsense",0.216280430555344,0.000326664153394773,3.5,0.000550365845420526
"frameshift",0.0941782966256142,0.1212565275994,2,0.0509100373743651
"total",0.185233891010284,0.00215875186186798,110,0.000890204465153247
"GZMA",0.953822076320648,0,NA,NA
"PRF1",0.95446789264679,0,NA,NA
"cyt",1,NA,NA,NA
"nmdptc_max",0.175717413425446,0.00364547029719997,1.67554375782503,0.00501975419459539
"nmdptc_n_decayed",0.203856810927391,0.000719091598515575,4,0.000668307078122374
"nmdptc_frac_decayed",-0.117658674716949,0.0525893690197501,-0.11753271547086,0.0621523810666055
"nmdptc_med",-0.119049064815044,0.0498386978734406,-0.250625428190911,0.0347947087452705
"nmdptc_med.wt",-0.174625247716904,0.00386518241816436,-0.0484096444355785,0.466436567408437
"nmdptc_mean",-0.111087903380394,0.0673491245047981,-0.263922650338635,0.0485479849801229
"nmdptc_mean.wt",-0.168966010212898,0.00520698836268174,-0.0719492062061783,0.00170575341240785
"nmdptc_mut.bool",-0.0104254959151149,0.864102294401783,0,0.654648632666513
"nmdfs_max",0.0611923038959503,0.314654139669162,1.76818605625941,0.0136752009401618
"nmdfs_n_decayed",0.0498584024608135,0.41278159550629,11.5,0.0164541581575266
"nmdfs_frac_decayed",-0.157768040895462,0.00915163689217913,-0.220992804902436,0.0489368685397128
"nmdfs_med",-0.159449875354767,0.00842662653250592,-0.442284113442409,0.0577579169542485
"nmdfs_med.wt",-0.196190536022186,0.0011442620396267,-0.142272150847458,0.403528595592561
"nmdfs_mean",-0.136202618479729,0.0246755305828303,-0.461751581869547,0.147420848461537
"nmdfs_mean.wt",-0.174050450325012,0.00398555706850701,-0.193322699560201,0.0195451657001183
"nmdfs_mut.bool",0.0813153460621834,0.181181454429284,0,0.0639321406070438
"nmdns_max",-0.00183383643161505,0.975983197656225,0.388470890803025,0.178330449177494
"nmdns_n_decayed",0.0850647538900375,0.161813024851534,2,0.0046218781010185
"nmdns_frac_decayed",-0.203370913863182,0.00074095076516878,-0.311764705882353,0.0176539833410088
"nmdns_med",-0.20056326687336,0.000879743219042606,-0.405633595170289,0.00475656040276506
"nmdns_med.wt",-0.238887652754784,6.90723035692287e-05,-0.245889857594559,0.472699123204061
"nmdns_mean",-0.200523182749748,0.000881887817377969,-0.415081077320032,0.474232293607467
"nmdns_mean.wt",-0.255801886320114,1.94921838352347e-05,-0.247462038678942,0.474232293607467
"nmdns_mut.bool",0.128454297780991,0.0342135094953113,0,0.0380559209998679
"TNFRSF4_cna",0.064362071454525,0.290194513792943,0,0.00356500959878301
"CNKSR1_cna",0.0755015462636948,0.214516647281825,0,0.0269176419930425
"CNKSR1_mut",0.129919320344925,0.0322013245603032,0,0.242947627531238
"FUBP1_cna",0.0801575407385826,0.187495079159139,0,0.00232194840561412
"FUBP1_mut",0.115092508494854,0.0579975015727308,0,0.476239307338938
"IL10_cna",-0.13845457136631,0.0223747002346584,0,0.000862058806895348
"IL10_mut",0.0251433625817299,0.679730790126456,NA,NA
"IRF6_cna",-0.136424824595451,0.0244397819831814,0,0.00133758378341702
"IRF6_mut",0.0871981978416443,0.15150956735437,0,0.476239307338938
"DNMT3A_cna",-0.0482013188302517,0.428503073790823,0,0.00324618621976323
"DNMT3A_mut",0.0429371297359467,0.480684926469714,NA,NA
"SOS1_cna",-0.0546036548912525,0.369682270787949,0,0.00879963766264831
"SOS1_mut",-0.0460316948592663,0.449601955628699,NA,NA
"CASP8_cna",-0.0281684491783381,0.643709697907231,0,0.0115980442012496
"CASP8_mut",0.0730942115187645,0.229535290518486,0,0.432916979627099
"CTLA4_cna",-0.0493994764983654,0.417101240170957,0,0.000986035517881549
"DNER_cna",-0.0131130795925856,0.829549235214188,0,0.000119039758079264
"DNER_mut",0.0724904611706734,0.233415868354402,0,1
"PDCD1_cna",-0.0475875325500965,0.434413104958296,0,0.0019453611514564
"PDCD1_mut",-0.0220487955957651,0.717346505829692,NA,NA
"SLC22A14_cna",0.0670162737369537,0.270718575663492,0,0.3509552623918
"PIK3CA_cna",-0.0331182107329369,0.586556188366119,0,0.487495151558318
"PIK3CA_mut",0.0283900983631611,0.641101579926066,0,0.367879441171442
"CXCL9_cna",0.218444347381592,0.000283397771486005,1,8.4686960497822e-05
"CXCL10_cna",0.218444347381592,0.000283397771486005,1,8.4686960497822e-05
"CXCL11_cna",0.218444347381592,0.000283397771486005,1,8.4686960497822e-05
"TET2_cna",0.233024165034294,0.000104901022296655,1,3.96318906059142e-06
"TET2_mut",0.115355141460896,0.0574237004909013,0,0.215706932519772
"IL2_cna",0.189959079027176,0.00164863665931314,1,2.8795698119053e-05
"IRF1_cna",0.228734731674194,0.000141466185844763,0.5,0.000189852660650295
"IRF1_mut",0.048229243606329,0.428235302348831,0,1
"HAVCR2_cna",0.156887084245682,0.00955307443201225,0,0.000215684989542918
"TAP1_cna",-0.0898513570427895,0.139398902471241,0,0.00403187363948072
"TAP1_mut",0.0543396845459938,0.372004166973297,0,0.390467377758104
"IFNGR1_cna",-0.0460785776376724,0.449139931037284,0,0.00901355329723777
"IFNGR1_mut",0.0700145959854126,0.249812365568994,0,1
"MUC17_cna",-0.0402282252907753,0.50882208923501,0,0.00152477043651874
"MUC17_mut",-0.12660177052021,0.0369100385714414,0,0.476239307338938
"MET_cna",0.0288121066987514,0.636148042343533,0,0.000336319790791162
"MET_mut",0.133736804127693,0.0274258739863242,0,0.362429475799106
"IDO1_cna",0.186310216784477,0.00203130185150613,0,0.00261623454007511
"JAK2_cna",0.183047369122505,0.00244037253390372,1,0.000166911133166224
"JAK2_mut",0.101473353803158,0.0948901200268337,0,0.362429475799106
"CD274_cna",0.200719580054283,0.000871425934288572,1,9.40392972892281e-05
"COL5A1_cna",-0.0397283732891083,0.51410623047105,0,0.0045378507675705
"COL5A1_mut",0.0418416820466518,0.491960669453958,0,0.476239307338938
"ARID5B_cna",0.0195157919079065,0.748656848829407,0,0.000668774904728782
"ARID5B_mut",0.110510818660259,0.0687932504578308,0,0.476239307338938
"OVOL1_cna",0.0306561142206192,0.614694672721912,0,0.0354458693179235
"LAG3_cna",0.0473915636539459,0.436309867403629,0,0.00678523941626263
"ARID2_cna",0.079765222966671,0.189670645084114,0,0.136431716166603
"ARID2_mut",0.0804387703537941,0.185946854827707,0,0.424873569975669
"IFNG_cna",0.0599151328206062,0.324879725029577,0,0.0901017301902104
"TCP11L2_cna",0.108444571495056,0.0741727430257786,0,0.0940775004400739
"B2M_cna",0.0708191320300102,0.244398788317606,0,0.0256863921220458
"B2M_mut",0.190300032496452,0.00161648287322613,0,0.00807568456354651
"TP53_cna",0.29345029592514,8.38013011872363e-07,1,5.57517948029393e-06
"TP53_mut",-0.132576674222946,0.0288083167638669,0,0.179469075051039
"TMEM88_cna",0.28846463561058,1.30610438286993e-06,1,9.97247342368739e-07
"MYOCD_cna",0.262266963720322,1.17350964119467e-05,1,9.86996178181614e-06
"MYOCD_mut",0.115766912698746,0.0565335171328729,0,0.127869410215738
"NCOR1_cna",0.225256562232971,0.000179550570388542,1,2.66748685065931e-05
"NCOR1_mut",0.101767659187317,0.0939308837872304,0,0.362429475799106
"NF1_cna",-0.132513761520386,0.0288849609687447,0,0.00473862542979261
"NF1_mut",0.0690389648079872,0.256488259290471,0,0.424873569975669
"ALPK2_cna",0.153496578335762,0.0112475633798053,1,0.0411062681420448
"ALPK2_mut",0.0341061130166054,0.575435148165049,0,1
"LPAR2_cna",0.16943047940731,0.00508286625117416,0,0.00691858033525602
"TGFB1_cna",0.205118745565414,0.000665073138328642,0,0.00137356809078545
"TGFB1_mut",0.104054838418961,0.0867372500378378,0,1
"CIC_cna",0.171053677797318,0.00466970799285282,0,0.00798794320980196
"CIC_mut",0.16612397134304,0.00602758199040032,0,0.00807568456354651
"CSNK2A1_cna",-0.0680353939533234,0.263482827337126,-1,0.0176831895757728
"CSNK2A1_mut",0.0696035698056221,0.252610005691382,0,1
"ASXL1_cna",-0.183598101139069,0.00236645200632291,0,0.00808873253644969
"ASXL1_mut",0.050421480089426,0.407517797868432,0,1
"IFNGR2_cna",-0.0257271397858858,0.672719406510792,0,0.00103369992733131
"EP300_cna",0.113024942576885,0.0626821440534411,0,0.000202712276682549
"EP300_mut",0.0491562709212303,0.419401118382504,0,1
"DDX3X_cna",-0.0783025324344635,0.197944917094055,0,6.13982302861374e-05
"DDX3X_mut",0.114544451236725,0.0592101648674623,0,0.476239307338938
"SSX5_cna",-0.0762651711702347,0.209903185706862,0,8.41864712965897e-05
"FOXP3_cna",-0.0490105450153351,0.420782723690585,0,0.00016605449136641
"SMC1A_cna",-0.0882468670606613,0.146630869806879,0,8.63295230404129e-05
"MORC4_cna",-0.0195354502648115,0.748412181607316,0,0.00283388639403687
"MORC4_mut",0.098650723695755,0.104491335652379,0,0.158822361343622
"CUL4B_cna",0.00200731144286692,0.973712067948922,0,0.379125557023395
"CUL4B_mut",-0.0390689186751842,0.521120770744115,NA,NA
"msi",-0.0284625142812729,0.640250422867782,0,0.0133515934869419
"cyt.cat",0.918564856052399,0,NA,NA
"cyt.bool",0.866048812866211,0,NA,NA
