"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdns_mean",0.0231074280418533,0.0196078431372549,0.0205477362217304,0.0196078431372549,0.0212501233220135,0.0196078431372549,5.52262689569439,0.0196078431372549
"nmdfs_mean",0.0162725903877008,0.0196078431372549,0.0212478866758825,0.0392156862745098,0.0185881534456347,0.0196078431372549,5.45179612451497,0.0196078431372549
"nmdptc_mean",0.0239098784648219,0.0588235294117647,0.0124875770180496,0.196078431372549,0.0173399143925484,0.0196078431372549,6.41392806452074,0.156862745098039
"nmdns_mean.wt",0.014892701578938,0.0392156862745098,0.00245197044009606,0.333333333333333,0.0083886497527881,0.0196078431372549,4.28741263373198,0.0196078431372549
"nmdfs_n_decayed",0.0145036071860184,0.0392156862745098,-0.000349943738702327,0.568627450980392,0.00681234329741287,0.0196078431372549,2.53506313947047,0.0196078431372549
"nmdns_med",0.0148368500882325,0.0392156862745098,-0.000893578715460726,0.588235294117647,0.00663852323019319,0.0196078431372549,4.31061984541983,0.0196078431372549
"nmdfs_mean.wt",0.0126090534176756,0.137254901960784,0.00119742796896706,0.470588235294118,0.0065692311865219,0.0980392156862745,4.00387692008574,0.764705882352941
"nmdns_frac_decayed",0.0133827550812464,0.0196078431372549,-0.00234066050006961,0.725490196078431,0.00517444502965988,0.0392156862745098,1.86608551282802,0.0980392156862745
"nmdptc_mean.wt",0.011183666888112,0.156862745098039,-0.000394929481798894,0.450980392156863,0.00475012790764484,0.156862745098039,5.66811258539368,0.764705882352941
"nmdfs_med.wt",0.0127443254903389,0.137254901960784,-0.00327729662307213,0.666666666666667,0.00435885847446894,0.196078431372549,3.66428818973223,0.823529411764706
"nmdns_med.wt",0.0139761352538072,0.0392156862745098,-0.00844079762408995,0.882352941176471,0.00276202671128253,0.137254901960784,3.8804463162512,0.0196078431372549
"nmdptc_n_decayed",0.00397157274357172,0.333333333333333,0.00131369557256463,0.392156862745098,0.00251991014600582,0.117647058823529,1.61887366612266,0.96078431372549
"nmdns_n_decayed",0.00232018482260608,0.431372549019608,0.000465941456089989,0.392156862745098,0.0012795893147368,0.235294117647059,1.27352549371855,0.980392156862745
"nmdfs_frac_decayed",-0.000303159469846595,0.549019607843137,0.0021992785939199,0.392156862745098,0.000759752241658549,0.411764705882353,1.19399799592659,1
"nmdptc_frac_decayed",0.002091849947554,0.294117647058824,-0.00216957164617223,0.764705882352941,9.11264012794192e-05,0.313725490196078,1.17925992229105,0.980392156862745
"nmdfs_mut.bool",1.05936496534564e-05,0.470588235294118,0.000120111672114731,0.490196078431373,-7.40053980334194e-05,0.450980392156863,0.342664343579262,0.117647058823529
"nmdns_mut.bool",-0.00120480621690733,0.607843137254902,0.000603444288410373,0.372549019607843,-0.000365214076179953,0.450980392156863,0.226996912917642,0.803921568627451
"nmdptc_med.wt",0.0106468264815537,0.215686274509804,-0.00968400479504414,0.745098039215686,-0.000378653755528104,0.490196078431373,5.30257338572649,0.764705882352941
"nmdfs_med",0.00947407369487826,0.156862745098039,-0.00938516289639474,0.862745098039216,-0.000391443834843156,0.509803921568627,3.4136341326655,0.96078431372549
"nmdns_max",0.00303323402915248,0.313725490196078,-0.00363832347697056,0.647058823529412,-0.000446424799149833,0.549019607843137,3.53906967081549,0.901960784313726
"nmdfs_max",0.00811207470145001,0.254901960784314,-0.00868436957853911,0.803921568627451,-0.000688831765610251,0.470588235294118,4.05222642019901,0.901960784313726
"nmdptc_mut.bool",-0.00280925898573806,0.705882352941177,0.00118185409847537,0.294117647058824,-0.000966664332057907,0.803921568627451,0.142314885175207,0.647058823529412
"nmdptc_med",0.0143428936915951,0.117647058823529,-0.0149863032034392,0.862745098039216,-0.00100917949387429,0.470588235294118,5.15591885876206,0.92156862745098
"nmdptc_max",0.00813845651132736,0.313725490196078,-0.00962976443668643,0.745098039215686,-0.0011575712871056,0.529411764705882,5.34760851248091,1
