"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdns_mean",0.0317646225914944,0.0392156862745098,0.0340437075894501,0.0196078431372549,0.0317500576020994,0.0196078431372549,7.23331391127499,0.0196078431372549
"nmdfs_mean",0.022231526945143,0.0196078431372549,0.0375786696387632,0.0196078431372549,0.0287349486672253,0.0196078431372549,7.39064660364092,0.0196078431372549
"nmdptc_mean",0.029926071195725,0.0392156862745098,0.00929898863370201,0.274509803921569,0.0189403072622934,0.0196078431372549,6.78460024967861,0.490196078431373
"nmdfs_n_decayed",0.0250969640057999,0.0196078431372549,0.00129305178514983,0.431372549019608,0.0125676193331102,0.0196078431372549,4.13372505877146,0.0196078431372549
"nmdfs_mean.wt",0.0167149573786454,0.0392156862745098,-0.00753859534381942,0.901960784313726,0.00414248233863495,0.117647058823529,3.50046922171825,0.509803921568627
"nmdns_med",0.014567322517654,0.0784313725490196,-0.00738323265086755,0.92156862745098,0.00332239809825196,0.274509803921569,4.48704298134717,0.0588235294117647
"nmdfs_med.wt",0.0135199157942677,0.0392156862745098,-0.00896533637230323,0.941176470588235,0.00204468084530572,0.294117647058824,2.88471655440652,0.764705882352941
"nmdptc_mean.wt",0.0152111241338711,0.0588235294117647,-0.0100001818645272,0.882352941176471,0.00197542509699826,0.333333333333333,5.0830054676572,0.96078431372549
"nmdns_mean.wt",0.00803003135022519,0.0784313725490196,-0.00508797977257142,0.862745098039216,0.00120639869139918,0.333333333333333,3.29367786086743,0.352941176470588
"nmdptc_frac_decayed",0.00363842224557663,0.254901960784314,-0.00210442382260398,0.745098039215686,0.000666905099603336,0.294117647058824,0.880178933585007,1
"nmdfs_frac_decayed",-0.00152077570352878,0.627450980392157,0.0030260251286337,0.254901960784314,0.000607799232394394,0.274509803921569,1.11225650988975,0.803921568627451
"nmdns_frac_decayed",0.00696446411997748,0.156862745098039,-0.00554290513693445,0.901960784313726,0.000485048539709006,0.352941176470588,1.19213255104593,0.549019607843137
"nmdptc_n_decayed",-0.00133857630891884,0.431372549019608,0.00216971734131017,0.411764705882353,0.000237124029024269,0.274509803921569,1.51689388625319,0.843137254901961
"nmdfs_mut.bool",0.000493579118365704,0.392156862745098,-0.000317157149740053,0.549019607843137,0.000142332924085737,0.313725490196078,0.101724532902987,0.882352941176471
"nmdns_n_decayed",-0.00183425442776268,0.509803921568627,0.00197737472399637,0.529411764705882,-0.000108911074236593,0.450980392156863,0.770776883524371,1
"nmdns_mut.bool",-0.00196612424166175,0.627450980392157,0.00113965749914337,0.372549019607843,-0.000567936661378054,0.666666666666667,0.176939428263565,0.333333333333333
"nmdptc_mut.bool",-0.0026233834357308,0.607843137254902,0.00107170210315415,0.450980392156863,-0.000799223421036305,0.764705882352941,0.137999101796476,0.568627450980392
"nmdns_max",0.00574716068106153,0.294117647058824,-0.00674869061943477,0.901960784313726,-0.000858401825981481,0.568627450980392,3.40740775352347,0.980392156862745
"nmdns_med.wt",0.00192211576718246,0.392156862745098,-0.00387045243034911,0.784313725490196,-0.00102214120538978,0.627450980392157,2.78346117831273,0.372549019607843
"nmdfs_max",0.0104682289563492,0.117647058823529,-0.0133571214653709,0.96078431372549,-0.00166800472036671,0.588235294117647,3.93270963520812,0.980392156862745
"nmdptc_med.wt",0.0132503449047421,0.137254901960784,-0.0162991846861177,0.941176470588235,-0.0019143736062638,0.588235294117647,5.48367186100105,0.549019607843137
"nmdfs_med",0.00750939836245931,0.176470588235294,-0.0107402034568676,0.96078431372549,-0.00193443037943262,0.686274509803922,2.49205055389802,1
"nmdptc_med",0.0127312759252097,0.176470588235294,-0.0177704931675556,0.980392156862745,-0.00278072671871326,0.666666666666667,5.24478559323589,0.803921568627451
"nmdptc_max",0.0050690368887648,0.372549019607843,-0.0130840534861594,0.862745098039216,-0.00467428259602863,0.686274509803922,7.02182599632373,0.92156862745098
