"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdptc_frac_decayed",0.0236296834320232,0.0196078431372549,0.00341642954603772,0.254901960784314,0.0136763341002836,0.0196078431372549,3.29488585297469,0.0588235294117647
"nmdfs_med.wt",0.00437837398149509,0.196078431372549,0.0100606063932287,0.0588235294117647,0.00695565312843275,0.0392156862745098,3.94306299836197,0.0392156862745098
"nmdfs_mean.wt",0.00748615969970775,0.0784313725490196,0.00574052069361839,0.176470588235294,0.00598180591293134,0.0784313725490196,3.02357363408452,0.294117647058824
"nmdptc_med.wt",0.0110290360419902,0.0784313725490196,0.0010241180017442,0.431372549019608,0.00595001288483751,0.0980392156862745,3.79267701437197,0.0980392156862745
"nmdptc_mean.wt",0.00151813002191691,0.392156862745098,0.00993887931051528,0.0980392156862745,0.00531793102577992,0.0784313725490196,3.18232706434414,0.627450980392157
"nmdfs_med",-0.00486720903480178,0.862745098039216,0.015626761435176,0.0196078431372549,0.00507354056190534,0.176470588235294,3.13201930867447,0.352941176470588
"nmdptc_mean",0.00282921963978579,0.274509803921569,0.00674037144100503,0.117647058823529,0.00460378896485817,0.0784313725490196,3.71121886417126,0.176470588235294
"nmdns_n_decayed",0.0046735672492385,0.0784313725490196,0.00362639632805623,0.196078431372549,0.00414376912718288,0.0392156862745098,1.45364645108014,0.862745098039216
"nmdns_med.wt",0.00956083262492471,0.0392156862745098,-0.00127407062374561,0.607843137254902,0.00409948209469411,0.156862745098039,2.94532501810162,0.274509803921569
"msi",0.00829469194777399,0.0784313725490196,-0.00039613095476536,0.509803921568627,0.00399838239987999,0.137254901960784,1.39438857788602,0.352941176470588
"nmdns_frac_decayed",0.0108721248625306,0.0392156862745098,-0.00379455923619924,0.862745098039216,0.00352184575841054,0.0784313725490196,1.97497151879575,0.215686274509804
"nmdptc_med",0.0076667137348638,0.156862745098039,7.63428339356105e-05,0.411764705882353,0.00328761301839111,0.196078431372549,3.84250966208714,0.117647058823529
"nmdfs_mean",-0.00817073353179537,0.980392156862745,0.0133428187639749,0.0392156862745098,0.00230366678612523,0.313725490196078,2.99219060255411,0.549019607843137
"nmdns_med",0.00806123421989524,0.156862745098039,-0.00336273984990184,0.784313725490196,0.00203610378126799,0.352941176470588,2.59863713766852,0.725490196078431
"nmdptc_n_decayed",-0.000572826184186124,0.490196078431373,0.00344277070501584,0.215686274509804,0.0016960770411172,0.235294117647059,1.73415248384984,0.862745098039216
"nmdns_max",0.00289542011396399,0.235294117647059,0.000978315994763513,0.549019607843137,0.00160031251389328,0.313725490196078,2.45036682075809,0.92156862745098
"nmdfs_frac_decayed",-0.00170190318199471,0.686274509803922,0.00381461075632364,0.176470588235294,0.000990785016851717,0.470588235294118,1.52620810395121,0.529411764705882
"nmdns_mean",0.00872853971135005,0.117647058823529,-0.00677841414903016,0.901960784313726,0.000581473277995588,0.470588235294118,2.86299373116855,0.588235294117647
"nmdfs_mut.bool",-8.23023288849117e-07,0.490196078431373,0.00061668531146792,0.196078431372549,0.000312240727330977,0.274509803921569,0.178370918877642,0.196078431372549
"nmdptc_mut.bool",-9.61808561808562e-05,0.450980392156863,0,0.490196078431373,-3.4714491857349e-05,0.568627450980392,0.0204784858387799,1
"nmdfs_max",-0.00199409627699551,0.647058823529412,0.00226221527364272,0.313725490196078,-0.000255594782737513,0.470588235294118,2.76366993027395,0.862745098039216
"nmdns_mean.wt",0.00215645202765959,0.274509803921569,-0.00230212316252968,0.745098039215686,-0.000394772745911076,0.470588235294118,2.99742887626473,0.333333333333333
"nmdns_mut.bool",-0.000552379889794077,0.823529411764706,-0.00103795259480951,0.941176470588235,-0.000748430405038812,0.980392156862745,0.0575440894123591,0.980392156862745
"nmdptc_max",-0.000417290576082818,0.549019607843137,-0.00143505483996839,0.450980392156863,-0.000948180826143472,0.509803921568627,2.51109662149493,1
"nmdfs_n_decayed",-0.00442670140308122,0.980392156862745,0.00104839919643729,0.333333333333333,-0.00177181368333967,0.843137254901961,1.17269746494566,0.882352941176471
