"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdptc_frac_decayed",0.0325305327472004,0.0196078431372549,0.00425139934509695,0.294117647058824,0.0185337218726695,0.0196078431372549,4.03502655796276,0.0392156862745098
"nmdptc_mean",0.00349981792830433,0.274509803921569,0.0139582617649655,0.0392156862745098,0.00842702977291441,0.0588235294117647,3.76394601312746,0.431372549019608
"nmdfs_med",-0.00144214183210401,0.647058823529412,0.0176555571453324,0.0196078431372549,0.00796973778425385,0.117647058823529,3.6491669808182,0.176470588235294
"nmdfs_med.wt",0.00331030945612058,0.294117647058824,0.0111740910323041,0.0392156862745098,0.0064875555169178,0.0392156862745098,3.7839436270964,0.0392156862745098
"nmdptc_mean.wt",0.00430605875158021,0.274509803921569,0.00794706514413555,0.176470588235294,0.00578264727346359,0.0588235294117647,3.60992222912998,0.352941176470588
"nmdns_frac_decayed",0.0145619601414197,0.0196078431372549,-0.00425874498966775,0.823529411764706,0.00477215298293377,0.117647058823529,1.62253358286581,0.549019607843137
"nmdfs_mean.wt",0.00280471423644443,0.333333333333333,0.00741467645378234,0.0980392156862745,0.00462738449716913,0.215686274509804,2.91256834763068,0.372549019607843
"nmdns_med.wt",0.0135247608974036,0.0196078431372549,-0.00481514035334626,0.725490196078431,0.00426095823004972,0.0588235294117647,2.73433908854643,0.352941176470588
"nmdptc_med.wt",0.00963782563554938,0.117647058823529,-0.000195757977920332,0.352941176470588,0.00414386650610599,0.0980392156862745,4.02487461955842,0.0588235294117647
"nmdfs_mean",-0.00589744291105121,0.882352941176471,0.0145325637802082,0.0392156862745098,0.00374767455501593,0.196078431372549,2.74649233262417,0.764705882352941
"nmdns_mean.wt",0.00736555429271404,0.0980392156862745,0.000165675580687397,0.352941176470588,0.00368573563698523,0.0392156862745098,2.69151103676372,0.352941176470588
"nmdns_mean",0.0100636228865804,0.0392156862745098,-0.00193746737635988,0.588235294117647,0.00358414268108305,0.0980392156862745,2.93787246517229,0.470588235294118
"nmdptc_med",0.0049804073318285,0.274509803921569,0.00165308164143237,0.333333333333333,0.00296888593761685,0.196078431372549,4.14669094566303,0.0784313725490196
"nmdns_n_decayed",0.00614189020238565,0.0980392156862745,-0.000910912917033898,0.470588235294118,0.00269209589672248,0.137254901960784,1.74391542779687,0.450980392156863
"nmdfs_max",-0.00116143763411898,0.568627450980392,0.00590021220606475,0.137254901960784,0.00227541928263652,0.294117647058824,2.95699227659318,0.705882352941177
"nmdns_med",0.00897006551222282,0.0784313725490196,-0.00540077452643546,0.823529411764706,0.00174899869922147,0.254901960784314,2.76651649817105,0.549019607843137
"nmdptc_n_decayed",0.00199786402340102,0.294117647058824,0.000255114237758715,0.333333333333333,0.00108397689661605,0.176470588235294,1.5294739074137,0.941176470588235
"nmdns_max",0.00262477401247885,0.372549019607843,-0.000924454819595029,0.450980392156863,0.00104137548934649,0.352941176470588,2.69323098770872,0.882352941176471
"nmdfs_n_decayed",-6.55485964555341e-05,0.431372549019608,0.00176294919036829,0.254901960784314,0.00082488183605732,0.235294117647059,1.09460181950631,0.980392156862745
"nmdfs_frac_decayed",-0.00126182386238214,0.529411764705882,0.00240491708278161,0.313725490196078,0.000345342416058714,0.333333333333333,1.14178004612542,0.823529411764706
"nmdfs_mut.bool",-6.60951314430922e-05,0.509803921568627,0.000568871393459494,0.176470588235294,0.000318514142940785,0.235294117647059,0.0915709490290347,0.529411764705882
"nmdns_mut.bool",-4.56031243102181e-05,0.549019607843137,0.000214750935339171,0.333333333333333,6.0080332355489e-05,0.411764705882353,0.033948784733766,0.980392156862745
"nmdptc_mut.bool",-0.000666149068322981,0.96078431372549,-4.16666666666667e-05,0.490196078431373,-0.0003207943911017,0.843137254901961,0.0321707918683095,0.882352941176471
"nmdptc_max",-0.00341275083066404,0.725490196078431,-0.00156183404534569,0.470588235294118,-0.00252464864127533,0.666666666666667,2.50383338652852,1
