"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdptc_mean",0.00359819375540614,0.215686274509804,0.0213803815748329,0.0196078431372549,0.0124507027320207,0.0196078431372549,78.3712860668465,0.137254901960784
"nmdns_mean.wt",0.00407585498456283,0.235294117647059,0.0186342819428098,0.0196078431372549,0.0112851955320427,0.0196078431372549,73.2395435359766,0.0196078431372549
"nmdns_med.wt",0.0089111490901317,0.0392156862745098,0.0124270021129204,0.0196078431372549,0.0105815780152512,0.0196078431372549,67.6916114368384,0.0196078431372549
"nmdns_mean",0.000859114382879954,0.352941176470588,0.0197520429567436,0.0196078431372549,0.0102491085757129,0.0196078431372549,67.7872324669421,0.0196078431372549
"nmdptc_mean.wt",0.00726871325239189,0.137254901960784,0.0121686660652114,0.0392156862745098,0.0096005031801331,0.0196078431372549,79.5920730050522,0.0196078431372549
"nmdfs_mean",0.00402356543443162,0.235294117647059,0.0118208173836426,0.0196078431372549,0.00789458253668052,0.0196078431372549,62.4167085534072,0.941176470588235
"nmdns_med",0.00358906298244253,0.274509803921569,0.0109020507271399,0.0392156862745098,0.00715090813843109,0.0196078431372549,61.46328316755,0.450980392156863
"nmdptc_n_decayed",-0.000763107968650557,0.627450980392157,0.0129612908079604,0.0196078431372549,0.00602512032168703,0.0196078431372549,31.7974258067723,0.0196078431372549
"nmdns_max",0.00144209351391389,0.372549019607843,0.0104050483964179,0.0392156862745098,0.0058854346153124,0.0196078431372549,65.0126196445921,0.509803921568627
"nmdfs_med",0.00613380283090106,0.156862745098039,0.00530981538569002,0.117647058823529,0.00569675813307774,0.0196078431372549,59.4035066971814,0.980392156862745
"nmdptc_med.wt",-0.00614205643081513,0.96078431372549,0.0169308362966777,0.0196078431372549,0.00531457039221996,0.0196078431372549,71.0440188420777,0.235294117647059
"nmdptc_max",0.00436946764202536,0.274509803921569,0.00617199288889953,0.235294117647059,0.00524878212178474,0.0196078431372549,73.0803709311912,0.96078431372549
"nmdptc_med",-0.00147714673853957,0.764705882352941,0.0116694107192334,0.0392156862745098,0.00508207103009434,0.0196078431372549,68.74409345241,1
"nmdptc_frac_decayed",0.00289704885573151,0.313725490196078,0.00702238060473384,0.0196078431372549,0.00494871489760138,0.0196078431372549,32.2042796019773,0.96078431372549
"nmdfs_mean.wt",0.00770919717709054,0.0588235294117647,0.00205952886708097,0.235294117647059,0.00483916571874719,0.0196078431372549,58.1854243074282,0.980392156862745
"nmdfs_max",0.00768739018007409,0.117647058823529,0.000841327344774468,0.450980392156863,0.00422057633561619,0.0196078431372549,63.9735267495488,0.980392156862745
"nmdns_frac_decayed",0.00217048358958676,0.235294117647059,0.00560840574958205,0.0196078431372549,0.00386727599625495,0.0196078431372549,23.3176626328308,0.882352941176471
"nmdns_n_decayed",-0.000884208437675681,0.568627450980392,0.00862369976699256,0.0784313725490196,0.0038449084125565,0.0196078431372549,26.8402247036275,0.980392156862745
"nmdfs_med.wt",0.00472385026019854,0.235294117647059,0.00261344438694143,0.254901960784314,0.00362534030003417,0.0392156862745098,54.5336660901544,1
"nmdfs_frac_decayed",0.00304138029113632,0.117647058823529,0.00200569748682842,0.196078431372549,0.00248324477693302,0.0392156862745098,17.0767444515673,1
"nmdfs_n_decayed",0.000203348149782162,0.470588235294118,0.00415213794921901,0.176470588235294,0.00214812733883251,0.0588235294117647,27.7267609099445,0.549019607843137
"nmdfs_mut.bool",-0.000746417865400893,0.784313725490196,0.000664469603489715,0.235294117647059,-5.80606643267375e-05,0.686274509803922,1.07949197283711,0.588235294117647
"nmdns_mut.bool",-0.000717956324725915,0.705882352941177,0.000496937248810282,0.411764705882353,-0.000110723909427539,0.823529411764706,0.740843626904604,1
"nmdptc_mut.bool",-0.00187025439667607,0.882352941176471,0.00156033516142941,0.196078431372549,-0.000163985936748005,0.882352941176471,0.381876173560842,0.666666666666667
