"var","hr","pval","hr_ci95"
"cyt.catmed",1,"9.07e-01","0.5 to 1.8"
"cyt.cathigh",0.7,"4.34e-01","0.3 to 1.6"
"age.cat>=65",2.3,"7.41e-03","1.2 to 4.2"
"gendermale",1.2,"5.16e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"8.31e-01","0.5 to 1.9"
"tnm_stageIV",1.6,"1.51e-01","0.8 to 3"
"cyt.bool1",0.7,"3.97e-01","0.3 to 1.6"
"age.cat>=65",2.8,"2.74e-02","1.1 to 7"
"gendermale",1.2,"7.40e-01","0.5 to 2.8"
"tnm_stageIII",1.4,"4.53e-01","0.6 to 3.8"
"tnm_stageIV",2,"1.50e-01","0.8 to 5.2"
"TMB.cathigh",0.5,"9.31e-03","0.3 to 0.8"
"age.cat>=65",2.3,"6.58e-03","1.3 to 4.2"
"gendermale",1.5,"2.08e-01","0.8 to 2.8"
"tnm_stageIII",1.1,"8.36e-01","0.5 to 2.2"
"tnm_stageIV",1.9,"5.12e-02","1 to 3.5"
"PDL1.cat0positive",1.2,"5.37e-01","0.7 to 2"
"age.cat>=65",2.4,"4.15e-03","1.3 to 4.4"
"gendermale",1.2,"5.78e-01","0.7 to 2.1"
"tnm_stageIII",0.9,"7.24e-01","0.4 to 1.7"
"tnm_stageIV",1.7,"9.57e-02","0.9 to 3.2"
"PDL1.catmed",1.5,"2.29e-01","0.8 to 2.9"
"PDL1.cathigh",1.2,"6.45e-01","0.6 to 2.6"
"age.cat>=65",2.5,"3.70e-03","1.3 to 4.5"
"gendermale",1.2,"5.37e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"6.77e-01","0.4 to 1.7"
"tnm_stageIV",1.7,"1.13e-01","0.9 to 3.1"
"nmdptc_mut.bool1",0.2,"9.50e-02","0 to 1.4"
"age.cat>=65",2.4,"5.07e-03","1.3 to 4.3"
"gendermale",1.3,"4.35e-01","0.7 to 2.3"
"tnm_stageIII",0.9,"6.69e-01","0.4 to 1.7"
"tnm_stageIV",1.7,"8.90e-02","0.9 to 3.2"
"nmdfs_mut.bool1",1.2,"6.07e-01","0.6 to 2.5"
"age.cat>=65",2.4,"4.04e-03","1.3 to 4.5"
"gendermale",1.2,"5.48e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.07e-01","0.4 to 1.7"
"tnm_stageIV",1.8,"7.96e-02","0.9 to 3.4"
"nmdns_mut.bool1",0.7,"5.20e-01","0.2 to 2.1"
"age.cat>=65",2.3,"6.14e-03","1.3 to 4.3"
"gendermale",1.3,"4.55e-01","0.7 to 2.3"
"tnm_stageIII",0.9,"7.89e-01","0.5 to 1.8"
"tnm_stageIV",1.8,"7.76e-02","0.9 to 3.4"
"silent",1,"1.96e-02","1 to 1"
"age.cat>=65",2.4,"3.90e-03","1.3 to 4.4"
"gendermale",1.4,"2.36e-01","0.8 to 2.7"
"tnm_stageIII",1.2,"6.84e-01","0.6 to 2.3"
"tnm_stageIV",1.7,"1.05e-01","0.9 to 3.1"
"missense",1,"2.11e-02","1 to 1"
"age.cat>=65",2.4,"4.46e-03","1.3 to 4.4"
"gendermale",1.4,"2.42e-01","0.8 to 2.6"
"tnm_stageIII",1.1,"6.94e-01","0.6 to 2.3"
"tnm_stageIV",1.7,"9.46e-02","0.9 to 3.2"
"nonstop",0.8,"1.46e-01","0.5 to 1.1"
"age.cat>=65",2.5,"3.22e-03","1.4 to 4.5"
"gendermale",1.2,"5.25e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"8.33e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"8.63e-02","0.9 to 3.2"
"nonsense",1,"2.87e-02","1 to 1"
"age.cat>=65",2.4,"4.65e-03","1.3 to 4.3"
"gendermale",1.4,"3.12e-01","0.7 to 2.5"
"tnm_stageIII",1.2,"6.75e-01","0.6 to 2.3"
"tnm_stageIV",1.7,"9.26e-02","0.9 to 3.2"
"frameshift",1,"2.66e-01","0.9 to 1"
"age.cat>=65",2.3,"6.48e-03","1.3 to 4.2"
"gendermale",1.3,"3.51e-01","0.7 to 2.5"
"tnm_stageIII",0.9,"7.57e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"9.89e-02","0.9 to 3.2"
"total",1,"1.94e-02","1 to 1"
"age.cat>=65",2.4,"4.37e-03","1.3 to 4.4"
"gendermale",1.4,"2.34e-01","0.8 to 2.7"
"tnm_stageIII",1.2,"6.89e-01","0.6 to 2.3"
"tnm_stageIV",1.7,"9.70e-02","0.9 to 3.2"
"GZMA",1,"8.24e-01","1 to 1"
"age.cat>=65",2.4,"5.57e-03","1.3 to 4.4"
"gendermale",1.2,"5.24e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.63e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"1.05e-01","0.9 to 3.2"
"PRF1",1,"9.69e-01","1 to 1"
"age.cat>=65",2.4,"4.97e-03","1.3 to 4.4"
"gendermale",1.2,"5.32e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.45e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"1.01e-01","0.9 to 3.2"
"cyt",1,"8.72e-01","1 to 1"
"age.cat>=65",2.4,"5.30e-03","1.3 to 4.4"
"gendermale",1.2,"5.27e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.57e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"1.04e-01","0.9 to 3.2"
"nmdptc_max",1,"7.81e-01","0.8 to 1.2"
"age.cat>=65",2.4,"6.05e-03","1.3 to 4.3"
"gendermale",1.2,"5.11e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"8.04e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"9.39e-02","0.9 to 3.2"
"nmdptc_n_decayed",1,"8.77e-01","1 to 1"
"age.cat>=65",2.4,"4.51e-03","1.3 to 4.4"
"gendermale",1.2,"5.36e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.19e-01","0.4 to 1.8"
"tnm_stageIV",1.7,"9.27e-02","0.9 to 3.2"
"nmdptc_frac_decayed",0.7,"4.14e-01","0.2 to 1.8"
"age.cat>=65",2.4,"3.98e-03","1.3 to 4.4"
"gendermale",1.2,"5.17e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.04e-01","0.4 to 1.7"
"tnm_stageIV",1.8,"7.71e-02","0.9 to 3.4"
"nmdptc_med",0.8,"4.15e-01","0.5 to 1.3"
"age.cat>=65",2.4,"4.33e-03","1.3 to 4.4"
"gendermale",1.2,"5.58e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.29e-01","0.4 to 1.7"
"tnm_stageIV",1.7,"9.08e-02","0.9 to 3.2"
"nmdptc_med.wt",1.1,"6.44e-01","0.7 to 1.8"
"age.cat>=65",2.4,"4.31e-03","1.3 to 4.4"
"gendermale",1.2,"5.20e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.58e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"9.38e-02","0.9 to 3.2"
"nmdptc_mean",0.9,"6.72e-01","0.6 to 1.3"
"age.cat>=65",2.4,"4.41e-03","1.3 to 4.4"
"gendermale",1.2,"5.39e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.41e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"9.38e-02","0.9 to 3.2"
"nmdptc_mean.wt",1.1,"6.11e-01","0.7 to 1.9"
"age.cat>=65",2.4,"4.31e-03","1.3 to 4.4"
"gendermale",1.2,"5.19e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.58e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"9.53e-02","0.9 to 3.2"
"nmdfs_max",1,"5.18e-01","0.9 to 1.1"
"age.cat>=65",2.4,"4.12e-03","1.3 to 4.4"
"gendermale",1.2,"5.17e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.07e-01","0.4 to 1.7"
"tnm_stageIV",1.8,"7.55e-02","0.9 to 3.4"
"nmdfs_n_decayed",1,"5.14e-01","0.9 to 1"
"age.cat>=65",2.5,"3.83e-03","1.3 to 4.5"
"gendermale",1.2,"5.23e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"6.55e-01","0.4 to 1.7"
"tnm_stageIV",1.8,"8.12e-02","0.9 to 3.3"
"nmdfs_frac_decayed",1,"9.86e-01","0.5 to 2.1"
"age.cat>=65",2.4,"4.57e-03","1.3 to 4.4"
"gendermale",1.2,"5.35e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.47e-01","0.4 to 1.8"
"tnm_stageIV",1.7,"9.50e-02","0.9 to 3.2"
"nmdfs_med",1,"9.03e-01","0.8 to 1.2"
"age.cat>=65",2.4,"4.67e-03","1.3 to 4.4"
"gendermale",1.2,"5.29e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.34e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"9.72e-02","0.9 to 3.3"
"nmdfs_med.wt",1,"9.57e-01","0.8 to 1.3"
"age.cat>=65",2.4,"5.08e-03","1.3 to 4.4"
"gendermale",1.2,"5.35e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.40e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"1.13e-01","0.9 to 3.3"
"nmdfs_mean",1,"9.56e-01","0.8 to 1.2"
"age.cat>=65",2.4,"4.61e-03","1.3 to 4.4"
"gendermale",1.2,"5.32e-01","0.7 to 2.2"
