"var","hr","pval","hr_ci95"
"cyt.catmed",0.9,"7.07e-01","0.5 to 1.6"
"cyt.cathigh",0.6,"1.13e-01","0.3 to 1.1"
"cyt.bool1",0.6,"1.45e-01","0.3 to 1.2"
"gendermale",1.1,"7.27e-01","0.6 to 2"
"raceblack or african american",65352682.2,"9.96e-01","0 to Inf"
"racewhite",27430725.1,"9.96e-01","0 to Inf"
"tnm_stageIII",1,"9.63e-01","0.5 to 1.9"
"tnm_stageIV",1.6,"1.25e-01","0.9 to 3"
"TMB.cathigh",0.5,"2.03e-02","0.3 to 0.9"
"PDL1.cat0positive",1.1,"6.99e-01","0.7 to 1.8"
"PDL1.catmed",1.5,"2.42e-01","0.8 to 2.8"
"PDL1.cathigh",1,"9.04e-01","0.5 to 2.3"
"age.cat>=65",2.3,"6.80e-03","1.3 to 4.1"
"nmdptc_mut.bool1",0.2,"1.30e-01","0 to 1.6"
"nmdfs_mut.bool1",1,"9.36e-01","0.5 to 1.9"
"nmdns_mut.bool1",0.7,"5.49e-01","0.3 to 2"
"silent",1,"2.46e-02","1 to 1"
"missense",1,"2.46e-02","1 to 1"
"nonstop",0.8,"2.66e-01","0.6 to 1.2"
"nonsense",1,"2.82e-02","1 to 1"
"frameshift",1,"2.46e-01","0.9 to 1"
"total",1,"2.30e-02","1 to 1"
"GZMA",1,"3.52e-01","1 to 1"
"PRF1",1,"4.79e-01","1 to 1"
"cyt",1,"3.91e-01","1 to 1"
"nmdptc_max",0.9,"3.50e-01","0.8 to 1.1"
"nmdptc_n_decayed",1,"7.92e-01","1 to 1"
"nmdptc_frac_decayed",0.8,"6.43e-01","0.3 to 2.2"
"nmdptc_med",0.8,"3.78e-01","0.5 to 1.3"
"nmdptc_med.wt",1.1,"7.96e-01","0.6 to 1.8"
"nmdptc_mean",0.9,"6.07e-01","0.6 to 1.3"
"nmdptc_mean.wt",1.1,"7.20e-01","0.7 to 1.8"
"nmdfs_max",1,"8.84e-01","0.9 to 1.1"
"nmdfs_n_decayed",1,"9.36e-01","0.9 to 1.1"
"nmdfs_frac_decayed",1.1,"7.57e-01","0.6 to 2.2"
"nmdfs_med",1.1,"5.58e-01","0.9 to 1.3"
"nmdfs_med.wt",1.1,"4.14e-01","0.9 to 1.4"
"nmdfs_mean",1.1,"5.71e-01","0.9 to 1.3"
"nmdfs_mean.wt",1.1,"4.64e-01","0.9 to 1.4"
"nmdns_max",1,"7.71e-01","0.9 to 1.1"
"nmdns_n_decayed",1,"9.82e-01","1 to 1"
"nmdns_frac_decayed",0.6,"3.55e-01","0.3 to 1.6"
"nmdns_med",1,"7.05e-01","0.7 to 1.2"
"nmdns_med.wt",1,"9.83e-01","0.7 to 1.3"
"nmdns_mean",1,"7.52e-01","0.8 to 1.2"
"nmdns_mean.wt",1,"9.90e-01","0.7 to 1.3"
"TNFRSF4_cna",1,"9.42e-01","0.7 to 1.5"
"CNKSR1_cna",0.8,"3.99e-01","0.6 to 1.2"
"FUBP1_cna",1.1,"4.88e-01","0.8 to 1.6"
"IL10_cna",1.1,"3.87e-01","0.8 to 1.6"
"IRF6_cna",1.1,"7.08e-01","0.8 to 1.4"
"IRF6_mut",0.8,"8.34e-01","0.1 to 5.9"
"DNMT3A_cna",0.9,"6.48e-01","0.6 to 1.3"
"SOS1_cna",0.8,"2.20e-01","0.5 to 1.2"
"CASP8_cna",1,"8.05e-01","0.7 to 1.5"
"CASP8_mut",2.6,"5.87e-02","1 to 7.3"
"CTLA4_cna",1,"8.13e-01","0.7 to 1.4"
"DNER_cna",1.1,"7.30e-01","0.7 to 1.5"
"DNER_mut",1.3,"6.26e-01","0.5 to 3.4"
"PDCD1_cna",1.1,"6.40e-01","0.8 to 1.6"
"SLC22A14_cna",1.3,"1.32e-01","0.9 to 1.8"
"SLC22A14_mut",0,"9.95e-01","0 to Inf"
"PIK3CA_cna",0.6,"1.65e-02","0.4 to 0.9"
"CXCL9_cna",0.8,"2.19e-01","0.5 to 1.2"
"CXCL10_cna",0.8,"2.19e-01","0.5 to 1.2"
"CXCL11_cna",0.8,"2.19e-01","0.5 to 1.2"
"TET2_cna",0.7,"4.89e-02","0.4 to 1"
"TET2_mut",1.5,"4.41e-01","0.5 to 4"
"IL2_cna",0.9,"6.58e-01","0.6 to 1.4"
"IRF1_cna",1.3,"2.44e-01","0.9 to 1.8"
"HAVCR2_cna",1.4,"1.37e-01","0.9 to 2"
"TAP1_cna",1.1,"7.68e-01","0.7 to 1.5"
"TAP1_mut",1.7,"2.95e-01","0.6 to 4.6"
"IFNGR1_cna",1.3,"1.84e-01","0.9 to 1.8"
"IFNGR1_mut",1.2,"7.15e-01","0.4 to 3.2"
"MUC17_cna",0.7,"1.23e-01","0.5 to 1.1"
"MUC17_mut",0,"9.95e-01","0 to Inf"
"MET_cna",0.9,"6.62e-01","0.6 to 1.4"
"IDO1_cna",1,"7.51e-01","0.8 to 1.4"
"JAK2_cna",0.9,"5.81e-01","0.7 to 1.2"
"CD274_cna",0.9,"5.50e-01","0.7 to 1.2"
"COL5A1_cna",1,"7.75e-01","0.7 to 1.3"
"ARID5B_cna",0.8,"2.46e-01","0.6 to 1.1"
"OVOL1_cna",1,"9.40e-01","0.7 to 1.4"
"LAG3_cna",1.1,"7.66e-01","0.8 to 1.5"
"ARID2_cna",1.1,"5.27e-01","0.8 to 1.7"
"ARID2_mut",0.9,"7.82e-01","0.4 to 2"
"IFNG_cna",0.9,"4.26e-01","0.6 to 1.2"
"TCP11L2_cna",1.1,"7.40e-01","0.7 to 1.5"
"TCP11L2_mut",0,"9.96e-01","0 to Inf"
"B2M_cna",1.4,"9.98e-02","0.9 to 2.1"
"TP53_cna",1,"9.85e-01","0.7 to 1.4"
"TP53_mut",0.7,"1.14e-01","0.5 to 1.1"
"TMEM88_cna",1,"8.39e-01","0.7 to 1.5"
"MYOCD_cna",1.2,"2.99e-01","0.9 to 1.6"
"MYOCD_mut",0,"9.97e-01","0 to Inf"
"NCOR1_cna",1.4,"2.23e-02","1.1 to 1.9"
"NCOR1_mut",1.1,"6.97e-01","0.6 to 2.2"
"NF1_cna",1.1,"7.65e-01","0.7 to 1.5"
"NF1_mut",1.2,"5.41e-01","0.7 to 2.1"
"ALPK2_cna",1.3,"9.18e-02","1 to 1.8"
"LPAR2_cna",0.9,"5.80e-01","0.6 to 1.3"
"TGFB1_cna",0.7,"8.32e-02","0.5 to 1"
"CIC_cna",0.7,"7.46e-02","0.5 to 1"
"CSNK2A1_cna",1,"8.05e-01","0.7 to 1.4"
"CSNK2A1_mut",0,"9.96e-01","0 to Inf"
"ASXL1_cna",0.8,"4.58e-01","0.5 to 1.3"
"ASXL1_mut",0,"9.96e-01","0 to Inf"
"IFNGR2_cna",0.8,"9.94e-02","0.5 to 1.1"
"IFNGR2_mut",3.6,"1.49e-02","1.3 to 10.1"
"EP300_cna",0.9,"3.24e-01","0.6 to 1.2"
"EP300_mut",0.8,"3.84e-01","0.4 to 1.4"
"DDX3X_cna",0.8,"1.70e-01","0.5 to 1.1"
"DDX3X_mut",0,"9.97e-01","0 to Inf"
"SSX5_cna",0.8,"3.38e-01","0.6 to 1.2"
"FOXP3_cna",0.8,"3.38e-01","0.6 to 1.2"
"FOXP3_mut",0,"9.96e-01","0 to Inf"
"SMC1A_cna",0.8,"3.74e-01","0.6 to 1.2"
"SMC1A_mut",1.2,"6.84e-01","0.5 to 3.3"
"MORC4_cna",1.2,"3.22e-01","0.8 to 1.8"
"CUL4B_cna",1.1,"5.92e-01","0.8 to 1.6"
"CUL4B_mut",0,"9.96e-01","0 to Inf"
"TMB",0.9,"2.42e-02","0.9 to 1"
"PDL1",1,"5.18e-01","1 to 1"
"silent.catmed",0.5,"1.50e-02","0.3 to 0.9"
"silent.cathigh",0.4,"1.39e-02","0.2 to 0.8"
"missense.catmed",0.6,"1.53e-01","0.4 to 1.2"
"missense.cathigh",0.4,"2.07e-02","0.2 to 0.9"
"nonsense.catmed",0.8,"4.33e-01","0.4 to 1.4"
"nonsense.cathigh",0.5,"4.94e-02","0.2 to 1"
"frameshift.catmed",0.7,"3.27e-01","0.4 to 1.4"
"frameshift.cathigh",0.6,"8.91e-02","0.3 to 1.1"
"total.catmed",0.5,"5.53e-02","0.3 to 1"
"total.cathigh",0.4,"2.27e-02","0.2 to 0.9"
"GZMA.catmed",0.9,"8.19e-01","0.5 to 1.7"
"GZMA.cathigh",0.6,"1.25e-01","0.3 to 1.2"
"PRF1.catmed",0.9,"6.67e-01","0.5 to 1.6"
"PRF1.cathigh",0.7,"3.20e-01","0.3 to 1.4"
"nmdptc_max.catmed",1.2,"5.45e-01","0.7 to 2.2"
"nmdptc_max.cathigh",0.6,"1.85e-01","0.3 to 1.3"
"nmdptc_n_decayed.catmed",0.9,"6.86e-01","0.5 to 1.6"
"nmdptc_n_decayed.cathigh",0.9,"6.54e-01","0.5 to 1.6"
"nmdptc_frac_decayed.catmed",1.1,"6.56e-01","0.6 to 2.1"
"nmdptc_frac_decayed.cathigh",0.6,"2.40e-01","0.3 to 1.4"
"nmdptc_med.catmed",0.9,"8.09e-01","0.5 to 1.7"
"nmdptc_med.cathigh",0.8,"5.66e-01","0.4 to 1.7"
"nmdptc_med.wt.catmed",1.1,"8.58e-01","0.6 to 2"
"nmdptc_med.wt.cathigh",1,"9.68e-01","0.5 to 2.1"
"nmdptc_mean.catmed",1.6,"1.58e-01","0.8 to 2.9"
"nmdptc_mean.cathigh",0.7,"4.19e-01","0.3 to 1.6"
"nmdptc_mean.wt.catmed",1.1,"7.05e-01","0.6 to 2.2"
"nmdptc_mean.wt.cathigh",1.5,"3.06e-01","0.7 to 3.1"
"nmdfs_max.catmed",1.7,"1.10e-01","0.9 to 3.4"
"nmdfs_max.cathigh",1,"9.24e-01","0.5 to 2.3"
"nmdfs_n_decayed.catmed",1.4,"3.13e-01","0.8 to 2.4"
"nmdfs_n_decayed.cathigh",0.9,"7.79e-01","0.5 to 1.7"
"nmdfs_frac_decayed.catmed",2.8,"4.36e-03","1.4 to 5.7"
"nmdfs_frac_decayed.cathigh",1.5,"2.91e-01","0.7 to 3.3"
"nmdfs_med.catmed",1.9,"7.34e-02","0.9 to 3.7"
"nmdfs_med.cathigh",1.3,"5.18e-01","0.6 to 2.7"
"nmdfs_med.wt.catmed",2.5,"1.90e-02","1.2 to 5.4"
"nmdfs_med.wt.cathigh",2,"1.05e-01","0.9 to 4.6"
"nmdfs_mean.catmed",2.6,"8.66e-03","1.3 to 5.2"
"nmdfs_mean.cathigh",1.3,"5.47e-01","0.6 to 2.8"
"nmdfs_mean.wt.catmed",1.8,"9.55e-02","0.9 to 3.7"
"nmdfs_mean.wt.cathigh",1.6,"2.61e-01","0.7 to 3.4"
"nmdns_max.catmed",1.3,"4.11e-01","0.7 to 2.4"
