"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"silent.cat=high",33,15,2.7,"1.8 to NA","0.94 (0.86 to 1)","0.84 (0.73 to 0.98)","0.53 (0.37 to 0.76)","0.37 (0.2 to 0.69)"
"silent.cat=low",33,20,1.6,"0.8 to NA","0.87 (0.75 to 1)","0.60 (0.45 to 0.8)","0.36 (0.21 to 0.62)","0.09 (0.02 to 0.53)"
"silent.cat=med",62,27,2.2,"1.7 to NA","0.93 (0.87 to 1)","0.87 (0.78 to 0.96)","0.53 (0.4 to 0.7)","0.37 (0.24 to 0.59)"
"missense.cat=high",33,14,4.9,"1.8 to NA","0.94 (0.86 to 1)","0.84 (0.73 to 0.98)","0.58 (0.43 to 0.8)","0.42 (0.23 to 0.75)"
"missense.cat=low",32,16,1.6,"0.9 to NA","0.87 (0.75 to 1)","0.62 (0.47 to 0.83)","0.39 (0.22 to 0.68)","0.19 (0.04 to 0.86)"
"missense.cat=med",63,32,1.9,"1.7 to 3.9","0.93 (0.87 to 1)","0.85 (0.76 to 0.95)","0.48 (0.35 to 0.65)","0.25 (0.13 to 0.48)"
"nonsense.cat=high",33,14,4.9,"1.8 to NA","0.91 (0.81 to 1)","0.88 (0.77 to 1)","0.59 (0.43 to 0.8)","0.42 (0.23 to 0.75)"
"nonsense.cat=low",37,17,1.7,"1.2 to NA","0.89 (0.79 to 1)","0.68 (0.54 to 0.86)","0.39 (0.21 to 0.71)","0.26 (0.09 to 0.71)"
"nonsense.cat=med",58,31,1.9,"1.6 to 3.9","0.95 (0.89 to 1)","0.82 (0.72 to 0.93)","0.46 (0.33 to 0.64)","0.21 (0.1 to 0.45)"
"frameshift.cat=high",45,20,2.2,"1.8 to NA","0.98 (0.93 to 1)","0.90 (0.82 to 1)","0.56 (0.41 to 0.76)","0.28 (0.13 to 0.61)"
"frameshift.cat=low",39,19,1.6,"1.1 to NA","0.87 (0.77 to 0.98)","0.68 (0.54 to 0.85)","0.45 (0.3 to 0.68)","0.34 (0.17 to 0.68)"
"frameshift.cat=med",44,23,1.9,"1.6 to NA","0.91 (0.82 to 1)","0.79 (0.67 to 0.92)","0.47 (0.33 to 0.67)","0.30 (0.15 to 0.57)"
