"var","hr","pval","hr_ci95"
"cyt.catmed",0.9,"6.30e-01","0.6 to 1.4"
"cyt.cathigh",0.8,"4.96e-01","0.5 to 1.4"
"age.cat>=65",2.5,"2.13e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.47e-02","1 to 3.1"
"tnm_stageIII",3.8,"1.09e-05","2.1 to 6.9"
"tnm_stageIV",12.8,"8.38e-11","5.9 to 27.6"
"tnm_stageX",5.9,"3.51e-04","2.2 to 15.8"
"cyt.bool1",0.8,"3.64e-01","0.5 to 1.3"
"age.cat>=65",1.9,"6.19e-03","1.2 to 3.1"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.9,"8.30e-02","0.9 to 3.9"
"tnm_stageIII",4.4,"2.49e-04","2 to 9.6"
"tnm_stageIV",7.7,"2.77e-04","2.6 to 23.3"
"tnm_stageX",4.3,"1.94e-02","1.3 to 14.6"
"TMB.cathigh",1,"9.22e-01","0.7 to 1.4"
"age.cat>=65",2.6,"1.15e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.47e-02","1 to 3.1"
"tnm_stageIII",3.8,"9.85e-06","2.1 to 6.9"
"tnm_stageIV",13.2,"4.04e-11","6.1 to 28.3"
"tnm_stageX",6.2,"2.47e-04","2.3 to 16.2"
"PDL1.cat0positive",0,"1.80e-06","0 to 0.1"
"age.cat>=65",2.6,"5.27e-08","1.9 to 3.8"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"5.01e-02","1 to 3.1"
"tnm_stageIII",3.8,"1.15e-05","2.1 to 6.9"
"tnm_stageIV",13.3,"2.91e-11","6.2 to 28.6"
"tnm_stageX",6.2,"2.25e-04","2.4 to 16.4"
"PDL1.catmed",0.8,"3.76e-01","0.6 to 1.2"
"PDL1.cathigh",1.1,"7.52e-01","0.7 to 1.7"
"age.cat>=65",2.6,"1.41e-07","1.8 to 3.6"
"gendermale",0,"9.92e-01","0 to Inf"
"tnm_stageII",1.8,"4.89e-02","1 to 3.1"
"tnm_stageIII",3.9,"8.80e-06","2.1 to 7"
"tnm_stageIV",13.3,"5.37e-11","6.1 to 28.8"
"tnm_stageX",6.2,"2.19e-04","2.4 to 16.3"
"nmdptc_mut.bool1",0.8,"4.02e-01","0.5 to 1.3"
"age.cat>=65",2.6,"1.10e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"5.17e-02","1 to 3.1"
"tnm_stageIII",3.8,"1.14e-05","2.1 to 6.9"
"tnm_stageIV",13.4,"2.68e-11","6.3 to 28.8"
"tnm_stageX",6.3,"2.08e-04","2.4 to 16.6"
"nmdfs_mut.bool1",0.9,"6.19e-01","0.6 to 1.3"
"age.cat>=65",2.6,"9.93e-08","1.8 to 3.7"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.44e-02","1 to 3.2"
"tnm_stageIII",3.9,"8.92e-06","2.1 to 7"
"tnm_stageIV",13.6,"3.47e-11","6.3 to 29.5"
"tnm_stageX",6.3,"2.15e-04","2.4 to 16.6"
"nmdns_mut.bool1",0.9,"6.99e-01","0.7 to 1.3"
"age.cat>=65",2.6,"1.11e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.52e-02","1 to 3.1"
"tnm_stageIII",3.8,"1.02e-05","2.1 to 6.9"
"tnm_stageIV",13,"6.52e-11","6 to 28"
"tnm_stageX",6.3,"2.16e-04","2.4 to 16.5"
"silent",1,"1.04e-03","1 to 1"
"age.cat>=65",2.6,"7.82e-08","1.8 to 3.7"
"gendermale",0,"9.92e-01","0 to Inf"
"tnm_stageII",1.8,"3.94e-02","1 to 3.2"
"tnm_stageIII",3.9,"8.48e-06","2.1 to 7"
"tnm_stageIV",13.7,"1.81e-11","6.4 to 29.4"
"tnm_stageX",6.3,"2.14e-04","2.4 to 16.6"
"missense",1,"3.46e-04","1 to 1"
"age.cat>=65",2.6,"8.64e-08","1.8 to 3.7"
"gendermale",0,"9.93e-01","0 to Inf"
"tnm_stageII",1.8,"4.05e-02","1 to 3.2"
"tnm_stageIII",3.9,"7.98e-06","2.1 to 7"
"tnm_stageIV",13.7,"1.73e-11","6.4 to 29.5"
"tnm_stageX",6.3,"2.06e-04","2.4 to 16.7"
"nonstop",1.3,"1.88e-02","1 to 1.7"
"age.cat>=65",2.6,"7.84e-08","1.8 to 3.7"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.54e-02","1 to 3.1"
"tnm_stageIII",3.9,"7.99e-06","2.1 to 7"
"tnm_stageIV",13.7,"1.77e-11","6.4 to 29.5"
"tnm_stageX",5.6,"5.68e-04","2.1 to 14.9"
"nonsense",1,"9.48e-06","1 to 1"
"age.cat>=65",2.5,"2.03e-07","1.8 to 3.6"
"gendermale",0,"9.28e-01","0 to 9.85993834041918e+83"
"tnm_stageII",1.8,"3.80e-02","1 to 3.2"
"tnm_stageIII",4,"5.78e-06","2.2 to 7.2"
"tnm_stageIV",13.8,"1.52e-11","6.5 to 29.7"
"tnm_stageX",6.3,"1.95e-04","2.4 to 16.8"
"frameshift",1,"7.26e-01","1 to 1"
"age.cat>=65",2.6,"1.11e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.26e-02","1 to 3.2"
"tnm_stageIII",3.8,"1.00e-05","2.1 to 6.9"
"tnm_stageIV",13.5,"3.95e-11","6.2 to 29.2"
"tnm_stageX",6.3,"2.26e-04","2.4 to 16.8"
"total",1,"4.32e-04","1 to 1"
"age.cat>=65",2.6,"8.72e-08","1.8 to 3.7"
"gendermale",0,"9.92e-01","0 to Inf"
"tnm_stageII",1.8,"4.06e-02","1 to 3.2"
"tnm_stageIII",3.9,"7.88e-06","2.1 to 7"
"tnm_stageIV",13.7,"1.78e-11","6.4 to 29.4"
"tnm_stageX",6.3,"2.13e-04","2.4 to 16.6"
"GZMA",1,"3.11e-01","1 to 1"
"age.cat>=65",2.5,"1.75e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.7,"5.47e-02","1 to 3.1"
"tnm_stageIII",3.7,"1.55e-05","2.1 to 6.8"
"tnm_stageIV",12.5,"1.15e-10","5.8 to 27"
"tnm_stageX",5.9,"3.77e-04","2.2 to 15.5"
"PRF1",1,"2.66e-01","0.9 to 1"
"age.cat>=65",2.5,"1.72e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"5.12e-02","1 to 3.1"
"tnm_stageIII",3.7,"1.48e-05","2.1 to 6.8"
"tnm_stageIV",12.6,"1.02e-10","5.8 to 27"
"tnm_stageX",5.8,"3.92e-04","2.2 to 15.4"
"cyt",1,"2.64e-01","1 to 1"
"age.cat>=65",2.5,"1.77e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.7,"5.40e-02","1 to 3.1"
"tnm_stageIII",3.7,"1.57e-05","2 to 6.7"
"tnm_stageIV",12.5,"1.18e-10","5.8 to 26.9"
"tnm_stageX",5.8,"3.94e-04","2.2 to 15.4"
"nmdptc_max",1,"4.66e-01","1 to 1.1"
"age.cat>=65",2.6,"1.15e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"5.13e-02","1 to 3.1"
"tnm_stageIII",3.8,"1.19e-05","2.1 to 6.9"
"tnm_stageIV",13.4,"2.78e-11","6.2 to 28.8"
"tnm_stageX",6.2,"2.16e-04","2.4 to 16.5"
"nmdptc_n_decayed",1,"5.32e-01","1 to 1"
"age.cat>=65",2.6,"1.13e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"5.02e-02","1 to 3.1"
"tnm_stageIII",3.8,"1.18e-05","2.1 to 6.9"
"tnm_stageIV",13.4,"2.86e-11","6.2 to 28.7"
"tnm_stageX",6.2,"2.16e-04","2.4 to 16.5"
"nmdptc_frac_decayed",1,"8.66e-01","0.6 to 1.5"
"age.cat>=65",2.6,"1.16e-07","1.8 to 3.7"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.50e-02","1 to 3.1"
"tnm_stageIII",3.8,"9.89e-06","2.1 to 6.9"
"tnm_stageIV",13.3,"3.61e-11","6.2 to 28.6"
"tnm_stageX",6.1,"2.53e-04","2.3 to 16.2"
"nmdptc_med",1.1,"4.23e-01","0.9 to 1.2"
"age.cat>=65",2.6,"1.31e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.86e-02","1 to 3.1"
"tnm_stageIII",3.8,"1.11e-05","2.1 to 6.9"
"tnm_stageIV",13.3,"3.08e-11","6.2 to 28.5"
"tnm_stageX",6.2,"2.16e-04","2.4 to 16.5"
"nmdptc_med.wt",1,"6.05e-01","0.9 to 1.2"
"age.cat>=65",2.6,"1.29e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.72e-02","1 to 3.1"
"tnm_stageIII",3.8,"1.07e-05","2.1 to 6.9"
"tnm_stageIV",13.4,"2.94e-11","6.2 to 28.7"
"tnm_stageX",6.2,"2.18e-04","2.4 to 16.5"
"nmdptc_mean",1.1,"3.45e-01","0.9 to 1.2"
"age.cat>=65",2.6,"1.39e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"5.03e-02","1 to 3.1"
"tnm_stageIII",3.8,"1.14e-05","2.1 to 6.9"
"tnm_stageIV",13.3,"2.84e-11","6.2 to 28.6"
"tnm_stageX",6.3,"2.13e-04","2.4 to 16.5"
"nmdptc_mean.wt",1,"5.58e-01","0.9 to 1.2"
"age.cat>=65",2.6,"1.31e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.77e-02","1 to 3.1"
"tnm_stageIII",3.8,"1.08e-05","2.1 to 6.9"
"tnm_stageIV",13.4,"2.85e-11","6.2 to 28.8"
"tnm_stageX",6.3,"2.15e-04","2.4 to 16.5"
"nmdfs_max",1,"6.35e-01","1 to 1"
"age.cat>=65",2.6,"1.01e-07","1.8 to 3.7"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.53e-02","1 to 3.1"
"tnm_stageIII",3.8,"9.12e-06","2.1 to 7"
"tnm_stageIV",13.6,"3.45e-11","6.3 to 29.4"
"tnm_stageX",6.3,"2.16e-04","2.4 to 16.5"
"nmdfs_n_decayed",1,"7.31e-01","1 to 1"
"age.cat>=65",2.6,"1.06e-07","1.8 to 3.7"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.46e-02","1 to 3.1"
"tnm_stageIII",3.8,"9.39e-06","2.1 to 7"
"tnm_stageIV",13.5,"4.05e-11","6.2 to 29.2"
"tnm_stageX",6.2,"2.24e-04","2.4 to 16.5"
"nmdfs_frac_decayed",1.2,"4.46e-01","0.8 to 1.8"
"age.cat>=65",2.6,"1.41e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.30e-02","1 to 3.2"
"tnm_stageIII",3.9,"8.36e-06","2.1 to 7"
"tnm_stageIV",13.2,"3.38e-11","6.2 to 28.3"
"tnm_stageX",6.5,"1.74e-04","2.4 to 17.3"
"nmdfs_med",1,"3.87e-01","1 to 1.1"
"age.cat>=65",2.6,"8.88e-08","1.8 to 3.7"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.53e-02","1 to 3.1"
"tnm_stageIII",3.9,"8.18e-06","2.1 to 7"
"tnm_stageIV",13.9,"2.33e-11","6.4 to 30"
"tnm_stageX",6.4,"1.92e-04","2.4 to 16.8"
"nmdfs_med.wt",1,"4.34e-01","0.9 to 1.1"
"age.cat>=65",2.6,"9.55e-08","1.8 to 3.7"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.46e-02","1 to 3.1"
"tnm_stageIII",3.9,"8.26e-06","2.1 to 7"
"tnm_stageIV",13.8,"2.56e-11","6.4 to 30"
"tnm_stageX",6.4,"1.94e-04","2.4 to 16.8"
"nmdfs_mean",1,"3.71e-01","1 to 1.1"
"age.cat>=65",2.6,"8.95e-08","1.8 to 3.7"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.55e-02","1 to 3.1"
"tnm_stageIII",3.9,"8.08e-06","2.1 to 7"
"tnm_stageIV",13.9,"2.28e-11","6.4 to 30.1"
"tnm_stageX",6.4,"1.92e-04","2.4 to 16.8"
"nmdfs_mean.wt",1,"4.30e-01","0.9 to 1.1"
"age.cat>=65",2.6,"9.59e-08","1.8 to 3.7"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.46e-02","1 to 3.1"
"tnm_stageIII",3.9,"8.23e-06","2.1 to 7"
"tnm_stageIV",13.9,"2.56e-11","6.4 to 30"
"tnm_stageX",6.4,"1.93e-04","2.4 to 16.8"
"nmdns_max",1,"7.85e-01","1 to 1"
"age.cat>=65",2.6,"1.11e-07","1.8 to 3.6"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.8,"4.46e-02","1 to 3.2"
"tnm_stageIII",3.8,"1.02e-05","2.1 to 6.9"
"tnm_stageIV",13,"5.74e-11","6 to 28.1"
