"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"silent.cat=high",250,34,NA,"10.8 to NA","1.00 (0.99 to 1)","0.97 (0.95 to 0.99)","0.94 (0.9 to 0.97)","0.75 (0.67 to 0.85)"
"silent.cat=low",283,40,10.2,"9.5 to NA","1.00 (0.99 to 1)","1.00 (0.99 to 1)","0.99 (0.97 to 1)","0.86 (0.81 to 0.92)"
"silent.cat=med",440,64,10.8,"9.5 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 0.99)","0.95 (0.93 to 0.98)","0.81 (0.76 to 0.87)"
"missense.cat=high",246,27,NA,"9.5 to NA","1.00 (0.99 to 1)","0.97 (0.95 to 0.99)","0.95 (0.91 to 0.98)","0.80 (0.72 to 0.89)"
"missense.cat=low",270,37,10.6,"9.5 to NA","1.00 (1 to 1)","1.00 (0.99 to 1)","0.99 (0.98 to 1)","0.87 (0.81 to 0.93)"
"missense.cat=med",457,74,10.8,"9.3 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 0.99)","0.95 (0.92 to 0.97)","0.79 (0.74 to 0.85)"
"nonsense.cat=high",282,37,NA,"10.8 to NA","1.00 (0.99 to 1)","0.98 (0.96 to 1)","0.94 (0.91 to 0.97)","0.77 (0.7 to 0.86)"
"nonsense.cat=low",365,55,10.8,"10.2 to NA","0.99 (0.99 to 1)","0.98 (0.97 to 1)","0.97 (0.96 to 0.99)","0.81 (0.75 to 0.87)"
"nonsense.cat=med",326,46,9.5,"9.5 to NA","1.00 (1 to 1)","0.99 (0.97 to 1)","0.96 (0.93 to 0.98)","0.86 (0.81 to 0.91)"
"frameshift.cat=high",254,32,10.8,"9.3 to NA","0.99 (0.98 to 1)","0.96 (0.94 to 0.99)","0.94 (0.91 to 0.98)","0.85 (0.79 to 0.92)"
"frameshift.cat=low",279,50,10.2,"9.4 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 1)","0.94 (0.92 to 0.97)","0.81 (0.75 to 0.88)"
"frameshift.cat=med",440,56,10.8,"9.5 to NA","1.00 (1 to 1)","1.00 (0.99 to 1)","0.98 (0.96 to 0.99)","0.80 (0.74 to 0.86)"
"total.cat=high",249,28,NA,"NA to NA","1.00 (0.99 to 1)","0.98 (0.96 to 1)","0.95 (0.91 to 0.98)","0.77 (0.68 to 0.86)"
"total.cat=low",257,32,10.2,"9.5 to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.98 to 1)","0.87 (0.81 to 0.93)"
"total.cat=med",467,78,10.6,"8.1 to 20.4","1.00 (0.99 to 1)","0.98 (0.96 to 0.99)","0.95 (0.92 to 0.97)","0.80 (0.75 to 0.86)"
"GZMA.cat=high",244,30,10.8,"9.5 to NA","1.00 (1 to 1)","0.99 (0.97 to 1)","0.96 (0.93 to 0.99)","0.86 (0.79 to 0.92)"
"GZMA.cat=low",243,43,10.8,"8 to NA","0.99 (0.98 to 1)","0.98 (0.96 to 1)","0.96 (0.93 to 0.99)","0.81 (0.73 to 0.88)"
"GZMA.cat=med",486,65,10.8,"9.3 to NA","1.00 (0.99 to 1)","0.98 (0.97 to 0.99)","0.96 (0.94 to 0.98)","0.80 (0.74 to 0.85)"
"PRF1.cat=high",244,30,9.6,"9.4 to NA","1.00 (1 to 1)","0.99 (0.97 to 1)","0.96 (0.94 to 0.99)","0.84 (0.77 to 0.91)"
