"var","hr","pval","hr_ci95"
"cyt.catmed",0.6,"1.08e-01","0.3 to 1.1"
"cyt.cathigh",0.3,"1.86e-02","0.1 to 0.8"
"age.cat>=65",3,"7.33e-03","1.3 to 6.5"
"cyt.bool1",0.3,"1.71e-02","0.1 to 0.8"
"age.cat>=65",4,"2.04e-02","1.2 to 12.7"
"TMB.cathigh",0.8,"4.31e-01","0.4 to 1.5"
"age.cat>=65",2.7,"1.59e-02","1.2 to 6.2"
"PDL1.cat0positive",3266295.5,"9.97e-01","0 to Inf"
"age.cat>=65",2.5,"2.26e-02","1.1 to 5.3"
"PDL1.catmed",0.8,"5.79e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"4.44e-01","0.3 to 1.8"
"age.cat>=65",2.7,"1.66e-02","1.2 to 6.2"
"nmdptc_mut.bool1",0.9,"8.55e-01","0.2 to 3.7"
"age.cat>=65",2.5,"2.16e-02","1.1 to 5.4"
"nmdfs_mut.bool1",0.8,"4.84e-01","0.4 to 1.5"
"age.cat>=65",2.5,"2.00e-02","1.2 to 5.4"
"nmdns_mut.bool1",0.8,"7.54e-01","0.3 to 2.4"
"age.cat>=65",2.5,"2.10e-02","1.1 to 5.5"
"silent",1,"3.74e-01","1 to 1"
"age.cat>=65",2.6,"1.68e-02","1.2 to 5.6"
"missense",1,"3.52e-01","1 to 1"
"age.cat>=65",2.6,"1.64e-02","1.2 to 5.6"
"nonstop",1,"9.16e-01","0.8 to 1.2"
"age.cat>=65",2.5,"2.18e-02","1.1 to 5.4"
"nonsense",1,"3.72e-01","1 to 1"
"age.cat>=65",2.6,"1.60e-02","1.2 to 5.7"
"frameshift",1,"8.15e-01","0.9 to 1.1"
"age.cat>=65",2.5,"2.23e-02","1.1 to 5.3"
"total",1,"4.32e-01","1 to 1"
"age.cat>=65",2.6,"1.76e-02","1.2 to 5.6"
"GZMA",1,"5.68e-02","1 to 1"
"age.cat>=65",2.6,"1.65e-02","1.2 to 5.6"
"PRF1",1,"7.61e-02","0.9 to 1"
"age.cat>=65",2.3,"3.45e-02","1.1 to 5"
"cyt",1,"6.19e-02","1 to 1"
"age.cat>=65",2.4,"2.43e-02","1.1 to 5.3"
"nmdptc_max",0.9,"1.67e-01","0.8 to 1"
"age.cat>=65",2.6,"1.75e-02","1.2 to 5.6"
"nmdptc_n_decayed",1,"7.56e-01","1 to 1"
"age.cat>=65",2.4,"2.30e-02","1.1 to 5.3"
"nmdptc_frac_decayed",0.3,"1.37e-02","0.1 to 0.8"
"age.cat>=65",2.6,"1.81e-02","1.2 to 5.5"
"nmdptc_med",0.8,"1.80e-01","0.5 to 1.1"
"age.cat>=65",2.4,"2.54e-02","1.1 to 5.2"
"nmdptc_med.wt",0.9,"5.70e-01","0.6 to 1.4"
"age.cat>=65",2.4,"2.64e-02","1.1 to 5.2"
"nmdptc_mean",0.8,"3.05e-01","0.6 to 1.2"
"age.cat>=65",2.5,"2.20e-02","1.1 to 5.3"
"nmdptc_mean.wt",0.9,"5.98e-01","0.6 to 1.4"
"age.cat>=65",2.4,"2.57e-02","1.1 to 5.2"
"nmdfs_max",1,"7.03e-01","1 to 1.1"
"age.cat>=65",2.5,"2.12e-02","1.1 to 5.4"
"nmdfs_n_decayed",1,"6.40e-01","1 to 1"
"age.cat>=65",2.5,"2.11e-02","1.1 to 5.4"
"nmdfs_frac_decayed",0.6,"1.08e-01","0.3 to 1.1"
"age.cat>=65",2.4,"2.49e-02","1.1 to 5.2"
"nmdfs_med",1,"9.18e-01","0.8 to 1.2"
"age.cat>=65",2.5,"2.23e-02","1.1 to 5.3"
"nmdfs_med.wt",1,"8.99e-01","0.8 to 1.2"
"age.cat>=65",2.5,"2.18e-02","1.1 to 5.3"
"nmdfs_mean",1,"9.83e-01","0.8 to 1.2"
"age.cat>=65",2.5,"2.20e-02","1.1 to 5.3"
"nmdfs_mean.wt",1,"8.69e-01","0.8 to 1.2"
"age.cat>=65",2.5,"2.17e-02","1.1 to 5.3"
"nmdns_max",1,"3.85e-01","0.9 to 1.1"
"age.cat>=65",2.4,"2.30e-02","1.1 to 5.3"
"nmdns_n_decayed",1,"9.37e-01","1 to 1"
"age.cat>=65",2.5,"2.32e-02","1.1 to 5.3"
"nmdns_frac_decayed",0.8,"6.15e-01","0.3 to 2"
"age.cat>=65",2.4,"2.30e-02","1.1 to 5.3"
"nmdns_med",1,"9.40e-01","0.8 to 1.3"
"age.cat>=65",2.5,"2.42e-02","1.1 to 5.4"
"nmdns_med.wt",1,"9.77e-01","0.7 to 1.3"
"age.cat>=65",2.5,"2.49e-02","1.1 to 5.4"
"nmdns_mean",1,"9.53e-01","0.8 to 1.3"
"age.cat>=65",2.5,"2.29e-02","1.1 to 5.3"
"nmdns_mean.wt",1,"9.17e-01","0.7 to 1.3"
"age.cat>=65",2.4,"2.55e-02","1.1 to 5.4"
"TNFRSF4_cna",0.8,"2.98e-01","0.5 to 1.2"
"age.cat>=65",2.7,"1.35e-02","1.2 to 6.1"
"CNKSR1_cna",0.6,"1.08e-01","0.4 to 1.1"
"age.cat>=65",2.8,"9.79e-03","1.3 to 6.3"
"FUBP1_cna",0.9,"6.69e-01","0.5 to 1.5"
