"var","hr","pval","hr_ci95"
"cyt.catmed",0.6,"1.18e-01","0.3 to 1.2"
"cyt.cathigh",0.3,"2.90e-02","0.1 to 0.9"
"age.cat>=65",3.1,"1.22e-02","1.3 to 7.5"
"TMB.cathigh",0.9,"6.64e-01","0.4 to 1.7"
"PDL1.catmed",0.9,"8.53e-01","0.4 to 2.1"
"PDL1.cathigh",1,"9.75e-01","0.4 to 2.8"
"cyt.bool1",0.3,"3.71e-02","0.1 to 0.9"
"age.cat>=65",4.1,"3.51e-02","1.1 to 15.2"
"TMB.cathigh",1.6,"3.10e-01","0.6 to 4.1"
"PDL1.catmed",0.9,"9.24e-01","0.3 to 2.9"
"PDL1.cathigh",0.6,"5.14e-01","0.1 to 3"
"TMB.cathigh",0.8,"4.90e-01","0.4 to 1.5"
"age.cat>=65",3,"1.31e-02","1.3 to 7"
"PDL1.catmed",0.8,"6.35e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"5.06e-01","0.3 to 1.9"
"PDL1.cat0positive",4416268.6,"9.97e-01","0 to Inf"
"age.cat>=65",3,"1.29e-02","1.3 to 7"
"TMB.cathigh",0.8,"4.78e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"5.99e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"4.79e-01","0.3 to 1.8"
"PDL1.catmed",0.8,"6.35e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"5.06e-01","0.3 to 1.9"
"age.cat>=65",3,"1.31e-02","1.3 to 7"
"TMB.cathigh",0.8,"4.90e-01","0.4 to 1.5"
"nmdptc_mut.bool1",1,"9.58e-01","0.2 to 4.6"
"age.cat>=65",3,"1.31e-02","1.3 to 6.9"
"TMB.cathigh",0.8,"4.90e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"6.34e-01","0.4 to 1.9"
"PDL1.cathigh",0.7,"5.05e-01","0.3 to 1.9"
"nmdfs_mut.bool1",0.8,"4.66e-01","0.4 to 1.5"
"age.cat>=65",3,"1.16e-02","1.3 to 7.2"
"TMB.cathigh",0.8,"4.71e-01","0.4 to 1.5"
"PDL1.catmed",0.9,"6.98e-01","0.4 to 1.9"
"PDL1.cathigh",0.7,"5.11e-01","0.3 to 1.9"
"nmdns_mut.bool1",1,"9.53e-01","0.3 to 2.9"
"age.cat>=65",3,"1.31e-02","1.3 to 7"
"TMB.cathigh",0.8,"5.08e-01","0.4 to 1.6"
"PDL1.catmed",0.8,"6.45e-01","0.4 to 1.9"
"PDL1.cathigh",0.7,"5.11e-01","0.3 to 1.9"
"silent",1,"5.15e-01","1 to 1"
"age.cat>=65",2.9,"1.37e-02","1.2 to 6.9"
"TMB.cathigh",0.9,"7.64e-01","0.4 to 1.9"
"PDL1.catmed",0.8,"6.64e-01","0.4 to 1.9"
"PDL1.cathigh",0.7,"5.00e-01","0.3 to 1.9"
"missense",1,"4.69e-01","1 to 1"
"age.cat>=65",2.9,"1.34e-02","1.3 to 6.9"
"TMB.cathigh",0.9,"7.89e-01","0.4 to 1.9"
"PDL1.catmed",0.8,"6.65e-01","0.4 to 1.9"
"PDL1.cathigh",0.7,"4.92e-01","0.3 to 1.8"
"nonstop",1,"8.87e-01","0.8 to 1.3"
"age.cat>=65",3,"1.30e-02","1.3 to 7"
"TMB.cathigh",0.8,"4.86e-01","0.4 to 1.6"
"PDL1.catmed",0.8,"6.31e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"5.08e-01","0.3 to 1.9"
"nonsense",1,"5.02e-01","1 to 1"
