"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"silent.cat=high",50,10,NA,"7.8 to NA","0.98 (0.93 to 1)","0.95 (0.88 to 1)","0.85 (0.74 to 0.98)","0.73 (0.58 to 0.92)"
"silent.cat=low",54,11,NA,"5.6 to NA","1.00 (1 to 1)","0.91 (0.84 to 1)","0.80 (0.69 to 0.94)","0.70 (0.54 to 0.9)"
"silent.cat=med",89,21,6.9,"5.6 to NA","0.96 (0.92 to 1)","0.92 (0.87 to 0.98)","0.87 (0.8 to 0.96)","0.65 (0.5 to 0.83)"
"missense.cat=high",49,9,NA,"7.8 to NA","0.97 (0.92 to 1)","0.95 (0.88 to 1)","0.85 (0.73 to 0.98)","0.76 (0.62 to 0.94)"
"missense.cat=low",51,10,NA,"5.6 to NA","1.00 (1 to 1)","0.93 (0.86 to 1)","0.81 (0.7 to 0.95)","0.75 (0.59 to 0.94)"
"missense.cat=med",93,23,6.9,"4.6 to NA","0.96 (0.93 to 1)","0.92 (0.86 to 0.98)","0.87 (0.8 to 0.95)","0.60 (0.46 to 0.79)"
"nonsense.cat=high",51,12,11.2,"7.8 to NA","0.97 (0.93 to 1)","0.95 (0.88 to 1)","0.86 (0.75 to 0.98)","0.70 (0.55 to 0.89)"
"nonsense.cat=low",62,13,NA,"5.6 to NA","0.98 (0.95 to 1)","0.93 (0.86 to 1)","0.86 (0.77 to 0.96)","0.70 (0.55 to 0.89)"
"nonsense.cat=med",80,17,8.5,"5.6 to NA","0.97 (0.94 to 1)","0.92 (0.85 to 0.98)","0.84 (0.75 to 0.94)","0.68 (0.53 to 0.86)"
"frameshift.cat=high",66,14,5.7,"5.6 to NA","0.98 (0.95 to 1)","0.94 (0.89 to 1)","0.90 (0.82 to 0.99)","0.68 (0.53 to 0.87)"
"frameshift.cat=low",89,18,NA,"8.3 to NA","1.00 (1 to 1)","0.95 (0.9 to 1)","0.85 (0.77 to 0.94)","0.72 (0.6 to 0.86)"
"frameshift.cat=med",38,10,6.9,"2.4 to NA","0.91 (0.82 to 1)","0.85 (0.73 to 0.98)","0.75 (0.6 to 0.94)","0.66 (0.47 to 0.93)"
"total.cat=high",49,12,8.3,"4.6 to NA","0.95 (0.88 to 1)","0.92 (0.84 to 1)","0.82 (0.7 to 0.96)","0.66 (0.5 to 0.86)"
"total.cat=low",49,9,NA,"5.6 to NA","1.00 (1 to 1)","0.93 (0.86 to 1)","0.80 (0.67 to 0.95)","0.80 (0.67 to 0.95)"
"total.cat=med",95,21,8.5,"5.7 to NA","0.98 (0.95 to 1)","0.93 (0.88 to 0.99)","0.88 (0.82 to 0.96)","0.66 (0.52 to 0.83)"
"GZMA.cat=high",49,9,8.3,"7.8 to NA","1.00 (1 to 1)","0.95 (0.89 to 1)","0.89 (0.8 to 1)","0.73 (0.57 to 0.95)"
"GZMA.cat=low",49,12,11.2,"3.1 to NA","0.96 (0.9 to 1)","0.91 (0.82 to 1)","0.82 (0.71 to 0.95)","0.64 (0.47 to 0.88)"
"GZMA.cat=med",95,21,8.5,"5.6 to NA","0.98 (0.94 to 1)","0.92 (0.87 to 0.98)","0.84 (0.75 to 0.93)","0.69 (0.56 to 0.83)"
"PRF1.cat=high",49,9,NA,"8.3 to NA","1.00 (1 to 1)","0.98 (0.94 to 1)","0.92 (0.84 to 1)","0.79 (0.64 to 0.97)"
"PRF1.cat=low",49,10,11.2,"3.1 to NA","0.93 (0.85 to 1)","0.87 (0.78 to 0.98)","0.87 (0.78 to 0.98)","0.58 (0.38 to 0.89)"
"PRF1.cat=med",95,23,5.7,"5.6 to NA","0.99 (0.96 to 1)","0.92 (0.87 to 0.98)","0.79 (0.7 to 0.9)","0.67 (0.55 to 0.81)"
"cyt.cat=high",49,8,NA,"7.8 to NA","1.00 (1 to 1)","0.98 (0.94 to 1)","0.92 (0.84 to 1)","0.77 (0.61 to 0.97)"
"cyt.cat=low",49,14,11.2,"2.8 to NA","0.91 (0.82 to 1)","0.83 (0.73 to 0.95)","0.78 (0.66 to 0.92)","0.51 (0.32 to 0.81)"
"cyt.cat=med",95,20,8.5,"5.6 to NA","1.00 (1 to 1)","0.95 (0.9 to 1)","0.84 (0.76 to 0.94)","0.71 (0.6 to 0.86)"
"nmdptc_max.cat=high",49,7,NA,"NA to NA","0.98 (0.93 to 1)","0.93 (0.85 to 1)","0.89 (0.8 to 1)","0.75 (0.6 to 0.94)"
"nmdptc_max.cat=low",49,14,5.6,"3 to NA","0.96 (0.9 to 1)","0.89 (0.8 to 0.99)","0.77 (0.64 to 0.92)","0.51 (0.32 to 0.82)"
"nmdptc_max.cat=med",95,21,11.2,"6.9 to NA","0.99 (0.96 to 1)","0.95 (0.9 to 1)","0.87 (0.8 to 0.95)","0.74 (0.63 to 0.88)"
"nmdptc_n_decayed.cat=high",53,9,11.2,"8.3 to NA","0.98 (0.93 to 1)","0.95 (0.89 to 1)","0.89 (0.79 to 1)","0.82 (0.69 to 0.96)"
"nmdptc_n_decayed.cat=low",59,20,4.6,"2.9 to NA","0.98 (0.95 to 1)","0.89 (0.81 to 0.98)","0.74 (0.63 to 0.88)","0.44 (0.27 to 0.72)"
"nmdptc_n_decayed.cat=med",81,13,NA,"5.7 to NA","0.97 (0.93 to 1)","0.94 (0.89 to 1)","0.91 (0.84 to 0.98)","0.77 (0.64 to 0.92)"
"nmdptc_frac_decayed.cat=high",49,9,NA,"NA to NA","0.98 (0.93 to 1)","0.88 (0.79 to 0.98)","0.85 (0.75 to 0.97)","0.71 (0.55 to 0.91)"
"nmdptc_frac_decayed.cat=low",50,17,4.6,"3 to NA","0.98 (0.94 to 1)","0.91 (0.84 to 1)","0.77 (0.64 to 0.92)","0.47 (0.3 to 0.74)"
"nmdptc_frac_decayed.cat=med",94,16,11.2,"7.8 to NA","0.97 (0.94 to 1)","0.96 (0.92 to 1)","0.89 (0.82 to 0.97)","0.80 (0.69 to 0.93)"
"nmdptc_med.cat=high",49,9,NA,"NA to NA","1.00 (1 to 1)","0.88 (0.79 to 0.98)","0.79 (0.67 to 0.93)","0.75 (0.61 to 0.91)"
"nmdptc_med.cat=low",49,17,5.6,"3 to NA","0.96 (0.9 to 1)","0.93 (0.86 to 1)","0.78 (0.66 to 0.93)","0.56 (0.39 to 0.8)"
"nmdptc_med.cat=med",95,16,NA,"5.7 to NA","0.98 (0.94 to 1)","0.95 (0.9 to 1)","0.91 (0.85 to 0.98)","0.73 (0.6 to 0.89)"
"nmdptc_med.wt.cat=high",49,7,NA,"NA to NA","1.00 (1 to 1)","0.90 (0.81 to 1)","0.84 (0.73 to 0.97)","0.78 (0.64 to 0.95)"
"nmdptc_med.wt.cat=low",49,17,5.6,"2.9 to NA","0.96 (0.9 to 1)","0.91 (0.83 to 1)","0.77 (0.64 to 0.92)","0.53 (0.36 to 0.78)"
"nmdptc_med.wt.cat=med",95,18,8.3,"6.9 to NA","0.98 (0.94 to 1)","0.95 (0.9 to 1)","0.90 (0.83 to 0.97)","0.74 (0.62 to 0.88)"
"nmdptc_mean.cat=high",49,8,NA,"NA to NA","0.98 (0.93 to 1)","0.88 (0.78 to 0.98)","0.81 (0.69 to 0.95)","0.76 (0.62 to 0.93)"
"nmdptc_mean.cat=low",49,18,5.6,"3 to NA","0.96 (0.9 to 1)","0.93 (0.86 to 1)","0.79 (0.67 to 0.93)","0.58 (0.42 to 0.8)"
"nmdptc_mean.cat=med",95,16,NA,"6.9 to NA","0.99 (0.96 to 1)","0.95 (0.9 to 1)","0.90 (0.83 to 0.97)","0.72 (0.59 to 0.88)"
"nmdptc_mean.wt.cat=high",49,9,NA,"NA to NA","0.98 (0.93 to 1)","0.88 (0.79 to 0.98)","0.79 (0.67 to 0.93)","0.74 (0.6 to 0.92)"
"nmdptc_mean.wt.cat=low",49,17,5.6,"2.9 to NA","0.96 (0.9 to 1)","0.91 (0.83 to 1)","0.76 (0.64 to 0.92)","0.52 (0.34 to 0.78)"
"nmdptc_mean.wt.cat=med",95,16,11.2,"7.8 to NA","0.99 (0.96 to 1)","0.96 (0.92 to 1)","0.93 (0.87 to 0.99)","0.76 (0.64 to 0.91)"
"nmdfs_max.cat=high",70,16,8.5,"8.3 to NA","0.99 (0.96 to 1)","0.90 (0.82 to 0.98)","0.81 (0.7 to 0.92)","0.71 (0.58 to 0.87)"
"nmdfs_max.cat=low",49,14,6.9,"4.6 to NA","0.98 (0.93 to 1)","0.95 (0.89 to 1)","0.87 (0.77 to 0.98)","0.61 (0.44 to 0.84)"
"nmdfs_max.cat=med",74,12,NA,"5.7 to NA","0.97 (0.93 to 1)","0.94 (0.88 to 1)","0.87 (0.79 to 0.97)","0.75 (0.62 to 0.92)"
"nmdfs_n_decayed.cat=high",70,16,8.5,"8.3 to NA","0.99 (0.96 to 1)","0.90 (0.82 to 0.98)","0.81 (0.71 to 0.93)","0.71 (0.58 to 0.87)"
"nmdfs_n_decayed.cat=low",95,22,7.8,"5.6 to NA","0.96 (0.92 to 1)","0.94 (0.89 to 0.99)","0.86 (0.78 to 0.94)","0.65 (0.52 to 0.81)"
"nmdfs_n_decayed.cat=med",28,4,NA,"5.7 to NA","1.00 (1 to 1)","0.96 (0.89 to 1)","0.91 (0.8 to 1)","0.83 (0.67 to 1)"
"nmdfs_frac_decayed.cat=high",113,20,NA,"8.5 to NA","0.97 (0.94 to 1)","0.92 (0.86 to 0.97)","0.85 (0.77 to 0.93)","0.76 (0.65 to 0.87)"
"nmdfs_frac_decayed.cat=low",50,15,5.6,"4 to NA","0.98 (0.93 to 1)","0.95 (0.89 to 1)","0.84 (0.72 to 0.97)","0.53 (0.35 to 0.81)"
"nmdfs_frac_decayed.cat=med",30,7,6.9,"5.7 to NA","1.00 (1 to 1)","0.93 (0.83 to 1)","0.87 (0.75 to 1)","0.74 (0.56 to 0.98)"
"nmdfs_med.cat=high",70,16,8.5,"8.3 to NA","0.99 (0.96 to 1)","0.90 (0.82 to 0.98)","0.81 (0.71 to 0.93)","0.71 (0.58 to 0.87)"
"nmdfs_med.cat=low",60,17,5.6,"4 to NA","0.98 (0.95 to 1)","0.96 (0.91 to 1)","0.86 (0.76 to 0.97)","0.56 (0.39 to 0.8)"
"nmdfs_med.cat=med",63,9,NA,"NA to NA","0.96 (0.91 to 1)","0.92 (0.86 to 1)","0.88 (0.79 to 0.98)","0.79 (0.66 to 0.95)"
"nmdfs_med.wt.cat=high",70,17,8.5,"8.3 to NA","0.97 (0.93 to 1)","0.88 (0.8 to 0.97)","0.79 (0.69 to 0.91)","0.69 (0.56 to 0.85)"
"nmdfs_med.wt.cat=low",49,16,5.6,"4 to NA","0.98 (0.93 to 1)","0.95 (0.89 to 1)","0.87 (0.77 to 0.98)","0.54 (0.37 to 0.81)"
"nmdfs_med.wt.cat=med",74,9,NA,"NA to NA","0.98 (0.95 to 1)","0.95 (0.9 to 1)","0.89 (0.8 to 0.98)","0.81 (0.69 to 0.95)"
"nmdfs_mean.cat=high",70,16,8.5,"8.3 to NA","0.99 (0.96 to 1)","0.90 (0.82 to 0.98)","0.81 (0.71 to 0.93)","0.71 (0.58 to 0.87)"
