"var","hr","pval","hr_ci95"
"cyt.catmed",0.9,"8.29e-01","0.4 to 2"
"cyt.cathigh",0.9,"8.01e-01","0.4 to 2.2"
"age.cat>=65",1.7,"2.07e-01","0.7 to 3.9"
"gendermale",0.7,"2.29e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.07e-01","0.6 to 12.3"
"tnm_stageIII",4.5,"4.98e-02","1 to 20.3"
"tnm_stageIV",11.5,"1.39e-03","2.6 to 51.2"
"cyt.bool1",0.8,"7.28e-01","0.3 to 2.2"
"age.cat>=65",2,"2.93e-01","0.6 to 7"
"gendermale",0.5,"2.17e-01","0.2 to 1.5"
"tnm_stageII",3.4,"2.79e-01","0.4 to 30.1"
"tnm_stageIII",6.5,"8.25e-02","0.8 to 53.3"
"tnm_stageIV",10.3,"3.60e-02","1.2 to 91.6"
"TMB.cathigh",1.7,"1.28e-01","0.9 to 3.2"
"age.cat>=65",1.6,"2.99e-01","0.7 to 3.6"
"gendermale",0.7,"2.38e-01","0.3 to 1.3"
"tnm_stageII",2.5,"2.29e-01","0.6 to 11.7"
"tnm_stageIII",4.5,"5.07e-02","1 to 19.9"
"tnm_stageIV",12.3,"9.74e-04","2.8 to 54.4"
"PDL1.cat0positive",0.7,"6.91e-01","0.1 to 5"
"age.cat>=65",1.7,"2.09e-01","0.7 to 3.9"
"gendermale",0.7,"2.13e-01","0.3 to 1.3"
"tnm_stageII",2.6,"2.17e-01","0.6 to 12.1"
"tnm_stageIII",4.4,"5.14e-02","1 to 19.9"
"tnm_stageIV",11.7,"1.21e-03","2.6 to 51.8"
"PDL1.catmed",0.8,"4.98e-01","0.4 to 1.6"
"PDL1.cathigh",0.5,"2.14e-01","0.2 to 1.4"
"age.cat>=65",1.7,"1.90e-01","0.8 to 4"
"gendermale",0.6,"1.59e-01","0.3 to 1.2"
"tnm_stageII",2.8,"1.87e-01","0.6 to 12.9"
"tnm_stageIII",4.6,"4.80e-02","1 to 20.6"
"tnm_stageIV",11.3,"1.44e-03","2.5 to 50.3"
"nmdptc_mut.bool1",23922057.3,"9.97e-01","0 to Inf"
"age.cat>=65",1.7,"1.91e-01","0.8 to 4"
"gendermale",0.7,"2.88e-01","0.4 to 1.4"
"tnm_stageII",2.6,"2.22e-01","0.6 to 11.8"
"tnm_stageIII",4.5,"4.99e-02","1 to 20.1"
"tnm_stageIV",11.5,"1.26e-03","2.6 to 51"
"nmdfs_mut.bool1",1.7,"2.55e-01","0.7 to 4.6"
"age.cat>=65",1.6,"2.93e-01","0.7 to 3.6"
"gendermale",0.7,"2.66e-01","0.4 to 1.3"
"tnm_stageII",2.8,"1.90e-01","0.6 to 12.7"
"tnm_stageIII",4.6,"4.76e-02","1 to 20.4"
"tnm_stageIV",11.6,"1.25e-03","2.6 to 51.2"
"nmdns_mut.bool1",1.3,"6.95e-01","0.3 to 5.9"
"age.cat>=65",1.7,"2.03e-01","0.7 to 3.9"
"gendermale",0.7,"2.55e-01","0.3 to 1.3"
"tnm_stageII",2.6,"2.12e-01","0.6 to 12.1"
"tnm_stageIII",4.5,"4.93e-02","1 to 20.2"
"tnm_stageIV",11.9,"1.13e-03","2.7 to 52.6"
"silent",1,"2.38e-01","1 to 1"
"age.cat>=65",1.8,"1.82e-01","0.8 to 4.1"
"gendermale",0.7,"2.12e-01","0.3 to 1.3"
"tnm_stageII",2.6,"2.13e-01","0.6 to 12.1"
"tnm_stageIII",4.7,"4.48e-02","1 to 21.6"
"tnm_stageIV",12.7,"1.00e-03","2.8 to 57.8"
"missense",1,"2.21e-01","1 to 1"
"age.cat>=65",1.8,"1.76e-01","0.8 to 4.2"
"gendermale",0.7,"2.15e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.03e-01","0.6 to 12.4"
"tnm_stageIII",4.8,"4.36e-02","1 to 22.1"
"tnm_stageIV",12.8,"1.01e-03","2.8 to 58.5"
"nonstop",1.5,"1.49e-02","1.1 to 2.1"
"age.cat>=65",2,"1.27e-01","0.8 to 4.8"
"gendermale",0.7,"2.50e-01","0.3 to 1.3"
"tnm_stageII",2.5,"2.31e-01","0.6 to 11.6"
"tnm_stageIII",5,"3.70e-02","1.1 to 23"
"tnm_stageIV",12.9,"8.31e-04","2.9 to 57.8"
"nonsense",1,"3.25e-01","1 to 1"
"age.cat>=65",1.8,"1.81e-01","0.8 to 4.2"
"gendermale",0.7,"2.08e-01","0.3 to 1.3"
"tnm_stageII",2.8,"1.91e-01","0.6 to 13.2"
"tnm_stageIII",4.9,"4.44e-02","1 to 22.8"
"tnm_stageIV",12.7,"1.15e-03","2.7 to 59"
"frameshift",1,"2.18e-01","1 to 1"
"age.cat>=65",1.7,"2.08e-01","0.7 to 3.9"
"gendermale",0.7,"2.18e-01","0.3 to 1.3"
"tnm_stageII",2.4,"2.59e-01","0.5 to 11.3"
"tnm_stageIII",4.5,"4.89e-02","1 to 20.2"
"tnm_stageIV",12,"1.08e-03","2.7 to 53.3"
"total",1,"2.60e-01","1 to 1"
"age.cat>=65",1.8,"1.78e-01","0.8 to 4.2"
"gendermale",0.7,"2.17e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.08e-01","0.6 to 12.2"
"tnm_stageIII",4.7,"4.43e-02","1 to 21.7"
"tnm_stageIV",12.6,"1.02e-03","2.8 to 57"
"GZMA",1,"6.51e-01","1 to 1"
"age.cat>=65",1.7,"2.29e-01","0.7 to 3.9"
"gendermale",0.7,"2.34e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.07e-01","0.6 to 12.2"
"tnm_stageIII",4.4,"5.20e-02","1 to 19.9"
"tnm_stageIV",11.9,"1.13e-03","2.7 to 53.1"
"PRF1",1,"7.74e-01","0.9 to 1.1"
"age.cat>=65",1.7,"2.01e-01","0.7 to 4"
"gendermale",0.6,"2.01e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.07e-01","0.6 to 12.2"
"tnm_stageIII",4.5,"5.00e-02","1 to 20.1"
"tnm_stageIV",11.7,"1.23e-03","2.6 to 51.7"
"cyt",1,"6.45e-01","1 to 1"
"age.cat>=65",1.7,"2.31e-01","0.7 to 3.8"
"gendermale",0.7,"2.41e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.07e-01","0.6 to 12.2"
"tnm_stageIII",4.5,"5.11e-02","1 to 20"
"tnm_stageIV",12,"1.12e-03","2.7 to 53.2"
"nmdptc_max",1,"7.84e-01","0.9 to 1.1"
"age.cat>=65",1.7,"1.99e-01","0.7 to 4"
"gendermale",0.7,"2.13e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.04e-01","0.6 to 12.3"
"tnm_stageIII",4.5,"4.82e-02","1 to 20.4"
"tnm_stageIV",11.6,"1.27e-03","2.6 to 51.4"
"nmdptc_n_decayed",1,"3.82e-01","1 to 1"
"age.cat>=65",1.8,"1.85e-01","0.8 to 4"
"gendermale",0.7,"2.50e-01","0.4 to 1.3"
"tnm_stageII",2.7,"2.03e-01","0.6 to 12.3"
"tnm_stageIII",4.7,"4.31e-02","1 to 21.1"
"tnm_stageIV",11.5,"1.30e-03","2.6 to 50.6"
"nmdptc_frac_decayed",1.7,"3.55e-01","0.6 to 4.9"
"age.cat>=65",1.7,"2.01e-01","0.7 to 3.9"
"gendermale",0.7,"2.01e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.09e-01","0.6 to 12.2"
"tnm_stageIII",4.5,"5.08e-02","1 to 20"
"tnm_stageIV",11.9,"1.09e-03","2.7 to 52.9"
"nmdptc_med",1.1,"5.96e-01","0.7 to 1.7"
"age.cat>=65",1.7,"2.28e-01","0.7 to 3.8"
"gendermale",0.6,"2.00e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.05e-01","0.6 to 12.3"
"tnm_stageIII",4.4,"5.12e-02","1 to 19.9"
"tnm_stageIV",11.7,"1.23e-03","2.6 to 51.7"
"nmdptc_med.wt",1,"9.13e-01","0.5 to 1.7"
"age.cat>=65",1.7,"2.07e-01","0.7 to 3.9"
"gendermale",0.7,"2.16e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.07e-01","0.6 to 12.2"
"tnm_stageIII",4.5,"4.94e-02","1 to 20.2"
"tnm_stageIV",11.7,"1.22e-03","2.6 to 51.7"
"nmdptc_mean",1.1,"5.64e-01","0.8 to 1.7"
"age.cat>=65",1.7,"2.34e-01","0.7 to 3.8"
"gendermale",0.7,"2.07e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.03e-01","0.6 to 12.4"
"tnm_stageIII",4.5,"5.08e-02","1 to 20"
"tnm_stageIV",11.7,"1.21e-03","2.6 to 51.9"
"nmdptc_mean.wt",1,"9.27e-01","0.5 to 1.7"
"age.cat>=65",1.7,"2.08e-01","0.7 to 3.9"
"gendermale",0.7,"2.16e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.07e-01","0.6 to 12.2"
"tnm_stageIII",4.5,"4.94e-02","1 to 20.2"
"tnm_stageIV",11.7,"1.22e-03","2.6 to 51.7"
"nmdfs_max",0.9,"2.26e-01","0.9 to 1"
"age.cat>=65",1.6,"2.57e-01","0.7 to 3.7"
"gendermale",0.7,"2.23e-01","0.3 to 1.3"
"tnm_stageII",2.9,"1.70e-01","0.6 to 13.4"
"tnm_stageIII",4.8,"4.14e-02","1.1 to 21.5"
"tnm_stageIV",11.6,"1.25e-03","2.6 to 51.2"
"nmdfs_n_decayed",1,"1.63e-01","1 to 1"
"age.cat>=65",1.6,"3.06e-01","0.7 to 3.6"
"gendermale",0.7,"2.60e-01","0.4 to 1.3"
"tnm_stageII",2.8,"1.79e-01","0.6 to 13"
"tnm_stageIII",4.7,"4.43e-02","1 to 20.9"
"tnm_stageIV",11.6,"1.25e-03","2.6 to 51.2"
"nmdfs_frac_decayed",1,"9.21e-01","0.4 to 2.6"
"age.cat>=65",1.7,"2.07e-01","0.7 to 3.9"
"gendermale",0.7,"2.11e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.10e-01","0.6 to 12.3"
"tnm_stageIII",4.5,"5.01e-02","1 to 20.1"
"tnm_stageIV",11.7,"1.22e-03","2.6 to 51.7"
"nmdfs_med",0.9,"4.56e-01","0.7 to 1.2"
