"var","hr","pval","hr_ci95"
"cyt.catmed",1.1,"7.68e-01","0.5 to 2.5"
"cyt.cathigh",1.6,"4.42e-01","0.5 to 5.2"
"age.cat>=65",1.6,"2.73e-01","0.7 to 3.7"
"gendermale",0.6,"1.22e-01","0.3 to 1.2"
"tnm_stageII",2.8,"1.82e-01","0.6 to 13.1"
"tnm_stageIII",4.8,"4.15e-02","1.1 to 21.7"
"tnm_stageIV",12.5,"9.51e-04","2.8 to 56.2"
"TMB.cathigh",1.8,"8.91e-02","0.9 to 3.5"
"PDL1.catmed",0.8,"5.72e-01","0.4 to 1.8"
"PDL1.cathigh",0.4,"1.24e-01","0.1 to 1.3"
"cyt.bool1",3.1,"1.82e-01","0.6 to 15.8"
"age.cat>=65",2.2,"2.44e-01","0.6 to 7.8"
"gendermale",0.4,"1.14e-01","0.1 to 1.2"
"tnm_stageII",3.1,"3.22e-01","0.3 to 28.8"
"tnm_stageIII",5.1,"1.37e-01","0.6 to 43.6"
"tnm_stageIV",12.5,"2.52e-02","1.4 to 114.2"
"TMB.cathigh",1.8,"2.76e-01","0.6 to 4.9"
"PDL1.catmed",0.3,"1.38e-01","0.1 to 1.4"
"PDL1.cathigh",0.1,"4.73e-02","0 to 1"
"TMB.cathigh",1.8,"9.57e-02","0.9 to 3.5"
"age.cat>=65",1.6,"2.56e-01","0.7 to 3.7"
"gendermale",0.6,"1.40e-01","0.3 to 1.2"
"tnm_stageII",2.7,"1.97e-01","0.6 to 12.6"
"tnm_stageIII",4.7,"4.46e-02","1 to 21"
"tnm_stageIV",11.9,"1.14e-03","2.7 to 53.1"
"PDL1.catmed",0.8,"6.69e-01","0.4 to 1.8"
"PDL1.cathigh",0.5,"1.73e-01","0.2 to 1.4"
"PDL1.cat0positive",1.1,"9.34e-01","0.1 to 9"
"age.cat>=65",1.6,"2.55e-01","0.7 to 3.8"
"gendermale",0.6,"1.40e-01","0.3 to 1.2"
"tnm_stageII",2.8,"1.96e-01","0.6 to 12.8"
"tnm_stageIII",4.7,"4.44e-02","1 to 21.1"
"tnm_stageIV",11.9,"1.15e-03","2.7 to 53.1"
"TMB.cathigh",1.8,"9.55e-02","0.9 to 3.5"
"PDL1.catmed",0.8,"6.63e-01","0.4 to 1.9"
"PDL1.cathigh",0.5,"1.79e-01","0.2 to 1.4"
"PDL1.catmed",0.8,"6.69e-01","0.4 to 1.8"
"PDL1.cathigh",0.5,"1.73e-01","0.2 to 1.4"
"age.cat>=65",1.6,"2.56e-01","0.7 to 3.7"
"gendermale",0.6,"1.40e-01","0.3 to 1.2"
"tnm_stageII",2.7,"1.97e-01","0.6 to 12.6"
"tnm_stageIII",4.7,"4.46e-02","1 to 21"
"tnm_stageIV",11.9,"1.14e-03","2.7 to 53.1"
"TMB.cathigh",1.8,"9.57e-02","0.9 to 3.5"
"nmdptc_mut.bool1",20061378.1,"9.96e-01","0 to Inf"
"age.cat>=65",1.7,"2.27e-01","0.7 to 3.9"
"gendermale",0.6,"2.09e-01","0.3 to 1.3"
"tnm_stageII",2.6,"2.14e-01","0.6 to 12.1"
"tnm_stageIII",4.6,"4.63e-02","1 to 20.8"
"tnm_stageIV",12,"1.07e-03","2.7 to 53.5"
"TMB.cathigh",1.8,"9.09e-02","0.9 to 3.5"
"PDL1.catmed",0.8,"5.46e-01","0.4 to 1.7"
"PDL1.cathigh",0.5,"1.40e-01","0.2 to 1.3"
"nmdfs_mut.bool1",1.5,"4.29e-01","0.5 to 4.1"
"age.cat>=65",1.6,"3.03e-01","0.7 to 3.6"
"gendermale",0.6,"1.67e-01","0.3 to 1.2"
"tnm_stageII",2.8,"1.83e-01","0.6 to 13"
"tnm_stageIII",4.7,"4.35e-02","1 to 21.2"
"tnm_stageIV",11.9,"1.13e-03","2.7 to 52.9"
"TMB.cathigh",1.6,"1.84e-01","0.8 to 3.2"
"PDL1.catmed",0.8,"6.41e-01","0.4 to 1.8"
"PDL1.cathigh",0.5,"1.63e-01","0.2 to 1.3"
"nmdns_mut.bool1",1,"9.64e-01","0.2 to 4.7"
"age.cat>=65",1.6,"2.56e-01","0.7 to 3.8"
"gendermale",0.6,"1.56e-01","0.3 to 1.2"
"tnm_stageII",2.7,"1.99e-01","0.6 to 12.6"
"tnm_stageIII",4.7,"4.47e-02","1 to 21"
"tnm_stageIV",11.9,"1.14e-03","2.7 to 53.2"
"TMB.cathigh",1.8,"9.77e-02","0.9 to 3.5"
"PDL1.catmed",0.8,"6.67e-01","0.4 to 1.8"
"PDL1.cathigh",0.5,"1.76e-01","0.2 to 1.4"
"silent",1,"4.56e-01","1 to 1"
"age.cat>=65",1.7,"2.24e-01","0.7 to 4"
"gendermale",0.6,"1.40e-01","0.3 to 1.2"
"tnm_stageII",2.7,"2.07e-01","0.6 to 12.3"
"tnm_stageIII",4.8,"4.20e-02","1.1 to 21.8"
"tnm_stageIV",12.5,"1.04e-03","2.8 to 56.2"
"TMB.cathigh",1.7,"1.45e-01","0.8 to 3.3"
"PDL1.catmed",0.8,"6.61e-01","0.4 to 1.8"
"PDL1.cathigh",0.5,"1.66e-01","0.2 to 1.3"
"missense",1,"4.38e-01","1 to 1"
"age.cat>=65",1.7,"2.21e-01","0.7 to 4"
