"var","hr","pval","hr_ci95"
"cyt.catmed",0.8,"4.76e-01","0.4 to 1.6"
"cyt.cathigh",0.7,"4.28e-01","0.3 to 1.7"
"cyt.bool1",0.7,"4.25e-01","0.3 to 1.7"
"gendermale",0.8,"4.14e-01","0.4 to 1.5"
"tnm_stageII",2.6,"2.11e-01","0.6 to 12"
"tnm_stageIII",4.7,"4.31e-02","1 to 21"
"tnm_stageIV",11.5,"1.25e-03","2.6 to 50.5"
"TMB.cathigh",1.5,"1.97e-01","0.8 to 2.9"
"PDL1.cat0positive",0.9,"8.79e-01","0.1 to 6.3"
"PDL1.catmed",0.7,"2.66e-01","0.3 to 1.4"
"PDL1.cathigh",0.5,"1.60e-01","0.2 to 1.3"
"age.cat>=65",1.7,"1.86e-01","0.8 to 4"
"nmdptc_mut.bool1",25731368,"9.97e-01","0 to Inf"
"nmdfs_mut.bool1",2.1,"1.31e-01","0.8 to 5.3"
"nmdns_mut.bool1",1,"9.85e-01","0.2 to 4.1"
"silent",1,"9.53e-01","1 to 1"
"missense",1,"9.52e-01","1 to 1"
"nonstop",1.2,"2.24e-01","0.9 to 1.6"
"nonsense",1,"9.04e-01","1 to 1"
"frameshift",1,"5.69e-01","1 to 1"
"total",1,"9.86e-01","1 to 1"
"GZMA",1,"8.11e-01","1 to 1"
"PRF1",1,"8.80e-01","0.9 to 1.1"
"cyt",1,"8.01e-01","1 to 1"
"nmdptc_max",1,"6.73e-01","0.9 to 1.1"
"nmdptc_n_decayed",1,"4.89e-01","1 to 1"
"nmdptc_frac_decayed",1.4,"5.27e-01","0.5 to 4.3"
"nmdptc_med",1.1,"4.91e-01","0.8 to 1.6"
"nmdptc_med.wt",1,"9.85e-01","0.6 to 1.7"
"nmdptc_mean",1.2,"4.48e-01","0.8 to 1.7"
"nmdptc_mean.wt",1,"9.53e-01","0.6 to 1.7"
"nmdfs_max",0.9,"1.01e-01","0.9 to 1"
"nmdfs_n_decayed",1,"7.94e-02","1 to 1"
"nmdfs_frac_decayed",0.9,"8.15e-01","0.4 to 2.2"
"nmdfs_med",0.9,"3.13e-01","0.7 to 1.1"
"nmdfs_med.wt",0.8,"1.71e-01","0.6 to 1.1"
"nmdfs_mean",0.9,"3.93e-01","0.7 to 1.2"
"nmdfs_mean.wt",0.8,"1.79e-01","0.6 to 1.1"
"nmdns_max",1,"9.46e-01","0.9 to 1.1"
"nmdns_n_decayed",1,"6.31e-01","1 to 1"
"nmdns_frac_decayed",1.5,"3.61e-01","0.6 to 3.9"
"nmdns_med",1.2,"2.11e-01","0.9 to 1.7"
"nmdns_med.wt",1.2,"3.93e-01","0.8 to 1.7"
"nmdns_mean",1.2,"2.46e-01","0.9 to 1.7"
"nmdns_mean.wt",1.2,"3.81e-01","0.8 to 1.7"
"TNFRSF4_cna",1.5,"1.93e-01","0.8 to 2.7"
"TNFRSF4_mut",0,"9.96e-01","0 to Inf"
"CNKSR1_cna",0.9,"7.59e-01","0.5 to 1.7"
"FUBP1_cna",1.1,"7.30e-01","0.6 to 2.2"
"FUBP1_mut",0,"9.97e-01","0 to Inf"
"IL10_cna",1,"9.04e-01","0.6 to 1.7"
"IRF6_cna",1,"9.03e-01","0.6 to 1.7"
"DNMT3A_cna",0.8,"6.15e-01","0.4 to 1.7"
"DNMT3A_mut",1.7,"3.07e-01","0.6 to 4.6"
"SOS1_cna",0.9,"8.14e-01","0.5 to 1.8"
"CASP8_cna",0.9,"6.79e-01","0.4 to 1.8"
"CASP8_mut",0,"9.97e-01","0 to Inf"
"CTLA4_cna",0.9,"6.79e-01","0.4 to 1.8"
"DNER_cna",1.1,"8.25e-01","0.6 to 2"
"DNER_mut",0,"9.97e-01","0 to Inf"
"PDCD1_cna",1,"8.91e-01","0.6 to 1.9"
"SLC22A14_cna",0.5,"2.38e-02","0.2 to 0.9"
"PIK3CA_cna",1,"9.41e-01","0.5 to 2.1"
"CXCL9_cna",1.1,"7.39e-01","0.6 to 2"
"CXCL9_mut",0,"9.97e-01","0 to Inf"
"CXCL10_cna",1.1,"7.39e-01","0.6 to 2"
"CXCL11_cna",1.1,"7.39e-01","0.6 to 2"
"TET2_cna",1.2,"5.74e-01","0.7 to 2.2"
"TET2_mut",1.5,"1.33e-01","0.9 to 2.5"
"IL2_cna",0.9,"8.40e-01","0.5 to 1.7"
"IRF1_cna",1.1,"7.95e-01","0.6 to 2"
"HAVCR2_cna",0.9,"7.91e-01","0.5 to 1.7"
"HAVCR2_mut",0,"9.97e-01","0 to Inf"
"TAP1_cna",1.3,"3.50e-01","0.7 to 2.4"
"TAP1_mut",1.4,"2.33e-01","0.8 to 2.4"
"IFNGR1_cna",1,"9.49e-01","0.6 to 1.8"
"MUC17_cna",1.7,"8.65e-02","0.9 to 3"
"MUC17_mut",0,"9.97e-01","0 to Inf"
"MET_cna",1.4,"2.33e-01","0.8 to 2.5"
"IDO1_cna",1,"9.51e-01","0.6 to 1.5"
"JAK2_cna",1.2,"4.83e-01","0.7 to 2.1"
"JAK2_mut",0,"9.97e-01","0 to Inf"
"CD274_cna",1.2,"5.06e-01","0.7 to 2"
"CD274_mut",0,"9.98e-01","0 to Inf"
"COL5A1_cna",1.3,"4.03e-01","0.7 to 2.2"
"COL5A1_mut",2,"1.78e-01","0.7 to 5.4"
"ARID5B_cna",1.4,"3.71e-01","0.7 to 2.9"
"ARID5B_mut",0,"9.97e-01","0 to Inf"
"OVOL1_cna",1.1,"7.21e-01","0.6 to 2.1"
"LAG3_cna",1.2,"4.93e-01","0.7 to 2.1"
"ARID2_cna",1.4,"2.55e-01","0.8 to 2.5"
"ARID2_mut",1.4,"2.86e-01","0.8 to 2.4"
"IFNG_cna",1.6,"1.07e-01","0.9 to 2.8"
"TCP11L2_cna",1.6,"1.07e-01","0.9 to 2.8"
"TCP11L2_mut",0,"9.97e-01","0 to Inf"
"B2M_cna",1.2,"4.42e-01","0.7 to 2.1"
"B2M_mut",1,"9.15e-01","0.5 to 2"
"TP53_cna",1.2,"5.18e-01","0.7 to 2.1"
"TP53_mut",0.7,"2.29e-01","0.4 to 1.2"
"TMEM88_cna",1.2,"5.50e-01","0.7 to 2.1"
"MYOCD_cna",1.1,"7.62e-01","0.6 to 1.9"
"MYOCD_mut",0,"9.97e-01","0 to Inf"
"NCOR1_cna",1.2,"5.64e-01","0.7 to 2.1"
"NCOR1_mut",0,"9.96e-01","0 to Inf"
"NF1_cna",1,"9.36e-01","0.6 to 1.6"
"NF1_mut",0,"9.97e-01","0 to Inf"
"ALPK2_cna",1.9,"3.89e-02","1 to 3.4"
"ALPK2_mut",0,"9.97e-01","0 to Inf"
"LPAR2_cna",0.8,"4.46e-01","0.4 to 1.5"
"LPAR2_mut",0,"9.97e-01","0 to Inf"
"TGFB1_cna",0.9,"8.29e-01","0.5 to 1.7"
"TGFB1_mut",0,"9.97e-01","0 to Inf"
"CIC_cna",1,"8.82e-01","0.5 to 1.7"
"CIC_mut",0,"9.97e-01","0 to Inf"
"CSNK2A1_cna",1.3,"2.32e-01","0.8 to 2"
"ASXL1_cna",0.8,"3.66e-01","0.5 to 1.3"
"ASXL1_mut",1.2,"7.38e-01","0.4 to 3.2"
"IFNGR2_cna",1.3,"4.28e-01","0.7 to 2.2"
"IFNGR2_mut",0,"9.97e-01","0 to Inf"
"EP300_cna",1,"8.93e-01","0.5 to 1.7"
"DDX3X_cna",1.3,"2.74e-01","0.8 to 2.3"
"DDX3X_mut",0,"9.98e-01","0 to Inf"
"SSX5_cna",1.6,"1.15e-01","0.9 to 2.7"
"FOXP3_cna",1.5,"1.63e-01","0.9 to 2.5"
"SMC1A_cna",1.5,"1.50e-01","0.9 to 2.6"
"SMC1A_mut",0,"9.98e-01","0 to Inf"
"MORC4_cna",1.3,"3.64e-01","0.7 to 2.4"
"CUL4B_cna",1.8,"4.28e-02","1 to 3.2"
"CUL4B_mut",0,"9.97e-01","0 to Inf"
"TMB",1,"9.57e-01","1 to 1"
"PDL1",1,"7.50e-01","1 to 1"
"silent.catmed",1.6,"2.85e-01","0.7 to 3.6"
"silent.cathigh",1.8,"1.87e-01","0.7 to 4.5"
"missense.catmed",0.8,"6.00e-01","0.4 to 1.8"
"missense.cathigh",1.5,"3.22e-01","0.7 to 3.6"
"nonsense.catmed",1.3,"5.46e-01","0.6 to 2.8"
"nonsense.cathigh",1.3,"4.96e-01","0.6 to 2.9"
"frameshift.catmed",2.6,"5.33e-02","1 to 6.9"
"frameshift.cathigh",2.5,"8.65e-02","0.9 to 7.1"
"total.catmed",1,"9.97e-01","0.4 to 2.3"
"total.cathigh",1.4,"4.53e-01","0.6 to 3.3"
"GZMA.catmed",0.8,"4.87e-01","0.4 to 1.6"
"GZMA.cathigh",0.6,"3.33e-01","0.3 to 1.6"
"PRF1.catmed",0.7,"2.94e-01","0.3 to 1.4"
"PRF1.cathigh",0.5,"1.85e-01","0.2 to 1.3"
"nmdptc_max.catmed",2.8,"3.66e-02","1.1 to 7.4"
"nmdptc_max.cathigh",2.1,"1.86e-01","0.7 to 6.3"
"nmdptc_n_decayed.catmed",1.5,"3.61e-01","0.6 to 3.4"
"nmdptc_n_decayed.cathigh",1.6,"3.08e-01","0.7 to 3.9"
"nmdptc_frac_decayed.catmed",1.6,"2.63e-01","0.7 to 3.4"
"nmdptc_frac_decayed.cathigh",1.4,"5.24e-01","0.5 to 3.6"
"nmdptc_med.catmed",3.5,"1.12e-02","1.3 to 9"
"nmdptc_med.cathigh",2.1,"2.20e-01","0.6 to 6.6"
"nmdptc_med.wt.catmed",3.3,"1.42e-02","1.3 to 8.7"
"nmdptc_med.wt.cathigh",2.4,"1.30e-01","0.8 to 7.4"
"nmdptc_mean.catmed",2.5,"4.53e-02","1 to 6.1"
"nmdptc_mean.cathigh",2,"1.99e-01","0.7 to 5.8"
"nmdptc_mean.wt.catmed",3.1,"1.36e-02","1.3 to 7.5"
"nmdptc_mean.wt.cathigh",1.4,"5.37e-01","0.5 to 4.5"
"nmdfs_max.catmed",1.6,"2.41e-01","0.7 to 3.4"
"nmdfs_max.cathigh",0.6,"3.28e-01","0.2 to 1.7"
"nmdfs_n_decayed.catmed",1.3,"4.71e-01","0.6 to 2.6"
"nmdfs_n_decayed.cathigh",0.5,"1.59e-01","0.2 to 1.3"
"nmdfs_frac_decayed.catmed",1.3,"4.74e-01","0.6 to 2.9"
"nmdfs_frac_decayed.cathigh",0.9,"7.88e-01","0.4 to 2.1"
"nmdfs_med.catmed",1.5,"3.17e-01","0.7 to 3.2"
"nmdfs_med.cathigh",0.7,"5.70e-01","0.3 to 2.1"
"nmdfs_med.wt.catmed",1.5,"2.85e-01","0.7 to 3.3"
"nmdfs_med.wt.cathigh",0.6,"3.75e-01","0.2 to 1.8"
"nmdfs_mean.catmed",1.8,"1.36e-01","0.8 to 4.1"
"nmdfs_mean.cathigh",0.9,"8.09e-01","0.3 to 2.5"
"nmdfs_mean.wt.catmed",1.3,"4.31e-01","0.6 to 2.8"
"nmdfs_mean.wt.cathigh",0.6,"2.88e-01","0.2 to 1.6"
"nmdns_max.catmed",2.2,"8.70e-02","0.9 to 5.4"
"nmdns_max.cathigh",1.4,"5.01e-01","0.5 to 4.1"
"nmdns_n_decayed.catmed",1.3,"5.51e-01","0.6 to 2.8"
"nmdns_n_decayed.cathigh",1.6,"2.82e-01","0.7 to 3.5"
"nmdns_frac_decayed.catmed",1.4,"3.76e-01","0.7 to 3"
"nmdns_frac_decayed.cathigh",1,"9.85e-01","0.4 to 2.5"
"nmdns_med.catmed",2,"1.39e-01","0.8 to 4.9"
"nmdns_med.cathigh",2.4,"8.23e-02","0.9 to 6.6"
"nmdns_med.wt.catmed",1.9,"1.56e-01","0.8 to 4.3"
"nmdns_med.wt.cathigh",1.5,"4.19e-01","0.6 to 4"
"nmdns_mean.catmed",1.6,"2.75e-01","0.7 to 3.9"
"nmdns_mean.cathigh",2.2,"1.06e-01","0.8 to 5.5"
"nmdns_mean.wt.catmed",1.8,"1.63e-01","0.8 to 4"
"nmdns_mean.wt.cathigh",1,"9.81e-01","0.4 to 2.8"
