"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"silent.cat=high",55,12,NA,"3.6 to NA","0.89 (0.81 to 0.99)","0.82 (0.72 to 0.94)","0.77 (0.65 to 0.91)","0.57 (0.36 to 0.9)"
"silent.cat=low",61,8,NA,"3.2 to NA","0.98 (0.95 to 1)","0.98 (0.95 to 1)","0.90 (0.81 to 1)","0.61 (0.4 to 0.92)"
"silent.cat=med",99,18,NA,"NA to NA","0.90 (0.84 to 0.96)","0.86 (0.79 to 0.94)","0.81 (0.73 to 0.9)","0.70 (0.55 to 0.88)"
"missense.cat=high",54,13,3.6,"3.2 to NA","0.87 (0.78 to 0.97)","0.82 (0.71 to 0.94)","0.73 (0.61 to 0.89)","0.49 (0.27 to 0.89)"
"missense.cat=low",53,9,NA,"3 to NA","0.96 (0.91 to 1)","0.96 (0.91 to 1)","0.86 (0.75 to 0.99)","0.50 (0.28 to 0.9)"
"missense.cat=med",108,16,NA,"NA to NA","0.93 (0.88 to 0.98)","0.88 (0.82 to 0.95)","0.86 (0.79 to 0.93)","0.76 (0.64 to 0.91)"
"nonsense.cat=high",62,12,NA,"3.6 to NA","0.93 (0.86 to 1)","0.84 (0.75 to 0.95)","0.79 (0.68 to 0.92)","0.56 (0.34 to 0.95)"
"nonsense.cat=low",78,12,NA,"3.2 to NA","0.96 (0.91 to 1)","0.94 (0.89 to 1)","0.88 (0.8 to 0.97)","0.62 (0.44 to 0.89)"
"nonsense.cat=med",75,14,NA,"NA to NA","0.88 (0.81 to 0.96)","0.87 (0.79 to 0.95)","0.80 (0.7 to 0.91)","0.69 (0.54 to 0.89)"
"frameshift.cat=high",54,12,NA,"3.2 to NA","0.92 (0.84 to 1)","0.85 (0.76 to 0.96)","0.80 (0.69 to 0.93)","0.56 (0.35 to 0.87)"
"frameshift.cat=low",56,5,NA,"NA to NA","0.98 (0.95 to 1)","0.98 (0.95 to 1)","0.92 (0.84 to 1)","0.78 (0.61 to 1)"
"frameshift.cat=med",105,21,NA,"3.3 to NA","0.89 (0.83 to 0.96)","0.85 (0.78 to 0.93)","0.79 (0.7 to 0.89)","0.60 (0.43 to 0.84)"
"total.cat=high",55,12,NA,"3.6 to NA","0.89 (0.81 to 0.99)","0.82 (0.71 to 0.94)","0.76 (0.64 to 0.91)","0.57 (0.36 to 0.9)"
"total.cat=low",54,9,NA,"3 to NA","0.96 (0.91 to 1)","0.96 (0.91 to 1)","0.87 (0.77 to 0.99)","0.52 (0.3 to 0.92)"
"total.cat=med",106,17,NA,"NA to NA","0.91 (0.86 to 0.97)","0.88 (0.81 to 0.95)","0.84 (0.76 to 0.92)","0.74 (0.6 to 0.89)"
"GZMA.cat=high",54,8,NA,"3.6 to NA","0.91 (0.84 to 1)","0.91 (0.84 to 1)","0.88 (0.78 to 0.99)","0.60 (0.39 to 0.94)"
"GZMA.cat=low",53,11,NA,"NA to NA","0.89 (0.8 to 0.99)","0.81 (0.71 to 0.94)","0.75 (0.63 to 0.9)","0.71 (0.58 to 0.88)"
"GZMA.cat=med",108,19,NA,"3.2 to NA","0.94 (0.9 to 0.99)","0.91 (0.85 to 0.97)","0.84 (0.76 to 0.92)","0.65 (0.49 to 0.84)"
"PRF1.cat=high",54,7,NA,"3.6 to NA","0.94 (0.88 to 1)","0.92 (0.84 to 1)","0.88 (0.79 to 0.99)","0.61 (0.35 to 1)"
"PRF1.cat=low",54,13,3.3,"3 to NA","0.90 (0.82 to 0.99)","0.88 (0.79 to 0.97)","0.80 (0.68 to 0.93)","0.42 (0.18 to 1)"
"PRF1.cat=med",107,18,NA,"NA to NA","0.92 (0.87 to 0.98)","0.88 (0.81 to 0.95)","0.82 (0.74 to 0.91)","0.72 (0.6 to 0.87)"
"cyt.cat=high",54,8,NA,"3.6 to NA","0.91 (0.84 to 1)","0.91 (0.84 to 1)","0.85 (0.75 to 0.97)","0.62 (0.39 to 0.99)"
"cyt.cat=low",54,11,NA,"NA to NA","0.87 (0.78 to 0.97)","0.82 (0.72 to 0.94)","0.76 (0.64 to 0.91)","0.72 (0.59 to 0.88)"
