"var","hr","pval","hr_ci95"
"cyt.catmed",2,"1.43e-03","1.3 to 3.1"
"cyt.cathigh",6,"3.55e-15","3.9 to 9.5"
"cyt.bool1",6.8,"7.55e-15","4.2 to 11"
"gendermale",1.2,"2.98e-01","0.9 to 1.6"
"raceasian",1917272.3,"9.94e-01","0 to Inf"
"raceblack or african american",1465661.7,"9.94e-01","0 to Inf"
"racewhite",1190252.7,"9.94e-01","0 to Inf"
"TMB.cathigh",6.9,"0.00e+00","4.9 to 9.9"
"PDL1.cat0positive",3336139.3,"9.92e-01","0 to Inf"
"PDL1.catmed",1.7,"1.20e-02","1.1 to 2.6"
"PDL1.cathigh",4.6,"1.08e-11","3 to 7.2"
"age.cat>=65",4.6,"0.00e+00","3.3 to 6.3"
"nmdptc_mut.bool1",1.5,"1.34e-01","0.9 to 2.4"
"nmdfs_mut.bool1",1.5,"9.42e-03","1.1 to 2.1"
"nmdns_mut.bool1",1.7,"7.79e-04","1.3 to 2.4"
"silent",1,"5.19e-11","1 to 1"
"missense",1,"0.00e+00","1 to 1"
"nonstop",1.7,"8.32e-02","0.9 to 3.2"
"nonsense",1.2,"4.74e-13","1.1 to 1.2"
"frameshift",1,"8.89e-03","1 to 1.1"
"total",1,"2.18e-14","1 to 1"
"GZMA",1.1,"2.31e-12","1.1 to 1.1"
"PRF1",1.1,"4.66e-15","1.1 to 1.1"
"cyt",1.2,"0.00e+00","1.1 to 1.2"
"nmdptc_max",1,"1.49e-01","1 to 1"
"nmdptc_n_decayed",1,"3.69e-02","1 to 1"
"nmdptc_frac_decayed",0.7,"3.79e-02","0.5 to 1"
"nmdptc_med",0.9,"2.03e-01","0.9 to 1"
"nmdptc_med.wt",0.9,"1.89e-01","0.9 to 1"
"nmdptc_mean",0.9,"1.86e-01","0.9 to 1"
"nmdptc_mean.wt",0.9,"1.88e-01","0.9 to 1"
"nmdfs_max",1,"4.15e-03","1 to 1"
"nmdfs_n_decayed",1,"2.24e-03","1 to 1"
"nmdfs_frac_decayed",0.8,"2.29e-01","0.6 to 1.1"
"nmdfs_med",0.9,"1.93e-02","0.9 to 1"
"nmdfs_med.wt",0.9,"1.44e-02","0.9 to 1"
"nmdfs_mean",0.9,"2.27e-02","0.9 to 1"
"nmdfs_mean.wt",0.9,"1.59e-02","0.9 to 1"
"nmdns_max",1,"2.50e-04","0.9 to 1"
"nmdns_n_decayed",1,"1.39e-04","1 to 1"
"nmdns_frac_decayed",0.6,"5.93e-04","0.4 to 0.8"
"nmdns_med",0.9,"5.99e-04","0.9 to 1"
"nmdns_med.wt",0.9,"8.04e-04","0.9 to 1"
"nmdns_mean",0.9,"6.29e-04","0.9 to 1"
"nmdns_mean.wt",0.9,"8.23e-04","0.9 to 1"
"TNFRSF4_cna",2.1,"8.89e-09","1.6 to 2.6"
"CNKSR1_cna",2.3,"1.11e-09","1.8 to 3.1"
"FUBP1_cna",2.4,"7.23e-10","1.8 to 3.2"
"FUBP1_mut",0.5,"3.39e-02","0.2 to 0.9"
"IL10_cna",1.6,"2.25e-02","1.1 to 2.3"
"IRF6_cna",1.4,"5.79e-02","1 to 2"
"DNMT3A_cna",1.2,"5.41e-01","0.7 to 1.8"
"DNMT3A_mut",0,"9.94e-01","0 to Inf"
"SOS1_cna",1.2,"4.90e-01","0.7 to 2"
"CASP8_cna",1.2,"4.62e-01","0.7 to 2.1"
"CTLA4_cna",1.2,"4.62e-01","0.7 to 2.1"
"DNER_cna",1.4,"1.07e-01","0.9 to 2.1"
"PDCD1_cna",1.3,"1.13e-01","0.9 to 1.7"
"SLC22A14_cna",1.2,"4.43e-01","0.8 to 1.7"
"PIK3CA_cna",1.5,"1.38e-02","1.1 to 2.1"
"PIK3CA_mut",0.5,"1.99e-01","0.1 to 1.5"
"CXCL9_cna",1.4,"5.14e-02","1 to 1.9"
"CXCL10_cna",1.4,"5.14e-02","1 to 1.9"
"CXCL11_cna",1.4,"5.14e-02","1 to 1.9"
"TET2_cna",1.5,"7.84e-03","1.1 to 2.1"
"IL2_cna",1.4,"2.61e-02","1 to 1.8"
"IRF1_cna",1.1,"6.99e-01","0.7 to 1.5"
"HAVCR2_cna",0.9,"5.71e-01","0.7 to 1.3"
"TAP1_cna",0.5,"5.57e-05","0.3 to 0.7"
"IFNGR1_cna",0.5,"3.70e-05","0.4 to 0.7"
"MUC17_cna",2.3,"3.84e-13","1.9 to 2.9"
"MET_cna",2.1,"6.99e-11","1.7 to 2.5"
"MET_mut",0,"9.92e-01","0 to Inf"
"IDO1_cna",0.8,"2.28e-01","0.5 to 1.2"
"JAK2_cna",0.7,"1.17e-02","0.6 to 0.9"
"JAK2_mut",0,"9.94e-01","0 to Inf"
"CD274_cna",0.7,"7.25e-03","0.6 to 0.9"
"COL5A1_cna",0.8,"1.30e-01","0.6 to 1.1"
"ARID5B_cna",0.1,"0.00e+00","0.1 to 0.2"
"ARID5B_mut",0,"9.92e-01","0 to Inf"
"OVOL1_cna",0.5,"2.18e-04","0.3 to 0.7"
"LAG3_cna",0.9,"3.28e-01","0.7 to 1.1"
"ARID2_cna",1.4,"9.43e-02","0.9 to 2"
"ARID2_mut",1.1,"8.45e-01","0.5 to 2.2"
"IFNG_cna",1.3,"1.27e-01","0.9 to 1.8"
"TCP11L2_cna",1.5,"1.99e-02","1.1 to 2.1"
"B2M_cna",0.6,"7.41e-03","0.5 to 0.9"
"B2M_mut",3.6,"1.10e-02","1.3 to 9.9"
"TP53_cna",0.6,"6.54e-03","0.5 to 0.9"
"TP53_mut",0.9,"5.50e-01","0.7 to 1.2"
"TMEM88_cna",0.7,"3.36e-02","0.5 to 1"
"MYOCD_cna",0.7,"9.86e-02","0.4 to 1.1"
"NCOR1_cna",0.6,"4.10e-02","0.4 to 1"
"NF1_cna",0.8,"2.31e-01","0.5 to 1.2"
"NF1_mut",1.2,"2.63e-03","1.1 to 1.4"
"ALPK2_cna",1.5,"4.77e-03","1.1 to 1.9"
"ALPK2_mut",2,"1.75e-01","0.7 to 5.3"
"LPAR2_cna",1.1,"2.97e-01","0.9 to 1.5"
"TGFB1_cna",1.8,"1.98e-09","1.5 to 2.3"
"CIC_cna",1.9,"4.00e-10","1.6 to 2.3"
"CIC_mut",0.7,"5.27e-02","0.5 to 1"
"CSNK2A1_cna",3,"3.66e-12","2.2 to 4.1"
"ASXL1_cna",3.3,"3.99e-13","2.4 to 4.6"
"IFNGR2_cna",1.7,"6.62e-03","1.2 to 2.5"
"EP300_cna",0.7,"1.27e-03","0.5 to 0.9"
"DDX3X_cna",1,"8.49e-01","0.7 to 1.3"
"SSX5_cna",0.9,"6.78e-01","0.7 to 1.2"
"FOXP3_cna",0.9,"6.51e-01","0.7 to 1.2"
"SMC1A_cna",0.9,"4.94e-01","0.7 to 1.2"
"MORC4_cna",0.7,"1.13e-02","0.6 to 0.9"
"CUL4B_cna",0.7,"2.70e-02","0.6 to 1"
"TMB",1.4,"1.11e-16","1.3 to 1.5"
"PDL1",1,"1.96e-12","1 to 1"
"silent.catmed",3.6,"9.36e-08","2.2 to 5.7"
"silent.cathigh",10.1,"0.00e+00","6.1 to 16.5"
"missense.catmed",4.7,"2.01e-07","2.6 to 8.4"
"missense.cathigh",15.8,"0.00e+00","8.6 to 28.8"
"nonsense.catmed",2.1,"8.41e-04","1.4 to 3.3"
"nonsense.cathigh",4.6,"1.02e-11","3 to 7.2"
"frameshift.catmed",1.8,"2.05e-03","1.3 to 2.7"
"frameshift.cathigh",2.1,"4.02e-06","1.5 to 3"
"total.catmed",4.3,"1.50e-07","2.5 to 7.4"
"total.cathigh",14,"0.00e+00","7.9 to 24.7"
"GZMA.catmed",1.6,"1.72e-02","1.1 to 2.4"
"GZMA.cathigh",4,"2.09e-10","2.6 to 6"
"PRF1.catmed",2.4,"9.32e-05","1.6 to 3.8"
"PRF1.cathigh",6.7,"1.22e-15","4.2 to 10.7"
"nmdptc_max.catmed",1.3,"1.18e-01","0.9 to 1.9"
"nmdptc_max.cathigh",1.2,"5.12e-01","0.8 to 1.8"
"nmdptc_n_decayed.catmed",1.4,"8.24e-02","1 to 2"
"nmdptc_n_decayed.cathigh",1.4,"6.62e-02","1 to 1.9"
"nmdptc_frac_decayed.catmed",1.6,"1.28e-02","1.1 to 2.3"
"nmdptc_frac_decayed.cathigh",0.7,"3.51e-02","0.5 to 1"
"nmdptc_med.catmed",0.9,"5.08e-01","0.6 to 1.3"
"nmdptc_med.cathigh",0.9,"4.76e-01","0.6 to 1.3"
"nmdptc_med.wt.catmed",0.9,"6.35e-01","0.7 to 1.3"
"nmdptc_med.wt.cathigh",0.7,"4.70e-02","0.4 to 1"
