"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"silent.cat=high",109,76,1.2,"1 to 1.5","0.76 (0.69 to 0.85)","0.59 (0.5 to 0.7)","0.29 (0.21 to 0.41)","0.06 (0.02 to 0.2)"
"silent.cat=low",117,23,7.3,"6.5 to NA","0.98 (0.95 to 1)","0.98 (0.95 to 1)","0.94 (0.89 to 0.99)","0.76 (0.65 to 0.9)"
"silent.cat=med",206,91,3.1,"2.2 to 4.2","0.92 (0.88 to 0.96)","0.83 (0.78 to 0.89)","0.59 (0.52 to 0.67)","0.35 (0.26 to 0.47)"
"missense.cat=high",118,89,1.2,"1.1 to 1.5","0.79 (0.72 to 0.87)","0.63 (0.54 to 0.73)","0.25 (0.17 to 0.35)","0.03 (0.01 to 0.17)"
"missense.cat=low",109,14,11.1,"9.5 to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.97 (0.92 to 1)","0.78 (0.65 to 0.94)"
"missense.cat=med",205,87,4.1,"3.1 to 5.3","0.90 (0.86 to 0.95)","0.82 (0.77 to 0.88)","0.66 (0.59 to 0.74)","0.43 (0.34 to 0.55)"
"nonsense.cat=high",132,84,1.4,"1.2 to 1.8","0.83 (0.76 to 0.9)","0.66 (0.58 to 0.75)","0.37 (0.29 to 0.48)","0.17 (0.1 to 0.29)"
"nonsense.cat=low",109,27,7.3,"5.2 to 10.9","0.98 (0.95 to 1)","0.98 (0.95 to 1)","0.90 (0.84 to 0.97)","0.66 (0.52 to 0.83)"
"nonsense.cat=med",191,79,3.4,"2.6 to 5.3","0.89 (0.85 to 0.94)","0.81 (0.75 to 0.87)","0.61 (0.53 to 0.7)","0.38 (0.29 to 0.51)"
"frameshift.cat=high",119,72,1.8,"1.4 to 2.6","0.82 (0.75 to 0.89)","0.76 (0.69 to 0.85)","0.48 (0.39 to 0.59)","0.25 (0.16 to 0.38)"
"frameshift.cat=low",232,80,4.3,"3.7 to 7.9","0.93 (0.9 to 0.97)","0.85 (0.8 to 0.9)","0.71 (0.65 to 0.78)","0.50 (0.4 to 0.61)"
"frameshift.cat=med",81,38,1.7,"1.5 to 4.2","0.89 (0.82 to 0.96)","0.74 (0.64 to 0.86)","0.48 (0.36 to 0.64)","0.28 (0.17 to 0.47)"
"total.cat=high",110,83,1.2,"1.1 to 1.5","0.78 (0.7 to 0.86)","0.63 (0.54 to 0.73)","0.25 (0.17 to 0.36)","0.03 (0 to 0.16)"
"total.cat=low",111,16,9.5,"7.3 to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.97 (0.94 to 1)","0.80 (0.68 to 0.95)"
"total.cat=med",211,91,3.7,"2.8 to 5.2","0.91 (0.87 to 0.95)","0.82 (0.76 to 0.87)","0.63 (0.56 to 0.71)","0.40 (0.31 to 0.52)"
