"var","hr","pval","hr_ci95"
"cyt.catmed",0.9,"7.30e-01","0.6 to 1.4"
"cyt.cathigh",0.7,"2.17e-01","0.4 to 1.2"
"age.cat>=65",1.7,"6.93e-03","1.2 to 2.4"
"gendermale",0.8,"1.99e-01","0.5 to 1.1"
"tnm_stageII",1.7,"3.86e-01","0.5 to 5.8"
"tnm_stageIII",2,"2.80e-01","0.6 to 6.8"
"tnm_stageIV",2.8,"8.29e-02","0.9 to 8.8"
"cyt.bool1",0.7,"2.78e-01","0.4 to 1.3"
"age.cat>=65",2.3,"3.90e-03","1.3 to 4"
"gendermale",1.2,"5.10e-01","0.7 to 2.3"
"tnm_stageII",2.2,"4.56e-01","0.3 to 17.1"
"tnm_stageIII",3,"3.01e-01","0.4 to 23.7"
"tnm_stageIV",3.5,"2.20e-01","0.5 to 26"
"TMB.cathigh",0.9,"6.36e-01","0.6 to 1.3"
"age.cat>=65",1.6,"9.25e-03","1.1 to 2.4"
"gendermale",0.8,"2.53e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.84e-01","0.5 to 5.8"
"tnm_stageIII",2,"2.59e-01","0.6 to 6.9"
"tnm_stageIV",2.9,"7.28e-02","0.9 to 9.2"
"PDL1.catmed",0.8,"3.43e-01","0.5 to 1.3"
"PDL1.cathigh",1.1,"6.73e-01","0.7 to 1.8"
"age.cat>=65",1.5,"2.17e-02","1.1 to 2.2"
"gendermale",0.7,"1.46e-01","0.5 to 1.1"
"tnm_stageII",1.9,"3.11e-01","0.6 to 6.4"
"tnm_stageIII",2.3,"1.99e-01","0.7 to 7.9"
"tnm_stageIV",3.2,"5.02e-02","1 to 10.3"
"nmdptc_mut.bool1",2,"3.47e-01","0.5 to 8.3"
"age.cat>=65",1.6,"1.30e-02","1.1 to 2.3"
"gendermale",0.8,"1.95e-01","0.5 to 1.1"
"tnm_stageII",1.7,"4.01e-01","0.5 to 5.7"
"tnm_stageIII",2.1,"2.51e-01","0.6 to 7"
"tnm_stageIV",2.9,"7.14e-02","0.9 to 9.2"
"nmdfs_mut.bool1",1.4,"2.47e-01","0.8 to 2.5"
"age.cat>=65",1.6,"7.92e-03","1.1 to 2.4"
"gendermale",0.8,"1.91e-01","0.5 to 1.1"
"tnm_stageII",1.6,"4.35e-01","0.5 to 5.5"
"tnm_stageIII",2,"2.59e-01","0.6 to 6.9"
"tnm_stageIV",2.8,"7.95e-02","0.9 to 8.9"
"nmdns_mut.bool1",1.1,"7.80e-01","0.5 to 2.3"
"age.cat>=65",1.6,"1.22e-02","1.1 to 2.3"
"gendermale",0.8,"2.33e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.88e-01","0.5 to 5.8"
"tnm_stageIII",2.1,"2.52e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.54e-02","0.9 to 9"
"silent",1,"1.08e-01","1 to 1"
"age.cat>=65",1.7,"3.99e-03","1.2 to 2.5"
"gendermale",0.8,"2.66e-01","0.5 to 1.2"
"tnm_stageII",1.7,"4.11e-01","0.5 to 5.6"
"tnm_stageIII",1.9,"2.89e-01","0.6 to 6.7"
"tnm_stageIV",2.9,"7.54e-02","0.9 to 9.1"
"missense",1,"1.18e-01","1 to 1"
"age.cat>=65",1.7,"4.44e-03","1.2 to 2.5"
"gendermale",0.8,"2.66e-01","0.5 to 1.2"
"tnm_stageII",1.7,"4.13e-01","0.5 to 5.6"
"tnm_stageIII",2,"2.86e-01","0.6 to 6.7"
"tnm_stageIV",2.9,"7.51e-02","0.9 to 9.1"
"nonstop",1.5,"3.34e-02","1 to 2.1"
"age.cat>=65",1.6,"1.36e-02","1.1 to 2.3"
"gendermale",0.8,"2.73e-01","0.5 to 1.2"
"tnm_stageII",1.9,"3.03e-01","0.6 to 6.4"
"tnm_stageIII",2.2,"2.07e-01","0.6 to 7.6"
"tnm_stageIV",3.1,"5.50e-02","1 to 9.9"
"nonsense",1,"1.43e-01","1 to 1"
"age.cat>=65",1.7,"4.55e-03","1.2 to 2.5"
"gendermale",0.8,"2.30e-01","0.5 to 1.2"
"tnm_stageII",1.7,"4.13e-01","0.5 to 5.6"
"tnm_stageIII",2,"2.84e-01","0.6 to 6.7"
"tnm_stageIV",2.8,"7.82e-02","0.9 to 8.9"
"frameshift",1,"1.86e-01","1 to 1"
"age.cat>=65",1.6,"1.19e-02","1.1 to 2.3"
"gendermale",0.8,"2.67e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.89e-01","0.5 to 5.8"
"tnm_stageIII",2,"2.55e-01","0.6 to 7"
"tnm_stageIV",2.8,"8.10e-02","0.9 to 8.9"
"total",1,"1.47e-01","1 to 1"
