"var","hr","pval","hr_ci95"
"cyt.catmed",0.9,"6.93e-01","0.6 to 1.4"
"cyt.cathigh",0.7,"2.62e-01","0.4 to 1.3"
"age.cat>=65",1.6,"1.49e-02","1.1 to 2.4"
"gendermale",0.7,"1.30e-01","0.5 to 1.1"
"tnm_stageII",1.9,"3.03e-01","0.6 to 6.5"
"tnm_stageIII",2.2,"2.10e-01","0.6 to 7.7"
"tnm_stageIV",3.2,"5.18e-02","1 to 10.2"
"TMB.cathigh",0.9,"6.61e-01","0.6 to 1.3"
"PDL1.catmed",0.9,"5.41e-01","0.5 to 1.4"
"PDL1.cathigh",1.2,"5.42e-01","0.7 to 2"
"cyt.bool1",0.9,"6.46e-01","0.5 to 1.6"
"age.cat>=65",2.2,"7.01e-03","1.2 to 3.8"
"gendermale",1.2,"5.21e-01","0.7 to 2.3"
"tnm_stageII",2.4,"4.13e-01","0.3 to 19.1"
"tnm_stageIII",3.7,"2.22e-01","0.5 to 30"
"tnm_stageIV",4,"1.80e-01","0.5 to 30.1"
"TMB.cathigh",1.3,"3.81e-01","0.7 to 2.2"
"PDL1.catmed",0.6,"1.23e-01","0.3 to 1.2"
"PDL1.cathigh",1,"9.04e-01","0.5 to 2.3"
"TMB.cathigh",0.9,"6.59e-01","0.6 to 1.3"
"age.cat>=65",1.6,"1.95e-02","1.1 to 2.3"
"gendermale",0.7,"1.52e-01","0.5 to 1.1"
"tnm_stageII",1.9,"3.08e-01","0.6 to 6.4"
"tnm_stageIII",2.3,"2.02e-01","0.6 to 7.8"
"tnm_stageIV",3.2,"4.76e-02","1 to 10.4"
"PDL1.catmed",0.8,"3.41e-01","0.5 to 1.3"
"PDL1.cathigh",1.1,"6.82e-01","0.7 to 1.8"
"PDL1.catmed",0.8,"3.41e-01","0.5 to 1.3"
"PDL1.cathigh",1.1,"6.82e-01","0.7 to 1.8"
"age.cat>=65",1.6,"1.95e-02","1.1 to 2.3"
"gendermale",0.7,"1.52e-01","0.5 to 1.1"
"tnm_stageII",1.9,"3.08e-01","0.6 to 6.4"
"tnm_stageIII",2.3,"2.02e-01","0.6 to 7.8"
"tnm_stageIV",3.2,"4.76e-02","1 to 10.4"
"TMB.cathigh",0.9,"6.59e-01","0.6 to 1.3"
"nmdptc_mut.bool1",2,"3.54e-01","0.5 to 8.5"
"age.cat>=65",1.6,"2.24e-02","1.1 to 2.3"
"gendermale",0.7,"1.23e-01","0.5 to 1.1"
"tnm_stageII",1.9,"3.19e-01","0.5 to 6.3"
"tnm_stageIII",2.3,"1.97e-01","0.7 to 7.9"
"tnm_stageIV",3.3,"4.37e-02","1 to 10.7"
"TMB.cathigh",0.9,"5.36e-01","0.6 to 1.3"
"PDL1.catmed",0.8,"3.95e-01","0.5 to 1.3"
"PDL1.cathigh",1.1,"6.62e-01","0.7 to 1.9"
"nmdfs_mut.bool1",1.4,"2.58e-01","0.8 to 2.5"
"age.cat>=65",1.6,"1.40e-02","1.1 to 2.3"
"gendermale",0.7,"1.23e-01","0.5 to 1.1"
"tnm_stageII",1.8,"3.50e-01","0.5 to 6.1"
"tnm_stageIII",2.2,"2.05e-01","0.6 to 7.8"
"tnm_stageIV",3.2,"4.88e-02","1 to 10.4"
"TMB.cathigh",0.9,"5.22e-01","0.6 to 1.3"
"PDL1.catmed",0.8,"3.68e-01","0.5 to 1.3"
"PDL1.cathigh",1.1,"7.22e-01","0.7 to 1.8"
"nmdns_mut.bool1",1.2,"6.86e-01","0.6 to 2.5"
"age.cat>=65",1.6,"2.27e-02","1.1 to 2.3"
"gendermale",0.7,"1.42e-01","0.5 to 1.1"
"tnm_stageII",1.9,"3.05e-01","0.6 to 6.5"
"tnm_stageIII",2.3,"1.94e-01","0.7 to 8"
"tnm_stageIV",3.3,"4.54e-02","1 to 10.6"
"TMB.cathigh",0.9,"6.00e-01","0.6 to 1.3"
"PDL1.catmed",0.8,"3.38e-01","0.5 to 1.3"
"PDL1.cathigh",1.1,"6.87e-01","0.7 to 1.8"
"silent",1,"1.04e-01","1 to 1"
"age.cat>=65",1.7,"9.00e-03","1.1 to 2.4"
"gendermale",0.7,"1.46e-01","0.5 to 1.1"
"tnm_stageII",1.8,"3.27e-01","0.5 to 6.3"
"tnm_stageIII",2.2,"2.17e-01","0.6 to 7.6"
"tnm_stageIV",3.2,"5.27e-02","1 to 10.2"
"TMB.cathigh",1.2,"4.86e-01","0.7 to 1.8"
"PDL1.catmed",0.8,"3.82e-01","0.5 to 1.3"
"PDL1.cathigh",1.1,"6.03e-01","0.7 to 1.9"
"missense",1,"1.27e-01","1 to 1"
"age.cat>=65",1.6,"1.02e-02","1.1 to 2.4"
"gendermale",0.7,"1.54e-01","0.5 to 1.1"
"tnm_stageII",1.8,"3.34e-01","0.5 to 6.2"
"tnm_stageIII",2.2,"2.18e-01","0.6 to 7.6"
"tnm_stageIV",3.1,"5.44e-02","1 to 10.1"
"TMB.cathigh",1.2,"5.16e-01","0.7 to 1.8"
"PDL1.catmed",0.8,"4.33e-01","0.5 to 1.3"
"PDL1.cathigh",1.1,"5.88e-01","0.7 to 1.9"
"nonstop",1.5,"1.65e-02","1.1 to 2.2"
"age.cat>=65",1.5,"2.55e-02","1.1 to 2.2"
"gendermale",0.7,"1.61e-01","0.5 to 1.1"
"tnm_stageII",2.2,"2.15e-01","0.6 to 7.5"
"tnm_stageIII",2.5,"1.50e-01","0.7 to 8.8"
"tnm_stageIV",3.7,"2.80e-02","1.2 to 12"
"TMB.cathigh",0.9,"4.90e-01","0.6 to 1.3"
"PDL1.catmed",0.8,"2.41e-01","0.5 to 1.2"
"PDL1.cathigh",1.1,"7.05e-01","0.7 to 1.8"
"nonsense",1,"1.43e-01","1 to 1"
"age.cat>=65",1.6,"1.02e-02","1.1 to 2.4"
"gendermale",0.7,"1.26e-01","0.5 to 1.1"
"tnm_stageII",1.8,"3.29e-01","0.5 to 6.3"
"tnm_stageIII",2.2,"2.14e-01","0.6 to 7.7"
"tnm_stageIV",3.1,"5.50e-02","1 to 10.1"
"TMB.cathigh",1.1,"6.05e-01","0.7 to 1.7"
"PDL1.catmed",0.8,"4.14e-01","0.5 to 1.3"
"PDL1.cathigh",1.2,"5.47e-01","0.7 to 1.9"
"frameshift",1,"8.73e-02","1 to 1"
"age.cat>=65",1.6,"2.07e-02","1.1 to 2.3"
"gendermale",0.8,"1.73e-01","0.5 to 1.1"
"tnm_stageII",1.9,"2.93e-01","0.6 to 6.6"
"tnm_stageIII",2.3,"1.92e-01","0.7 to 8"
"tnm_stageIV",3.3,"4.53e-02","1 to 10.6"
"TMB.cathigh",0.9,"4.45e-01","0.6 to 1.3"
"PDL1.catmed",0.8,"3.12e-01","0.5 to 1.2"
"PDL1.cathigh",1.1,"6.32e-01","0.7 to 1.9"
"total",1,"1.62e-01","1 to 1"
"age.cat>=65",1.6,"1.09e-02","1.1 to 2.4"
"gendermale",0.7,"1.53e-01","0.5 to 1.1"
"tnm_stageII",1.8,"3.38e-01","0.5 to 6.2"
"tnm_stageIII",2.2,"2.22e-01","0.6 to 7.6"
"tnm_stageIV",3.1,"5.55e-02","1 to 10"
"TMB.cathigh",1.1,"5.86e-01","0.7 to 1.8"
"PDL1.catmed",0.8,"4.10e-01","0.5 to 1.3"
"PDL1.cathigh",1.1,"6.04e-01","0.7 to 1.9"
"GZMA",1,"5.55e-01","1 to 1"
"age.cat>=65",1.6,"1.79e-02","1.1 to 2.3"
"gendermale",0.7,"1.39e-01","0.5 to 1.1"
"tnm_stageII",1.9,"2.98e-01","0.6 to 6.5"
"tnm_stageIII",2.3,"2.02e-01","0.6 to 7.8"
"tnm_stageIV",3.2,"5.01e-02","1 to 10.3"
"TMB.cathigh",0.9,"6.72e-01","0.6 to 1.3"
"PDL1.catmed",0.8,"4.25e-01","0.5 to 1.3"
"PDL1.cathigh",1.1,"6.26e-01","0.7 to 1.9"
"PRF1",1,"1.07e-01","1 to 1"
"age.cat>=65",1.6,"1.50e-02","1.1 to 2.3"
"gendermale",0.7,"1.13e-01","0.5 to 1.1"
"tnm_stageII",1.9,"3.01e-01","0.6 to 6.5"
"tnm_stageIII",2.2,"2.16e-01","0.6 to 7.6"
"tnm_stageIV",3.2,"5.20e-02","1 to 10.2"
"TMB.cathigh",0.9,"5.58e-01","0.6 to 1.3"
"PDL1.catmed",0.9,"6.06e-01","0.6 to 1.4"
"PDL1.cathigh",1.2,"4.79e-01","0.7 to 2"
"cyt",1,"2.63e-01","1 to 1"
"age.cat>=65",1.6,"1.55e-02","1.1 to 2.3"
"gendermale",0.7,"1.28e-01","0.5 to 1.1"
"tnm_stageII",1.9,"2.93e-01","0.6 to 6.6"
"tnm_stageIII",2.2,"2.07e-01","0.6 to 7.8"
"tnm_stageIV",3.2,"5.25e-02","1 to 10.2"
"TMB.cathigh",0.9,"6.45e-01","0.6 to 1.3"
"PDL1.catmed",0.9,"5.25e-01","0.5 to 1.4"
"PDL1.cathigh",1.2,"5.43e-01","0.7 to 2"
"nmdptc_max",1.1,"3.53e-01","0.9 to 1.2"
"age.cat>=65",1.6,"1.80e-02","1.1 to 2.3"
"gendermale",0.8,"1.95e-01","0.5 to 1.1"
