"var","hr","pval","hr_ci95"
"cyt.catmed",0.8,"3.44e-01","0.6 to 1.2"
"cyt.cathigh",0.7,"2.06e-01","0.5 to 1.2"
"cyt.bool1",0.7,"2.08e-01","0.5 to 1.2"
"gendermale",0.7,"7.03e-02","0.5 to 1"
"raceasian",2726230.8,"9.95e-01","0 to Inf"
"raceblack or african american",4183788.7,"9.95e-01","0 to Inf"
"racewhite",3243819.2,"9.95e-01","0 to Inf"
"tnm_stageII",1.9,"2.93e-01","0.6 to 6.4"
"tnm_stageIII",1.9,"2.93e-01","0.6 to 6.6"
"tnm_stageIV",2.7,"9.23e-02","0.8 to 8.5"
"TMB.cathigh",1.1,"6.29e-01","0.8 to 1.5"
"PDL1.catmed",0.9,"7.07e-01","0.6 to 1.4"
"PDL1.cathigh",1.1,"8.09e-01","0.7 to 1.7"
"age.cat>=65",1.5,"1.38e-02","1.1 to 2.1"
"nmdptc_mut.bool1",1.6,"5.09e-01","0.4 to 6.6"
"nmdfs_mut.bool1",1.1,"6.29e-01","0.7 to 2"
"nmdns_mut.bool1",1.1,"8.47e-01","0.6 to 2"
"silent",1,"4.44e-01","1 to 1"
"missense",1,"5.01e-01","1 to 1"
"nonstop",1.4,"7.96e-02","1 to 1.9"
"nonsense",1,"5.78e-01","1 to 1"
"frameshift",1,"9.49e-02","1 to 1"
"total",1,"5.53e-01","1 to 1"
"GZMA",1,"6.39e-01","1 to 1"
"PRF1",1,"1.47e-01","1 to 1"
"cyt",1,"3.44e-01","1 to 1"
"nmdptc_max",1.1,"1.74e-01","1 to 1.2"
"nmdptc_n_decayed",1,"9.73e-01","1 to 1"
"nmdptc_frac_decayed",2,"2.58e-02","1.1 to 3.6"
"nmdptc_med",1.1,"2.15e-01","0.9 to 1.4"
"nmdptc_med.wt",1,"9.78e-01","0.7 to 1.4"
"nmdptc_mean",1.1,"1.63e-01","0.9 to 1.4"
"nmdptc_mean.wt",1,"9.57e-01","0.7 to 1.4"
"nmdfs_max",1,"2.93e-01","1 to 1.1"
"nmdfs_n_decayed",1,"9.05e-01","1 to 1"
"nmdfs_frac_decayed",1.5,"7.57e-02","1 to 2.5"
"nmdfs_med",1.1,"3.74e-01","0.9 to 1.2"
"nmdfs_med.wt",1.1,"5.28e-01","0.9 to 1.2"
"nmdfs_mean",1.1,"2.88e-01","0.9 to 1.2"
"nmdfs_mean.wt",1.1,"4.84e-01","0.9 to 1.2"
"nmdns_max",1.1,"2.38e-01","1 to 1.1"
"nmdns_n_decayed",1,"9.41e-01","1 to 1"
"nmdns_frac_decayed",1.7,"5.85e-02","1 to 2.8"
"nmdns_med",1.1,"2.46e-01","0.9 to 1.2"
"nmdns_med.wt",1.1,"5.03e-01","0.9 to 1.3"
"nmdns_mean",1.1,"1.83e-01","1 to 1.3"
"nmdns_mean.wt",1.1,"4.92e-01","0.9 to 1.3"
"TNFRSF4_cna",0.9,"5.64e-01","0.7 to 1.2"
"TNFRSF4_mut",0.7,"4.76e-01","0.3 to 1.9"
"CNKSR1_cna",0.8,"1.16e-01","0.6 to 1.1"
"FUBP1_cna",0.9,"4.67e-01","0.7 to 1.2"
"FUBP1_mut",0,"9.94e-01","0 to Inf"
"IL10_cna",1.1,"4.15e-01","0.8 to 1.5"
"IRF6_cna",1.1,"4.80e-01","0.8 to 1.5"
"IRF6_mut",16.2,"6.83e-03","2.2 to 121.7"
"DNMT3A_cna",0.8,"3.12e-01","0.6 to 1.2"
"SOS1_cna",0.9,"4.76e-01","0.6 to 1.2"
"SOS1_mut",2.1,"1.44e-01","0.8 to 5.6"
"CASP8_cna",1.1,"4.10e-01","0.9 to 1.4"
"CASP8_mut",1,"8.81e-01","0.6 to 1.8"
"CTLA4_cna",1,"8.82e-01","0.8 to 1.3"
"CTLA4_mut",0,"9.95e-01","0 to Inf"
"DNER_cna",0.9,"4.74e-01","0.7 to 1.2"
"PDCD1_cna",0.9,"4.26e-01","0.7 to 1.2"
"SLC22A14_cna",0.4,"1.41e-04","0.3 to 0.7"
"PIK3CA_cna",1.1,"3.31e-01","0.9 to 1.4"
"PIK3CA_mut",6.1,"7.36e-02","0.8 to 44.5"
"CXCL9_cna",0.9,"4.48e-01","0.7 to 1.2"
