"var","hr","pval","hr_ci95"
"cyt.catmed",1.8,"1.35e-02","1.1 to 2.9"
"cyt.cathigh",1.8,"2.34e-02","1.1 to 2.9"
"age.cat>=65",1.9,"5.39e-05","1.4 to 2.5"
"gendermale",0.8,"1.07e-01","0.6 to 1.1"
"tnm_stageII",1.2,"5.62e-01","0.6 to 2.3"
"tnm_stageIII",2.7,"1.24e-06","1.8 to 4.1"
"tnm_stageIV",8.7,"0.00e+00","5.8 to 12.9"
"cyt.bool1",1.6,"5.57e-02","1 to 2.7"
"age.cat>=65",1.7,"2.10e-02","1.1 to 2.7"
"gendermale",0.7,"1.06e-01","0.4 to 1.1"
"tnm_stageII",0.6,"3.88e-01","0.2 to 1.8"
"tnm_stageIII",2.4,"5.87e-03","1.3 to 4.5"
"tnm_stageIV",9.7,"5.54e-14","5.4 to 17.5"
"TMB.cathigh",1,"7.96e-01","0.8 to 1.4"
"age.cat>=65",1.8,"1.45e-04","1.3 to 2.5"
"gendermale",0.8,"1.20e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.10e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.62e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"PDL1.cat0positive",1642769.2,"9.94e-01","0 to Inf"
"age.cat>=65",1.8,"7.52e-05","1.4 to 2.5"
"gendermale",0.8,"1.27e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.20e-01","0.6 to 2"
"tnm_stageIII",2.6,"3.20e-06","1.7 to 3.9"
"tnm_stageIV",8.8,"0.00e+00","5.9 to 13"
"PDL1.catmed",0.8,"1.79e-01","0.6 to 1.1"
"PDL1.cathigh",0.5,"1.25e-03","0.3 to 0.8"
"age.cat>=65",1.8,"3.38e-04","1.3 to 2.4"
"gendermale",0.7,"3.44e-02","0.5 to 1"
"tnm_stageII",1.1,"7.99e-01","0.6 to 2"
"tnm_stageIII",2.7,"1.27e-06","1.8 to 4.1"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"nmdptc_mut.bool1",0.9,"5.92e-01","0.5 to 1.4"
"age.cat>=65",1.8,"9.42e-05","1.4 to 2.5"
"gendermale",0.8,"1.18e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.96e-01","0.6 to 2"
"tnm_stageIII",2.7,"2.25e-06","1.8 to 4"
"tnm_stageIV",8.8,"0.00e+00","5.9 to 13.1"
"nmdfs_mut.bool1",0.6,"1.43e-02","0.4 to 0.9"
"age.cat>=65",1.8,"1.83e-04","1.3 to 2.4"
"gendermale",0.8,"1.11e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.32e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.62e-06","1.8 to 3.9"
"tnm_stageIV",8.7,"0.00e+00","5.8 to 12.9"
"nmdns_mut.bool1",1.1,"4.39e-01","0.8 to 1.6"
"age.cat>=65",1.8,"8.99e-05","1.4 to 2.5"
"gendermale",0.8,"1.06e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.66e-01","0.6 to 2.1"
"tnm_stageIII",2.6,"2.42e-06","1.8 to 4"
"tnm_stageIV",9,"0.00e+00","6.1 to 13.4"
"silent",1,"5.86e-01","1 to 1"
"age.cat>=65",1.8,"1.29e-04","1.3 to 2.5"
"gendermale",0.8,"1.18e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.53e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.49e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"missense",1,"2.62e-01","1 to 1"
"age.cat>=65",1.8,"1.82e-04","1.3 to 2.4"
"gendermale",0.8,"1.12e-01","0.6 to 1.1"
"tnm_stageII",1,"9.12e-01","0.5 to 2"
"tnm_stageIII",2.6,"2.63e-06","1.8 to 3.9"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"nonstop",1.3,"7.91e-01","0.2 to 9.4"
"age.cat>=65",1.8,"7.80e-05","1.4 to 2.5"
"gendermale",0.8,"1.19e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.87e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.38e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"nonsense",1,"5.35e-01","1 to 1.1"
"age.cat>=65",1.8,"1.30e-04","1.3 to 2.5"
"gendermale",0.8,"1.10e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.21e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.64e-06","1.8 to 3.9"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"frameshift",1,"1.36e-01","0.9 to 1"
"age.cat>=65",1.9,"3.68e-05","1.4 to 2.6"
"gendermale",0.8,"1.12e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.44e-01","0.6 to 2.1"
"tnm_stageIII",2.6,"2.45e-06","1.8 to 4"
"tnm_stageIV",8.7,"0.00e+00","5.8 to 12.9"
"total",1,"5.16e-01","1 to 1"
"age.cat>=65",1.8,"1.45e-04","1.3 to 2.5"
"gendermale",0.8,"1.16e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.61e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.55e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"GZMA",1,"4.90e-01","1 to 1"
"age.cat>=65",1.8,"7.45e-05","1.4 to 2.5"
"gendermale",0.8,"1.28e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.08e-01","0.6 to 2"
"tnm_stageIII",2.6,"3.32e-06","1.7 to 3.9"
"tnm_stageIV",8.7,"0.00e+00","5.8 to 13"
"PRF1",1,"6.22e-01","1 to 1"
"age.cat>=65",1.8,"7.75e-05","1.4 to 2.5"
"gendermale",0.8,"1.24e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.95e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.39e-06","1.8 to 4"
"tnm_stageIV",8.8,"0.00e+00","5.9 to 13.1"
"cyt",1,"5.12e-01","1 to 1"
"age.cat>=65",1.8,"7.63e-05","1.4 to 2.5"
"gendermale",0.8,"1.27e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.03e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.84e-06","1.8 to 3.9"
"tnm_stageIV",8.7,"0.00e+00","5.9 to 13"
"nmdptc_max",1,"7.70e-02","1 to 1.1"
"age.cat>=65",1.8,"1.81e-04","1.3 to 2.4"
"gendermale",0.8,"1.06e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.63e-01","0.6 to 2"
"tnm_stageIII",2.7,"1.62e-06","1.8 to 4"
"tnm_stageIV",8.7,"0.00e+00","5.9 to 13"
"nmdptc_n_decayed",1,"3.35e-01","1 to 1"
"age.cat>=65",1.8,"9.40e-05","1.4 to 2.5"
"gendermale",0.8,"1.13e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.98e-01","0.6 to 2"
"tnm_stageIII",2.7,"2.05e-06","1.8 to 4"
"tnm_stageIV",8.8,"0.00e+00","5.9 to 13"
"nmdptc_frac_decayed",0.9,"5.83e-01","0.5 to 1.4"
"age.cat>=65",1.9,"6.79e-05","1.4 to 2.5"
"gendermale",0.8,"1.45e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.80e-01","0.6 to 2"
"tnm_stageIII",2.7,"2.29e-06","1.8 to 4"
"tnm_stageIV",9,"0.00e+00","6 to 13.3"
"nmdptc_med",1,"6.71e-01","0.8 to 1.1"
"age.cat>=65",1.9,"7.34e-05","1.4 to 2.5"
"gendermale",0.8,"1.23e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.90e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.64e-06","1.8 to 4"
"tnm_stageIV",9,"0.00e+00","6 to 13.3"
"nmdptc_med.wt",1,"9.51e-01","0.9 to 1.2"
"age.cat>=65",1.8,"9.32e-05","1.4 to 2.5"
"gendermale",0.8,"1.19e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.92e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.44e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"nmdptc_mean",1,"8.23e-01","0.9 to 1.1"
"age.cat>=65",1.9,"8.44e-05","1.4 to 2.5"
"gendermale",0.8,"1.19e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.86e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.53e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.3"
"nmdptc_mean.wt",1,"8.44e-01","0.9 to 1.2"
"age.cat>=65",1.8,"9.96e-05","1.4 to 2.5"
"gendermale",0.8,"1.19e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.95e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.37e-06","1.8 to 4"
"tnm_stageIV",8.8,"0.00e+00","5.9 to 13.2"
"nmdfs_max",1,"1.46e-03","1 to 1.1"
"age.cat>=65",1.8,"2.57e-04","1.3 to 2.4"
"gendermale",0.8,"1.00e-01","0.6 to 1.1"
"tnm_stageII",1,"9.18e-01","0.6 to 1.9"
"tnm_stageIII",2.7,"2.07e-06","1.8 to 4"
"tnm_stageIV",8.7,"0.00e+00","5.9 to 13"
"nmdfs_n_decayed",1,"5.68e-03","1 to 1"
"age.cat>=65",1.8,"1.61e-04","1.3 to 2.4"
"gendermale",0.8,"1.00e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.31e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.43e-06","1.8 to 4"
"tnm_stageIV",8.6,"0.00e+00","5.8 to 12.8"
"nmdfs_frac_decayed",1.1,"7.29e-01","0.7 to 1.7"
"age.cat>=65",1.8,"9.66e-05","1.4 to 2.5"
"gendermale",0.8,"1.11e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.05e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.57e-06","1.8 to 4"
"tnm_stageIV",8.8,"0.00e+00","6 to 13.1"
"nmdfs_med",1.1,"8.00e-02","1 to 1.1"
"age.cat>=65",1.8,"1.79e-04","1.3 to 2.4"
"gendermale",0.8,"1.08e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.42e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.46e-06","1.8 to 4"
"tnm_stageIV",8.7,"0.00e+00","5.9 to 13"
"nmdfs_med.wt",1.1,"2.99e-02","1 to 1.1"
"age.cat>=65",1.8,"1.85e-04","1.3 to 2.4"
"gendermale",0.8,"1.14e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.54e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.35e-06","1.8 to 4"
"tnm_stageIV",8.7,"0.00e+00","5.8 to 12.9"
"nmdfs_mean",1.1,"7.56e-02","1 to 1.1"
"age.cat>=65",1.8,"1.77e-04","1.3 to 2.4"
"gendermale",0.8,"1.11e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.48e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.47e-06","1.8 to 4"
"tnm_stageIV",8.7,"0.00e+00","5.9 to 12.9"
"nmdfs_mean.wt",1.1,"2.79e-02","1 to 1.1"
"age.cat>=65",1.8,"1.86e-04","1.3 to 2.4"
"gendermale",0.8,"1.15e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.59e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.36e-06","1.8 to 4"
"tnm_stageIV",8.6,"0.00e+00","5.8 to 12.8"
"nmdns_max",1,"7.43e-01","1 to 1"
"age.cat>=65",1.8,"7.80e-05","1.4 to 2.5"
"gendermale",0.8,"1.24e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.09e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.42e-06","1.8 to 4"
"tnm_stageIV",8.8,"0.00e+00","5.9 to 13.1"
"nmdns_n_decayed",1,"6.33e-01","1 to 1"
"age.cat>=65",1.8,"8.94e-05","1.4 to 2.5"
"gendermale",0.8,"1.13e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.76e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.46e-06","1.8 to 4"
"tnm_stageIV",9,"0.00e+00","6 to 13.3"
"nmdns_frac_decayed",0.9,"5.78e-01","0.6 to 1.3"
"age.cat>=65",1.9,"6.80e-05","1.4 to 2.5"
"gendermale",0.8,"1.25e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.80e-01","0.6 to 2"
"tnm_stageIII",2.7,"2.12e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.3"
"nmdns_med",1,"3.73e-01","0.9 to 1"
"age.cat>=65",1.8,"7.54e-05","1.4 to 2.5"
"gendermale",0.8,"1.05e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.55e-01","0.6 to 2.1"
"tnm_stageIII",2.7,"2.30e-06","1.8 to 4"
"tnm_stageIV",9,"0.00e+00","6.1 to 13.4"
"nmdns_med.wt",1,"4.54e-01","0.9 to 1"
"age.cat>=65",1.8,"8.19e-05","1.4 to 2.5"
"gendermale",0.8,"1.07e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.59e-01","0.6 to 2.1"
"tnm_stageIII",2.6,"2.42e-06","1.8 to 4"
"tnm_stageIV",9,"0.00e+00","6.1 to 13.4"
"nmdns_mean",1,"4.48e-01","0.9 to 1"
"age.cat>=65",1.8,"7.60e-05","1.4 to 2.5"
"gendermale",0.8,"1.07e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.62e-01","0.6 to 2.1"
"tnm_stageIII",2.6,"2.35e-06","1.8 to 4"
"tnm_stageIV",9,"0.00e+00","6.1 to 13.4"
"nmdns_mean.wt",1,"4.83e-01","0.9 to 1"
"age.cat>=65",1.8,"8.14e-05","1.4 to 2.5"
"gendermale",0.8,"1.08e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.61e-01","0.6 to 2.1"
"tnm_stageIII",2.6,"2.44e-06","1.8 to 4"
"tnm_stageIV",9,"0.00e+00","6.1 to 13.4"
"TNFRSF4_cna",0.9,"7.06e-01","0.7 to 1.3"
"age.cat>=65",1.8,"7.88e-05","1.4 to 2.5"
"gendermale",0.8,"1.26e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.34e-01","0.6 to 2"
"tnm_stageIII",2.6,"3.11e-06","1.8 to 3.9"
"tnm_stageIV",8.8,"0.00e+00","6 to 13.1"
"CNKSR1_cna",0.9,"6.32e-01","0.7 to 1.3"
"age.cat>=65",1.8,"7.60e-05","1.4 to 2.5"
"gendermale",0.8,"1.17e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.45e-01","0.6 to 2"
"tnm_stageIII",2.6,"3.55e-06","1.7 to 3.9"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"CNKSR1_mut",0,"9.95e-01","0 to Inf"
"age.cat>=65",1.8,"8.70e-05","1.4 to 2.5"
"gendermale",0.8,"1.15e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.58e-01","0.6 to 2.1"
"tnm_stageIII",2.6,"2.55e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"FUBP1_cna",1.4,"5.41e-02","1 to 2"
"age.cat>=65",1.8,"1.26e-04","1.3 to 2.5"
"gendermale",0.8,"1.45e-01","0.6 to 1.1"
"tnm_stageII",1.2,"6.10e-01","0.6 to 2.2"
"tnm_stageIII",2.7,"1.68e-06","1.8 to 4"
"tnm_stageIV",8.7,"0.00e+00","5.9 to 12.9"
"IL10_cna",1.7,"9.07e-04","1.2 to 2.2"
"age.cat>=65",1.8,"2.61e-04","1.3 to 2.4"
"gendermale",0.8,"7.81e-02","0.6 to 1"
"tnm_stageII",1.2,"6.18e-01","0.6 to 2.2"
"tnm_stageIII",2.6,"3.20e-06","1.7 to 3.9"
"tnm_stageIV",8.6,"0.00e+00","5.8 to 12.8"
"IRF6_cna",1.4,"7.93e-03","1.1 to 1.9"
"age.cat>=65",1.8,"8.91e-05","1.4 to 2.5"
"gendermale",0.8,"1.39e-01","0.6 to 1.1"
"tnm_stageII",1.2,"6.53e-01","0.6 to 2.2"
"tnm_stageIII",2.6,"2.61e-06","1.8 to 3.9"
"tnm_stageIV",8.5,"0.00e+00","5.7 to 12.7"
"DNMT3A_cna",1.2,"1.71e-01","0.9 to 1.7"
"age.cat>=65",1.8,"1.06e-04","1.3 to 2.5"
"gendermale",0.8,"9.01e-02","0.6 to 1"
"tnm_stageII",1.2,"6.62e-01","0.6 to 2.2"
"tnm_stageIII",2.7,"1.92e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"DNMT3A_mut",0,"9.92e-01","0 to Inf"
"age.cat>=65",1.9,"6.16e-05","1.4 to 2.5"
"gendermale",0.8,"1.44e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.18e-01","0.6 to 2"
"tnm_stageIII",2.7,"2.10e-06","1.8 to 4"
"tnm_stageIV",8.8,"0.00e+00","5.9 to 13"
"SOS1_cna",1.1,"4.19e-01","0.8 to 1.5"
"age.cat>=65",1.8,"1.05e-04","1.3 to 2.5"
"gendermale",0.8,"1.01e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.10e-01","0.6 to 2.1"
"tnm_stageIII",2.7,"2.18e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"SOS1_mut",0,"9.94e-01","0 to Inf"
"age.cat>=65",1.8,"7.91e-05","1.4 to 2.5"
"gendermale",0.8,"1.19e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.99e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.62e-06","1.8 to 3.9"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.1"
"CASP8_cna",1.1,"4.64e-01","0.8 to 1.5"
"age.cat>=65",1.8,"1.28e-04","1.3 to 2.5"
"gendermale",0.8,"1.17e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.09e-01","0.6 to 2.1"
"tnm_stageIII",2.7,"1.99e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.1"
"CTLA4_cna",1,"9.88e-01","0.8 to 1.3"
"age.cat>=65",1.8,"8.52e-05","1.4 to 2.5"
"gendermale",0.8,"1.19e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.96e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.68e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"DNER_cna",1,"8.59e-01","0.7 to 1.3"
"age.cat>=65",1.8,"7.76e-05","1.4 to 2.5"
"gendermale",0.8,"1.19e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.18e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.89e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"DNER_mut",0,"9.93e-01","0 to Inf"
"age.cat>=65",1.9,"6.47e-05","1.4 to 2.5"
"gendermale",0.8,"1.07e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.88e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.47e-06","1.8 to 4"
"tnm_stageIV",9,"0.00e+00","6.1 to 13.3"
"PDCD1_cna",1,"9.49e-01","0.8 to 1.3"
"age.cat>=65",1.8,"7.94e-05","1.4 to 2.5"
"gendermale",0.8,"1.19e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.03e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.70e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"SLC22A14_cna",0.9,"2.99e-01","0.7 to 1.1"
"age.cat>=65",1.9,"6.65e-05","1.4 to 2.5"
"gendermale",0.8,"1.32e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.61e-01","0.6 to 2.1"
"tnm_stageIII",2.6,"2.75e-06","1.8 to 3.9"
"tnm_stageIV",8.7,"0.00e+00","5.9 to 13"
"PIK3CA_cna",0.9,"3.34e-01","0.7 to 1.1"
"age.cat>=65",1.9,"5.40e-05","1.4 to 2.6"
"gendermale",0.8,"1.32e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.50e-01","0.6 to 2"
"tnm_stageIII",2.7,"1.99e-06","1.8 to 4"
"tnm_stageIV",9.1,"0.00e+00","6.1 to 13.5"
"PIK3CA_mut",0,"9.95e-01","0 to Inf"
"age.cat>=65",1.8,"8.07e-05","1.4 to 2.5"
"gendermale",0.8,"1.17e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.95e-01","0.6 to 2"
