"var","hr","pval","hr_ci95"
"cyt.catmed",1.8,"1.41e-02","1.1 to 3"
"cyt.cathigh",2,"7.97e-03","1.2 to 3.3"
"age.cat>=65",1.7,"5.94e-04","1.3 to 2.4"
"gendermale",0.7,"2.56e-02","0.5 to 1"
"tnm_stageII",1.2,"6.06e-01","0.6 to 2.2"
"tnm_stageIII",2.8,"8.74e-07","1.8 to 4.2"
"tnm_stageIV",8.6,"0.00e+00","5.7 to 12.7"
"TMB.cathigh",1.1,"4.74e-01","0.8 to 1.5"
"PDL1.catmed",0.8,"1.40e-01","0.5 to 1.1"
"PDL1.cathigh",0.5,"1.14e-03","0.3 to 0.7"
"cyt.bool1",1.6,"7.67e-02","0.9 to 2.8"
"age.cat>=65",1.7,"4.10e-02","1 to 2.8"
"gendermale",0.7,"1.19e-01","0.4 to 1.1"
"tnm_stageII",0.6,"4.12e-01","0.2 to 1.9"
"tnm_stageIII",2.5,"5.45e-03","1.3 to 4.7"
"tnm_stageIV",10.2,"3.06e-14","5.6 to 18.5"
"TMB.cathigh",1,"9.78e-01","0.6 to 1.8"
"PDL1.catmed",1.2,"5.35e-01","0.6 to 2.5"
"PDL1.cathigh",0.9,"7.97e-01","0.4 to 1.9"
"TMB.cathigh",1,"9.56e-01","0.7 to 1.4"
"age.cat>=65",1.8,"4.31e-04","1.3 to 2.4"
"gendermale",0.7,"3.44e-02","0.5 to 1"
"tnm_stageII",1.1,"7.96e-01","0.6 to 2"
"tnm_stageIII",2.7,"1.28e-06","1.8 to 4.1"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"PDL1.catmed",0.8,"1.79e-01","0.6 to 1.1"
"PDL1.cathigh",0.5,"1.29e-03","0.3 to 0.8"
"PDL1.cat0positive",2276094.8,"9.94e-01","0 to Inf"
"age.cat>=65",1.8,"3.98e-04","1.3 to 2.4"
"gendermale",0.7,"3.70e-02","0.5 to 1"
"tnm_stageII",1.1,"8.32e-01","0.6 to 2"
"tnm_stageIII",2.7,"1.88e-06","1.8 to 4"
"tnm_stageIV",8.7,"0.00e+00","5.9 to 13"
"TMB.cathigh",1,"9.14e-01","0.7 to 1.3"
"PDL1.catmed",0.8,"1.56e-01","0.5 to 1.1"
"PDL1.cathigh",0.5,"1.07e-03","0.3 to 0.7"
"PDL1.catmed",0.8,"1.79e-01","0.6 to 1.1"
"PDL1.cathigh",0.5,"1.29e-03","0.3 to 0.8"
"age.cat>=65",1.8,"4.31e-04","1.3 to 2.4"
"gendermale",0.7,"3.44e-02","0.5 to 1"
"tnm_stageII",1.1,"7.96e-01","0.6 to 2"
"tnm_stageIII",2.7,"1.28e-06","1.8 to 4.1"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"TMB.cathigh",1,"9.56e-01","0.7 to 1.4"
"nmdptc_mut.bool1",0.9,"6.79e-01","0.5 to 1.5"
"age.cat>=65",1.7,"5.31e-04","1.3 to 2.4"
"gendermale",0.7,"3.42e-02","0.5 to 1"
"tnm_stageII",1.1,"8.11e-01","0.6 to 2"
"tnm_stageIII",2.7,"1.25e-06","1.8 to 4.1"
"tnm_stageIV",8.8,"0.00e+00","5.9 to 13.1"
"TMB.cathigh",1,"9.99e-01","0.7 to 1.4"
"PDL1.catmed",0.8,"1.68e-01","0.5 to 1.1"
"PDL1.cathigh",0.5,"1.32e-03","0.3 to 0.8"
"nmdfs_mut.bool1",0.7,"2.86e-02","0.4 to 1"
"age.cat>=65",1.7,"1.24e-03","1.2 to 2.3"
"gendermale",0.7,"3.42e-02","0.5 to 1"
"tnm_stageII",1,"8.93e-01","0.6 to 2"
"tnm_stageIII",2.7,"1.57e-06","1.8 to 4.1"
"tnm_stageIV",8.7,"0.00e+00","5.8 to 12.9"
"TMB.cathigh",1.1,"7.08e-01","0.8 to 1.5"
"PDL1.catmed",0.8,"2.28e-01","0.6 to 1.1"
"PDL1.cathigh",0.5,"2.73e-03","0.3 to 0.8"
"nmdns_mut.bool1",1.2,"3.46e-01","0.8 to 1.7"
"age.cat>=65",1.7,"4.89e-04","1.3 to 2.4"
"gendermale",0.7,"2.86e-02","0.5 to 1"
"tnm_stageII",1.1,"7.48e-01","0.6 to 2.1"
"tnm_stageIII",2.8,"1.13e-06","1.8 to 4.1"
"tnm_stageIV",9.1,"0.00e+00","6.1 to 13.5"
"TMB.cathigh",1,"9.14e-01","0.7 to 1.3"
"PDL1.catmed",0.8,"2.07e-01","0.6 to 1.1"
"PDL1.cathigh",0.5,"1.18e-03","0.3 to 0.7"
"silent",1,"5.12e-01","1 to 1"
"age.cat>=65",1.7,"5.28e-04","1.3 to 2.4"
"gendermale",0.7,"3.41e-02","0.5 to 1"
"tnm_stageII",1.1,"8.40e-01","0.6 to 2"
"tnm_stageIII",2.7,"1.22e-06","1.8 to 4.1"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"TMB.cathigh",1,"7.79e-01","0.7 to 1.3"
"PDL1.catmed",0.8,"1.92e-01","0.6 to 1.1"
"PDL1.cathigh",0.5,"1.23e-03","0.3 to 0.7"
"missense",1,"1.50e-01","1 to 1"
"age.cat>=65",1.7,"6.14e-04","1.3 to 2.4"
"gendermale",0.7,"3.09e-02","0.5 to 1"
"tnm_stageII",1,"8.92e-01","0.6 to 2"
"tnm_stageIII",2.7,"1.20e-06","1.8 to 4.1"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"TMB.cathigh",0.9,"5.83e-01","0.7 to 1.3"
"PDL1.catmed",0.8,"2.02e-01","0.6 to 1.1"
"PDL1.cathigh",0.5,"1.08e-03","0.3 to 0.7"
"nonstop",1.4,"7.41e-01","0.2 to 10.1"
"age.cat>=65",1.8,"4.31e-04","1.3 to 2.4"
"gendermale",0.7,"3.39e-02","0.5 to 1"
"tnm_stageII",1.1,"7.89e-01","0.6 to 2"
"tnm_stageIII",2.7,"1.25e-06","1.8 to 4.1"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"TMB.cathigh",1,"9.45e-01","0.7 to 1.3"
"PDL1.catmed",0.8,"1.80e-01","0.6 to 1.1"
"PDL1.cathigh",0.5,"1.27e-03","0.3 to 0.8"
"nonsense",1,"5.55e-01","1 to 1.1"
"age.cat>=65",1.7,"4.92e-04","1.3 to 2.4"
"gendermale",0.7,"3.17e-02","0.5 to 1"
"tnm_stageII",1.1,"7.90e-01","0.6 to 2"
"tnm_stageIII",2.7,"1.34e-06","1.8 to 4.1"
"tnm_stageIV",8.8,"0.00e+00","5.9 to 13.1"
"TMB.cathigh",1,"7.93e-01","0.7 to 1.3"
"PDL1.catmed",0.8,"2.08e-01","0.6 to 1.1"
"PDL1.cathigh",0.5,"1.35e-03","0.3 to 0.8"
"frameshift",1,"1.01e-01","0.9 to 1"
