"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"silent.cat=high",183,45,NA,"9.7 to NA","0.95 (0.92 to 0.99)","0.89 (0.84 to 0.94)","0.84 (0.79 to 0.9)","0.70 (0.62 to 0.79)"
"silent.cat=low",184,58,6.5,"5.8 to NA","0.96 (0.93 to 0.99)","0.93 (0.89 to 0.97)","0.84 (0.79 to 0.9)","0.64 (0.56 to 0.73)"
"silent.cat=med",273,73,NA,"9.9 to NA","0.97 (0.95 to 0.99)","0.92 (0.89 to 0.96)","0.86 (0.82 to 0.91)","0.70 (0.64 to 0.77)"
"missense.cat=high",161,49,9.7,"6 to NA","0.95 (0.92 to 0.99)","0.87 (0.81 to 0.92)","0.81 (0.75 to 0.88)","0.62 (0.53 to 0.72)"
"missense.cat=low",168,46,NA,"6.2 to NA","0.95 (0.92 to 0.98)","0.93 (0.89 to 0.97)","0.86 (0.81 to 0.92)","0.71 (0.63 to 0.8)"
"missense.cat=med",311,81,NA,"9.9 to NA","0.97 (0.96 to 0.99)","0.93 (0.9 to 0.96)","0.87 (0.83 to 0.91)","0.70 (0.64 to 0.76)"
"nonsense.cat=high",196,61,9.9,"7 to NA","0.95 (0.92 to 0.98)","0.88 (0.84 to 0.93)","0.79 (0.73 to 0.85)","0.63 (0.55 to 0.72)"
"nonsense.cat=low",205,57,NA,"6.2 to NA","0.97 (0.95 to 0.99)","0.94 (0.9 to 0.97)","0.87 (0.83 to 0.92)","0.68 (0.61 to 0.76)"
"nonsense.cat=med",239,58,NA,"NA to NA","0.96 (0.94 to 0.99)","0.92 (0.89 to 0.96)","0.88 (0.84 to 0.93)","0.73 (0.66 to 0.8)"
"frameshift.cat=high",189,47,NA,"7.6 to NA","0.97 (0.95 to 1)","0.94 (0.9 to 0.97)","0.84 (0.79 to 0.9)","0.69 (0.61 to 0.78)"
"frameshift.cat=low",216,84,6.4,"5.2 to NA","0.93 (0.89 to 0.96)","0.86 (0.81 to 0.91)","0.80 (0.74 to 0.85)","0.59 (0.51 to 0.67)"
"frameshift.cat=med",235,45,NA,"9.9 to NA","0.99 (0.97 to 1)","0.95 (0.92 to 0.98)","0.91 (0.87 to 0.95)","0.77 (0.71 to 0.85)"
"total.cat=high",162,45,9.7,"6.6 to NA","0.95 (0.92 to 0.99)","0.90 (0.85 to 0.95)","0.84 (0.78 to 0.9)","0.66 (0.57 to 0.76)"
"total.cat=low",169,56,6.5,"5.8 to NA","0.95 (0.92 to 0.99)","0.92 (0.87 to 0.96)","0.85 (0.79 to 0.91)","0.66 (0.58 to 0.75)"
"total.cat=med",309,75,NA,"9.9 to NA","0.97 (0.96 to 0.99)","0.92 (0.89 to 0.95)","0.86 (0.82 to 0.9)","0.71 (0.65 to 0.77)"
