"var","hr","pval","hr_ci95"
"cyt.catmed",0.7,"1.62e-01","0.4 to 1.1"
"cyt.cathigh",0.7,"2.41e-01","0.4 to 1.3"
"age.cat>=65",1.4,"1.49e-01","0.9 to 2.1"
"gendermale",1,"9.09e-01","0.6 to 1.5"
"tnm_stageII",2.9,"9.73e-05","1.7 to 4.9"
"tnm_stageIII",3.5,"3.85e-06","2.1 to 5.9"
"tnm_stageIV",2.9,"2.12e-02","1.2 to 7.1"
"cyt.bool1",0.7,"3.62e-01","0.4 to 1.4"
"age.cat>=65",1,"9.66e-01","0.6 to 1.8"
"gendermale",1.3,"3.60e-01","0.7 to 2.5"
"tnm_stageII",4.3,"1.40e-04","2 to 9.2"
"tnm_stageIII",4.3,"2.21e-04","2 to 9.2"
"tnm_stageIV",2.5,"1.59e-01","0.7 to 9.1"
"TMB.cathigh",1,"9.60e-01","0.6 to 1.5"
"age.cat>=65",1.4,"1.55e-01","0.9 to 2.1"
"gendermale",1,"9.87e-01","0.7 to 1.5"
"tnm_stageII",3,"6.25e-05","1.7 to 5"
"tnm_stageIII",3.8,"5.40e-07","2.2 to 6.4"
"tnm_stageIV",3.1,"1.24e-02","1.3 to 7.7"
"PDL1.catmed",0.7,"1.76e-01","0.4 to 1.2"
"PDL1.cathigh",0.8,"5.52e-01","0.5 to 1.5"
"age.cat>=65",1.3,"2.39e-01","0.8 to 2"
"gendermale",1,"9.06e-01","0.6 to 1.5"
"tnm_stageII",2.9,"1.18e-04","1.7 to 4.9"
"tnm_stageIII",3.8,"5.98e-07","2.2 to 6.3"
"tnm_stageIV",2.8,"2.81e-02","1.1 to 6.9"
"nmdptc_mut.bool1",1.4,"5.41e-01","0.4 to 4.7"
"age.cat>=65",1.3,"1.79e-01","0.9 to 2.1"
"gendermale",1,"9.97e-01","0.7 to 1.5"
"tnm_stageII",3.1,"4.72e-05","1.8 to 5.2"
"tnm_stageIII",3.8,"3.84e-07","2.3 to 6.5"
"tnm_stageIV",3.1,"1.22e-02","1.3 to 7.6"
"nmdfs_mut.bool1",0.7,"1.85e-01","0.4 to 1.2"
"age.cat>=65",1.4,"1.04e-01","0.9 to 2.2"
"gendermale",1,"9.77e-01","0.6 to 1.5"
"tnm_stageII",2.9,"9.89e-05","1.7 to 4.9"
"tnm_stageIII",3.7,"7.41e-07","2.2 to 6.2"
"tnm_stageIV",3.3,"9.52e-03","1.3 to 8"
"nmdns_mut.bool1",1.8,"1.58e-01","0.8 to 4.3"
"age.cat>=65",1.4,"1.64e-01","0.9 to 2.1"
"gendermale",1,"9.47e-01","0.6 to 1.5"
"tnm_stageII",3.2,"2.52e-05","1.9 to 5.5"
"tnm_stageIII",3.8,"4.12e-07","2.3 to 6.4"
"tnm_stageIV",3.2,"1.14e-02","1.3 to 7.8"
"silent",1,"6.13e-01","1 to 1"
"age.cat>=65",1.4,"1.63e-01","0.9 to 2.1"
"gendermale",1,"9.67e-01","0.7 to 1.6"
"tnm_stageII",3,"6.03e-05","1.7 to 5"
"tnm_stageIII",3.8,"4.43e-07","2.3 to 6.5"
"tnm_stageIV",3.1,"1.28e-02","1.3 to 7.6"
"missense",1,"6.17e-01","1 to 1"
"age.cat>=65",1.4,"1.65e-01","0.9 to 2.1"
"gendermale",1,"9.68e-01","0.7 to 1.6"
"tnm_stageII",3,"5.93e-05","1.7 to 5.1"
"tnm_stageIII",3.8,"4.47e-07","2.3 to 6.4"
"tnm_stageIV",3.1,"1.29e-02","1.3 to 7.6"
"nonstop",1.2,"4.52e-01","0.8 to 1.7"
