"var","hr","pval","hr_ci95"
"cyt.catmed",0.6,"1.89e-02","0.4 to 0.9"
"cyt.cathigh",0.6,"4.84e-02","0.3 to 1"
"cyt.bool1",0.6,"5.95e-02","0.3 to 1"
"gendermale",1.1,"6.64e-01","0.7 to 1.7"
"raceasian",0,"9.96e-01","0 to Inf"
"raceblack or african american",1.2,"7.90e-01","0.4 to 3.7"
"racewhite",NA," NA","NA to NA"
"tnm_stageII",2.8,"1.10e-04","1.7 to 4.8"
"tnm_stageIII",3.8,"3.66e-07","2.3 to 6.4"
"tnm_stageIV",3,"1.34e-02","1.3 to 7.2"
"TMB.cathigh",1.1,"8.08e-01","0.7 to 1.6"
"PDL1.catmed",0.6,"5.06e-02","0.4 to 1"
"PDL1.cathigh",0.7,"2.70e-01","0.4 to 1.3"
"age.cat>=65",1.3,"1.97e-01","0.9 to 2"
"nmdptc_mut.bool1",0.9,"8.93e-01","0.3 to 2.9"
"nmdfs_mut.bool1",0.6,"1.34e-01","0.4 to 1.1"
"nmdns_mut.bool1",1.5,"3.34e-01","0.7 to 3.4"
"silent",1,"7.89e-01","1 to 1"
"missense",1,"7.92e-01","1 to 1"
"nonstop",1.2,"3.34e-01","0.8 to 1.8"
"nonsense",1,"6.59e-01","1 to 1"
"frameshift",1,"2.15e-01","1 to 1"
"total",1,"6.94e-01","1 to 1"
"GZMA",1,"2.78e-01","1 to 1"
"PRF1",1,"2.80e-01","1 to 1"
"cyt",1,"2.26e-01","1 to 1"
"nmdptc_max",1,"5.43e-01","0.9 to 1.1"
"nmdptc_n_decayed",1,"8.97e-01","1 to 1"
"nmdptc_frac_decayed",1.3,"4.40e-01","0.6 to 2.8"
"nmdptc_med",1.2,"1.53e-01","0.9 to 1.6"
"nmdptc_med.wt",1.1,"8.12e-01","0.5 to 2.2"
"nmdptc_mean",1.2,"1.23e-01","0.9 to 1.6"
"nmdptc_mean.wt",1.1,"7.71e-01","0.6 to 2.2"
"nmdfs_max",1.1,"2.59e-01","1 to 1.1"
"nmdfs_n_decayed",1,"2.63e-01","1 to 1"
"nmdfs_frac_decayed",1.5,"1.56e-01","0.9 to 2.7"
"nmdfs_med",1.1,"2.42e-01","0.9 to 1.3"
"nmdfs_med.wt",1.1,"2.81e-01","0.9 to 1.4"
"nmdfs_mean",1.1,"1.69e-01","0.9 to 1.3"
"nmdfs_mean.wt",1.1,"2.66e-01","0.9 to 1.4"
"nmdns_max",1,"8.48e-01","0.9 to 1.1"
"nmdns_n_decayed",1,"5.17e-01","1 to 1"
"nmdns_frac_decayed",1.2,"5.19e-01","0.7 to 2.3"
"nmdns_med",1,"9.13e-01","0.9 to 1.1"
"nmdns_med.wt",1,"8.36e-01","0.9 to 1.1"
"nmdns_mean",1,"8.26e-01","0.9 to 1.1"
"nmdns_mean.wt",1,"8.59e-01","0.9 to 1.1"
"TNFRSF4_cna",1,"9.94e-01","0.8 to 1.3"
"CNKSR1_cna",0.9,"2.57e-01","0.7 to 1.1"
"FUBP1_cna",1.2,"2.49e-01","0.9 to 1.5"
"FUBP1_mut",1.8,"3.06e-01","0.6 to 5.9"
"IL10_cna",1.1,"6.24e-01","0.8 to 1.5"
"IRF6_cna",0.9,"5.45e-01","0.6 to 1.3"
"IRF6_mut",2.7,"5.27e-02","1 to 7.3"
"DNMT3A_cna",1.4,"5.99e-02","1 to 2"
"DNMT3A_mut",0,"9.96e-01","0 to Inf"
"SOS1_cna",1.3,"1.06e-01","0.9 to 1.9"
"SOS1_mut",1.4,"4.75e-01","0.5 to 3.9"
"CASP8_cna",1,"9.58e-01","0.7 to 1.4"
"CASP8_mut",0,"9.95e-01","0 to Inf"
"CTLA4_cna",1,"9.32e-01","0.7 to 1.4"
"DNER_cna",1.1,"4.40e-01","0.8 to 1.5"
"PDCD1_cna",1.2,"2.60e-01","0.9 to 1.6"
"SLC22A14_cna",1.1,"7.07e-01","0.8 to 1.5"
"PIK3CA_cna",1.1,"4.81e-01","0.8 to 1.4"
"CXCL9_cna",0.9,"5.37e-01","0.7 to 1.3"
"CXCL9_mut",1.9,"2.08e-01","0.7 to 5.1"
"CXCL10_cna",0.9,"5.37e-01","0.7 to 1.3"
"CXCL11_cna",0.9,"6.48e-01","0.7 to 1.3"
"TET2_cna",0.6,"1.78e-02","0.5 to 0.9"
"IL2_cna",0.7,"2.18e-02","0.5 to 0.9"
"IL2_mut",0,"9.96e-01","0 to Inf"
"IRF1_cna",1,"8.60e-01","0.8 to 1.3"
"HAVCR2_cna",1,"8.66e-01","0.8 to 1.3"
"TAP1_cna",0.9,"4.46e-01","0.7 to 1.2"
"IFNGR1_cna",1,"9.48e-01","0.7 to 1.4"
"IFNGR1_mut",1,"NaN","1 to 1"
"MUC17_cna",0.9,"6.14e-01","0.7 to 1.3"
"MUC17_mut",0,"9.95e-01","0 to Inf"
"MET_cna",1.1,"5.58e-01","0.8 to 1.5"
"MET_mut",0.9,"9.11e-01","0.3 to 3.1"
"IDO1_cna",1.1,"5.59e-01","0.9 to 1.3"
"JAK2_cna",0.8,"5.40e-02","0.6 to 1"
"JAK2_mut",0,"9.95e-01","0 to Inf"
"CD274_cna",0.8,"5.85e-02","0.6 to 1"
"COL5A1_cna",1.2,"2.90e-01","0.9 to 1.6"
"COL5A1_mut",0.5,"3.53e-01","0.1 to 2.3"
"ARID5B_cna",0.9,"6.69e-01","0.7 to 1.3"
"OVOL1_cna",1.1,"4.89e-01","0.8 to 1.5"
"LAG3_cna",1.4,"2.25e-02","1 to 1.8"
"ARID2_cna",0.9,"4.36e-01","0.6 to 1.2"
"ARID2_mut",1.2,"5.53e-01","0.7 to 2.2"
"IFNG_cna",1.2,"1.25e-01","0.9 to 1.5"
"IFNG_mut",0,"9.96e-01","0 to Inf"
"TCP11L2_cna",1.2,"1.84e-01","0.9 to 1.7"
"B2M_cna",1.1,"4.24e-01","0.8 to 1.6"
"B2M_mut",0,"9.97e-01","0 to Inf"
"TP53_cna",1.2,"2.40e-01","0.9 to 1.6"
"TP53_mut",1.2,"2.24e-01","0.9 to 1.6"
"TMEM88_cna",1.2,"2.40e-01","0.9 to 1.6"
"MYOCD_cna",1,"9.74e-01","0.7 to 1.4"
"NCOR1_cna",1,"9.32e-01","0.7 to 1.3"
"NCOR1_mut",16.4,"7.03e-03","2.1 to 125.7"
"NF1_cna",1.1,"6.21e-01","0.8 to 1.5"
"NF1_mut",1,"8.25e-01","0.7 to 1.5"
"ALPK2_cna",1,"8.25e-01","0.7 to 1.3"
"ALPK2_mut",0,"9.95e-01","0 to Inf"
"LPAR2_cna",0.8,"1.44e-01","0.6 to 1.1"
"TGFB1_cna",1.1,"4.48e-01","0.8 to 1.6"
"TGFB1_mut",0,"9.96e-01","0 to Inf"
"CIC_cna",1.2,"3.31e-01","0.9 to 1.6"
"CIC_mut",1.2,"6.60e-01","0.5 to 3.4"
"CSNK2A1_cna",0.9,"6.95e-01","0.7 to 1.2"
"ASXL1_cna",1,"9.94e-01","0.7 to 1.4"
