"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"silent.cat=high",57,20,6.6,"3.2 to NA","0.96 (0.92 to 1)","0.87 (0.78 to 0.96)","0.76 (0.65 to 0.89)","0.52 (0.37 to 0.73)"
"silent.cat=low",54,25,3.8,"3.2 to NA","0.94 (0.88 to 1)","0.91 (0.83 to 0.99)","0.80 (0.69 to 0.92)","0.38 (0.24 to 0.59)"
"silent.cat=med",110,46,4.1,"2.7 to NA","0.96 (0.93 to 1)","0.84 (0.78 to 0.92)","0.71 (0.62 to 0.81)","0.39 (0.28 to 0.55)"
"missense.cat=high",57,20,3.7,"3.1 to NA","0.96 (0.92 to 1)","0.87 (0.78 to 0.96)","0.78 (0.67 to 0.91)","0.50 (0.35 to 0.71)"
"missense.cat=low",55,24,3.9,"3.3 to NA","0.95 (0.89 to 1)","0.91 (0.83 to 0.99)","0.80 (0.69 to 0.92)","0.39 (0.25 to 0.61)"
"missense.cat=med",109,47,4.1,"2.7 to 8.7","0.96 (0.93 to 1)","0.84 (0.78 to 0.92)","0.70 (0.61 to 0.8)","0.40 (0.29 to 0.55)"
"nonsense.cat=high",57,20,4.4,"3.2 to NA","0.96 (0.92 to 1)","0.89 (0.81 to 0.98)","0.80 (0.69 to 0.92)","0.41 (0.24 to 0.72)"
"nonsense.cat=low",68,31,3.9,"3.1 to NA","0.95 (0.91 to 1)","0.89 (0.82 to 0.97)","0.74 (0.63 to 0.86)","0.37 (0.24 to 0.56)"
"nonsense.cat=med",96,40,4.1,"2.8 to NA","0.96 (0.92 to 1)","0.84 (0.76 to 0.92)","0.72 (0.63 to 0.82)","0.43 (0.32 to 0.59)"
"frameshift.cat=high",59,18,6.6,"3.4 to NA","0.98 (0.95 to 1)","0.91 (0.84 to 0.99)","0.78 (0.68 to 0.91)","0.58 (0.44 to 0.77)"
"frameshift.cat=low",68,27,4.2,"3.3 to NA","0.97 (0.93 to 1)","0.92 (0.86 to 0.99)","0.81 (0.71 to 0.92)","0.42 (0.28 to 0.62)"
"frameshift.cat=med",94,46,3.3,"2.5 to 4.5","0.93 (0.89 to 0.99)","0.80 (0.72 to 0.89)","0.68 (0.58 to 0.79)","0.32 (0.21 to 0.49)"
"total.cat=high",56,20,3.7,"3.1 to NA","0.96 (0.92 to 1)","0.87 (0.78 to 0.96)","0.78 (0.67 to 0.9)","0.50 (0.35 to 0.71)"
