"var","hr","pval","hr_ci95"
"cyt.catmed",1.2,"5.34e-01","0.7 to 2"
"cyt.cathigh",0.5,"7.52e-02","0.3 to 1.1"
"age.cat>=65",1.3,"3.79e-01","0.8 to 2.1"
"gendermale",1.8,"2.73e-02","1.1 to 3"
"tnm_stageII",1.1,"6.94e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.77e-01","0.8 to 2.6"
"tnm_stageIV",1.1,"9.40e-01","0.2 to 4.5"
"cyt.bool1",0.5,"6.63e-02","0.3 to 1"
"age.cat>=65",1.2,"6.48e-01","0.6 to 2.4"
"gendermale",2.2,"9.39e-02","0.9 to 5.3"
"tnm_stageII",1.3,"4.99e-01","0.6 to 3.2"
"tnm_stageIII",2.3,"5.04e-02","1 to 5.2"
"tnm_stageIV",NA," NA","NA to NA"
"TMB.cathigh",0.9,"5.93e-01","0.6 to 1.4"
"age.cat>=65",1.3,"3.54e-01","0.8 to 2.1"
"gendermale",1.6,"7.19e-02","1 to 2.7"
"tnm_stageII",1.1,"6.53e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.74e-01","0.8 to 2.6"
"tnm_stageIV",1.4,"6.41e-01","0.3 to 5.9"
"PDL1.catmed",0.7,"3.04e-01","0.4 to 1.3"
"PDL1.cathigh",0.9,"8.37e-01","0.5 to 1.7"
"age.cat>=65",1.3,"3.28e-01","0.8 to 2.1"
"gendermale",1.7,"4.99e-02","1 to 2.9"
"tnm_stageII",1.1,"6.49e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.77e-01","0.8 to 2.7"
"tnm_stageIV",1.5,"5.59e-01","0.4 to 6.6"
"nmdptc_mut.bool1",0.5,"2.57e-01","0.2 to 1.6"
"age.cat>=65",1.4,"2.24e-01","0.8 to 2.4"
"gendermale",1.6,"7.76e-02","0.9 to 2.7"
"tnm_stageII",1.2,"5.71e-01","0.7 to 2.1"
"tnm_stageIII",1.6,"1.29e-01","0.9 to 2.8"
"tnm_stageIV",1.4,"6.53e-01","0.3 to 5.8"
"nmdfs_mut.bool1",0.8,"2.85e-01","0.5 to 1.2"
"age.cat>=65",1.3,"3.19e-01","0.8 to 2.1"
"gendermale",1.6,"6.49e-02","1 to 2.7"
"tnm_stageII",1.2,"5.97e-01","0.7 to 2.1"
"tnm_stageIII",1.5,"1.62e-01","0.8 to 2.7"
"tnm_stageIV",1.4,"6.64e-01","0.3 to 5.7"
"nmdns_mut.bool1",0.5,"1.67e-01","0.2 to 1.3"
"age.cat>=65",1.4,"2.07e-01","0.8 to 2.4"
"gendermale",1.6,"7.67e-02","1 to 2.7"
"tnm_stageII",1.2,"5.37e-01","0.7 to 2.2"
"tnm_stageIII",1.6,"1.17e-01","0.9 to 2.9"
"tnm_stageIV",1.4,"6.40e-01","0.3 to 5.9"
"silent",1,"1.67e-01","1 to 1"
"age.cat>=65",1.3,"3.90e-01","0.8 to 2.1"
"gendermale",1.7,"4.72e-02","1 to 2.8"
"tnm_stageII",1.1,"7.34e-01","0.6 to 2"
"tnm_stageIII",1.4,"2.08e-01","0.8 to 2.6"
"tnm_stageIV",1.3,"7.05e-01","0.3 to 5.5"
"missense",1,"1.07e-01","1 to 1"
"age.cat>=65",1.2,"4.32e-01","0.7 to 2"
"gendermale",1.7,"5.06e-02","1 to 2.8"
"tnm_stageII",1.1,"7.40e-01","0.6 to 2"
"tnm_stageIII",1.5,"2.00e-01","0.8 to 2.6"
"tnm_stageIV",1.4,"6.73e-01","0.3 to 5.7"
"nonstop",1.1,"7.26e-01","0.7 to 1.7"
"age.cat>=65",1.3,"3.04e-01","0.8 to 2.2"
"gendermale",1.6,"7.44e-02","1 to 2.7"
"tnm_stageII",1.1,"7.12e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.59e-01","0.8 to 2.7"
"tnm_stageIV",1.4,"6.61e-01","0.3 to 5.8"
"nonsense",1,"9.12e-02","1 to 1"
"age.cat>=65",1.2,"3.99e-01","0.7 to 2.1"
"gendermale",1.7,"4.38e-02","1 to 2.9"
"tnm_stageII",1.1,"7.40e-01","0.6 to 2"
"tnm_stageIII",1.4,"2.27e-01","0.8 to 2.5"
"tnm_stageIV",1.4,"6.55e-01","0.3 to 5.8"
"frameshift",1,"3.44e-01","0.9 to 1"
"age.cat>=65",1.3,"3.87e-01","0.8 to 2.1"
"gendermale",1.6,"6.44e-02","1 to 2.7"
"tnm_stageII",1.1,"6.60e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.86e-01","0.8 to 2.6"
"tnm_stageIV",1.4,"6.47e-01","0.3 to 5.9"
"total",1,"1.12e-01","1 to 1"
"age.cat>=65",1.2,"4.25e-01","0.7 to 2.1"
"gendermale",1.7,"4.88e-02","1 to 2.8"
"tnm_stageII",1.1,"7.38e-01","0.6 to 2"
"tnm_stageIII",1.5,"2.04e-01","0.8 to 2.6"
"tnm_stageIV",1.4,"6.79e-01","0.3 to 5.7"
"GZMA",1,"2.17e-01","1 to 1"
"age.cat>=65",1.3,"3.13e-01","0.8 to 2.2"
"gendermale",1.6,"6.52e-02","1 to 2.7"
"tnm_stageII",1.1,"6.90e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.68e-01","0.8 to 2.7"
"tnm_stageIV",1.2,"7.63e-01","0.3 to 5.2"
"PRF1",1,"3.59e-01","1 to 1"
"age.cat>=65",1.3,"3.44e-01","0.8 to 2.1"
"gendermale",1.6,"6.16e-02","1 to 2.8"
"tnm_stageII",1.2,"6.35e-01","0.6 to 2.1"
"tnm_stageIII",1.5,"1.52e-01","0.9 to 2.7"
"tnm_stageIV",1.3,"7.46e-01","0.3 to 5.3"
"cyt",1,"2.79e-01","1 to 1"
"age.cat>=65",1.3,"3.30e-01","0.8 to 2.1"
"gendermale",1.6,"6.17e-02","1 to 2.8"
"tnm_stageII",1.1,"6.58e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.57e-01","0.9 to 2.7"
"tnm_stageIV",1.3,"7.56e-01","0.3 to 5.3"
"nmdptc_max",1,"4.78e-01","0.9 to 1.1"
"age.cat>=65",1.2,"4.06e-01","0.7 to 2.1"
"gendermale",1.6,"7.61e-02","1 to 2.7"
"tnm_stageII",1.1,"6.62e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.62e-01","0.8 to 2.7"
"tnm_stageIV",1.5,"5.77e-01","0.4 to 6.5"
"nmdptc_n_decayed",1,"4.76e-01","1 to 1"
"age.cat>=65",1.2,"4.24e-01","0.7 to 2.1"
"gendermale",1.6,"7.00e-02","1 to 2.7"
"tnm_stageII",1.1,"7.55e-01","0.6 to 2"
"tnm_stageIII",1.4,"2.14e-01","0.8 to 2.6"
"tnm_stageIV",1.4,"6.70e-01","0.3 to 5.7"
"nmdptc_frac_decayed",0.6,"2.10e-01","0.2 to 1.4"
"age.cat>=65",1.3,"3.35e-01","0.8 to 2.1"
"gendermale",1.6,"8.62e-02","0.9 to 2.6"
"tnm_stageII",1.1,"7.33e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.63e-01","0.8 to 2.7"
"tnm_stageIV",1.5,"5.53e-01","0.4 to 6.6"
"nmdptc_med",0.9,"6.54e-01","0.7 to 1.2"
"age.cat>=65",1.3,"3.37e-01","0.8 to 2.1"
"gendermale",1.6,"7.45e-02","1 to 2.7"
"tnm_stageII",1.1,"6.88e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.69e-01","0.8 to 2.7"
"tnm_stageIV",1.4,"6.51e-01","0.3 to 5.9"
"nmdptc_med.wt",1.2,"3.49e-01","0.8 to 1.8"
"age.cat>=65",1.3,"2.62e-01","0.8 to 2.2"
"gendermale",1.6,"8.60e-02","0.9 to 2.6"
"tnm_stageII",1.2,"6.15e-01","0.6 to 2.1"
"tnm_stageIII",1.5,"1.50e-01","0.9 to 2.7"
"tnm_stageIV",1.4,"6.69e-01","0.3 to 5.7"
"nmdptc_mean",0.9,"4.47e-01","0.7 to 1.2"
"age.cat>=65",1.3,"3.65e-01","0.8 to 2.1"
"gendermale",1.6,"7.63e-02","1 to 2.7"
"tnm_stageII",1.1,"6.70e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.58e-01","0.9 to 2.7"
"tnm_stageIV",1.5,"5.80e-01","0.4 to 6.5"
"nmdptc_mean.wt",1.2,"4.11e-01","0.8 to 1.7"
"age.cat>=65",1.3,"2.69e-01","0.8 to 2.2"
"gendermale",1.6,"8.35e-02","0.9 to 2.7"
"tnm_stageII",1.2,"6.24e-01","0.6 to 2.1"
"tnm_stageIII",1.5,"1.55e-01","0.9 to 2.7"
"tnm_stageIV",1.3,"6.83e-01","0.3 to 5.6"
"nmdfs_max",1,"2.32e-01","1 to 1.1"
"age.cat>=65",1.3,"3.12e-01","0.8 to 2.2"
"gendermale",1.6,"6.36e-02","1 to 2.7"
"tnm_stageII",1.2,"5.83e-01","0.7 to 2.1"
"tnm_stageIII",1.5,"1.53e-01","0.9 to 2.7"
"tnm_stageIV",1.4,"6.55e-01","0.3 to 5.8"
"nmdfs_n_decayed",1,"3.77e-01","1 to 1.1"
"age.cat>=65",1.3,"2.96e-01","0.8 to 2.2"
"gendermale",1.6,"6.68e-02","1 to 2.7"
"tnm_stageII",1.2,"5.74e-01","0.7 to 2.1"
"tnm_stageIII",1.5,"1.54e-01","0.9 to 2.7"
"tnm_stageIV",1.4,"6.61e-01","0.3 to 5.8"
"nmdfs_frac_decayed",1.2,"6.31e-01","0.6 to 2.1"
"age.cat>=65",1.3,"2.99e-01","0.8 to 2.2"
"gendermale",1.6,"7.26e-02","1 to 2.7"
"tnm_stageII",1.2,"6.23e-01","0.6 to 2.1"
"tnm_stageIII",1.5,"1.72e-01","0.8 to 2.7"
"tnm_stageIV",1.4,"6.55e-01","0.3 to 5.8"
"nmdfs_med",1.1,"2.45e-01","1 to 1.2"
"age.cat>=65",1.3,"3.22e-01","0.8 to 2.1"
"gendermale",1.6,"6.54e-02","1 to 2.7"
