"var","hr","pval","hr_ci95"
"cyt.catmed",1.2,"5.46e-01","0.7 to 2"
"cyt.cathigh",0.6,"1.27e-01","0.3 to 1.2"
"cyt.bool1",0.6,"1.16e-01","0.3 to 1.1"
"gendermale",1.6,"7.79e-02","0.9 to 2.7"
"raceblack or african american",0.2,"4.64e-02","0 to 1"
"racewhite",0.3,"4.45e-02","0.1 to 1"
"tnm_stageII",1.1,"7.89e-01","0.6 to 1.9"
"tnm_stageIII",1.4,"2.42e-01","0.8 to 2.5"
"tnm_stageIV",1.6,"5.05e-01","0.4 to 6.7"
"TMB.cathigh",0.9,"5.94e-01","0.6 to 1.4"
"PDL1.catmed",0.9,"5.99e-01","0.5 to 1.5"
"PDL1.cathigh",1,"9.68e-01","0.6 to 1.8"
"age.cat>=65",1.3,"3.76e-01","0.8 to 2.1"
"nmdptc_mut.bool1",0.7,"4.74e-01","0.3 to 1.9"
"nmdfs_mut.bool1",0.8,"3.70e-01","0.5 to 1.3"
"nmdns_mut.bool1",0.7,"3.56e-01","0.3 to 1.6"
"silent",1,"1.76e-01","1 to 1"
"missense",1,"1.14e-01","1 to 1"
"nonstop",1,"9.15e-01","0.7 to 1.6"
"nonsense",1,"1.11e-01","1 to 1"
"frameshift",1,"3.73e-01","0.9 to 1"
"total",1,"1.20e-01","1 to 1"
"GZMA",1,"2.48e-01","1 to 1"
"PRF1",1,"4.72e-01","1 to 1"
"cyt",1,"3.53e-01","1 to 1"
"nmdptc_max",1,"4.52e-01","0.9 to 1.1"
"nmdptc_n_decayed",1,"3.53e-01","1 to 1"
"nmdptc_frac_decayed",0.6,"2.02e-01","0.2 to 1.4"
"nmdptc_med",0.9,"6.36e-01","0.7 to 1.2"
"nmdptc_med.wt",1.2,"4.06e-01","0.8 to 1.6"
"nmdptc_mean",0.9,"4.57e-01","0.7 to 1.2"
"nmdptc_mean.wt",1.1,"4.66e-01","0.8 to 1.6"
"nmdfs_max",1,"3.32e-01","1 to 1.1"
"nmdfs_n_decayed",1,"5.40e-01","1 to 1.1"
"nmdfs_frac_decayed",1.1,"7.57e-01","0.6 to 2"
"nmdfs_med",1,"3.25e-01","1 to 1.2"
"nmdfs_med.wt",1.1,"2.37e-01","1 to 1.2"
"nmdfs_mean",1.1,"3.03e-01","1 to 1.2"
"nmdfs_mean.wt",1.1,"2.37e-01","1 to 1.2"
"nmdns_max",1,"4.36e-01","0.9 to 1.1"
"nmdns_n_decayed",1,"4.00e-01","1 to 1"
"nmdns_frac_decayed",0.6,"2.67e-01","0.3 to 1.4"
"nmdns_med",0.9,"5.49e-01","0.7 to 1.2"
"nmdns_med.wt",1.1,"5.19e-01","0.8 to 1.6"
"nmdns_mean",0.9,"3.47e-01","0.7 to 1.1"
"nmdns_mean.wt",1.1,"6.08e-01","0.8 to 1.5"
"TNFRSF4_cna",1.2,"2.90e-01","0.9 to 1.6"
"CNKSR1_cna",1.1,"5.46e-01","0.8 to 1.6"
"FUBP1_cna",0.9,"3.50e-01","0.6 to 1.2"
"FUBP1_mut",1.3,"4.06e-01","0.7 to 2.7"
"IL10_cna",1,"9.98e-01","0.7 to 1.4"
"IRF6_cna",1.1,"7.58e-01","0.7 to 1.5"
"IRF6_mut",0.6,"4.45e-01","0.2 to 2.1"
"DNMT3A_cna",0.6,"2.11e-02","0.4 to 0.9"
"DNMT3A_mut",0,"9.96e-01","0 to Inf"
"SOS1_cna",0.7,"3.07e-02","0.5 to 1"
"SOS1_mut",0.7,"5.43e-01","0.3 to 2"
"CASP8_cna",0.9,"5.02e-01","0.7 to 1.2"
"CASP8_mut",1.4,"3.48e-01","0.7 to 2.8"
"CTLA4_cna",1.1,"4.59e-01","0.8 to 1.5"
"CTLA4_mut",6.1,"7.73e-02","0.8 to 44.9"
"DNER_cna",0.9,"4.71e-01","0.7 to 1.2"
"DNER_mut",0,"9.96e-01","0 to Inf"
