"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"silent.cat=high",45,23,5.1,"2.6 to NA","0.92 (0.85 to 1)","0.78 (0.66 to 0.93)","0.69 (0.56 to 0.86)","0.57 (0.42 to 0.76)"
"silent.cat=low",46,29,2.7,"1.4 to 5.9","0.87 (0.77 to 0.97)","0.73 (0.61 to 0.87)","0.54 (0.41 to 0.72)","0.33 (0.2 to 0.54)"
"silent.cat=med",84,33,5.2,"3.7 to NA","0.91 (0.85 to 0.98)","0.86 (0.78 to 0.94)","0.74 (0.65 to 0.85)","0.50 (0.38 to 0.66)"
"missense.cat=high",46,21,5.3,"4.7 to NA","0.95 (0.89 to 1)","0.83 (0.72 to 0.97)","0.74 (0.61 to 0.9)","0.61 (0.46 to 0.8)"
"missense.cat=low",45,26,2.9,"1.8 to 7.7","0.91 (0.83 to 1)","0.79 (0.68 to 0.92)","0.61 (0.48 to 0.78)","0.41 (0.27 to 0.62)"
"missense.cat=med",84,38,3.9,"2.5 to NA","0.87 (0.81 to 0.95)","0.80 (0.71 to 0.89)","0.68 (0.58 to 0.8)","0.45 (0.33 to 0.61)"
"nonstop.cat=high",48,21,5.3,"2.7 to NA","0.83 (0.72 to 0.95)","0.73 (0.6 to 0.88)","0.67 (0.54 to 0.84)","0.61 (0.47 to 0.79)"
"nonstop.cat=low",127,64,3.7,"2.9 to 5.7","0.93 (0.88 to 0.97)","0.83 (0.76 to 0.9)","0.68 (0.59 to 0.77)","0.43 (0.34 to 0.55)"
"nonsense.cat=high",46,24,5.1,"2.6 to NA","0.90 (0.81 to 1)","0.79 (0.67 to 0.93)","0.68 (0.54 to 0.85)","0.55 (0.4 to 0.75)"
"nonsense.cat=low",48,27,2.9,"1.8 to 6.3","0.96 (0.9 to 1)","0.82 (0.72 to 0.94)","0.62 (0.49 to 0.79)","0.38 (0.25 to 0.59)"
"nonsense.cat=med",81,34,4.6,"3 to NA","0.87 (0.79 to 0.95)","0.80 (0.71 to 0.89)","0.71 (0.61 to 0.82)","0.50 (0.38 to 0.65)"
"frameshift.cat=high",46,23,3.2,"2 to NA","0.85 (0.74 to 0.97)","0.70 (0.57 to 0.87)","0.61 (0.47 to 0.8)","0.42 (0.27 to 0.64)"
"frameshift.cat=low",56,30,2.9,"2.3 to NA","0.85 (0.76 to 0.95)","0.73 (0.62 to 0.86)","0.65 (0.53 to 0.8)","0.44 (0.31 to 0.62)"
"frameshift.cat=med",73,32,5.1,"3 to 8.2","0.97 (0.93 to 1)","0.91 (0.85 to 0.98)","0.73 (0.63 to 0.85)","0.54 (0.42 to 0.7)"
"total.cat=high",45,23,5.1,"2.7 to NA","0.95 (0.89 to 1)","0.81 (0.69 to 0.95)","0.69 (0.56 to 0.86)","0.56 (0.41 to 0.76)"
"total.cat=low",45,28,2.9,"1.6 to 5.9","0.91 (0.83 to 1)","0.77 (0.65 to 0.91)","0.59 (0.45 to 0.76)","0.34 (0.21 to 0.56)"
"total.cat=med",85,34,5.2,"2.9 to NA","0.87 (0.8 to 0.95)","0.82 (0.74 to 0.91)","0.72 (0.62 to 0.83)","0.51 (0.39 to 0.66)"
"GZMA.cat=high",44,18,7.7,"4.6 to NA","0.92 (0.85 to 1)","0.85 (0.74 to 0.97)","0.74 (0.62 to 0.89)","0.60 (0.45 to 0.8)"
"GZMA.cat=low",43,21,2.9,"2.3 to NA","0.95 (0.89 to 1)","0.79 (0.67 to 0.93)","0.68 (0.54 to 0.85)","0.46 (0.31 to 0.68)"
"GZMA.cat=med",88,46,3.7,"2.6 to 5.4","0.86 (0.79 to 0.94)","0.79 (0.7 to 0.88)","0.64 (0.54 to 0.76)","0.43 (0.31 to 0.58)"
"PRF1.cat=high",44,19,7.7,"3.2 to NA","0.93 (0.85 to 1)","0.85 (0.75 to 0.97)","0.77 (0.65 to 0.92)","0.58 (0.43 to 0.78)"
"PRF1.cat=low",43,22,2.9,"2.4 to NA","0.95 (0.89 to 1)","0.79 (0.67 to 0.93)","0.67 (0.54 to 0.85)","0.37 (0.22 to 0.61)"
"PRF1.cat=med",88,44,3.7,"2.3 to 5.7","0.87 (0.79 to 0.94)","0.79 (0.7 to 0.88)","0.62 (0.52 to 0.75)","0.48 (0.36 to 0.62)"
"cyt.cat=high",44,17,7.7,"4.6 to NA","0.92 (0.85 to 1)","0.85 (0.74 to 0.97)","0.74 (0.62 to 0.89)","0.60 (0.44 to 0.8)"
