"var","hr","pval","hr_ci95"
"cyt.catmed",0.8,"2.76e-01","0.5 to 1.2"
"cyt.cathigh",0.8,"4.69e-01","0.5 to 1.3"
"age.cat>=65",1.5,"1.41e-02","1.1 to 2.1"
"cyt.bool1",0.8,"4.01e-01","0.5 to 1.3"
"age.cat>=65",1.9,"7.19e-03","1.2 to 3.1"
"TMB.cathigh",0.5,"4.21e-04","0.4 to 0.8"
"age.cat>=65",1.5,"1.78e-02","1.1 to 2.1"
"PDL1.cat0positive",0.6,"6.22e-01","0.1 to 4.4"
"age.cat>=65",1.5,"2.15e-02","1.1 to 2.1"
"PDL1.catmed",0.7,"5.07e-02","0.5 to 1"
"PDL1.cathigh",1.3,"1.90e-01","0.9 to 2.1"
"age.cat>=65",1.5,"1.18e-02","1.1 to 2.2"
"nmdptc_mut.bool1",1,"7.81e-01","0.7 to 1.4"
"age.cat>=65",1.5,"1.80e-02","1.1 to 2.1"
"nmdfs_mut.bool1",0.8,"1.44e-01","0.6 to 1.1"
"age.cat>=65",1.5,"1.71e-02","1.1 to 2.1"
"nmdns_mut.bool1",0.8,"3.32e-01","0.6 to 1.2"
"age.cat>=65",1.5,"1.37e-02","1.1 to 2.1"
"silent",1,"1.60e-01","1 to 1"
"age.cat>=65",1.5,"1.48e-02","1.1 to 2.1"
"missense",1,"1.08e-02","1 to 1"
"age.cat>=65",1.6,"1.05e-02","1.1 to 2.2"
"nonstop",0.8,"6.30e-01","0.3 to 2"
"age.cat>=65",1.5,"1.81e-02","1.1 to 2.1"
"nonsense",0.9,"9.17e-02","0.8 to 1"
"age.cat>=65",1.6,"8.00e-03","1.1 to 2.2"
"frameshift",0.9,"1.05e-01","0.8 to 1"
"age.cat>=65",1.5,"1.35e-02","1.1 to 2.1"
"total",1,"2.07e-02","1 to 1"
"age.cat>=65",1.5,"1.08e-02","1.1 to 2.2"
"GZMA",1,"4.79e-01","1 to 1"
"age.cat>=65",1.5,"1.99e-02","1.1 to 2.1"
"PRF1",1,"9.11e-01","0.9 to 1.1"
