"var","hr","pval","hr_ci95"
"cyt.catmed",0.9,"6.53e-01","0.6 to 1.4"
"cyt.cathigh",0.8,"3.80e-01","0.4 to 1.4"
"age.cat>=65",1.6,"1.07e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.90e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"1.15e-01","0.5 to 1.1"
"PDL1.cathigh",1.4,"2.68e-01","0.8 to 2.4"
"cyt.bool1",0.4,"3.12e-02","0.2 to 0.9"
"age.cat>=65",2.5,"6.64e-04","1.5 to 4.2"
"TMB.cathigh",1,"8.57e-01","0.6 to 1.6"
"PDL1.catmed",0.9,"8.64e-01","0.5 to 1.8"
"PDL1.cathigh",3.5,"1.01e-02","1.3 to 9.1"
"TMB.cathigh",0.6,"1.07e-03","0.4 to 0.8"
"age.cat>=65",1.5,"1.33e-02","1.1 to 2.2"
"PDL1.catmed",0.7,"3.38e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.61e-01","0.8 to 1.9"
"PDL1.cat0positive",0.9,"9.42e-01","0.1 to 6.9"
"age.cat>=65",1.5,"1.39e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.13e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.57e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.59e-01","0.8 to 1.9"
"PDL1.catmed",0.7,"3.38e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.61e-01","0.8 to 1.9"
"age.cat>=65",1.5,"1.33e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.07e-03","0.4 to 0.8"
"nmdptc_mut.bool1",0.9,"7.62e-01","0.7 to 1.3"
"age.cat>=65",1.5,"1.28e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.09e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.42e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.61e-01","0.8 to 1.9"
"nmdfs_mut.bool1",0.8,"2.74e-01","0.6 to 1.2"
"age.cat>=65",1.5,"1.34e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.36e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.54e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.82e-01","0.7 to 1.8"
"nmdns_mut.bool1",0.9,"3.53e-01","0.6 to 1.2"
"age.cat>=65",1.6,"1.07e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.30e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.33e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.59e-01","0.8 to 1.9"
"silent",1,"3.07e-01","1 to 1"
"age.cat>=65",1.5,"1.59e-02","1.1 to 2.1"
"TMB.cathigh",0.5,"1.77e-03","0.3 to 0.8"
"PDL1.catmed",0.7,"4.37e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.21e-01","0.8 to 1.9"
"missense",1,"9.41e-01","1 to 1"
"age.cat>=65",1.5,"1.40e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"3.00e-02","0.3 to 0.9"
"PDL1.catmed",0.7,"3.50e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.59e-01","0.8 to 1.9"
