"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"silent.cat=high",64,32,4,"3.4 to 5.5","0.92 (0.86 to 0.99)","0.90 (0.83 to 0.98)","0.83 (0.74 to 0.94)","0.33 (0.21 to 0.52)"
"silent.cat=low",73,47,3,"2.7 to 4.3","0.93 (0.87 to 0.99)","0.88 (0.81 to 0.96)","0.71 (0.61 to 0.84)","0.25 (0.15 to 0.4)"
"silent.cat=med",111,68,3.7,"3.2 to 4.8","0.96 (0.93 to 1)","0.94 (0.9 to 0.99)","0.81 (0.74 to 0.9)","0.34 (0.25 to 0.46)"
"missense.cat=high",68,30,4.5,"4 to 6.1","0.94 (0.89 to 1)","0.92 (0.86 to 0.99)","0.90 (0.83 to 0.98)","0.42 (0.29 to 0.6)"
"missense.cat=low",63,44,3.7,"2.6 to 4.3","0.92 (0.85 to 0.99)","0.88 (0.81 to 0.97)","0.72 (0.61 to 0.85)","0.26 (0.16 to 0.42)"
"missense.cat=med",117,73,3.2,"2.8 to 4.3","0.96 (0.92 to 0.99)","0.93 (0.88 to 0.98)","0.77 (0.69 to 0.86)","0.28 (0.2 to 0.4)"
"nonsense.cat=high",96,50,4.1,"3.4 to 5.5","0.98 (0.95 to 1)","0.95 (0.91 to 1)","0.88 (0.81 to 0.96)","0.40 (0.29 to 0.54)"
"nonsense.cat=low",87,54,3.3,"2.8 to 4.3","0.94 (0.89 to 0.99)","0.93 (0.87 to 0.99)","0.76 (0.67 to 0.86)","0.29 (0.2 to 0.43)"
"nonsense.cat=med",65,43,3.3,"2.9 to 4.3","0.89 (0.82 to 0.97)","0.84 (0.75 to 0.94)","0.70 (0.59 to 0.83)","0.20 (0.11 to 0.37)"
"frameshift.cat=high",70,35,4,"3.4 to 5.9","0.96 (0.91 to 1)","0.94 (0.88 to 1)","0.83 (0.73 to 0.93)","0.39 (0.26 to 0.57)"
"frameshift.cat=low",98,58,3.3,"2.8 to 4.1","0.90 (0.84 to 0.96)","0.85 (0.78 to 0.92)","0.70 (0.61 to 0.81)","0.29 (0.2 to 0.43)"
"frameshift.cat=med",80,54,3.8,"3.2 to 4.8","0.99 (0.96 to 1)","0.97 (0.94 to 1)","0.86 (0.78 to 0.94)","0.27 (0.18 to 0.41)"
"total.cat=high",63,30,4.1,"3.6 to 5.7","0.94 (0.88 to 1)","0.92 (0.85 to 0.99)","0.87 (0.78 to 0.97)","0.37 (0.24 to 0.57)"
"total.cat=low",65,44,3.7,"2.6 to 4.3","0.92 (0.86 to 0.99)","0.89 (0.81 to 0.97)","0.70 (0.59 to 0.83)","0.26 (0.16 to 0.43)"
"total.cat=med",120,73,3.3,"2.9 to 4.6","0.96 (0.92 to 0.99)","0.93 (0.88 to 0.98)","0.80 (0.72 to 0.88)","0.31 (0.22 to 0.42)"
"GZMA.cat=high",62,32,4.1,"2.9 to 5.2","0.92 (0.85 to 0.99)","0.92 (0.85 to 0.99)","0.77 (0.66 to 0.9)","0.36 (0.23 to 0.55)"
"GZMA.cat=low",63,42,3.3,"3 to 4.6","0.93 (0.88 to 1)","0.90 (0.82 to 0.98)","0.77 (0.67 to 0.9)","0.24 (0.14 to 0.41)"
"GZMA.cat=med",123,73,3.8,"3.3 to 4.3","0.96 (0.92 to 0.99)","0.92 (0.87 to 0.97)","0.80 (0.73 to 0.88)","0.32 (0.23 to 0.43)"
"PRF1.cat=high",62,34,4,"2.8 to 5.2","0.90 (0.83 to 0.98)","0.88 (0.81 to 0.97)","0.74 (0.63 to 0.87)","0.36 (0.23 to 0.54)"
"PRF1.cat=low",63,42,3.3,"2.8 to 4.1","0.97 (0.92 to 1)","0.93 (0.87 to 1)","0.75 (0.64 to 0.88)","0.21 (0.12 to 0.38)"
"PRF1.cat=med",123,71,4,"3.4 to 4.6","0.95 (0.91 to 0.99)","0.92 (0.87 to 0.97)","0.83 (0.76 to 0.91)","0.34 (0.25 to 0.46)"
"cyt.cat=high",62,34,4.1,"2.9 to 5.2","0.89 (0.81 to 0.97)","0.87 (0.78 to 0.96)","0.76 (0.65 to 0.89)","0.36 (0.24 to 0.55)"
"cyt.cat=low",63,41,3.5,"3 to 4.6","0.98 (0.95 to 1)","0.94 (0.89 to 1)","0.80 (0.7 to 0.92)","0.25 (0.15 to 0.42)"
