"var","hr","pval","hr_ci95"
"cyt.catmed",0.6,"5.44e-01","0.1 to 3"
"cyt.cathigh",0.3,"3.60e-01","0 to 3.4"
"cyt.bool1",0.4,"3.77e-01","0 to 3.5"
"raceblack or african american",1,"1.00e+00","0 to Inf"
"racewhite",72163305.3,"1.00e+00","0 to Inf"
"TMB.cathigh",0.8,"7.73e-01","0.2 to 3.6"
"PDL1.catmed",0.5,"4.15e-01","0.1 to 2.6"
"PDL1.cathigh",0.4,"4.38e-01","0 to 4"
"age.cat>=65",2.4,"2.83e-01","0.5 to 12"
"nmdptc_mut.bool1",0.5,"4.36e-01","0.1 to 2.7"
"nmdfs_mut.bool1",0.2,"5.84e-02","0 to 1.1"
"nmdns_mut.bool1",1.4,"6.70e-01","0.3 to 7.5"
"silent",1,"7.43e-01","1 to 1"
"missense",1,"8.79e-01","1 to 1"
"nonstop",0,"9.99e-01","0 to Inf"
"nonsense",1.1,"6.34e-01","0.8 to 1.3"
"frameshift",0.4,"8.24e-02","0.1 to 1.1"
"total",1,"8.72e-01","1 to 1"
"GZMA",0.9,"5.15e-01","0.7 to 1.2"
"PRF1",1,"8.64e-01","0.6 to 1.5"
"cyt",0.9,"6.37e-01","0.7 to 1.3"
"nmdptc_max",1,"5.19e-01","0.9 to 1.2"
"nmdptc_n_decayed",1,"6.43e-01","1 to 1"
"nmdptc_frac_decayed",8.1,"1.39e-01","0.5 to 130.5"
"nmdptc_med",1.2,"3.57e-01","0.8 to 1.7"
"nmdptc_med.wt",1.2,"3.43e-01","0.8 to 1.8"
"nmdptc_mean",1.2,"3.48e-01","0.8 to 1.7"
"nmdptc_mean.wt",1.2,"3.22e-01","0.8 to 1.8"
"nmdfs_max",1.1,"1.02e-01","1 to 1.3"
"nmdfs_n_decayed",1,"8.45e-02","1 to 1"
"nmdfs_frac_decayed",6.91399397023414e+31,"9.98e-01","0 to Inf"
"nmdfs_med",1.5,"6.02e-02","1 to 2.3"
"nmdfs_med.wt",1.5,"5.86e-02","1 to 2.3"
"nmdfs_mean",1.5,"6.04e-02","1 to 2.3"
"nmdfs_mean.wt",1.5,"5.86e-02","1 to 2.3"
"nmdns_max",1,"7.38e-01","0.9 to 1.1"
"nmdns_n_decayed",1,"4.99e-01","1 to 1"
"nmdns_frac_decayed",4.2,"2.69e-01","0.3 to 52.4"
"nmdns_med",1,"9.05e-01","0.7 to 1.4"
"nmdns_med.wt",1,"9.20e-01","0.7 to 1.4"
"nmdns_mean",1,"9.75e-01","0.7 to 1.4"
"nmdns_mean.wt",1,"8.89e-01","0.7 to 1.4"
"TNFRSF4_cna",0.6,"6.03e-01","0.1 to 4.5"
"CNKSR1_cna",3.9,"3.55e-01","0.2 to 71.4"
"FUBP1_cna",0.9,"8.67e-01","0.2 to 4.8"
"IL10_cna",0.8,"8.98e-01","0.1 to 11.8"
"IRF6_cna",0.2,"1.58e-02","0.1 to 0.8"
"DNMT3A_cna",2.2,"3.23e-01","0.5 to 10.6"
"DNMT3A_mut",0,"9.99e-01","0 to Inf"
"SOS1_cna",4.9,"1.13e-01","0.7 to 35.1"
"CASP8_cna",3.5,"2.43e-01","0.4 to 28.4"
"CTLA4_cna",6.5,"7.47e-02","0.8 to 50.4"
"DNER_cna",1.7,"6.79e-01","0.1 to 23.8"
"PDCD1_cna",0.2,"4.06e-02","0.1 to 0.9"
"SLC22A14_cna",1.4,"7.48e-01","0.2 to 9.6"
"PIK3CA_cna",1.2,"7.49e-01","0.4 to 4.1"
"CXCL9_cna",1.2,"8.94e-01","0.1 to 9.6"
"CXCL10_cna",1.2,"8.94e-01","0.1 to 9.6"
"CXCL11_cna",1.2,"8.94e-01","0.1 to 9.6"
"TET2_cna",1.9,"5.53e-01","0.2 to 17.6"
"IL2_cna",1.7,"6.04e-01","0.2 to 11"
"IRF1_cna",0.8,"8.10e-01","0.2 to 4.1"
"HAVCR2_cna",0.6,"6.87e-01","0.1 to 7.1"
"HAVCR2_mut",0,"9.99e-01","0 to Inf"
"TAP1_cna",4,"1.74e-01","0.5 to 29"
"IFNGR1_cna",2.5,"4.70e-01","0.2 to 29.7"
"MUC17_cna",0.5,"2.41e-01","0.1 to 1.6"
"MET_cna",0.5,"2.55e-01","0.1 to 1.7"
"IDO1_cna",0.4,"1.01e-01","0.2 to 1.2"
"JAK2_cna",2.2,"3.17e-01","0.5 to 9.8"
"CD274_cna",2.2,"3.08e-01","0.5 to 10.2"
"COL5A1_cna",2.3,"2.81e-01","0.5 to 10.7"
"ARID5B_cna",0.6,"5.51e-01","0.1 to 2.9"
"OVOL1_cna",0.4,"4.56e-01","0 to 4.8"
"LAG3_cna",0.9,"8.40e-01","0.2 to 3.9"
"ARID2_cna",2.2,"3.13e-01","0.5 to 10.3"
"ARID2_mut",0,"9.99e-01","0 to Inf"
"IFNG_cna",0.9,"9.47e-01","0.2 to 4.8"
"TCP11L2_cna",0.9,"9.50e-01","0.1 to 6.4"
"B2M_cna",1.2,"8.41e-01","0.2 to 7.6"
"B2M_mut",0,"9.99e-01","0 to Inf"
"TP53_cna",1,"9.48e-01","0.3 to 3"
"TP53_mut",1.7,"5.37e-01","0.3 to 9.1"
"TMEM88_cna",0.7,"5.21e-01","0.2 to 2"
"MYOCD_cna",2,"4.25e-01","0.4 to 10.7"
"NCOR1_cna",3.3,"2.04e-01","0.5 to 20.7"
"NCOR1_mut",0,"9.99e-01","0 to Inf"
"NF1_cna",0.6,"6.40e-01","0.1 to 4.5"
"ALPK2_cna",0.9,"9.16e-01","0.3 to 3"
"LPAR2_cna",1,"9.87e-01","0.1 to 15.5"
"TGFB1_cna",0.3,"2.59e-01","0 to 2.3"
"CIC_cna",0.3,"2.22e-02","0.1 to 0.8"
"CSNK2A1_cna",0.6,"4.92e-01","0.1 to 2.8"
"ASXL1_cna",1.4,"6.88e-01","0.2 to 8.6"
"IFNGR2_cna",0.7,"7.63e-01","0.1 to 5.7"
"EP300_cna",0.3,"1.89e-01","0.1 to 1.7"
"DDX3X_cna",0.1,"2.36e-02","0 to 0.8"
"SSX5_cna",0.1,"2.36e-02","0 to 0.8"
"FOXP3_cna",0.1,"1.88e-02","0 to 0.7"
"SMC1A_cna",0.2,"2.38e-02","0 to 0.8"
"MORC4_cna",0.2,"2.34e-02","0 to 0.8"
"CUL4B_cna",0.1,"1.05e-02","0 to 0.6"
"TMB",1,"9.13e-01","0.6 to 1.9"
"PDL1",1,"3.59e-01","1 to 1"
"silent.catmed",0.9,"9.56e-01","0.1 to 14.8"
"silent.cathigh",6.6,"8.61e-02","0.8 to 56.7"
"missense.catmed",2.3,"4.55e-01","0.3 to 21"
"missense.cathigh",2,"5.71e-01","0.2 to 22.5"
"nonsense.catmed",2.3,"4.98e-01","0.2 to 25.9"
"nonsense.cathigh",4.4,"1.91e-01","0.5 to 41"
"frameshift.catmed",0.7,"6.65e-01","0.2 to 3.2"
"frameshift.cathigh",0,"9.98e-01","0 to Inf"
"total.catmed",316484915.5,"9.99e-01","0 to Inf"
"total.cathigh",254373830.3,"9.99e-01","0 to Inf"
"GZMA.catmed",0.6,"5.22e-01","0.1 to 2.9"
"GZMA.cathigh",0.4,"4.09e-01","0 to 3.8"
"PRF1.catmed",1.2,"8.19e-01","0.2 to 7"
"PRF1.cathigh",0.5,"5.52e-01","0 to 5.3"
"nmdptc_max.catmed",306825064.9,"9.99e-01","0 to Inf"
"nmdptc_max.cathigh",231811818,"9.99e-01","0 to Inf"
"nmdptc_n_decayed.catmed",1.6,"6.05e-01","0.3 to 9.7"
"nmdptc_n_decayed.cathigh",1.2,"8.45e-01","0.2 to 7.2"
"nmdptc_frac_decayed.catmed",0.7,"8.27e-01","0 to 12"
"nmdptc_frac_decayed.cathigh",3.4,"2.64e-01","0.4 to 29.3"
"nmdptc_med.catmed",3.2,"3.09e-01","0.3 to 30.8"
"nmdptc_med.cathigh",2.7,"4.27e-01","0.2 to 30.7"
"nmdptc_med.wt.catmed",1.9,"5.90e-01","0.2 to 18.1"
"nmdptc_med.wt.cathigh",3.4,"2.91e-01","0.4 to 33"
"nmdptc_mean.catmed",0.9,"8.95e-01","0.1 to 7.1"
"nmdptc_mean.cathigh",2.1,"4.29e-01","0.3 to 13.5"
"nmdptc_mean.wt.catmed",2.3,"4.75e-01","0.2 to 23.8"
"nmdptc_mean.wt.cathigh",3.9,"2.45e-01","0.4 to 38.9"
"nmdfs_max.catmed",62479877.8,"9.98e-01","0 to Inf"
"nmdfs_max.cathigh",203474576.8,"9.98e-01","0 to Inf"
"nmdfs_n_decayed.catmed",0,"9.98e-01","0 to Inf"
"nmdfs_n_decayed.cathigh",3.6,"1.31e-01","0.7 to 19.6"
"nmdfs_frac_decayed.catmed",1,"1.00e+00","0 to Inf"
"nmdfs_frac_decayed.cathigh",380408375.2,"9.99e-01","0 to Inf"
"nmdfs_med.catmed",175942541.8,"9.99e-01","0 to Inf"
"nmdfs_med.cathigh",536582589.3,"9.99e-01","0 to Inf"
"nmdfs_med.wt.catmed",175951324.5,"9.99e-01","0 to Inf"
"nmdfs_med.wt.cathigh",536785107.8,"9.99e-01","0 to Inf"
"nmdfs_mean.catmed",180458557.2,"9.99e-01","0 to Inf"
"nmdfs_mean.cathigh",538066260.1,"9.99e-01","0 to Inf"
"nmdfs_mean.wt.catmed",176758458.1,"9.99e-01","0 to Inf"
"nmdfs_mean.wt.cathigh",537173110.9,"9.99e-01","0 to Inf"
"nmdns_max.catmed",700586444,"9.99e-01","0 to Inf"
"nmdns_max.cathigh",258310250,"9.99e-01","0 to Inf"
"nmdns_n_decayed.catmed",0.7,"7.59e-01","0.1 to 6.6"
"nmdns_n_decayed.cathigh",0.6,"5.89e-01","0.1 to 3.5"
"nmdns_frac_decayed.catmed",1.2,"9.00e-01","0.1 to 19.2"
"nmdns_frac_decayed.cathigh",2.5,"4.13e-01","0.3 to 22.7"
