"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"silent.cat=high",96,5,NA,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.96 (0.91 to 1)","0.93 (0.86 to 1)"
"silent.cat=low",114,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.95 to 1)"
"silent.cat=med",122,1,9.5,"9.5 to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"missense.cat=high",93,2,NA,"NA to NA","0.99 (0.96 to 1)","0.99 (0.96 to 1)","0.97 (0.93 to 1)","0.97 (0.93 to 1)"
"missense.cat=low",88,1,9.5,"9.5 to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"missense.cat=med",151,4,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.97 to 1)","0.96 (0.91 to 1)"
"nonsense.cat=high",102,4,NA,"9.5 to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.97 (0.94 to 1)","0.97 (0.94 to 1)"
"nonsense.cat=low",126,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)"
"nonsense.cat=med",104,2,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.95 (0.89 to 1)"
"frameshift.cat=high",106,0,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"frameshift.cat=low",109,4,9.5,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.96 (0.91 to 1)"
"frameshift.cat=med",117,3,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.97 (0.94 to 1)","0.95 (0.91 to 1)"
