"var","hr","pval","hr_ci95"
"cyt.catmed",0.5,"2.45e-04","0.3 to 0.7"
"cyt.cathigh",0.4,"3.31e-05","0.2 to 0.6"
"age.cat>=65",1.7,"3.46e-03","1.2 to 2.4"
"gendermale",1.2,"2.38e-01","0.9 to 1.7"
"tnm_stageI",0.9,"7.75e-01","0.3 to 2.4"
"tnm_stageI/II NOS",0.3,"1.14e-01","0.1 to 1.4"
"tnm_stageII",1,"9.24e-01","0.3 to 2.7"
"tnm_stageIII",1.5,"4.16e-01","0.5 to 4.2"
"tnm_stageIV",2.9,"8.74e-02","0.9 to 9.9"
"cyt.bool1",0.4,"1.54e-05","0.2 to 0.6"
"age.cat>=65",1.9,"1.26e-02","1.1 to 3.1"
"gendermale",1.1,"7.64e-01","0.7 to 1.7"
"tnm_stageI",0.7,"5.40e-01","0.2 to 2.4"
"tnm_stageI/II NOS",0.1,"7.65e-02","0 to 1.2"
"tnm_stageII",0.7,"6.04e-01","0.2 to 2.5"
"tnm_stageIII",1.8,"3.49e-01","0.5 to 6"
"tnm_stageIV",2.3,"3.21e-01","0.4 to 12"
"TMB.cathigh",0.6,"4.70e-04","0.4 to 0.8"
"age.cat>=65",1.7,"3.35e-03","1.2 to 2.4"
"gendermale",1.4,"6.91e-02","1 to 1.9"
"tnm_stageI",0.9,"7.68e-01","0.3 to 2.4"
"tnm_stageI/II NOS",0.4,"2.57e-01","0.1 to 1.9"
"tnm_stageII",1.2,"7.05e-01","0.4 to 3.5"
"tnm_stageIII",1.6,"3.59e-01","0.6 to 4.5"
"tnm_stageIV",2.5,"1.38e-01","0.7 to 8.5"
"PDL1.cat0positive",1.3,"7.70e-01","0.2 to 9.7"
"age.cat>=65",1.6,"6.27e-03","1.1 to 2.3"
"gendermale",1.2,"3.06e-01","0.9 to 1.7"
"tnm_stageI",0.8,"6.10e-01","0.3 to 2.2"
"tnm_stageI/II NOS",0.4,"1.81e-01","0.1 to 1.6"
"tnm_stageII",1,"9.70e-01","0.4 to 2.9"
"tnm_stageIII",1.4,"5.25e-01","0.5 to 3.9"
"tnm_stageIV",2.3,"1.74e-01","0.7 to 7.8"
"PDL1.catmed",0.5,"1.40e-04","0.3 to 0.7"
"PDL1.cathigh",0.3,"2.71e-06","0.2 to 0.5"
"age.cat>=65",1.8,"1.76e-03","1.2 to 2.5"
"gendermale",1.2,"2.05e-01","0.9 to 1.7"
"tnm_stageI",1.1,"8.12e-01","0.4 to 3.3"
"tnm_stageI/II NOS",0.3,"1.43e-01","0.1 to 1.5"
"tnm_stageII",1.3,"6.68e-01","0.4 to 3.6"
"tnm_stageIII",2,"1.95e-01","0.7 to 5.6"
"tnm_stageIV",3.4,"5.41e-02","1 to 11.5"
