"var","hr","pval","hr_ci95"
"msiMSS",1.7,"3.05e-01","0.6 to 4.4"
"msiX",1.3,"5.61e-01","0.5 to 3.4"
"age.cat>=65",1.3,"2.28e-01","0.8 to 2.1"
"gendermale",0.9,"7.83e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.57e-01","0.6 to 3.1"
"tnm_stageIII",2.4,"2.57e-02","1.1 to 5.3"
"tnm_stageIV",3.7,"6.45e-03","1.4 to 9.5"
"cyt.catmed",0.7,"1.64e-01","0.4 to 1.2"
"cyt.cathigh",0.8,"3.39e-01","0.4 to 1.3"
"age.cat>=65",1.3,"2.55e-01","0.8 to 2"
"gendermale",0.9,"6.55e-01","0.6 to 1.4"
"tnm_stageII",1.3,"5.10e-01","0.6 to 3"
"tnm_stageIII",2.5,"2.35e-02","1.1 to 5.4"
"tnm_stageIV",3.9,"5.27e-03","1.5 to 10"
"cyt.bool1",0.7,"3.25e-01","0.4 to 1.3"
"age.cat>=65",1.2,"6.36e-01","0.6 to 2.1"
"gendermale",0.8,"4.38e-01","0.4 to 1.5"
"tnm_stageII",0.8,"6.23e-01","0.3 to 2.1"
"tnm_stageIII",1.9,"1.95e-01","0.7 to 4.8"
"tnm_stageIV",1.8,"4.13e-01","0.4 to 8"
"TMB.cathigh",0.7,"1.51e-01","0.5 to 1.1"
"age.cat>=65",1.3,"1.88e-01","0.9 to 2.1"
"gendermale",1,"8.83e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.83e-01","0.6 to 3"
"tnm_stageIII",2.5,"2.36e-02","1.1 to 5.3"
"tnm_stageIV",3.7,"6.16e-03","1.5 to 9.6"
"PDL1.catmed",0.8,"3.62e-01","0.5 to 1.3"
"PDL1.cathigh",0.9,"7.33e-01","0.5 to 1.6"
"age.cat>=65",1.3,"2.42e-01","0.8 to 2"
"gendermale",1,"9.17e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.98e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.43e-02","1.1 to 5.3"
"tnm_stageIV",3.7,"6.62e-03","1.4 to 9.6"
"nmdptc_mut.bool1",1,"9.85e-01","0.4 to 2.8"
"age.cat>=65",1.3,"2.34e-01","0.8 to 2"
"gendermale",1,"8.89e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.93e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.46e-02","1.1 to 5.3"
"tnm_stageIV",3.8,"6.00e-03","1.5 to 9.7"
"nmdfs_mut.bool1",0.9,"7.12e-01","0.5 to 1.6"
"age.cat>=65",1.3,"2.37e-01","0.8 to 2"
"gendermale",1,"8.65e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.96e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.74e-02","1.1 to 5.2"
"tnm_stageIV",3.8,"5.63e-03","1.5 to 9.8"
"nmdns_mut.bool1",0.6,"1.39e-01","0.4 to 1.2"
"age.cat>=65",1.4,"1.81e-01","0.9 to 2.1"
"gendermale",1,"9.52e-01","0.6 to 1.6"
"tnm_stageII",1.3,"4.99e-01","0.6 to 3"
"tnm_stageIII",2.5,"2.19e-02","1.1 to 5.4"
"tnm_stageIV",4.1,"3.85e-03","1.6 to 10.5"
"silent",1,"4.83e-02","1 to 1"
"age.cat>=65",1.4,"1.69e-01","0.9 to 2.1"
"gendermale",0.9,"7.32e-01","0.6 to 1.4"
"tnm_stageII",1.4,"4.21e-01","0.6 to 3.1"
"tnm_stageIII",2.4,"2.78e-02","1.1 to 5.2"
"tnm_stageIV",3.9,"4.80e-03","1.5 to 10"
"missense",1,"5.90e-02","1 to 1"
"age.cat>=65",1.3,"1.82e-01","0.9 to 2.1"
"gendermale",0.9,"7.54e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.28e-01","0.6 to 3.1"
"tnm_stageIII",2.4,"2.80e-02","1.1 to 5.2"
"tnm_stageIV",3.9,"4.54e-03","1.5 to 10.1"
"nonstop",0.8,"1.81e-01","0.6 to 1.1"
"age.cat>=65",1.3,"1.97e-01","0.9 to 2.1"
"gendermale",1,"8.72e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.16e-01","0.6 to 3.2"
"tnm_stageIII",2.6,"1.70e-02","1.2 to 5.6"
"tnm_stageIV",4,"4.02e-03","1.6 to 10.3"
"nonsense",1,"1.50e-01","1 to 1"
"age.cat>=65",1.4,"1.81e-01","0.9 to 2.1"
"gendermale",0.9,"7.84e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.36e-01","0.6 to 3.1"
"tnm_stageIII",2.4,"2.80e-02","1.1 to 5.2"
"tnm_stageIV",4,"3.73e-03","1.6 to 10.4"
"frameshift",1,"8.03e-02","1 to 1"
"age.cat>=65",1.4,"1.49e-01","0.9 to 2.2"
"gendermale",0.9,"6.62e-01","0.6 to 1.4"
"tnm_stageII",1.4,"4.27e-01","0.6 to 3.1"
"tnm_stageIII",2.4,"2.75e-02","1.1 to 5.2"
"tnm_stageIV",3.6,"8.90e-03","1.4 to 9.2"
"total",1,"4.75e-02","1 to 1"
"age.cat>=65",1.4,"1.73e-01","0.9 to 2.1"
"gendermale",0.9,"7.30e-01","0.6 to 1.4"
"tnm_stageII",1.4,"4.26e-01","0.6 to 3.1"
"tnm_stageIII",2.4,"2.83e-02","1.1 to 5.2"
"tnm_stageIV",3.9,"4.78e-03","1.5 to 10.1"
"GZMA",1,"9.36e-01","1 to 1"
"age.cat>=65",1.3,"2.36e-01","0.8 to 2"
"gendermale",1,"8.86e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.90e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.46e-02","1.1 to 5.3"
"tnm_stageIV",3.8,"6.04e-03","1.5 to 9.7"
"PRF1",1,"1.70e-01","1 to 1"
"age.cat>=65",1.3,"2.55e-01","0.8 to 2"
"gendermale",1,"8.91e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.63e-01","0.6 to 3"
"tnm_stageIII",2.5,"1.86e-02","1.2 to 5.5"
"tnm_stageIV",3.8,"5.55e-03","1.5 to 9.8"
"cyt",1,"3.96e-01","1 to 1"
"age.cat>=65",1.3,"2.51e-01","0.8 to 2"
"gendermale",1,"8.75e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.51e-01","0.6 to 3.1"
"tnm_stageIII",2.5,"1.96e-02","1.2 to 5.5"
"tnm_stageIV",3.9,"5.23e-03","1.5 to 9.9"
"nmdptc_max",0.9,"1.86e-01","0.9 to 1"
"age.cat>=65",1.4,"1.75e-01","0.9 to 2.1"
"gendermale",0.9,"7.69e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.09e-01","0.6 to 3.2"
"tnm_stageIII",2.5,"2.24e-02","1.1 to 5.4"
"tnm_stageIV",3.8,"5.67e-03","1.5 to 9.7"
"nmdptc_n_decayed",1,"2.45e-01","1 to 1"
"age.cat>=65",1.3,"1.95e-01","0.9 to 2.1"
"gendermale",0.9,"8.00e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.15e-01","0.6 to 3.2"
"tnm_stageIII",2.5,"2.13e-02","1.1 to 5.4"
"tnm_stageIV",3.8,"5.59e-03","1.5 to 9.8"
"nmdptc_frac_decayed",0.8,"6.05e-01","0.4 to 1.7"
"age.cat>=65",1.3,"2.05e-01","0.9 to 2.1"
"gendermale",1,"8.70e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.82e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.62e-02","1.1 to 5.2"
"tnm_stageIV",3.8,"5.86e-03","1.5 to 9.7"
"nmdptc_med",0.9,"2.19e-01","0.7 to 1.1"
"age.cat>=65",1.4,"1.50e-01","0.9 to 2.2"
"gendermale",1,"8.96e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.45e-01","0.6 to 3.1"
"tnm_stageIII",2.5,"2.27e-02","1.1 to 5.3"
"tnm_stageIV",3.8,"5.40e-03","1.5 to 9.8"
"nmdptc_med.wt",0.8,"2.15e-01","0.6 to 1.1"
"age.cat>=65",1.4,"1.63e-01","0.9 to 2.2"
"gendermale",1,"8.86e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.11e-01","0.6 to 3.2"
"tnm_stageIII",2.5,"1.81e-02","1.2 to 5.5"
"tnm_stageIV",3.9,"4.67e-03","1.5 to 10"
"nmdptc_mean",0.9,"2.50e-01","0.7 to 1.1"
"age.cat>=65",1.4,"1.63e-01","0.9 to 2.2"
"gendermale",1,"8.73e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.58e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.46e-02","1.1 to 5.3"
"tnm_stageIV",3.8,"5.60e-03","1.5 to 9.7"
"nmdptc_mean.wt",0.8,"2.41e-01","0.6 to 1.1"
"age.cat>=65",1.4,"1.69e-01","0.9 to 2.1"
"gendermale",1,"8.81e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.18e-01","0.6 to 3.1"
"tnm_stageIII",2.5,"1.89e-02","1.2 to 5.5"
"tnm_stageIV",3.9,"4.82e-03","1.5 to 10"
"nmdfs_max",1,"8.09e-01","0.9 to 1.1"
"age.cat>=65",1.3,"2.27e-01","0.8 to 2"
"gendermale",1,"8.90e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.89e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.37e-02","1.1 to 5.3"
"tnm_stageIV",3.7,"6.95e-03","1.4 to 9.6"
"nmdfs_n_decayed",1,"8.10e-01","1 to 1"
"age.cat>=65",1.3,"2.28e-01","0.8 to 2"
"gendermale",1,"8.93e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.87e-01","0.6 to 3"
"tnm_stageIII",2.5,"2.35e-02","1.1 to 5.3"
"tnm_stageIV",3.7,"6.75e-03","1.4 to 9.6"
"nmdfs_frac_decayed",1.2,"6.26e-01","0.6 to 2.2"
"age.cat>=65",1.3,"2.60e-01","0.8 to 2"
"gendermale",1,"8.80e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.93e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.33e-02","1.1 to 5.3"
"tnm_stageIV",3.8,"5.49e-03","1.5 to 9.9"
"nmdfs_med",1.1,"4.83e-01","0.9 to 1.2"
"age.cat>=65",1.3,"2.65e-01","0.8 to 2"
"gendermale",1,"8.48e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.94e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.62e-02","1.1 to 5.2"
"tnm_stageIV",3.9,"5.23e-03","1.5 to 10"
"nmdfs_med.wt",1,"6.17e-01","0.9 to 1.2"
"age.cat>=65",1.3,"2.45e-01","0.8 to 2"
"gendermale",1,"8.58e-01","0.6 to 1.5"
"tnm_stageII",1.3,"5.02e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.78e-02","1.1 to 5.2"
"tnm_stageIV",3.8,"5.64e-03","1.5 to 9.8"
"nmdfs_mean",1,"5.44e-01","0.9 to 1.2"
"age.cat>=65",1.3,"2.62e-01","0.8 to 2"
"gendermale",1,"8.55e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.90e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.53e-02","1.1 to 5.2"
"tnm_stageIV",3.9,"5.25e-03","1.5 to 10"
"nmdfs_mean.wt",1,"6.23e-01","0.9 to 1.2"
"age.cat>=65",1.3,"2.45e-01","0.8 to 2"
"gendermale",1,"8.59e-01","0.6 to 1.5"
"tnm_stageII",1.3,"5.01e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.75e-02","1.1 to 5.2"
"tnm_stageIV",3.8,"5.61e-03","1.5 to 9.8"
"nmdns_max",1,"8.67e-01","0.9 to 1.1"
"age.cat>=65",1.3,"2.35e-01","0.8 to 2"
"gendermale",1,"8.66e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.93e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.50e-02","1.1 to 5.3"
"tnm_stageIV",3.7,"6.31e-03","1.5 to 9.6"
"nmdns_n_decayed",1,"3.74e-01","1 to 1"
"age.cat>=65",1.3,"2.01e-01","0.9 to 2.1"
"gendermale",1,"9.82e-01","0.6 to 1.6"
"tnm_stageII",1.3,"5.00e-01","0.6 to 3"
"tnm_stageIII",2.5,"2.26e-02","1.1 to 5.3"
"tnm_stageIV",3.8,"5.49e-03","1.5 to 9.8"
"nmdns_frac_decayed",0.9,"8.25e-01","0.5 to 1.8"
"age.cat>=65",1.3,"2.28e-01","0.8 to 2.1"
"gendermale",1,"8.73e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.85e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.42e-02","1.1 to 5.3"
"tnm_stageIV",3.8,"5.88e-03","1.5 to 9.7"
"nmdns_med",1,"9.25e-01","0.9 to 1.2"
"age.cat>=65",1.3,"2.37e-01","0.8 to 2"
"gendermale",1,"8.99e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.94e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.43e-02","1.1 to 5.3"
"tnm_stageIV",3.8,"5.97e-03","1.5 to 9.7"
"nmdns_med.wt",1,"7.10e-01","0.9 to 1.2"
"age.cat>=65",1.3,"2.37e-01","0.8 to 2"
"gendermale",1,"9.23e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.93e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.39e-02","1.1 to 5.3"
"tnm_stageIV",3.8,"5.67e-03","1.5 to 9.8"
"nmdns_mean",1,"9.54e-01","0.9 to 1.1"
"age.cat>=65",1.3,"2.34e-01","0.8 to 2"
"gendermale",1,"8.84e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.92e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.44e-02","1.1 to 5.3"
"tnm_stageIV",3.8,"6.13e-03","1.5 to 9.7"
"nmdns_mean.wt",1,"7.21e-01","0.9 to 1.2"
"age.cat>=65",1.3,"2.37e-01","0.8 to 2"
"gendermale",1,"9.22e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.92e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.39e-02","1.1 to 5.3"
"tnm_stageIV",3.8,"5.68e-03","1.5 to 9.8"
"TNFRSF4_cna",0.9,"4.70e-01","0.6 to 1.3"
"age.cat>=65",1.3,"2.23e-01","0.8 to 2.1"
"gendermale",1,"9.33e-01","0.6 to 1.5"
"tnm_stageII",1.3,"5.10e-01","0.6 to 2.9"
"tnm_stageIII",2.4,"2.65e-02","1.1 to 5.2"
"tnm_stageIV",3.7,"6.67e-03","1.4 to 9.6"
"CNKSR1_cna",1,"9.81e-01","0.7 to 1.5"
