"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"silent.cat=high",66,18,NA,"2.4 to NA","0.93 (0.87 to 1)","0.80 (0.7 to 0.91)","0.73 (0.61 to 0.86)","0.57 (0.43 to 0.77)"
"silent.cat=low",74,29,3,"2.2 to NA","0.93 (0.87 to 0.99)","0.77 (0.68 to 0.88)","0.63 (0.52 to 0.77)","0.36 (0.19 to 0.7)"
"silent.cat=med",128,45,2.1,"1.5 to NA","0.89 (0.84 to 0.95)","0.76 (0.68 to 0.84)","0.53 (0.42 to 0.66)","0.38 (0.25 to 0.56)"
"missense.cat=high",66,17,NA,"2.6 to NA","0.93 (0.87 to 1)","0.82 (0.72 to 0.93)","0.75 (0.63 to 0.88)","0.59 (0.44 to 0.79)"
"missense.cat=low",67,30,2.2,"1.7 to NA","0.89 (0.81 to 0.97)","0.74 (0.63 to 0.86)","0.58 (0.46 to 0.72)","0.29 (0.12 to 0.7)"
"missense.cat=med",135,45,2.1,"1.7 to NA","0.91 (0.87 to 0.97)","0.77 (0.69 to 0.85)","0.56 (0.46 to 0.69)","0.40 (0.26 to 0.61)"
"nonsense.cat=high",69,19,NA,"2.4 to NA","0.93 (0.87 to 1)","0.77 (0.66 to 0.89)","0.72 (0.61 to 0.85)","0.58 (0.44 to 0.76)"
"nonsense.cat=low",74,31,2.4,"1.6 to NA","0.90 (0.83 to 0.97)","0.79 (0.7 to 0.89)","0.54 (0.42 to 0.7)","0.19 (0.04 to 0.82)"
"nonsense.cat=med",125,42,2.2,"1.7 to NA","0.91 (0.86 to 0.97)","0.76 (0.69 to 0.85)","0.59 (0.49 to 0.72)","0.45 (0.33 to 0.61)"
"frameshift.cat=high",67,17,NA,"2.6 to NA","0.93 (0.87 to 1)","0.80 (0.7 to 0.91)","0.75 (0.64 to 0.88)","0.60 (0.46 to 0.79)"
"frameshift.cat=low",69,30,2.1,"1.5 to NA","0.88 (0.81 to 0.97)","0.72 (0.61 to 0.85)","0.56 (0.44 to 0.72)","0.19 (0.04 to 0.81)"
"frameshift.cat=med",132,45,3,"1.7 to NA","0.92 (0.87 to 0.97)","0.78 (0.71 to 0.86)","0.57 (0.47 to 0.68)","0.43 (0.29 to 0.64)"
"total.cat=high",66,18,NA,"2.4 to NA","0.93 (0.87 to 1)","0.80 (0.7 to 0.91)","0.73 (0.61 to 0.86)","0.57 (0.43 to 0.77)"
"total.cat=low",67,29,2.4,"1.5 to NA","0.88 (0.81 to 0.97)","0.73 (0.63 to 0.85)","0.57 (0.45 to 0.72)","0.31 (0.13 to 0.74)"
"total.cat=med",135,45,2.1,"1.7 to NA","0.92 (0.87 to 0.97)","0.78 (0.71 to 0.86)","0.57 (0.47 to 0.7)","0.35 (0.21 to 0.61)"
"GZMA.cat=high",68,23,2.2,"1.5 to NA","0.89 (0.81 to 0.98)","0.69 (0.57 to 0.83)","0.57 (0.44 to 0.73)","0.50 (0.37 to 0.68)"
"GZMA.cat=low",66,26,2.4,"1.5 to NA","0.90 (0.83 to 0.98)","0.77 (0.67 to 0.88)","0.58 (0.46 to 0.74)","0.44 (0.29 to 0.66)"
"GZMA.cat=med",134,43,3,"2.1 to NA","0.93 (0.88 to 0.97)","0.81 (0.74 to 0.89)","0.65 (0.55 to 0.76)","0.30 (0.12 to 0.71)"
"PRF1.cat=high",68,23,5,"2.1 to NA","0.92 (0.85 to 0.99)","0.76 (0.65 to 0.88)","0.64 (0.53 to 0.79)","0.36 (0.15 to 0.85)"
"PRF1.cat=low",67,24,2.4,"1.3 to NA","0.90 (0.82 to 0.98)","0.71 (0.6 to 0.84)","0.56 (0.42 to 0.73)","0.42 (0.26 to 0.68)"
"PRF1.cat=med",133,45,2.6,"2.1 to NA","0.92 (0.87 to 0.97)","0.81 (0.74 to 0.88)","0.63 (0.53 to 0.74)","0.42 (0.28 to 0.62)"
"cyt.cat=high",68,26,5,"1.7 to NA","0.90 (0.83 to 0.98)","0.72 (0.61 to 0.85)","0.59 (0.47 to 0.74)","0.34 (0.14 to 0.79)"
"cyt.cat=low",67,25,2.4,"1.5 to NA","0.90 (0.83 to 0.98)","0.74 (0.64 to 0.86)","0.56 (0.43 to 0.73)","0.45 (0.3 to 0.67)"
"cyt.cat=med",133,41,2.6,"2.2 to NA","0.92 (0.88 to 0.97)","0.81 (0.75 to 0.89)","0.65 (0.56 to 0.76)","0.42 (0.28 to 0.64)"
"nmdptc_max.cat=high",66,21,3,"2.2 to NA","0.88 (0.8 to 0.97)","0.77 (0.67 to 0.89)","0.71 (0.59 to 0.84)","0.45 (0.27 to 0.76)"
"nmdptc_max.cat=low",67,27,2.2,"1.5 to NA","0.92 (0.85 to 0.99)","0.74 (0.64 to 0.86)","0.54 (0.41 to 0.71)","0.00 (NA to NA)"
"nmdptc_max.cat=med",135,44,2.6,"2.1 to NA","0.92 (0.88 to 0.97)","0.79 (0.71 to 0.87)","0.60 (0.5 to 0.71)","0.47 (0.35 to 0.64)"
"nmdptc_n_decayed.cat=high",66,19,3,"2.6 to NA","0.88 (0.8 to 0.97)","0.78 (0.68 to 0.9)","0.74 (0.63 to 0.87)","0.48 (0.29 to 0.8)"
"nmdptc_n_decayed.cat=low",83,30,2.4,"1.6 to NA","0.93 (0.88 to 0.99)","0.78 (0.69 to 0.89)","0.55 (0.43 to 0.71)","0.22 (0.05 to 0.91)"
"nmdptc_n_decayed.cat=med",119,43,2.2,"1.7 to NA","0.92 (0.87 to 0.97)","0.76 (0.68 to 0.85)","0.57 (0.47 to 0.69)","0.45 (0.33 to 0.61)"
"nmdptc_frac_decayed.cat=high",68,25,3,"1.7 to NA","0.90 (0.83 to 0.98)","0.80 (0.71 to 0.91)","0.56 (0.43 to 0.73)","0.38 (0.2 to 0.74)"
"nmdptc_frac_decayed.cat=low",67,27,1.7,"1.5 to NA","0.95 (0.9 to 1)","0.76 (0.65 to 0.88)","0.49 (0.35 to 0.67)","0.20 (0.05 to 0.86)"
"nmdptc_frac_decayed.cat=med",133,40,5.8,"2.4 to NA","0.90 (0.84 to 0.95)","0.77 (0.69 to 0.85)","0.71 (0.62 to 0.8)","0.52 (0.41 to 0.67)"
"nmdptc_med.cat=high",68,21,3,"2.1 to NA","0.89 (0.81 to 0.97)","0.80 (0.7 to 0.91)","0.65 (0.52 to 0.8)","0.48 (0.28 to 0.8)"
"nmdptc_med.cat=low",67,29,1.7,"1.5 to NA","0.92 (0.85 to 0.99)","0.73 (0.62 to 0.85)","0.47 (0.34 to 0.66)","0.17 (0.04 to 0.75)"
"nmdptc_med.cat=med",133,42,6,"2.2 to NA","0.92 (0.88 to 0.97)","0.78 (0.71 to 0.86)","0.66 (0.58 to 0.77)","0.51 (0.4 to 0.65)"
"nmdptc_med.wt.cat=high",68,25,3,"1.5 to NA","0.86 (0.77 to 0.95)","0.77 (0.67 to 0.88)","0.57 (0.44 to 0.75)","0.35 (0.15 to 0.82)"
"nmdptc_med.wt.cat=low",67,27,2.2,"1.5 to NA","0.93 (0.87 to 1)","0.75 (0.65 to 0.87)","0.51 (0.38 to 0.69)","0.00 (NA to NA)"
"nmdptc_med.wt.cat=med",133,40,NA,"2.2 to NA","0.93 (0.89 to 0.98)","0.79 (0.71 to 0.87)","0.68 (0.59 to 0.78)","0.53 (0.42 to 0.67)"
"nmdptc_mean.cat=high",68,22,3,"2.1 to NA","0.91 (0.84 to 0.98)","0.84 (0.75 to 0.94)","0.64 (0.52 to 0.8)","0.40 (0.23 to 0.71)"
"nmdptc_mean.cat=low",67,27,2.2,"1.5 to NA","0.92 (0.85 to 0.99)","0.79 (0.7 to 0.91)","0.51 (0.37 to 0.69)","0.19 (0.04 to 0.82)"
"nmdptc_mean.cat=med",133,43,5.8,"2.2 to NA","0.91 (0.86 to 0.97)","0.72 (0.64 to 0.81)","0.65 (0.56 to 0.75)","0.53 (0.42 to 0.67)"
"nmdptc_mean.wt.cat=high",68,24,3,"1.8 to NA","0.87 (0.79 to 0.96)","0.78 (0.68 to 0.89)","0.60 (0.47 to 0.77)","0.44 (0.26 to 0.75)"
"nmdptc_mean.wt.cat=low",67,28,2.2,"1.6 to NA","0.93 (0.88 to 1)","0.78 (0.68 to 0.89)","0.54 (0.41 to 0.72)","0.00 (NA to NA)"
"nmdptc_mean.wt.cat=med",133,40,NA,"2.2 to NA","0.92 (0.88 to 0.97)","0.77 (0.69 to 0.85)","0.66 (0.57 to 0.76)","0.54 (0.43 to 0.68)"
"nmdfs_max.cat=high",67,25,3,"2.1 to NA","0.84 (0.75 to 0.94)","0.72 (0.61 to 0.84)","0.69 (0.58 to 0.82)","0.39 (0.2 to 0.74)"
"nmdfs_max.cat=low",67,23,2.2,"1.5 to NA","0.98 (0.95 to 1)","0.81 (0.71 to 0.92)","0.52 (0.38 to 0.7)","0.24 (0.06 to 0.99)"
"nmdfs_max.cat=med",134,44,2.6,"2.1 to NA","0.92 (0.87 to 0.97)","0.78 (0.71 to 0.86)","0.61 (0.52 to 0.73)","0.48 (0.37 to 0.63)"
"nmdfs_n_decayed.cat=high",68,23,2.6,"2.4 to NA","0.85 (0.76 to 0.95)","0.76 (0.65 to 0.88)","0.73 (0.63 to 0.86)","0.33 (0.14 to 0.8)"
"nmdfs_n_decayed.cat=low",99,34,2.1,"1.5 to NA","0.98 (0.94 to 1)","0.85 (0.77 to 0.93)","0.51 (0.39 to 0.67)","0.28 (0.12 to 0.66)"
"nmdfs_n_decayed.cat=med",101,35,NA,"2.1 to NA","0.89 (0.84 to 0.96)","0.72 (0.63 to 0.81)","0.61 (0.51 to 0.73)","0.55 (0.44 to 0.69)"
"nmdfs_frac_decayed.cat=high",89,34,2.4,"1.8 to NA","0.84 (0.76 to 0.92)","0.71 (0.62 to 0.82)","0.59 (0.47 to 0.73)","0.28 (0.12 to 0.69)"
"nmdfs_frac_decayed.cat=low",67,24,2.1,"1.5 to NA","0.98 (0.95 to 1)","0.80 (0.7 to 0.91)","0.52 (0.38 to 0.71)","0.21 (0.05 to 0.91)"
"nmdfs_frac_decayed.cat=med",112,34,5.8,"2.4 to NA","0.93 (0.88 to 0.98)","0.80 (0.73 to 0.89)","0.68 (0.58 to 0.79)","0.56 (0.44 to 0.7)"
"nmdfs_med.cat=high",68,26,2.4,"1.8 to NA","0.84 (0.75 to 0.94)","0.73 (0.62 to 0.85)","0.62 (0.5 to 0.78)","0.30 (0.12 to 0.73)"
"nmdfs_med.cat=low",67,24,2.2,"1.5 to NA","0.96 (0.92 to 1)","0.82 (0.72 to 0.93)","0.51 (0.37 to 0.7)","0.21 (0.05 to 0.89)"
"nmdfs_med.cat=med",133,42,5.8,"2.2 to NA","0.92 (0.88 to 0.97)","0.77 (0.7 to 0.85)","0.65 (0.56 to 0.75)","0.53 (0.42 to 0.67)"
"nmdfs_med.wt.cat=high",68,27,2.4,"1.8 to NA","0.87 (0.79 to 0.96)","0.74 (0.63 to 0.86)","0.60 (0.47 to 0.76)","0.28 (0.11 to 0.69)"
"nmdfs_med.wt.cat=low",67,27,1.7,"1.5 to NA","0.98 (0.95 to 1)","0.79 (0.69 to 0.9)","0.48 (0.35 to 0.66)","0.00 (NA to NA)"
"nmdfs_med.wt.cat=med",133,38,5.8,"2.4 to NA","0.90 (0.84 to 0.95)","0.78 (0.71 to 0.86)","0.69 (0.6 to 0.79)","0.57 (0.46 to 0.71)"
"nmdfs_mean.cat=high",68,25,2.4,"2.1 to NA","0.85 (0.77 to 0.95)","0.72 (0.61 to 0.84)","0.66 (0.54 to 0.8)","0.36 (0.18 to 0.71)"
"nmdfs_mean.cat=low",67,25,2.2,"1.5 to NA","0.95 (0.89 to 1)","0.82 (0.73 to 0.93)","0.51 (0.38 to 0.69)","0.22 (0.05 to 0.92)"
"nmdfs_mean.cat=med",133,42,5.8,"2.1 to NA","0.92 (0.88 to 0.97)","0.78 (0.7 to 0.86)","0.64 (0.55 to 0.74)","0.51 (0.39 to 0.66)"
"nmdfs_mean.wt.cat=high",68,27,2.4,"1.8 to NA","0.87 (0.79 to 0.96)","0.74 (0.64 to 0.86)","0.60 (0.48 to 0.77)","0.32 (0.16 to 0.65)"
"nmdfs_mean.wt.cat=low",67,23,2.2,"1.6 to NA","0.98 (0.95 to 1)","0.82 (0.73 to 0.93)","0.54 (0.41 to 0.73)","0.00 (NA to NA)"
"nmdfs_mean.wt.cat=med",133,42,5.8,"2.2 to NA","0.90 (0.84 to 0.95)","0.77 (0.69 to 0.85)","0.64 (0.55 to 0.75)","0.53 (0.42 to 0.67)"
"nmdns_max.cat=high",66,25,2.4,"1.7 to NA","0.90 (0.83 to 0.98)","0.79 (0.69 to 0.9)","0.59 (0.47 to 0.76)","0.18 (0.04 to 0.83)"
"nmdns_max.cat=low",67,25,2.2,"1.5 to NA","0.90 (0.83 to 0.98)","0.75 (0.65 to 0.87)","0.57 (0.44 to 0.74)","0.38 (0.23 to 0.61)"
"nmdns_max.cat=med",135,42,5.8,"2.2 to NA","0.92 (0.88 to 0.97)","0.77 (0.7 to 0.85)","0.65 (0.56 to 0.75)","0.55 (0.43 to 0.69)"
"nmdns_n_decayed.cat=high",68,25,3,"2.1 to NA","0.88 (0.81 to 0.97)","0.74 (0.64 to 0.86)","0.63 (0.51 to 0.78)","0.22 (0.05 to 0.95)"
"nmdns_n_decayed.cat=low",104,37,2.4,"1.7 to NA","0.92 (0.87 to 0.98)","0.78 (0.69 to 0.87)","0.57 (0.46 to 0.71)","0.43 (0.3 to 0.61)"
"nmdns_n_decayed.cat=med",96,30,NA,"2.1 to NA","0.92 (0.86 to 0.98)","0.79 (0.7 to 0.88)","0.65 (0.54 to 0.77)","0.52 (0.39 to 0.69)"
"nmdns_frac_decayed.cat=high",87,34,3,"1.7 to NA","0.90 (0.84 to 0.97)","0.82 (0.74 to 0.91)","0.57 (0.46 to 0.71)","0.29 (0.12 to 0.71)"
"nmdns_frac_decayed.cat=low",66,24,2.2,"1.5 to NA","0.90 (0.82 to 0.98)","0.73 (0.62 to 0.86)","0.54 (0.4 to 0.72)","0.37 (0.23 to 0.62)"
"nmdns_frac_decayed.cat=med",115,34,NA,"2.4 to NA","0.93 (0.88 to 0.98)","0.76 (0.68 to 0.85)","0.69 (0.59 to 0.79)","0.53 (0.42 to 0.69)"
"nmdns_med.cat=high",67,23,3,"1.8 to NA","0.89 (0.81 to 0.97)","0.82 (0.73 to 0.92)","0.62 (0.49 to 0.78)","0.21 (0.05 to 0.98)"
"nmdns_med.cat=low",67,24,2.2,"1.7 to NA","0.91 (0.85 to 0.99)","0.77 (0.66 to 0.89)","0.59 (0.46 to 0.76)","0.35 (0.2 to 0.59)"
"nmdns_med.cat=med",134,45,6,"2.1 to NA","0.92 (0.88 to 0.97)","0.75 (0.67 to 0.83)","0.62 (0.53 to 0.72)","0.51 (0.41 to 0.65)"
