"var","hr","pval","hr_ci95"
"cyt.catmed",1.2,"7.45e-01","0.3 to 4.4"
"cyt.cathigh",1,"9.69e-01","0.2 to 4.4"
"age.cat>=65",17.2,"1.24e-04","4 to 73.7"
"gendermale",1.1,"8.71e-01","0.3 to 4"
"tnm_stageII",1.9,"5.39e-01","0.2 to 15.2"
"tnm_stageIII",1.8,"5.32e-01","0.3 to 11.1"
"tnm_stageIV",6,"5.40e-02","1 to 37.3"
"cyt.bool1",1.1,"9.02e-01","0.2 to 6.6"
"age.cat>=65",12.3,"9.84e-03","1.8 to 82.4"
"gendermale",1.7,"5.65e-01","0.3 to 10.3"
"tnm_stageII",0.8,"8.93e-01","0.1 to 10.9"
"tnm_stageIII",0.6,"6.53e-01","0.1 to 6"
"tnm_stageIV",5.6,"1.08e-01","0.7 to 46.7"
"TMB.cathigh",0.7,"5.44e-01","0.2 to 2.3"
"age.cat>=65",17.7,"1.17e-04","4.1 to 76.4"
"gendermale",1.1,"8.81e-01","0.3 to 3.9"
"tnm_stageII",1.9,"5.39e-01","0.2 to 15.6"
"tnm_stageIII",1.8,"5.46e-01","0.3 to 11.2"
"tnm_stageIV",7.2,"3.65e-02","1.1 to 45.6"
"PDL1.cat0positive",172483.1,"9.99e-01","0 to Inf"
"age.cat>=65",16.2,"1.09e-04","4 to 66.3"
"gendermale",1.2,"8.13e-01","0.3 to 4"
"tnm_stageII",1.9,"5.42e-01","0.2 to 15.1"
"tnm_stageIII",1.8,"5.33e-01","0.3 to 11"
"tnm_stageIV",6.3,"4.19e-02","1.1 to 37.7"
"PDL1.catmed",1.2,"7.50e-01","0.3 to 4.8"
"PDL1.cathigh",0.4,"5.00e-01","0 to 4.6"
"age.cat>=65",14.9,"2.06e-04","3.6 to 61.7"
"gendermale",1.1,"8.83e-01","0.3 to 3.8"
"tnm_stageII",1.9,"5.61e-01","0.2 to 16.4"
"tnm_stageIII",1.7,"5.61e-01","0.3 to 11.2"
"tnm_stageIV",6.1,"4.72e-02","1 to 36.4"
"nmdptc_mut.bool1",1.7,"6.25e-01","0.2 to 13"
"age.cat>=65",15.7,"1.19e-04","3.9 to 64"
"gendermale",1.2,"7.76e-01","0.3 to 4.2"
"tnm_stageII",1.9,"5.41e-01","0.2 to 15.2"
"tnm_stageIII",1.8,"5.32e-01","0.3 to 11"
"tnm_stageIV",6.3,"4.17e-02","1.1 to 36.7"
"nmdfs_mut.bool1",1.2,"7.41e-01","0.4 to 4.1"
"age.cat>=65",16.3,"1.07e-04","4 to 67"
"gendermale",1.1,"8.47e-01","0.3 to 4"
"tnm_stageII",1.8,"5.84e-01","0.2 to 14.8"
"tnm_stageIII",1.7,"5.63e-01","0.3 to 10.8"
"tnm_stageIV",6.3,"4.20e-02","1.1 to 37.7"
"nmdns_mut.bool1",0.9,"8.94e-01","0.3 to 3.1"
"age.cat>=65",16.3,"1.13e-04","3.9 to 67.2"
"gendermale",1.1,"8.39e-01","0.3 to 4.1"
"tnm_stageII",1.8,"5.74e-01","0.2 to 15.6"
"tnm_stageIII",1.8,"5.38e-01","0.3 to 11.1"
"tnm_stageIV",6.4,"4.24e-02","1.1 to 38.9"
"silent",1,"6.22e-01","0.9 to 1.1"
"age.cat>=65",18.4,"1.45e-04","4.1 to 82.8"
"gendermale",1,"9.45e-01","0.3 to 3.9"
"tnm_stageII",1.8,"6.01e-01","0.2 to 14.5"
"tnm_stageIII",1.7,"5.77e-01","0.3 to 10.7"
"tnm_stageIV",7.6,"3.70e-02","1.1 to 51.2"
"missense",1,"3.08e-01","0.9 to 1"
"age.cat>=65",22,"7.18e-05","4.8 to 100.9"
"gendermale",0.9,"9.30e-01","0.3 to 3.5"
"tnm_stageII",1.5,"6.98e-01","0.2 to 13"
"tnm_stageIII",1.5,"6.53e-01","0.2 to 9.9"
"tnm_stageIV",8.7,"2.26e-02","1.4 to 56.4"
"nonstop",0,"9.99e-01","0 to Inf"
"age.cat>=65",16.2,"1.05e-04","4 to 66.3"
"gendermale",1.1,"8.31e-01","0.3 to 4"
"tnm_stageII",1.9,"5.43e-01","0.2 to 15.1"
"tnm_stageIII",1.8,"5.21e-01","0.3 to 11.2"
"tnm_stageIV",6.4,"4.17e-02","1.1 to 37.7"
"nonsense",1.1,"6.94e-01","0.7 to 1.7"
"age.cat>=65",15.2,"2.04e-04","3.6 to 64.1"
"gendermale",1.2,"7.61e-01","0.3 to 4.3"
"tnm_stageII",2.1,"5.00e-01","0.3 to 16.8"
"tnm_stageIII",1.8,"5.12e-01","0.3 to 11.3"
"tnm_stageIV",6,"4.94e-02","1 to 36.3"
"frameshift",1.8,"3.47e-02","1 to 3"
"age.cat>=65",14.1,"2.10e-04","3.5 to 56.9"
"gendermale",1,"9.44e-01","0.3 to 3.5"
"tnm_stageII",2.2,"4.75e-01","0.3 to 17.6"
"tnm_stageIII",1.8,"5.28e-01","0.3 to 11.1"
"tnm_stageIV",7.9,"2.51e-02","1.3 to 48"
"total",1,"4.63e-01","1 to 1"
"age.cat>=65",20.1,"1.13e-04","4.4 to 92"
"gendermale",1,"9.99e-01","0.3 to 3.7"
"tnm_stageII",1.6,"6.48e-01","0.2 to 13.8"
"tnm_stageIII",1.6,"6.08e-01","0.3 to 10.4"
"tnm_stageIV",8.1,"2.93e-02","1.2 to 52.9"
