"var","hr","pval","hr_ci95"
"cyt.catmed",0.5,"3.02e-01","0.2 to 1.8"
"cyt.cathigh",0.5,"3.64e-01","0.1 to 2.2"
"cyt.bool1",0.5,"3.61e-01","0.1 to 2.1"
"gendermale",1.6,"4.10e-01","0.5 to 5.3"
"raceasian",0,"9.97e-01","0 to Inf"
"raceblack or african american",0.7,"7.22e-01","0.1 to 5.3"
"racewhite",NA," NA","NA to NA"
"tnm_stageII",5.2,"9.98e-02","0.7 to 37.4"
"tnm_stageIII",7.1,"1.93e-02","1.4 to 36.7"
"tnm_stageIV",19.5,"4.23e-04","3.7 to 101.5"
"TMB.cathigh",2,"1.99e-01","0.7 to 6.1"
"PDL1.cat0positive",445785.8,"9.98e-01","0 to Inf"
"PDL1.catmed",1,"9.50e-01","0.3 to 3.1"
"PDL1.cathigh",0.2,"1.44e-01","0 to 1.8"
"age.cat>=65",24,"1.11e-06","6.7 to 86.4"
"nmdptc_mut.bool1",3,"2.85e-01","0.4 to 23.2"
"nmdfs_mut.bool1",1.5,"5.15e-01","0.5 to 4.7"
"nmdns_mut.bool1",1.5,"4.97e-01","0.5 to 4.4"
"silent",1.1,"1.61e-03","1 to 1.2"
"missense",1,"1.42e-02","1 to 1.1"
"nonstop",0,"9.98e-01","0 to Inf"
"nonsense",1.7,"1.33e-02","1.1 to 2.5"
"frameshift",1.9,"2.76e-03","1.3 to 3"
"total",1,"2.07e-03","1 to 1.1"
"GZMA",1,"3.07e-01","0.9 to 1"
"PRF1",0.9,"5.34e-01","0.8 to 1.2"
"cyt",0.9,"3.81e-01","0.8 to 1.1"
"nmdptc_max",0.9,"6.50e-02","0.7 to 1"
"nmdptc_n_decayed",1,"8.93e-02","1 to 1"
"nmdptc_frac_decayed",0.5,"2.17e-01","0.1 to 1.6"
"nmdptc_med",0.7,"1.17e-01","0.5 to 1.1"
"nmdptc_med.wt",0.8,"1.39e-01","0.5 to 1.1"
"nmdptc_mean",0.8,"1.32e-01","0.5 to 1.1"
"nmdptc_mean.wt",0.8,"1.42e-01","0.5 to 1.1"
"nmdfs_max",0.9,"1.28e-01","0.9 to 1"
"nmdfs_n_decayed",1,"1.65e-01","1 to 1"
"nmdfs_frac_decayed",0.6,"4.35e-01","0.2 to 2.1"
"nmdfs_med",0.8,"2.77e-01","0.6 to 1.2"
"nmdfs_med.wt",0.8,"2.78e-01","0.6 to 1.2"
"nmdfs_mean",0.8,"2.89e-01","0.6 to 1.2"
"nmdfs_mean.wt",0.8,"2.86e-01","0.6 to 1.2"
"nmdns_max",0.9,"1.08e-01","0.9 to 1"
"nmdns_n_decayed",1,"1.50e-01","1 to 1"
"nmdns_frac_decayed",0.6,"4.36e-01","0.2 to 2.1"
"nmdns_med",0.9,"4.02e-01","0.8 to 1.1"
"nmdns_med.wt",0.9,"4.56e-01","0.8 to 1.1"
"nmdns_mean",0.9,"4.17e-01","0.8 to 1.1"
"nmdns_mean.wt",0.9,"4.56e-01","0.8 to 1.1"
"TNFRSF4_cna",0.9,"9.47e-01","0 to 16.6"
"CNKSR1_cna",1.3,"8.84e-01","0 to 57.1"
"FUBP1_cna",1.3,"8.84e-01","0 to 57.1"
"IL10_cna",1.7,"3.65e-01","0.5 to 5.5"
"IRF6_cna",1.7,"3.65e-01","0.5 to 5.5"
"DNMT3A_cna",1.2,"9.17e-01","0 to 32.7"
"DNMT3A_mut",5.9,"1.06e-03","2 to 17"
"SOS1_cna",0.8,"8.45e-01","0.1 to 8.5"
"CASP8_cna",4.4,"6.10e-01","0 to 1370"
"CTLA4_cna",4.4,"6.10e-01","0 to 1370"
"DNER_cna",0.4,"2.91e-01","0.1 to 2.2"
"PDCD1_cna",0.4,"2.91e-01","0.1 to 2.2"
"SLC22A14_cna",12.8,"1.41e-02","1.7 to 98.6"
"PIK3CA_cna",4.8,"6.67e-01","0 to 6388.9"
"PIK3CA_mut",0,"9.98e-01","0 to Inf"
"CXCL9_cna",1.2,"9.48e-01","0 to 87.2"
"CXCL10_cna",1.2,"9.48e-01","0 to 87.2"
"CXCL11_cna",1.2,"9.48e-01","0 to 87.2"
"TET2_cna",1.2,"9.48e-01","0 to 87.2"
"IL2_cna",1.2,"9.48e-01","0 to 87.2"
"IRF1_cna",2.6,"3.42e-01","0.4 to 18.6"
"HAVCR2_cna",1.6,"6.04e-01","0.3 to 8.4"
"TAP1_cna",2.8,"6.89e-01","0 to 394.5"
"IFNGR1_cna",0.2,"7.57e-02","0 to 1.2"
"MUC17_cna",2.2,"4.27e-01","0.3 to 16.2"
"MET_cna",2.3,"3.95e-01","0.3 to 15.4"
"IDO1_cna",0.4,"6.50e-01","0 to 31.5"
"JAK2_cna",0.2,"3.35e-02","0 to 0.9"
"CD274_cna",0.2,"3.36e-02","0 to 0.9"
"COL5A1_cna",0.3,"8.86e-02","0.1 to 1.2"
"COL5A1_mut",0,"9.98e-01","0 to Inf"
"ARID5B_cna",1.7,"7.45e-01","0.1 to 37.6"
"OVOL1_cna",0.5,"7.19e-01","0 to 15.5"
"LAG3_cna",0.1,"5.28e-01","0 to 88.8"
"ARID2_cna",0,"9.98e-01","0 to Inf"
"ARID2_mut",NA," NA","NA to NA"
"IFNG_cna",0,"9.98e-01","0 to Inf"
"TCP11L2_cna",0,"9.98e-01","0 to Inf"
"B2M_cna",9211808.8,"9.98e-01","0 to Inf"
"TP53_cna",0.7,"7.47e-01","0.1 to 5.4"
"TP53_mut",0,"9.98e-01","0 to Inf"
"TMEM88_cna",0.7,"7.47e-01","0.1 to 5.4"
"MYOCD_cna",0.6,"6.53e-01","0.1 to 5.7"
"NCOR1_cna",0.6,"6.53e-01","0.1 to 5.7"
"NF1_cna",0.1,"4.28e-01","0 to 32.5"
"NF1_mut",0,"9.99e-01","0 to Inf"
"ALPK2_cna",0.8,"9.09e-01","0 to 17.6"
"LPAR2_cna",0.2,"1.23e-01","0 to 1.5"
"TGFB1_cna",0.9,"9.72e-01","0 to 45.4"
"CIC_cna",0.9,"9.72e-01","0 to 45.4"
"CSNK2A1_cna",2.7,"3.32e-01","0.4 to 20.9"
"ASXL1_cna",3,"2.95e-01","0.4 to 22.7"
"IFNGR2_cna",0.6,"7.88e-01","0 to 24.3"
"EP300_cna",2.6,"3.41e-01","0.4 to 18.2"
"DDX3X_cna",3,"1.95e-01","0.6 to 15.2"
"SSX5_cna",3,"1.95e-01","0.6 to 15.2"
