"var","hr","pval","hr_ci95"
"msiMSS",3.1,"1.29e-01","0.7 to 13.7"
"msiX",2.8,"1.76e-01","0.6 to 12.3"
"cyt.catmed",0.5,"1.18e-01","0.3 to 1.2"
"cyt.cathigh",0.5,"1.19e-01","0.2 to 1.2"
"cyt.bool1",0.5,"1.35e-01","0.2 to 1.3"
"TMB.cathigh",0.7,"3.93e-01","0.4 to 1.5"
"PDL1.cat0positive",9304484.8,"9.96e-01","0 to Inf"
"PDL1.catmed",0.9,"7.26e-01","0.4 to 2.1"
"PDL1.cathigh",1.7,"2.77e-01","0.7 to 4.1"
"nmdptc_mut.bool1",0.2,"1.25e-03","0.1 to 0.5"
"nmdfs_mut.bool1",0.4,"4.88e-02","0.2 to 1"
"nmdns_mut.bool1",0.5,"1.27e-01","0.2 to 1.2"
"silent",1,"1.72e-01","1 to 1"
"missense",1,"1.94e-01","1 to 1"
"nonstop",0.7,"1.86e-01","0.4 to 1.2"
"nonsense",1,"1.79e-01","0.9 to 1"
"frameshift",1,"7.16e-01","1 to 1"
"total",1,"1.92e-01","1 to 1"
"GZMA",1,"5.86e-01","1 to 1"
"PRF1",1,"9.82e-01","1 to 1"
"cyt",1,"8.11e-01","1 to 1"
"nmdptc_max",1.2,"3.38e-02","1 to 1.3"
"nmdptc_n_decayed",1,"7.63e-02","1 to 1"
"nmdptc_frac_decayed",4.2,"2.97e-02","1.2 to 15"
"nmdptc_med",1.8,"8.10e-03","1.2 to 2.8"
"nmdptc_med.wt",2.5,"1.25e-04","1.6 to 4.1"
"nmdptc_mean",2.1,"1.57e-03","1.3 to 3.2"
"nmdptc_mean.wt",2.6,"1.30e-04","1.6 to 4.2"
"nmdfs_max",1.1,"4.39e-02","1 to 1.3"
"nmdfs_n_decayed",1,"3.05e-02","1 to 1"
"nmdfs_frac_decayed",4.2,"2.11e-02","1.2 to 13.9"
"nmdfs_med",1.6,"3.25e-03","1.2 to 2.3"
"nmdfs_med.wt",1.8,"3.69e-03","1.2 to 2.6"
"nmdfs_mean",1.6,"8.46e-03","1.1 to 2.2"
"nmdfs_mean.wt",1.7,"5.13e-03","1.2 to 2.6"
"nmdns_max",1,"5.70e-01","0.9 to 1.2"
"nmdns_n_decayed",1,"4.51e-01","1 to 1"
"nmdns_frac_decayed",1.5,"4.34e-01","0.5 to 4.3"
"nmdns_med",1.2,"1.20e-01","0.9 to 1.6"
"nmdns_med.wt",1.2,"8.59e-02","1 to 1.6"
"nmdns_mean",1.3,"7.62e-02","1 to 1.6"
"nmdns_mean.wt",1.2,"8.99e-02","1 to 1.6"
"TNFRSF4_cna",1.5,"3.85e-01","0.6 to 3.4"
"CNKSR1_cna",1.2,"6.33e-01","0.5 to 3"
"CNKSR1_mut",0,"9.97e-01","0 to Inf"
"FUBP1_cna",1.9,"2.19e-01","0.7 to 5.3"
"IL10_cna",1.4,"1.99e-01","0.8 to 2.5"
"IL10_mut",0,"9.97e-01","0 to Inf"
"IRF6_cna",1.5,"1.24e-01","0.9 to 2.7"
"IRF6_mut",0,"9.97e-01","0 to Inf"
"DNMT3A_cna",2.2,"2.73e-03","1.3 to 3.8"
"SOS1_cna",3.8,"1.23e-06","2.2 to 6.6"
"SOS1_mut",0,"9.97e-01","0 to Inf"
"CASP8_cna",3,"1.06e-03","1.5 to 5.6"
"CASP8_mut",1.3,"5.47e-01","0.6 to 3.1"
"CTLA4_cna",1.8,"1.01e-01","0.9 to 3.6"
"CTLA4_mut",0,"9.97e-01","0 to Inf"
