"var","hr","pval","hr_ci95"
"msiMSS",1,"9.15e-01","0.5 to 2.2"
"msiX",1,"9.45e-01","0.5 to 2.2"
"age.cat>=65",2.2,"0.00e+00","1.9 to 2.5"
"gendermale",1.4,"1.21e-07","1.3 to 1.6"
"tnm_stageII",1.5,"1.42e-04","1.2 to 1.8"
"tnm_stageIII",2.4,"0.00e+00","2 to 2.8"
"tnm_stageIV",4.6,"0.00e+00","3.8 to 5.6"
"tnm_stageX",3,"9.73e-03","1.3 to 6.8"
"tnm_stage0",1.9,"2.04e-01","0.7 to 5.2"
"tnm_stageI/II NOS",0.7,"5.88e-01","0.2 to 2.4"
"cyt.catmed",1,"7.22e-01","0.8 to 1.2"
"cyt.cathigh",1,"9.17e-01","0.8 to 1.2"
"age.cat>=65",2.2,"0.00e+00","1.9 to 2.5"
"gendermale",1.4,"1.42e-07","1.3 to 1.6"
"tnm_stageII",1.5,"1.44e-04","1.2 to 1.8"
"tnm_stageIII",2.4,"0.00e+00","2 to 2.8"
"tnm_stageIV",4.6,"0.00e+00","3.8 to 5.6"
"tnm_stageX",2.9,"1.08e-02","1.3 to 6.7"
"tnm_stage0",1.9,"2.03e-01","0.7 to 5.2"
"tnm_stageI/II NOS",0.7,"5.67e-01","0.2 to 2.3"
"cyt.bool1",0.8,"8.54e-03","0.7 to 0.9"
"age.cat>=65",1.9,"5.39e-13","1.6 to 2.3"
"gendermale",1.5,"1.38e-05","1.3 to 1.8"
"tnm_stageII",1.5,"2.15e-03","1.2 to 2"
"tnm_stageIII",2.9,"2.78e-15","2.2 to 3.7"
"tnm_stageIV",4.5,"0.00e+00","3.4 to 6.1"
"tnm_stageX",2.3,"1.08e-01","0.8 to 6.5"
"tnm_stage0",2.3,"1.64e-01","0.7 to 7.3"
"tnm_stageI/II NOS",0.3,"2.53e-01","0 to 2.3"
"TMB.cathigh",1.7,"1.94e-13","1.5 to 2"
"age.cat>=65",2,"0.00e+00","1.7 to 2.3"
"gendermale",1.2,"1.80e-03","1.1 to 1.4"
"tnm_stageII",1.4,"2.15e-04","1.2 to 1.8"
"tnm_stageIII",2.3,"0.00e+00","1.9 to 2.8"
"tnm_stageIV",4.4,"0.00e+00","3.6 to 5.4"
"tnm_stageX",2.8,"1.44e-02","1.2 to 6.5"
"tnm_stage0",1.9,"2.01e-01","0.7 to 5.2"
"tnm_stageI/II NOS",0.6,"4.03e-01","0.2 to 2"
"PDL1.cat0positive",0.8,"1.41e-01","0.5 to 1.1"
"age.cat>=65",2.2,"0.00e+00","1.9 to 2.5"
"gendermale",1.4,"1.34e-07","1.3 to 1.6"
"tnm_stageII",1.5,"1.64e-04","1.2 to 1.8"
"tnm_stageIII",2.4,"0.00e+00","2 to 2.8"
"tnm_stageIV",4.5,"0.00e+00","3.7 to 5.5"
"tnm_stageX",3,"1.01e-02","1.3 to 6.7"
"tnm_stage0",1.9,"2.02e-01","0.7 to 5.2"
"tnm_stageI/II NOS",0.7,"5.78e-01","0.2 to 2.3"
"PDL1.catmed",1.6,"6.30e-06","1.3 to 1.9"
"PDL1.cathigh",1.4,"1.04e-03","1.1 to 1.7"
"age.cat>=65",2.1,"0.00e+00","1.9 to 2.4"
"gendermale",1.3,"2.09e-03","1.1 to 1.4"
"tnm_stageII",1.6,"1.75e-06","1.3 to 2"
"tnm_stageIII",2.5,"0.00e+00","2.1 to 3"
"tnm_stageIV",4.6,"0.00e+00","3.8 to 5.6"
"tnm_stageX",3.9,"1.56e-03","1.7 to 8.9"
"tnm_stage0",2,"1.89e-01","0.7 to 5.3"
"tnm_stageI/II NOS",0.7,"6.32e-01","0.2 to 2.4"
"nmdptc_mut.bool1",1.2,"2.97e-01","0.9 to 1.5"
"age.cat>=65",2.2,"0.00e+00","1.9 to 2.5"
"gendermale",1.4,"1.73e-07","1.2 to 1.6"
"tnm_stageII",1.5,"1.32e-04","1.2 to 1.8"
"tnm_stageIII",2.4,"0.00e+00","2 to 2.8"
"tnm_stageIV",4.6,"0.00e+00","3.8 to 5.6"
"tnm_stageX",2.9,"1.07e-02","1.3 to 6.7"
"tnm_stage0",1.9,"2.08e-01","0.7 to 5.1"
"tnm_stageI/II NOS",0.7,"5.72e-01","0.2 to 2.3"
"nmdfs_mut.bool1",0.9,"3.22e-01","0.8 to 1.1"
"age.cat>=65",2.2,"0.00e+00","1.9 to 2.5"
"gendermale",1.4,"6.43e-08","1.3 to 1.6"
"tnm_stageII",1.5,"1.35e-04","1.2 to 1.8"
"tnm_stageIII",2.4,"0.00e+00","2 to 2.8"
"tnm_stageIV",4.6,"0.00e+00","3.8 to 5.6"
"tnm_stageX",3,"9.30e-03","1.3 to 6.8"
"tnm_stage0",1.9,"2.14e-01","0.7 to 5.1"
"tnm_stageI/II NOS",0.7,"5.84e-01","0.2 to 2.4"
"nmdns_mut.bool1",1.3,"5.95e-03","1.1 to 1.5"
"age.cat>=65",2.1,"0.00e+00","1.9 to 2.4"
"gendermale",1.4,"2.16e-06","1.2 to 1.6"
"tnm_stageII",1.5,"1.19e-04","1.2 to 1.8"
"tnm_stageIII",2.4,"0.00e+00","2 to 2.8"
"tnm_stageIV",4.6,"0.00e+00","3.7 to 5.5"
"tnm_stageX",2.9,"1.19e-02","1.3 to 6.6"
"tnm_stage0",2,"1.83e-01","0.7 to 5.3"
"tnm_stageI/II NOS",0.7,"5.36e-01","0.2 to 2.2"
"silent",1,"6.28e-01","1 to 1"
"age.cat>=65",2.2,"0.00e+00","1.9 to 2.5"
"gendermale",1.4,"8.07e-08","1.3 to 1.6"
"tnm_stageII",1.5,"1.37e-04","1.2 to 1.8"
"tnm_stageIII",2.4,"0.00e+00","2 to 2.8"
"tnm_stageIV",4.6,"0.00e+00","3.8 to 5.6"
"tnm_stageX",3,"9.99e-03","1.3 to 6.7"
"tnm_stage0",1.9,"1.99e-01","0.7 to 5.2"
"tnm_stageI/II NOS",0.7,"5.85e-01","0.2 to 2.4"
"missense",1,"8.57e-01","1 to 1"
"age.cat>=65",2.2,"0.00e+00","1.9 to 2.5"
"gendermale",1.4,"9.65e-08","1.3 to 1.6"
"tnm_stageII",1.5,"1.41e-04","1.2 to 1.8"
"tnm_stageIII",2.4,"0.00e+00","2 to 2.8"
