"var","hr","pval","hr_ci95"
"msiMSS",1.7,"8.35e-02","0.9 to 2.9"
"msiX",1.7,"7.93e-02","0.9 to 3"
"cyt.catmed",1,"5.76e-01","0.8 to 1.1"
"cyt.cathigh",1,"6.64e-01","0.8 to 1.1"
"cyt.bool1",0.9,"2.70e-01","0.8 to 1.1"
"gendermale",1.3,"2.69e-06","1.2 to 1.4"
"tnm_stageII",1.4,"7.29e-04","1.1 to 1.7"
"tnm_stageIII",2.5,"0.00e+00","2.1 to 3"
"tnm_stageIV",4.9,"0.00e+00","4.1 to 6"
"tnm_stageX",2.3,"4.63e-02","1 to 5.2"
"tnm_stage0",2.1,"1.53e-01","0.8 to 5.6"
"tnm_stageI/II NOS",0.7,"5.12e-01","0.2 to 2.2"
"TMB.cathigh",1.8,"0.00e+00","1.6 to 2"
"PDL1.cat0positive",0.5,"9.08e-04","0.4 to 0.8"
"PDL1.catmed",2.1,"0.00e+00","1.9 to 2.5"
"PDL1.cathigh",1.3,"8.41e-03","1.1 to 1.5"
"age.cat>=65",2.1,"0.00e+00","1.9 to 2.3"
"nmdptc_mut.bool1",1.1,"5.46e-01","0.9 to 1.3"
"nmdfs_mut.bool1",0.9,"1.79e-01","0.8 to 1"
"nmdns_mut.bool1",1.3,"2.61e-05","1.2 to 1.5"
"silent",1,"4.87e-01","1 to 1"
"missense",1,"3.64e-01","1 to 1"
"nonstop",1,"8.21e-01","0.9 to 1.1"
"nonsense",1,"1.54e-01","1 to 1"
"frameshift",1,"7.93e-02","1 to 1"
"total",1,"3.79e-01","1 to 1"
"GZMA",1,"3.93e-01","1 to 1"
"PRF1",1,"6.11e-01","1 to 1"
"cyt",1,"4.11e-01","1 to 1"
"nmdptc_max",1,"5.30e-01","1 to 1"
"nmdptc_n_decayed",1,"6.28e-04","1 to 1"
"nmdptc_frac_decayed",1,"6.57e-01","0.9 to 1.2"
"nmdptc_med",1,"8.54e-01","1 to 1"
"nmdptc_med.wt",1,"2.96e-01","0.9 to 1"
"nmdptc_mean",1,"8.57e-01","1 to 1"
"nmdptc_mean.wt",1,"3.24e-01","0.9 to 1"
"nmdfs_max",1,"9.65e-01","1 to 1"
"nmdfs_n_decayed",1,"5.90e-04","1 to 1"
"nmdfs_frac_decayed",1.2,"3.56e-02","1 to 1.3"
"nmdfs_med",1,"4.93e-01","1 to 1"
"nmdfs_med.wt",1,"4.42e-02","1 to 1.1"
"nmdfs_mean",1,"4.75e-01","1 to 1"
"nmdfs_mean.wt",1,"3.82e-02","1 to 1.1"
"nmdns_max",1,"5.76e-06","1 to 1"
"nmdns_n_decayed",1,"2.28e-12","1 to 1"
"nmdns_frac_decayed",0.9,"1.11e-01","0.8 to 1"
"nmdns_med",1,"2.48e-05","0.9 to 1"
"nmdns_med.wt",0.9,"2.22e-06","0.9 to 1"
"nmdns_mean",1,"2.66e-05","0.9 to 1"
"nmdns_mean.wt",0.9,"2.38e-06","0.9 to 1"
"TNFRSF4_cna",1.1,"1.17e-01","1 to 1.2"
"TNFRSF4_mut",0.9,"9.01e-01","0.4 to 2.5"
"CNKSR1_cna",1,"4.45e-01","0.9 to 1.1"
"CNKSR1_mut",0,"9.79e-01","0 to 1.34564914607544e+219"
"FUBP1_cna",1.1,"8.28e-02","1 to 1.2"
"FUBP1_mut",0.9,"4.85e-01","0.6 to 1.3"
"IL10_cna",1,"5.18e-01","0.9 to 1.1"
"IL10_mut",1,"9.93e-01","0.4 to 2.7"
"IRF6_cna",1,"9.24e-01","0.9 to 1.1"
"IRF6_mut",1.3,"3.50e-01","0.8 to 2.1"
"DNMT3A_cna",1.2,"2.73e-04","1.1 to 1.3"
"DNMT3A_mut",0.6,"1.56e-01","0.3 to 1.2"
"SOS1_cna",1.2,"2.32e-05","1.1 to 1.3"
"SOS1_mut",1.3,"3.55e-01","0.8 to 2.1"
"CASP8_cna",1.2,"1.30e-03","1.1 to 1.3"
"CASP8_mut",1.1,"3.77e-01","0.9 to 1.4"
"CTLA4_cna",1.1,"9.70e-03","1 to 1.2"
"CTLA4_mut",1,"9.89e-01","0.2 to 5"
"DNER_cna",1.1,"1.71e-01","1 to 1.2"
"DNER_mut",0.9,"7.46e-01","0.6 to 1.4"
"PDCD1_cna",1,"4.98e-01","0.9 to 1.1"
"PDCD1_mut",0,"9.83e-01","0 to 1.06826767103782e+199"
"SLC22A14_cna",0.8,"4.57e-08","0.7 to 0.9"
"SLC22A14_mut",0,"9.83e-01","0 to Inf"
"PIK3CA_cna",1.3,"2.71e-11","1.2 to 1.4"
"PIK3CA_mut",0.6,"1.98e-01","0.3 to 1.3"
"CXCL9_cna",0.8,"4.62e-05","0.7 to 0.9"
"CXCL9_mut",2,"8.73e-02","0.9 to 4.5"
"CXCL10_cna",0.8,"4.01e-05","0.7 to 0.9"
"CXCL11_cna",0.8,"4.52e-05","0.7 to 0.9"
"TET2_cna",0.7,"4.17e-10","0.7 to 0.8"
"TET2_mut",1.3,"1.78e-01","0.9 to 1.7"
"IL2_cna",0.7,"1.11e-09","0.7 to 0.8"
"IL2_mut",0,"9.83e-01","0 to 3.73823852701873e+232"
"IRF1_cna",0.8,"3.91e-06","0.8 to 0.9"
"IRF1_mut",0,"9.80e-01","0 to 3.41412591134696e+188"
"HAVCR2_cna",0.8,"3.85e-09","0.7 to 0.8"
"HAVCR2_mut",1.4,"3.57e-01","0.7 to 2.9"
"TAP1_cna",1.1,"5.25e-02","1 to 1.2"
"TAP1_mut",1,"8.31e-01","0.7 to 1.6"
"IFNGR1_cna",0.9,"2.30e-01","0.9 to 1"
"IFNGR1_mut",0.8,"4.83e-01","0.5 to 1.4"
"MUC17_cna",1.3,"3.20e-08","1.2 to 1.4"
"MUC17_mut",0.9,"2.95e-01","0.6 to 1.2"
"MET_cna",1.3,"1.25e-07","1.2 to 1.4"
"MET_mut",0.7,"1.97e-01","0.3 to 1.2"
"IDO1_cna",1,"5.27e-01","1 to 1.1"
