"","cancertype","nmdmetric","diff","pval","qval"
"1","BLCA","nmdptc_frac_decayed",-0.0395906230238124,0.552532731671804,0.744882640755229
"2","BLCA","nmdptc_med",-0.144357793723601,0.677301015861594,0.823744478750588
"3","BLCA","nmdptc_med.wt",0.291871140671029,0.489224452825319,0.693616324974052
"4","BLCA","nmdptc_mean",0.150124447946113,0.665679934481871,0.822955962958357
"5","BLCA","nmdptc_mean.wt",0.296261114057611,0.425569134519369,0.642076976696979
"6","BLCA","nmdfs_frac_decayed",0.1249387366083,0.237300459302626,0.441261184653644
"7","BLCA","nmdfs_med",0.0527910208317309,0.189545410529341,0.377413428045147
"8","BLCA","nmdfs_med.wt",0.165321129211285,0.142628084906288,0.311566204892377
"9","BLCA","nmdfs_mean",0.468567365845585,0.0714326376535011,0.184739580138365
"10","BLCA","nmdfs_mean.wt",0.447917784805024,0.165516416819997,0.344825868374994
"11","BLCA","nmdns_frac_decayed",-0.112726436942591,0.211678893494333,0.403625008781567
"12","BLCA","nmdns_med",-0.332112260855142,0.152903983291321,0.321527067668665
"13","BLCA","nmdns_med.wt",-0.330700010566183,0.444849709079631,0.649942756772189
"14","BLCA","nmdns_mean",-0.097839649684854,0.412990215749103,0.642076976696979
"15","BLCA","nmdns_mean.wt",-0.081626015798665,1,1
"16","BRCA","nmdptc_frac_decayed",0.0669467896306132,0.125198644893852,0.281696951011166
"17","BRCA","nmdptc_med",0.0977087396356076,0.265454941258683,0.485588307180518
"18","BRCA","nmdptc_med.wt",0.145826318132083,0.226839591297388,0.425324233682602
"19","BRCA","nmdptc_mean",-0.00298206240651822,0.416597619925538,0.642076976696979
"20","BRCA","nmdptc_mean.wt",0.0950369293634084,0.0958041523037437,0.234303633351547
"21","BRCA","nmdfs_frac_decayed",0.209071697380162,0.00108201495767292,0.00811511218254689
"22","BRCA","nmdfs_med",0.41865667837761,0.172507813055422,0.356094109518072
"23","BRCA","nmdfs_med.wt",0.585665151750695,0.057302367473358,0.151393933319095
"24","BRCA","nmdfs_mean",0.289884568106889,0.0466901308991051,0.128113164052423
"25","BRCA","nmdfs_mean.wt",0.507338533662597,0.0057306213967855,0.0246645965048138
"26","BRCA","nmdns_frac_decayed",0.0484550065040282,0.0301072936620706,0.0940852926939705
"27","BRCA","nmdns_med",0.482563396535916,0.443526777647849,0.649942756772189
"28","BRCA","nmdns_med.wt",0.514790412399294,0.507522871667036,0.704892877315327
"29","BRCA","nmdns_mean",0.53917993574241,0.418257736404924,0.642076976696979
"30","BRCA","nmdns_mean.wt",0.439499772241208,0.345379562226756,0.564032675386592
"31","CESC","nmdptc_frac_decayed",0.0791812460476248,0.117045467710423,0.271497218915929
"32","CESC","nmdptc_med",0.284504368770053,0.0231782944904782,0.0745016608622514
"33","CESC","nmdptc_med.wt",0.857783248581694,0.0103346740073,0.0394118924007203
"34","CESC","nmdptc_mean",0.561639186700333,0.0143289271160766,0.0502339717801307
"35","CESC","nmdptc_mean.wt",0.543925513944968,0.00340511916267734,0.0190470471256093
"36","CESC","nmdfs_frac_decayed",0.27039516729452,0.00145897027137875,0.00994752457758237
"37","CESC","nmdfs_med",0.796696278769286,0.147413861603673,0.315886846293586
"38","CESC","nmdfs_med.wt",0.794540092235246,0.149106622121207,0.316499905445959
