Sample	Chromosome	Start.bp	End.bp	Num.Markers	Seg.CN
TCGA-4P-AA8J-01A-11D-A390-01	1	3218610	115114462	64128	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	1	115124161	120523902	3398	-0.400124
TCGA-4P-AA8J-01A-11D-A390-01	1	120523955	155587753	2659	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	1	155591374	155728868	44	-0.250717
TCGA-4P-AA8J-01A-11D-A390-01	1	155731104	247812431	58371	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	2	484222	20953124	13185	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	2	20957695	21207191	154	0.353915
TCGA-4P-AA8J-01A-11D-A390-01	2	21209662	176924495	80429	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	2	176926293	176933203	5	-1.136358
TCGA-4P-AA8J-01A-11D-A390-01	2	176933464	212844602	19115	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	2	212845055	213155997	207	-0.328336
TCGA-4P-AA8J-01A-11D-A390-01	2	213157866	242476062	17695	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	3	2212571	197538677	105940	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	4	1053934	87047002	47341	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	4	87047593	87232968	114	-0.336224
TCGA-4P-AA8J-01A-11D-A390-01	4	87233171	188762240	54670	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	5	914233	92707735	49194	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	5	92708198	93157266	176	0.381516
TCGA-4P-AA8J-01A-11D-A390-01	5	93157566	122335284	15620	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	5	122336035	122411884	38	1.215154
TCGA-4P-AA8J-01A-11D-A390-01	5	122418806	180360469	35001	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	6	1014281	28241978	18113	-0.376621
TCGA-4P-AA8J-01A-11D-A390-01	6	28242196	101676751	37165	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	6	101680080	101785533	71	-0.341300
TCGA-4P-AA8J-01A-11D-A390-01	6	101789586	127534916	14591	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	6	127545492	127547534	7	-0.909098
TCGA-4P-AA8J-01A-11D-A390-01	6	127559773	170903919	26044	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	7	708774	158385118	80981	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	8	617667	3548027	1477	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	8	3548234	3962737	249	-0.406887
TCGA-4P-AA8J-01A-11D-A390-01	8	3963562	4114456	62	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	8	4210140	4249723	51	-0.419291
TCGA-4P-AA8J-01A-11D-A390-01	8	4251019	145232496	79265	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	9	789932	10649660	5874	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	9	10649864	10657332	6	-0.929489
TCGA-4P-AA8J-01A-11D-A390-01	9	10657520	27414001	10838	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	9	27414613	27468942	52	0.466522
TCGA-4P-AA8J-01A-11D-A390-01	9	27470851	32348522	2515	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	9	32348846	38747688	3895	-0.367286
TCGA-4P-AA8J-01A-11D-A390-01	9	71039044	103539856	21538	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	9	103544332	121748130	12346	-0.361813
TCGA-4P-AA8J-01A-11D-A390-01	9	121756385	140938752	10591	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	10	415240	18641841	12909	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	10	18641990	19013738	318	-0.362191
TCGA-4P-AA8J-01A-11D-A390-01	10	19016535	48654363	14937	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	10	49397232	51071823	1256	-0.361968
TCGA-4P-AA8J-01A-11D-A390-01	10	51556705	51580018	13	0.170459
TCGA-4P-AA8J-01A-11D-A390-01	10	52479016	53023400	363	-0.371834
TCGA-4P-AA8J-01A-11D-A390-01	10	53024058	135225087	50701	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	11	456120	131220263	75025	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	11	131221046	131404211	180	0.384762
TCGA-4P-AA8J-01A-11D-A390-01	11	131408179	134132624	1597	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	12	889902	133155338	73464	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	13	19450806	23135814	1829	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	13	23135984	23145500	8	-0.540620
TCGA-4P-AA8J-01A-11D-A390-01	13	23155477	32609032	6058	0.000000
TCGA-4P-AA8J-01A-11D-A390-01	13	32615099	33050664	349	-0.326836
TCGA-4P-AA8J-01A-11D-A390-01	13	33050925	57260218	13945	0.000000
