cytoband	16q23.1	5q12.1	4q22.1	9p23	6p25.3	20p12.1	3p14.2	9p21.3	Xp21.1	18q21.2	7q31.1	6q26	3q26.31	1p36.11	4q35.1	10q23.31	2q32.1	21q11.2	16p13.3	19p13.3	17p12	7q36.3	11q23.2	12p13.1	11p15.5	3p26.1	2q37.2	10q22.3	Xp22.2	21q22.13	1q44	Xq21.33	15q15.1	2q33.3	14q23.3	6q24.3	9q21.11	22q13.31	4p16.3	17q24.3	18q12.2	13q12.11	8p23.2	15q11.2	3p21.1	6q14.1	14q32.32	5q23.2	19q13.11	10p15.3	1p13.2	12q12	
q value	5.2032e-147	2.1714e-87	1.373e-90	3.8915e-58	2.4628e-45	2.3484e-36	2.6651e-43	4.5257e-56	3.3271e-27	3.3736e-29	1.1641e-33	1.2358e-25	1.6983e-19	3.0679e-18	2.1858e-27	5.928e-15	1.5882e-13	1.2217e-07	2.4826e-06	1.5798e-05	3.7518e-05	8.2812e-11	8.3734e-05	0.00030002	0.00031813	3.479e-10	2.9767e-06	2.8168e-06	6.0353e-07	3.866e-05	0.0018105	0.0025468	3.2335e-05	2.003e-07	0.00031723	2.5441e-05	0.0014803	0.010201	0.016966	0.021534	2.599e-07	0.024986	0.028548	3.7853e-05	1.0362e-08	0.0044196	0.0031145	2.8835e-08	0.1243	0.13903	0.0040659	0.22179	
residual q value	5.2032e-147	8.0169e-85	1.3185e-83	8.4591e-49	2.4628e-45	2.3484e-36	7.5254e-33	3.4236e-28	2.4058e-25	4.4494e-25	4.9513e-25	2.2648e-22	1.6983e-19	1.6645e-16	2.1979e-11	7.7856e-11	1.2457e-08	1.6636e-06	2.5171e-06	1.5592e-05	3.8183e-05	8.4589e-05	8.4589e-05	0.00031124	0.00031949	0.00034388	0.00055914	0.00065093	0.00087836	0.0014903	0.0017816	0.0026527	0.00268	0.0030211	0.0030211	0.0069766	0.0075045	0.010144	0.01751	0.021242	0.022858	0.025106	0.028965	0.046144	0.048297	0.084889	0.094836	0.10621	0.1243	0.14244	0.15145	0.22301	
wide peak boundaries	chr16:78098006-79031486	chr5:58998410-59780946	chr4:91271445-93240505	chr9:8885227-12687261	chr6:1608837-2624052	chr20:14301156-15274325	chr3:59701447-61026498	chr9:21931610-22003135	chrX:32117084-32611359	chr18:48472083-48650073	chr7:110746146-111366370	chr6:161693099-163153207	chr3:174345545-175760559	chr1:26963410-27127934	chr4:179280062-186321446	chr10:89506488-90034038	chr2:187373995-187560595	chr21:1-16335988	chr16:5144019-7780235	chr19:2473582-4675277	chr17:11866892-12456081	chr7:157210222-158385117	chr11:106886059-131242853	chr12:7176979-18235892	chr11:2441018-2892511	chr3:3099461-5164768	chr2:235913227-237079324	chr10:77312101-78597839	chrX:9891764-11137490	chr21:38638578-38997673	chr1:245290228-247052144	chrX:95661798-99356556	chr15:41403242-41790986	chr2:204826225-206558638	chr14:66963153-67658112	chr6:147706792-148595857	chr9:38619152-71322791	chr22:45736500-51304566	chr4:1297570-2848182	chr17:70116519-70642789	chr18:36593175-39537209	chr13:1-23727991	chr8:1-4985851	chr15:1-31198928	chr3:52560991-52727256	chr6:62995384-117999812	chr14:95939420-107349540	chr5:80521963-135554491	chr19:31198022-36230173	chr10:1-32095975	chr1:71512161-149898950	chr12:33514047-54185878	
genes in wide peak	PIH1	FKSG52	RN7SKP248	RN7SL5P	FOXC1	RNA5SP475	U3|ENSG00000212211.1	CDKN2A	MIR3915	RN7SL695P	snoU13|ENSG00000238922.1	PARK2	snoU13|ENSG00000271842.1	RN7SL501P	SNORD79	SNORD74|ENSG00000200891.1	ITGAV	RNA5SP488	SNORA40|ENSG00000252138.1	RN7SL121P	MIR744	MIR595	RN7SL167P	ERP27	KCNQ1OT1	snoU13|ENSG00000239126.1	RN7SL204P	SNORA31|ENSG00000252888.1	CLCN4	DYRK1A	SNORA25|ENSG00000252011.1	SNORA25|ENSG00000252296.1	RN7SL497P	PARD3B	GPHN	SAMD5	CBWD3	ARSA	RN7SL589P	LINC00511	LINC00669	RNY3P4	RN7SL872P	RN7SL82P	SNORD69	RN7SKP51	RNA5SP389	FBXL21	KMT2B	RNA5SP309	HIST2H3A	SNORD81|ENSG00000223213.1	
		MIR582		SNORD27|ENSG00000251699.1	GMDS	FLRT3	NPCDR1	C9orf53	RNA5SP501	SMAD4			MIR4789	snoU13|ENSG00000238316.1	RN7SL28P	PTEN		ANKRD20A11P	RBFOX1	LRG1	RPL21P122	PTPRN2	LINC00167	ART4	KCNQ1	EGOT	GBX2	RN7SL518P	MID1		SNORD112|ENSG00000252495.1	RN7SL74P	CHP1				PGM5P2	RN7SL500P	MIR943	SOX9	RN7SKP182	LINC00621	RNA5SP251	U8|ENSG00000252602.1	SNORD19|ENSG00000222345.1	RN7SKP18	LINC00221	TIFAB	RN7SL765P	SVILP1	HIST2H2AA3	KRT121P	
										ELAC1			RN7SKP40	ARID1A	snoU13|ENSG00000239116.1	RN7SL78P		CYP4F29P		HDGFRP2	MAP2K4	MIR5707	KCNJ5	C12orf60		SNORA43|ENSG00000253049.1	AGAP1	MIR606	WWC3		SCCPDH	RN7SKP194	OIP5				RNA5SP284	DENND6B	SCARNA22			SNORD36|ENSG00000253094.1	RPL23AP53	RN7SL628P	SNORD19B|ENSG00000238862.1	RNA5SP214	LINC00226	MIR4461	RN7SL491P	RN7SL63P	HIST2H3C	LINC00592	
														PIGV	snoU13|ENSG00000238596.1	CFL1P1		ANKRD30BP2		RN7SL528P	ZNF18		RN7SKP279	RN7SKP134		IL5RA		C10orf11			KIF26B	DIAPH2	RTF1				SNORA70|ENSG00000252878.1	TTLL8	RN7SL671P			LINC00424	OR4F21	GOLGA8H	SNORD19|ENSG00000212493.1	FAM26E	ADAM6	MIR4461	GPR42	RN7SL241P	FAM72C	C12orf80	
															snoU13|ENSG00000238319.1	ATAD1		BAGE2		RN7SL84P			RN7SKP121	PLBD1		ITPR1					TFB2M	RPA4	NDUFAF1				RN7SL787P	ALG12	FGFR3			RN7SL766P	CLN8	U8|ENSG00000207430.1	SNORD19B|ENSG00000252787.1	TSPYL1	KIAA0125	PCBD2	MIR5196	SNORD115|ENSG00000212411.1	FCGR1C	OR7E47P	
															U3|ENSG00000252048.1	KLLN		SNORA70|ENSG00000252199.1		PIAS4			MIR3167	RPL30P11		SETMAR					SMYD3		NUSAP1				RNA5SP283	RN7SKP252	LETM1			snoU13|ENSG00000238878.1	MYOM2	ULK4P2	RNU6ATAC16P	NT5DC1	IGHJ1	RN7SL541P	HAMP	MIR604	RNA5SP59	POU6F1	
															FAM92A1P2			RN7SL52P		SNORD37|ENSG00000206775.1			snoU13|ENSG00000238855.1	RN7SL676P		BHLHE40					CNST		EXD1				RN7SL544P	CDPF1	RNF4			ZDHHC20	DLGAP2	RN7SL796P	SMIM4	FRK	IGHJ2	PPP2CA	LINC00904	PTCHD3P1	NBPF15	U6|ENSG00000272028.1	
