cytoband	10q23.31	6q14.3	13q14.13	21q22.3	17p13.1	8p21.3	5q21.1	12p13.1	3p13	16q24.1	17q21.31	2q22.1	16q22.3	21q22.2	13q22.1	9p23	1q42.3	5q11.2	19q13.2	2q22.3	18q23	4q28.2	11p11.2	5q13.2	1p31.3	11q23.2	12q24.32	1p22.1	15q21.3	6p25.1	2p21	3q29	1q23.1	11q22.3	18q21.31	
q value	6.0503e-97	4.6215e-73	1.1439e-73	9.7115e-75	1.2545e-34	5.8548e-30	4.8919e-36	4.8141e-22	1.6337e-21	4.2517e-39	6.1899e-15	4.4558e-21	8.9841e-33	1.4326e-41	1.7107e-36	0.00019187	0.00015401	3.125e-28	0.0016542	6.157e-14	3.6438e-07	0.0026708	0.0050014	2.112e-26	0.000642	1.4906e-07	0.024258	0.0061054	0.042264	0.059223	0.096106	0.17738	0.14946	0.00026046	0.001136	
residual q value	6.0503e-97	4.6215e-73	1.4624e-56	1.9665e-48	1.3047e-34	5.8548e-30	3.8389e-28	4.7348e-22	1.6337e-21	9.4042e-20	6.3588e-15	1.5488e-12	2.4118e-10	2.3882e-07	1.8092e-05	0.00019232	0.00022188	0.00030592	0.0016538	0.001772	0.0026032	0.0027538	0.0050372	0.0065228	0.0065895	0.017565	0.024258	0.037135	0.042115	0.059728	0.096106	0.17651	0.18549	0.22839	0.23951	
wide peak boundaries	chr10:89617158-90034038	chr6:87800060-88001063	chr13:44451821-48879660	chr21:42827479-42911705	chr17:7505228-7591760	chr8:20153951-24300351	chr5:98134187-99875640	chr12:12844234-12921132	chr3:71874461-72622531	chr16:83853134-87119808	chr17:42102307-42651945	chr2:132506741-141000702	chr16:72142073-74472459	chr21:39665722-40155078	chr13:60735713-81800340	chr9:7887952-12687261	chr1:224927969-237207188	chr5:54597198-57789060	chr19:42731571-42891571	chr2:146092408-150190650	chr18:68317374-78077248	chr4:115720296-134070791	chr11:37721288-49054288	chr5:66492413-72750050	chr1:63901623-66226788	chr11:113343413-114999314	chr12:123752264-133851895	chr1:82457075-107602611	chr15:56756286-58245985	chr6:4071224-9597208	chr2:31802826-47133054	chr3:194988874-198022430	chr1:156902282-157964746	chr11:102955092-122320965	chr18:51910315-71741815	
genes in wide peak	SNORD74|ENSG00000200891.1	ZNF292	LINC00441	SNORA32|ENSG00000207503.1	snoU13|ENSG00000251860.1	SNORA67|ENSG00000207027.1	CHD1	MIR613	snoU13|ENSG00000238568.1	FENDRR	FZD2	RN7SL283P	NPIPB15	ERG	RNA5SP33	RN7SL5P	snoU13|ENSG00000252638.1	snoU13|ENSG00000238899.1	MEGF8	SNORA48|ENSG00000212181.1	RBFA	SNORA70|ENSG00000252014.1	OR4C5	MIR4804	snoU13|ENSG00000238931.1	ACA59|ENSG00000252870.1	ANHX	RN7SKP285	MYZAP	HULC	RHOQ	FAM157A	RN7SL612P	RNU4ATAC10P	RN7SL401P	
	PTEN		LINC00562	TMPRSS2	ATP1B2	FP15737		CDKN1B	RYBP	LINC00917	RN7SL258P	SNORA72|ENSG00000206901.1	HCCAT5	LINC00114	LINC00331	SNORD27|ENSG00000251699.1	MIR4753	snoU13|ENSG00000238717.1	ERF	RNA5SP106	RBFADN	RN7SL205P	MIR3161	RN7SL153P	LEPROT	snoU13|ENSG00000238724.1	ZNF891	snoU13|ENSG00000238296.1	LINC00926	snoU13|ENSG00000251762.1	RN7SL817P	FYTTD1	MIR765	SC5D	MIR548AV	
	KLLN		LINC00444		SHBG	SLC25A37			LINC00870	GINS2	GPATCH8	RN7SKP286	ZFHX3		RNY3P3	PTPRD	SNORA14B	RNU6ATAC2P	GSK3A	snoU13|ENSG00000238860.1	SALL3	RNY5P4	RNA5SP340	MIR4803	MIR4794	ATF4P4	ZNF140	SCARNA16|ENSG00000252765.1	snoU13|ENSG00000239035.1	RN7SL554P	RN7SL414P	snoU13|ENSG00000238491.1	CD5L	TBCEL	RNA5SP460	
			RN7SL700P		TP53	TNFRSF10A			LINC00877	RN7SL381P	U3|ENSG00000221496.1	NXPH2	PSMD7		LINC00446		RN7SL668P	RNA5SP185	PAFAH1B3	snR65|ENSG00000253036.1	RNA5SP461	snoU13|ENSG00000238802.1	snoU13|ENSG00000252447.1	snoU13|ENSG00000238451.1	RN7SL130P	HTR3A	RNU4ATAC12P	DPH5	TCF12	LY86	SLC3A1	MIR4797	ETV3	OAF	RN7SL795P	
			LINC00563		SAT2	RN7SL303P			RN7SL271P	LINC00311	RN7SL507P	RNA5SP105	PMFBP1		RN7SL810P		RNY4P16	RNA5SP184	CIC	ACVR2A	SNORA25|ENSG00000199392.1	HSPA4L	KBTBD4	GTF2H2B	DLEU2L	NNMT	RNA5SP379	MIR553	ZNF280D	RN7SL221P	snoU13|ENSG00000239052.1	U4|ENSG00000272359.1	ARHGEF11	THY1	snoU13|ENSG00000238988.1	
			RN7SKP5			NUDT18				TLDC1	U3|ENSG00000221044.1	RN7SKP141	C16orf47		RNY3P7		LINC00184	snoU13|ENSG00000238326.1	PRR19	KIF5C	GALR1	INTU	PTPMT1	RN7SL9P	RN7SL488P	ZBTB16	LRCOL1	LPPR5	POLR2M	MIR3691	RN7SKP66	RN7SL738P	FCRL2	MFRP	RN7SL705P	
			snoU13|ENSG00000238483.1			FGF17				RNA5SP433	GRN	SNORA40|ENSG00000208308.1	CLEC18B		CLN5		U8|ENSG00000212144.1	RNA5SP183	TMEM145	ORC4	LINC00683	IL2	RN7SL652P	snoU13|ENSG00000238740.1	AK4	HTR3B	MUC8	RN7SKP270	CGNL1	RMRPP2	SNORD75|ENSG00000221300.1	RN7SL434P	FCRL5	ACA64|ENSG00000252119.1	RNF152	
