cytoband	8q24.21	3q26.2	19q12	19p13.12	11q14.1	1p34.3	1q21.3	6p22.3	7q36.3	5p15.33	20q13.33	1q42.2	Xp11.23	2q31.2	12p12.1	15q26.3	Xq28	17q25.3	4p16.3	10p15.3	14q11.2	12p13.33	8p11.21	19q13.2	18q11.2	10q22.3	4q13.3	2p23.2	20p13	22q12.2	12q15	14q32.33	20q11.21	
q value	5.2387e-153	2.8042e-118	1.2226e-96	2.4857e-40	3.7126e-32	7.4284e-27	6.2239e-29	4.0712e-16	1.5763e-13	3.6333e-11	5.6628e-10	7.0072e-14	8.1018e-09	4.0401e-07	7.6963e-12	8.2865e-07	2.176e-06	7.4951e-06	1.953e-05	0.00024063	4.811e-06	1.6751e-06	0.0017421	2.2539e-28	0.0050493	0.0060639	0.0061659	0.020798	0.059168	0.092987	0.16007	0.0046435	0.027181	
residual q value	5.2387e-153	2.8042e-118	5.2022e-72	6.9477e-40	3.7126e-32	7.4284e-27	4.5951e-20	4.0712e-16	1.5763e-13	3.6333e-11	2.58e-09	3.3508e-09	8.1018e-09	4.0401e-07	5.0511e-07	8.2865e-07	2.176e-06	7.4951e-06	1.953e-05	0.00024063	0.00048965	0.00055128	0.0017421	0.0025801	0.0050493	0.0060639	0.0061659	0.020798	0.059168	0.092987	0.16007	0.16962	0.18155	
wide peak boundaries	chr8:128694547-129309687	chr3:168670994-168780606	chr19:30306758-30331242	chr19:15333311-15422141	chr11:77620713-78035831	chr1:39887948-40168864	chr1:150483517-150739128	chr6:18466469-18508269	chr7:146325573-159138663	chr5:1-1428010	chr20:62137482-63025520	chr1:234417530-235727932	chrX:48680692-49578093	chr2:178462915-178609187	chr12:24880663-25807307	chr15:98016800-102531392	chrX:152900017-154883511	chr17:77611030-78207689	chr4:1-2147948	chr10:749239-1314547	chr14:21338460-21606746	chr12:1-3550659	chr8:41567112-42008185	chr19:39311557-40342966	chr18:23773718-24293308	chr10:79307111-79800033	chr4:73122319-74289961	chr2:28811078-28966789	chr20:1-4108014	chr22:30113489-30692352	chr12:69687666-70259497	chr14:105140737-107349540	chr20:30061713-30332464	
genes in wide peak	RN7SKP226	[MECOM]	CCNE1	BRD4	NDUFC2	SNORA55	SNORA40|ENSG00000253047.1	RNF144B	LINC00689	MIR4635	NPBWR2	MIR4753	GAGE1	TTC30A	BCAT1	DDX11L9	F8A3	CBX8	MIR943	ADARB2	RNASE8	FKBP4	SNORD112|ENSG00000238966.1	LGALS17A	U3|ENSG00000265369.2	RN7SL284P	SNORA3|ENSG00000221639.1	RNA5SP89	MIR103A2	MGC20647	MYRFL	RNA5SP389	LINC00028	
	TMEM75			EPHX3	THRSP	BMP8A	RN7SL600P		MIR595	ZDHHC11B	MIR647	SNORA14B	MAGIX	PDE11A	KRAS	WASH3P	F8A2	snoU13|ENSG00000239173.1	SCARNA22	IDI1	RN7SL189P	CBX3P4	RN7SL149P	EID2	U3|ENSG00000252921.1	RNA5SP321	RNU6ATAC5P	PLB1	MAVS	LIF	RN7SL804P	LINC00221	BCL2L1	
	MYC				GAB2	PABPC4	RN7SL473P		RN7SL142P	CCDC127	MIR1914	RN7SL668P	RN7SL262P		LRMP	FAM138E	FUNDC2	GAA	RN7SL671P	WDR37	RNASE2	CACNA1C	ANK1	RN7SL566P	TAF4B	KCNMA1	RNU4ATAC9P		U3|ENSG00000201346.1	OSM	LYZ	LINC00226	ID1	
	MIR1205				AAMDC	PPIE	C1orf138		SHH	LRRC14B	C20ORF135	RNY4P16	GPKOW		CASC1	OR4F13P	SNORA56	SGSH	SNORA48|ENSG00000212458.1	LARP4B	RNASE3	LINC00940	KAT6A	IFNL4	KCTD1	RPS24	ALB		RN7SL839P	MTMR3	YEATS4	ADAM6	TPX2	
	MIR1207				USP35	MACF1	LINC00568		RN7SKP280	PLEKHG4B	SLC2A4RG	LINC00184	WDR45		LYRM5	RN7SL209P	SNORA36A	CBX4	TMED11P	GTPBP4	SLC39A2	LINC00942		snoU13|ENSG00000251709.1		DLG5	ADAMTS3		RN7SL555P	UQCR10	CCT2	KIAA0125	REM1	
	PVT1				KCTD14	HEYL	CTSS		HTR5A	SDHA	MYT1	U8|ENSG00000212144.1	RN7SL139P		IFLTD1	DNM1P47	RN7SL742P	EIF4A3	RN7SL358P	IDI2	ZNF219	RN7SL852P		CLC		POLR3A	ANKRD17		TMEM239	ZMAT5	FRS2	IGHJ1	HM13	
	MIR1208				ALG8	HPCAL4	ECM1		RN7SL845P	SLC6A3	OPRL1	MIR4671	ERAS		C12orf77	snoU13|ENSG00000238502.1	RN7SL697P	CCDC40	ZNF721	LINC00200	ARHGEF40	RNU4ATAC16P		ECH1			COX18		SNORD57	TBC1D10A	RAB3IP	IGHJ2	COX4I2	
