cytoband	19p13.3	5q12.1	4q34.3	10q23.31	Xp21.1	22q13.32	2q22.1	16q23.1	1p36.11	6q26	3q13.31	3p14.2	11p15.5	8p21.2	12q23.1	15q15.1	1p36.21	18q23	7p22.3	17q11.2	9p23	11q25	20p12.1	16p13.3	19q13.43	8p23.2	13q14.2	11q14.1	17q21.31	4p15.31	9q34.2	14q13.1	17p11.2	7q31.1	2q37.3	4q22.1	12q24.33	17p13.3	9q21.2	7q11.22	16q21	7q36.1	15q23	13q11	16q22.3	2p25.3	4p16.3	10q21.1	18q21.2	19p12	22q12.1	
q value	4.5149e-49	2.1389e-31	2.9694e-32	3.2757e-23	1.111e-20	7.1065e-19	3.7244e-19	5.914e-17	1.9002e-17	7.7326e-09	1.5741e-08	6.3915e-08	2.4803e-07	1.6228e-10	1.1981e-07	7.1012e-08	3.199e-13	8.1745e-07	0.00010851	7.1897e-08	0.00011961	1.1558e-06	0.00013653	0.00027242	0.0003803	7.7072e-11	4.6048e-05	0.00022127	5.8317e-06	0.00074188	0.0022334	0.0058032	0.00043918	5.1636e-05	0.00045104	0.00041596	0.00053229	0.0018409	0.027215	0.0012322	4.7164e-05	0.0001859	0.00023308	0.0041928	8.9376e-11	0.18809	0.013734	0.011507	0.006131	1.8331e-05	0.10178	
residual q value	3.6118e-48	2.1389e-31	3.4951e-26	6.6958e-22	1.111e-20	1.693e-18	6.2659e-18	5.3492e-13	6.313e-10	7.3493e-09	1.5741e-08	6.0246e-08	2.4438e-07	1.7324e-06	9.2337e-06	1.8322e-05	2.7035e-05	4.0208e-05	0.00010543	0.00010543	0.00012234	0.00012743	0.00013785	0.00026351	0.0003724	0.0005887	0.00090257	0.0012259	0.0020151	0.0041119	0.0044147	0.0058306	0.0058306	0.016036	0.022558	0.030484	0.030484	0.032282	0.06325	0.081388	0.086239	0.10178	0.10178	0.11313	0.11791	0.18809	0.19652	0.21339	0.22631	0.22631	0.23422	
wide peak boundaries	chr19:2697647-4176084	chr5:58998410-59780946	chr4:179280062-182757119	chr10:89617158-89755074	chrX:32117084-32611359	chr22:48026910-51304566	chr2:140708948-143637838	chr16:78098006-79299841	chr1:26900639-27570286	chr6:161693099-163153207	chr3:116426639-118620828	chr3:59034763-61547330	chr11:1-838109	chr8:22111872-28177087	chr12:99119269-100107912	chr15:28096454-45507739	chr1:13949775-15575840	chr18:63200038-78077248	chr7:1-2519808	chr17:29326736-29722618	chr9:7887952-12687261	chr11:121500792-135006516	chr20:14301156-16252980	chr16:3764793-4004422	chr19:58485722-59128983	chr8:1-4251018	chr13:48875329-49152025	chr11:82995735-85348794	chr17:39771001-44811097	chr4:19182220-22351071	chr9:132130994-139269134	chr14:33297556-34394000	chr17:9693062-25270516	chr7:108535383-111366370	chr2:232367824-243199373	chr4:90844993-94741521	chr12:121015462-133851895	chr17:1-1180022	chr9:38619152-100821623	chr7:69000716-70601215	chr16:31804435-70260738	chr7:120389649-159138663	chr15:71342247-72094855	chr13:1-24042353	chr16:72209520-73126458	chr2:1-27196298	chr4:1-4863744	chr10:38686143-68686446	chr18:35235531-67073349	chr19:23939307-29422400	chr22:29192671-29455701	
genes in wide peak	PIAS4	FKSG52	RN7SKP13	SNORD74|ENSG00000200891.1	MIR3915	ARSA	RN7SL283P	RNA5SP431	GPN2	PARK2	LINC00901	U3|ENSG00000212211.1	SNORA52	MIR4287	RNA5SP366	SNORA11|ENSG00000261709.2	C1orf195	RBFA	GRIFIN	EVI2A	RN7SL5P	snoU13|ENSG00000238693.1	RNA5SP475	CREBBP	RN7SL525P	RN7SL872P	RCBTB2	DLG2	FAM215B	RNA5SP157	DNLZ	NPAS3	MTND1P15	snoU13|ENSG00000238922.1	CXXC11	RNA5SP164	ANHX	BHLHA9	CTSV	RN7SL371P	FKSG63	LINC00689	THSD4	LINC00362	ZFHX3	KCNK3	FAM86EP	snoU13|ENSG00000239000.1	snoU13|ENSG00000238988.1	snoU13|ENSG00000238514.1	ZNRF3	
	SNORD37|ENSG00000206775.1	MIR582	LINC00290	PTEN	RNA5SP501	RN7SL500P	LRP1B	PIH1	ZDHHC18		TUSC7	NPCDR1	RPLP2	snoU13|ENSG00000238624.1	FAM71C	SORD	SCARNA11|ENSG00000253085.1	RBFADN	MIR4655	EVI2B	SNORD27|ENSG00000251699.1	RNU6ATAC12P	FLRT3		RN7SL693P	RNA5SP251	RB1	TMEM126B	RN7SL199P	SLIT2	DKFZP434A062		UBBP4	FLJ00325	RNA5SP122	RN7SKP248	ZNF891	MIR3183	AAED1	AUTS2	PDXDC2P	MIR595	CT62	RNY3P4		RN7SL856P	LINC00955	snoR442|ENSG00000252203.1	RN7SL705P	LINC00662		
	MIR637		SNORD65|ENSG00000212191.1	KLLN		DENND6B		WWOX	RN7SL165P		MIR4447	FHIT	TMEM80	SDAD1P1		B2M	PRDM2	SALL3	ELFN1	NF1	PTPRD	RN7SL167P			RNA5SP473	RPL23AP53	LPAR6		RN7SL656P	KCNIP4	MIR4669		RN7SL426P	LRRN3	MIR3133	GRID2	ZNF140	TIMM22	LINC00092		MIR140	RN7SL142P		LINC00621		EFR3B	LRPAP1	MIR1296	RNF152	ZNF726		
	RN7SL202P		RNA5SP173			TTLL8			RN7SL501P				SCT	RNA5SP258		RN7SL347P	KAZN	RNA5SP461	UNCX	OMG		LINC00167			RN7SL526P	OR4F21			RN7SL739P	PACRGL	RXRA		TMEM11	IMMP2L	RNPEPL1	CCSER1	RNU4ATAC12P	DBIL5P	RNA5SP289		SNORA62|ENSG00000252443.1	SHH		SNORD36|ENSG00000253094.1		SNORD14	MSANTD1	RN7SL591P	RN7SL342P	ZNF254		
	SNORD38|ENSG00000252408.1					ALG12			snoU13|ENSG00000238316.1				MIR210HG	RN7SL651P		HYPK	TMEM51	SNORA25|ENSG00000199392.1	MIR339	MIR4733		KCNJ5			A1BG	CLN8			LRRC37A4P		RNU6ATAC		KRT16P3		MIR149		RNA5SP379	DOC2B	DKFZP434H0512		snoU13|ENSG00000238683.1	RN7SKP280		LINC00424		PTRHD1	RN7SL589P	LINC00845	OACYLP	RPSAP58		
	FZR1					RN7SKP252			RN7SL679P				RN7SL838P	NEFL		CATSPER2P1		GALR1	COX19			RN7SKP279			RPS5	MYOM2			RN7SL730P		LINC00094		NOS2P3		MIR2467		LRCOL1	ABR	LINC00476		COG8	HTR5A		RN7SL766P		RNA5SP88	MIR943	LINC00948	U8|ENSG00000199713.1			
	RN7SL866P					ACR			SFN				ODF3	SNORA67|ENSG00000207027.1		snoU13|ENSG00000238494.1		LINC00683	FAM20C			RN7SKP121			ZNF8	DLGAP2			RNA5SP443		FAM163B		USP32P3		MIR4441		MUC8	RPH3AL	snoU13|ENSG00000238746.1		CHTF8	RN7SL845P		snoU13|ENSG00000238878.1		SCARNA21|ENSG00000251805.1	SCARNA22	LINC00844	RN7SL112P			
