cytoband	9p21.3	11q23.3	10q23.31	4q34.3	2q37.3	6q26	15q21.1	5q31.3	1p36.31	3q13.31	1p22.1	10p15.3	16p13.3	10q26.3	12q23.3	5q12.1	19p13.3	15q13.3	5p15.31	8p23.3	Xp21.1	9p23	14q23.3	4p16.3	13q34	16q24.3	6q21	10q21.1	3p25.1	14q32.31	16q23.1	17p13.3	11p15.5	16q12.1	
q value	8.2901e-218	3.6825e-28	1.8476e-27	1.3613e-15	3.1096e-12	1.8085e-12	3.6878e-13	2.2081e-08	5.1876e-09	2.6302e-07	9.7877e-07	2.7625e-05	0.00017967	6.967e-08	0.00079981	0.0004407	0.0059983	1.0926e-08	0.011094	0.02264	0.052155	4.5679e-14	0.046369	0.09333	0.098096	0.0002824	1.5442e-06	0.059549	0.13887	0.10277	0.0077444	0.21028	0.22736	0.036923	
residual q value	1.2353e-212	3.6825e-28	7.5779e-25	1.3613e-15	3.1096e-12	3.1221e-10	3.632e-09	1.2881e-07	2.6302e-07	2.6302e-07	5.7939e-06	2.8015e-05	0.00017979	0.00063412	0.00079729	0.0042341	0.005836	0.010127	0.011554	0.022966	0.051993	0.056633	0.062223	0.090504	0.10152	0.10152	0.13042	0.13042	0.14037	0.16662	0.19929	0.21224	0.22814	0.32129	
wide peak boundaries	chr9:21959052-22003135	chr11:113343413-117301939	chr10:89617158-89755074	chr4:179280062-182757119	chr2:239359581-242296448	chr6:161693099-163153207	chr15:44702831-45026122	chr5:135732466-166712758	chr1:1-6847369	chr3:116297365-118620828	chr1:82457075-119426205	chr10:1-688423	chr16:5144019-7780235	chr10:134944852-135093385	chr12:76427480-133851895	chr5:58151172-59818245	chr19:1-2166394	chr15:28560817-33605300	chr5:1-29949316	chr8:1-2793575	chrX:30870233-32665140	chr9:7887952-12687261	chr14:66963153-67658112	chr4:1-6275649	chr13:95861243-115169878	chr16:81745039-90354753	chr6:67919847-171115067	chr10:48433736-58123241	chr3:1-62385826	chr14:71578164-107349540	chr16:78098006-90354753	chr17:1-1826620	chr11:2320967-2406244	chr16:31804435-64977852	
genes in wide peak	CDKN2A	SCARNA11|ENSG00000252992.1	SNORD74|ENSG00000200891.1	RN7SKP13	RNPEPL1	PARK2	B2M	RN7SKP60	snoU13|ENSG00000239166.1	LINC00901	RNA5SP56	MIR5699	SNORA40|ENSG00000252138.1	ADAM8	ANHX	FKSG52	RN7SL226P	TMCO5B	RN7SKP207	RPL23AP53	MIR548F5	RN7SL5P	GPHN	C4orf50	MIR548AR	FAM157C	MIR4644	snoU13|ENSG00000238355.1	PTPRG	RNA5SP389	FAM157C	TLCD2	RPL26P30	snoU13|ENSG00000238507.1	
	C9orf53	PCSK7	PTEN	LINC00290	MIR149		RN7SL347P	NUDCD2	LINC00337	TUSC7	WDR3	RN7SL754P	RBFOX1	UTF1	ZNF891	MIR582	MIR1909	SNORD77|ENSG00000212415.1	SNORA18|ENSG00000252601.1	OR4F21	MIR3915	SNORD27|ENSG00000251699.1		RN7SKP275	LINC00565	TUBB8P7	TCP10	MIR548F1	U3|ENSG00000212211.1	LINC00221	TUBB8P7	snoU13|ENSG00000238946.1	TSPAN32	RN7SKP76	
		RNY4P6	KLLN	SNORD65|ENSG00000212191.1	MIR2467		EIF3J	MIR3142	RN7SL574P	RN7SL582P	SNORA40|ENSG00000212266.1	RNA5SP298		VENTX	ZNF140	PDE4D	ONECUT3	snoU13|ENSG00000238342.1	SNORD29	CLN8	RNA5SP501	PTPRD		RN7SKP113	LINC00452	URAHP	TTLL2	RNA5SP318	NPCDR1	LINC00226	URAHP	RN7SL105P		RN7SL143P	
		ZNF259		RNA5SP173	MIR4441		CTDSPL2	RN7SL295P	MIR551A	MIR4447	MAN1A2	RNA5SP297		KNDC1	RNU4ATAC12P		UQCR11	RN7SL286P	SNORA40|ENSG00000252083.1	MYOM2	FTHL17			FAM86EP	LINC00453	TUBB3	GPR31	MIR605	RPP14	ADAM6	TUBB3	BHLHA9		SLC38A7	
		snoU13|ENSG00000238625.1			MIR4440		SPG11	ADRA1B	MEGF6		MIR942	TUBB8		MIR202	RNA5SP379		RN7SL477P	RN7SL539P	C5orf17	DLGAP2				LINC00955	LINC00454	SNORD68	FGFR1OP	RMRPP4	RNU6ATAC26P	KIAA0125	SNORD68	MIR3183		snoU13|ENSG00000239121.1	
		LINC00900			AGXT		PATL2	RNU4ATAC2P	LINC00982		TTF2	ZMYND11			LRCOL1		NDUFS7	GOLGA8O	RN7SL572P	ARHGEF10				LRPAP1	GRK1	SLC22A31	MIR1913	RNA5SP317	PDE12	IGHJ1	SLC22A31	TIMM22		SNORA50|ENSG00000206952.2	
		snoU13|ENSG00000239153.1			KIF1A			SNORA68|ENSG00000252458.1	TTC34		RNA5SP55				MUC8		C19orf24	U8|ENSG00000206987.1	GUSBP1	KBTBD11				MSANTD1	DCUN1D2	MIR4722	SFT2D1	LINC00843	snoU13|ENSG00000238905.1	IGHJ2	MIR4722	DBIL5P		SNORA46|ENSG00000207493.1	
		ACA59|ENSG00000252870.1			GPC1			LSM11	C1orf222		MIR548AC				SNORA49		POLR2E	ULK4P1	snoU13|ENSG00000238674.1	FBXO25				RN7SL589P	LINC00403	MIR5189	SNORD45|ENSG00000231297.2	SNORA74|ENSG00000223111.1	HESX1	IGHJ3	MIR5189	DOC2B		RN7SL645P	
