cytoband	19p13.3	22q13.32	11p15.5	6q27	1p36.11	13q14.2	18q23	5q13.2	5q12.1	7p22.2	4q34.3	8p23.3	17q11.2	Xp21.1	8p21.2	16q23.1	15q15.1	3q13.31	2q22.1	16p13.3	3p26.2	10q23.31	14q23.3	19q13.43	9q34.13	4q22.1	2q37.3	12q23.1	9p24.3	19q13.33	11q25	12q24.33	10q25.1	17p12	16q22.1	21q22.3	10p15.3	2p25.3	15q11.2	1q41	
q value	1.3528e-139	2.4599e-67	4.8003e-42	8.6228e-38	3.6326e-35	5.5799e-34	2.5556e-31	3.6941e-88	1.9789e-76	3.8574e-27	8.1891e-33	2.4667e-43	4.6744e-18	1.1581e-15	1.6864e-37	2.425e-22	3.9739e-23	4.0925e-12	2.2138e-11	1.7553e-08	3.5761e-08	7.2969e-17	6.0694e-08	8.1256e-19	2.9521e-06	3.4341e-12	7.0161e-09	2.6357e-10	0.00059831	2.441e-17	0.00073071	9.8572e-12	5.3759e-12	0.0063184	1.5979e-14	0.022578	0.078951	0.087942	2.8525e-12	0.18187	
residual q value	1.3528e-139	2.4599e-67	4.8003e-42	8.6228e-38	3.6326e-35	5.5799e-34	2.5124e-31	1.2253e-29	5.6133e-28	3.8574e-27	1.379e-24	2.3698e-20	7.5684e-18	1.1668e-15	4.0632e-14	3.7669e-13	1.171e-12	4.0925e-12	6.3068e-09	1.7565e-08	3.5013e-08	4.7645e-08	6.0201e-08	1.7873e-06	3.0231e-06	4.0108e-06	6.5733e-05	0.0005531	0.00059831	0.00063088	0.00074352	0.00099436	0.0025182	0.0082574	0.011376	0.022609	0.079343	0.088611	0.16225	0.18224	
wide peak boundaries	chr19:1103802-1907478	chr22:48668761-51304566	chr11:502218-772981	chr6:167455614-171115067	chr1:26963410-27570286	chr13:48875329-49064807	chr18:68317374-78077248	chr5:66492413-80256908	chr5:58151172-59818245	chr7:1-6448762	chr4:179280062-182757119	chr8:1-1459231	chr17:29326736-29722618	chrX:30865118-34644819	chr8:25994239-26250295	chr16:78098006-79299841	chr15:41795901-42121792	chr3:116297365-118620828	chr2:140708948-143637838	chr16:3764793-4004422	chr3:1-4535479	chr10:89617158-89755074	chr14:59114448-73526147	chr19:58119765-59128983	chr9:132130994-140151408	chr4:90844993-93240505	chr2:234985548-243199373	chr12:99119269-100424312	chr9:1-12687261	chr19:46376619-49477166	chr11:121168179-135006516	chr12:131625061-133851895	chr10:98031161-124457905	chr17:11888973-12456081	chr16:67736926-69141977	chr21:42519390-48129895	chr10:1-857150	chr2:1-24719116	chr15:25219196-25922484	chr1:207316102-220705691	
genes in wide peak	MIR1909	ARSA	TMEM80	MIR4644	GPN2	RB1	RBFA	SNORA31|ENSG00000251828.1	FKSG52	RN7SL851P	RN7SKP13	RPL23AP53	EVI2A	snoU13|ENSG00000238969.1	SDAD1P1	RNA5SP431	MIR626	LINC00901	RN7SL283P	CREBBP	SNORA43|ENSG00000253049.1	SNORD74|ENSG00000200891.1	RN7SL586P	RN7SL525P	RNF224	RN7SKP248	CXXC11	RNA5SP366	RN7SL5P	RN7SL345P	snoU13|ENSG00000238693.1	ANHX	MIR3941	MIR744	RPS2P45	S100B	MIR5699	SCARNA21|ENSG00000251805.1	SNORD109B	SNORA36B	
	ONECUT3	RN7SL500P	SCT	TCP10	ZDHHC18	LPAR6	RBFADN	snoU13|ENSG00000239159.1	MIR582	SNORA42|ENSG00000207217.1	LINC00290	OR4F21	EVI2B	MIR548F5	RNA5SP258	PIH1	TYRO3	TUSC7	LRP1B		RN7SKP144	PTEN	snoU13|ENSG00000238972.1	RN7SL693P	TMEM210	CCSER1	RNA5SP122	ANKS1B	SNORD27|ENSG00000251699.1	SEC1P	RNU6ATAC12P	ZNF891	RN7SKP167	RPL21P122	RNA5SP429	PRED62	RN7SL754P	PFN4	SNORD115|ENSG00000212428.1	snoU13|ENSG00000238576.1	
	UQCR11	DENND6B	MIR210HG	TTLL2	RN7SL165P		SALL3	MTX3	PDE4D	RN7SL556P	SNORD65|ENSG00000212191.1	FBXO25	NF1	MIR3915	PPP2R2A	WWOX	MAPKBP1	RN7SL582P			RN7SL120P	KLLN	RN7SL683P	RNA5SP473	MIR3621		MIR3133	FAM71C	RN7SL123P	DBP	RN7SL167P	ZNF140	RN7SL846P	MAP2K4	snoU109|ENSG00000252640.1	PRED60	RNA5SP298	RN7SL610P	SNORD109A	snoU13|ENSG00000238798.1	
	RN7SL477P	TTLL8	DRD4	GPR31	RN7SL501P		RNA5SP461	HOMER1		ZNF815P	RNA5SP173	TDRP	OMG	RNA5SP501			MGA	MIR4447			IL5RA		SNORD56B	RN7SL526P	snoU13|ENSG00000238824.1		RNPEPL1		snoU13|ENSG00000252110.1	GRWD1	LINC00167	RNU4ATAC12P	TIAL1		snoU109|ENSG00000252040.1	LINC00316	RNA5SP297	UBXN2A	SNORD108	U3|ENSG00000221673.1	
	NDUFS7	ALG12	HRAS	CCR6	snoU13|ENSG00000238316.1		SNORA25|ENSG00000199392.1	SNORA18|ENSG00000206592.1		MIR589		ERICH1	MIR4733	DMD			RPAP1				SETMAR		RN7SL77P	ZNF417	SNORD62		MIR149		RN7SL25P	C19orf68	KCNJ5	RNA5SP379	MIR4681		snoU13|ENSG00000238343.1	LINC00315	TUBB8	RN7SKP27	SNORD64|ENSG00000270704.2	RNA5SP76	
	C19orf24	RN7SKP252	IRF7	KIF25	SFN		GALR1	RNY3P1		snoU13|ENSG00000238394.1		ZNF596		FTHL17							CHL1		ADAM20P1	ZNF814	CLIC3		MIR2467		C9orf38	CABP5	RN7SKP279	LRCOL1	RN7SL749P		SLC7A6OS	LINC00205	ZMYND11	RNA5SP87	SNHG14	SLC30A10	
	ATP5D	ACR	TALDO1	MLLT4	SLC9A1		LINC00683	BHMT2		ZNF890P				FAM47A							CNTN6		SYNJ2BP	ZNF134	C9orf141		MIR4441		MLANA	TPRX2P	RN7SKP121	MUC8	FAM45A		SNORA48|ENSG00000212445.1	LINC00334	DIP2C	RN7SL117P	UBE3A	U3|ENSG00000212610.1	
	CIRBP	CHKB	RASSF7	PDCD2	ARID1A		ZNF516	OTP		RNF216P1											TRNT1		ADAM21P1	A1BG	MIR4479		MIR4440		snoU13|ENSG00000238654.1	SNORD23|ENSG00000221803.1	MIR3167	SNORA49	SNORA19|ENSG00000222588.1		CTRL	PRED58	PRR26	TDRD15		C1orf143	
	EFNA2	CPT1B	DEAF1	PSMB1	NR0B2		SMIM21	WDR41		AP5Z1											CRBN		SNORA11|ENSG00000221060.1	RPS5	C9orf172		FAM132B		INSL4	RN7SL322P	snoU13|ENSG00000238855.1	RNA5SP378	SNORA19|ENSG00000207468.1		NUTF2	PRED57		GDF7		LINC00210	
	GAMT	TYMP	CDHR5	TBP	NUDC		ZADH2	SNORA47		snoU13|ENSG00000238781.1											LRRN1		SLC10A1	ZNF8	MIR4292		SNORD39|ENSG00000263723.1		AK3	RN7SL533P	RN7SL351P	RNA5SP377	U3|ENSG00000251836.1		CDH1	SSR4P1		RNA5SP86		SPATA17	
	GPX4	MAPK11	PHRF1	TCTE3	PIGV		RN7SL551P	ZBED3		RN7SKP130											CNTN4		CCDC177|ENSG00000267909.1	MZF1	LCN10		RBM44		CDC37L1	snoU13|ENSG00000252071.1	KRT18P59	RNA5SP376	LINC00867		CDH3	LINC00162		RN7SL140P		SNORD116|ENSG00000202498.1	
	RPS15	MAPK12	EPS8L2	THBS2	GPATCH3		RN7SL401P	RNU6ATAC36P		snoU13|ENSG00000238857.1											SUMF1		CCDC177|ENSG00000255994.1	ZNF132	LCN6		COPS8		CARM1P1	MIR320E	SLC37A2	GOLGA3	EMX2OS		LCAT	LINC00163		LINC00954		RN7SL512P	
	STK11	SBF1	LRRC56	C6orf123	FAM46B		MIR548AV	S100Z		MIR4648													ERH	ZNF135	SNHG7		RN7SL204P		RN7SL592P	RN7SL364P	RNA5SP352	MMP17	PDZD8		NFATC3	C21orf90		SNORA40|ENSG00000212455.1		SNORA16B	
	TCF3	PPP6R2	C11orf35	DLL1	C1orf172		RNA5SP460	RN7SL208P		GRIFIN													RN7SL224P	ZNF154	FAM69B		AGXT		RNA5SP279	PGLYRP1	TBRG1	POLE	ENO4		PSKH1	LRRC3DN		RN7SKP168		RN7SKP98	
	APC2	ZBED4	MIR210	UNC93A	TRNP1		CYB5A	snoU13|ENSG00000238688.1		MIR4655													RN7SL108P	UBE2M	MIR126		KIF1A		RN7SL412P	NOVA2	OR10D3	PXMP2	snoU13|ENSG00000238577.1		PSMB10	snoZ6|ENSG00000264452.1		SNORA40|ENSG00000251704.1		MIR3122	
	UQCR11	SCO2		PHF10			MBP	RNA5SP186		ELFN1													RN7SL706P	TRIM28	U3|ENSG00000252440.1		BOK		FAM138C	BAX	U8|ENSG00000200496.1	SFSWAP	RN7SL384P		SLC12A4	snoZ6|ENSG00000266692.1		RN7SL104P		SNORA26|ENSG00000212187.1	
	SBNO2	RABL2B		C6orf70			NFATC1	POLK		UNCX													RN7SL213P	ZNF256	MIR4673		COL6A3		DMRT1	BCAT2	SNORD14C	ZNF10	VWA2		SLC7A6	RRP1		MYCNOS		RN7SL344P	
	DAZAP1	MLC1		SMOC2			ZNF236	SNORA40|ENSG00000212363.1		MIR339													U3|ENSG00000252792.1	ZNF211	DNLZ		DTYMK		FOXD4	C5AR1	SNORD14D	ZNF26	NHLRC2		EDC4	CSTB		snoU13|ENSG00000238371.1		SLC30A1	
	MBD3	MAPK8IP2		FRMD1			CTDP1	RN7SL814P		COX19													RN7SL369P	ZNF274	DKFZP434A062		GBX2		GLDC	CA11	SNORD14E	ZNF84	SNORA17|ENSG00000212589.1		PLA2G15	LINC00322		LINC00276		KCNH1	
	PCSK4	PLXNB2		LINC00574			TSHZ1	MIR4804		FAM20C													ATP6V1D	SLC27A5	MIR4669		GPC1		JAK2	CALM3	snoU13|ENSG00000239079.1	ULK1	MIR4295		PRMT7	MIR5692B		MIR3125		SERTAD4	
	REXO1	BRD1		FAM120B			TXNL4A	RN7SL153P		ACTB													MIR4706	ZNF324	RXRA		GPR35		PTPRD	AP2S1	RNU4ATAC5P	ZNF268	GUCY2GP		DUS2L	NDUFV3		SNORD18|ENSG00000238503.1		MIR4260	
