cytoband	14q13.3	1q21.3	8q24.21	5p15.33	20q13.33	12p12.1	12q15	19q12	12q14.1	Xq28	3q26.2	11q13.3	8p11.21	7p11.2	17q23.1	7q31.2	17q12	6p21.1	22q11.22	18q11.2	5p13.1	13q33.3	1p34.3	4q12	10p15.1	20p11.21	16p11.2	7p21.1	5q35.1	
q value	5.2308e-67	2.2264e-28	1.9782e-27	5.5544e-28	8.1427e-15	1.8018e-12	4.4652e-18	1.517e-10	1.5136e-15	1.4252e-08	1.027e-07	2.5841e-07	3.8726e-07	1.0668e-07	6.4487e-07	1.7078e-05	0.00014381	0.00086111	0.0044292	0.0060965	6.849e-09	0.027609	0.040181	0.060325	0.062869	0.19771	0.20955	0.17291	0.24967	
residual q value	5.2308e-67	2.2264e-28	1.9782e-27	4.1687e-25	8.1427e-15	2.2272e-12	5.6449e-11	1.517e-10	3.0343e-09	1.4252e-08	1.027e-07	2.5841e-07	3.8726e-07	4.4504e-07	3.015e-06	1.83e-05	0.00079609	0.00086111	0.0044292	0.0060965	0.020566	0.027609	0.040181	0.060325	0.062869	0.19771	0.20955	0.21761	0.24967	
wide peak boundaries	chr14:36893517-36996019	chr1:150570986-151056062	chr8:129157821-129195260	chr5:1288616-1300024	chr20:62157760-63025520	chr12:25233858-25401622	chr12:69212011-69244387	chr19:30029296-30607983	chr12:58133257-58208652	chrX:153681678-153778091	chr3:168654235-171019788	chr11:68745684-69806082	chr8:41481309-42345619	chr7:54773427-55667984	chr17:57921224-57958614	chr7:116283302-116609814	chr17:37804811-37917511	chr6:41630784-42127221	chr22:22100719-23816427	chr18:19442767-22758805	chr5:33498056-50133343	chr13:88532506-115169878	chr1:39332033-44105169	chr4:55115761-59023475	chr10:5030382-5134510	chr20:21734759-30731471	chr16:29426413-31297449	chr7:1-26479368	chr5:166764397-180915260	
genes in wide peak	SFTA3	MLLT11	MIR1208	TERT	NPBWR2	KRAS	CPM	C19orf12	CDK4	RN7SL742P	MIR569	FGF3	snoU13|ENSG00000238714.1	SNORA73|ENSG00000252054.1	TUBD1	RNA5SP239	MIR4728	SNORA8|ENSG00000206977.1	ZDHHC8P1	RN7SL247P	HCN1	MIR548AR	RNA5SP46	snoU13|ENSG00000238925.1	U8|ENSG00000251740.1	RNA5SP482	PYDC1	U3|ENSG00000202233.1	TRIM52	
		SNORA40|ENSG00000253047.1			MIR647	LRMP	MDM2	POP4	CYP27B1	RN7SL697P	RNY5P3	MIR3164	SNORD112|ENSG00000238966.1	EGFR		CAPZA2	PNMT	TOMM6	CES5AP1	RNA5SP452	RN7SL383P	LINC00565	RNA5SP45	snoU13|ENSG00000238541.1	U8|ENSG00000239148.1	RNA5SP481	ZNF668	CYCS	SNORD95|ENSG00000264549.1	
		ARNT			MIR1914	CASC1		CCNE1	METTL1	LAGE3	CLDN11	TPCN2	RN7SL149P	SEC61G		MET	TCAP	BYSL	RN7SL263P	RN7SL745P	FGF10	LINC00452	RN7SL326P	snoU13|ENSG00000238579.1	AKR1C2	XKR7	MIR4519	snoU13|ENSG00000239098.1	SNORD96A	
		CTSK			C20ORF135	LYRM5		URI1	TSPAN31	G6PD	TERC	CCND1	MIR486	LANCL2		ST7	ERBB2	CCND3	IGLC7	snoU13|ENSG00000238537.1	CCL28	LINC00453	MIR30C1	NOA1	AKR1C3	LINC00028	MIR4519	RNA5SP228	LINC00847	
		CTSS			SLC2A4RG			PLEKHF1	TSFM	UBL4A	MECOM	FGF4	ANK1	VOPP1			GRB7	GUCA1A	IGLJ7	snoU13|ENSG00000238907.1	ANXA2R	LINC00454	MIR30E	RN7SL357P		DEFB122	BCL7C	snoU13|ENSG00000238849.1	MIR340	
		ENSA			MYT1			VSTM2B	AVIL	SLC10A3	PRKCI	FGF19	IKBKB				STARD3	PGC	IGLJ6	RNU6ATAC20P	SNORD72	GRK1	BMP8B	RN7SL492P		SNORA40|ENSG00000212134.1	SNORA30|ENSG00000206755.1	SNORD65|ENSG00000212264.1	RN7SKP150	
		ANXA9			OPRL1				METTL21B	IKBKG	SKIL	MYEOV	PLAT				MIEN1	TFEB	IGLJ5	RNA5SP451	RPL37	DCUN1D2	SNORA55	ARL9		RNA5SP480	ZNF747	MALSU1	MIR1229	
		SETDB1			PTK6				MARCH9	PLXNA3	SLC2A2	MRGPRD	POLB				PGAP3	MED20	IGLJ4	GATA6	SNORA57|ENSG00000212567.1	LINC00403	BMP8A	SRP72		NCOR1P1	ZNF747	SNORD93	HMGB3P22	
		CERS2			SRMS				AGAP2	FAM3A	SEC62	MRGPRF	SLC20A2					FRS3	IGLC3	LAMA3	SNORA63|ENSG00000199552.1	LINC00404	RNA5SP44	RNA5SP162		FAM182B	MIR4518	RNA5SP227	RN7SL71P	
		C1orf56			TCEA2						TNIK	ORAOV1	VDAC3					USP49	IGLJ3	NPC1	LINC00604	SNORD44	MYCBP	KIAA1211		RN7SL594P	SNORA42|ENSG00000199787.1	MIR1183	ZNF879	
		GOLPH3L			TPD52L2						GPR160		KAT6A					PRICKLE4	IGLC2	RBBP8	LINC00603	LINC00354	CDC20	RNA5SP161		RNU6ATAC17P	SEPT1	RN7SL542P	ZNF354B	
		FAM63A			TNFRSF6B						MYNN		AP3M2					TAF8	IGLJ2	RIOK3	WDR70	LINC00346	COL9A2	RN7SKP30		CST13P	snoU13|ENSG00000239114.1	SP8	AACSP1	
		CDC42SE1			ARFRP1						EIF5A2		DKK4					C6orf132	IGLC1	ZNF521	RN7SL37P	LINC00567	CTPS1	RN7SL822P		RNA5SP479	GDPD3	SNORD56|ENSG00000200753.1	RN7SKP70	
		PRUNE			RGS19						SLC7A14		AGPAT6						IGLJ1	CABYR	RNA5SP181	snoU13|ENSG00000238629.1	EDN2	RN7SL424P		RNA5SP478	PAGR1	MIR3146	RN7SL646P	
		HORMAD1			PRPF6						LRRC31								GGTLC2	C18orf8	LMBRD2	RN7SL783P	GUCA2A	IGFBP7		LINC00261	RN7SKP127	RN7SKP266	RN7SL562P	
		GABPB2			GMEB2						PHC3								POM121L1P	IMPACT	U3|ENSG00000201368.1	RN7SKP10	GUCA2B	KDR		BCL2L1	QPRT	SNORA63|ENSG00000199473.1	EIF4E1B	
		BNIPL			STMN3						ACTRT3								snoU13|ENSG00000239066.1	MIB1	BRIX1	LINC00676	MPL	KIT		ENTPD6	snoU13|ENSG00000239193.1	ISPD	MIR4281	
					RTEL1						LRRC34								PRAMEF24P	HRH4	C1QTNF3	RNA5SP39	MYCL	PDGFRA		CST1	snoU13|ENSG00000238639.1	RN7SKP228	RN7SL684P	
					SOX18						RPL22L1								RNA5SP493	CTAGE1	C6	MIR1267	NDUFS5	POLR2B		CST2	SNX29P2	SNORA64|ENSG00000199470.1	MIR1271	
					LIME1						LRRIQ4								BCR	TMEM241	C7	SNORD31	NFYC	PPAT		CST3	ALDOA	TMEM106B	ARL10	
					UCKL1						SAMD7								GNAZ	CABLES1	C9	LINC00443	YBX1	REST		CST4	CTF1	U3|ENSG00000212422.1	RN7SKP148	
					PCMTD2														MAPK1	OSBPL1A	DAB2	LINC00551	PPT1	SPINK2		CST5	SEPT1	RPA3	snoU13|ENSG00000239026.1	
					ZNF512B														VPREB1	TTC39C	FYB	ARGLU1	PTPRF	CLOCK		FOXS1	FUS	PMS2CL	NSG2	
					C20orf195														TOP3B	ANKRD29	GDNF	LINC00460	RLF	CEP135		HCK	ITGAL	GRID2IP	RNA5SP200	
					DNAJC5														RAB36	MIR320C2	GHR	RNA5SP38	SLC2A1	PAICS		FOXA2	ITGAM	FLJ20306	SNORA74B	
					ZGPAT														PPM1F	MIR4741	HMGCS1	SNORA25|ENSG00000252550.1	TIE1	NMU		ID1	KIF22	RN7SL851P	ATP6V0E1	
					HELZ2														PRAME		IL7R	LINC00344	PABPC4	EXOC1		PYGB	MAZ	SNORA42|ENSG00000207217.1	MIR5003	
					ZBTB46														RTDR1		LIFR	LINC00343	KCNQ4	TMEM165		SSTR4	PHKG2	RN7SL556P	SNORA57|ENSG00000212529.1	
