cytoband	13q14.3	14q21.2	22q13.32	10q21.2	8p23.2	16q23.3	8q24.22	10q23.31	22q13.1	8p12	4q34.3	10p12.31	8p22	7q34	21q21.1	18q21.33	2q22.1	15q25.3	13q12.3	5p15.2	20p12.1	19p13.12	1q42.13	2q37.3	19p13.2	2p23.1	7q22.3	5p13.1	9p21.3	17p13.1	Xq28	7p22.1	9q22.33	
q value	0.011063	0.011063	0.011063	0.011063	0.019448	0.026572	0.038162	0.011063	0.046486	0.055944	0.065321	0.078558	0.080336	0.1143	0.1143	0.11796	0.079691	0.11796	0.011063	0.1439	0.15066	0.090402	0.16619	0.040844	0.10598	0.1806	0.20119	0.23456	0.21584	0.221	0.21991	0.27619	0.24038	
residual q value	0.011063	0.011063	0.011427	0.017868	0.019448	0.027027	0.038162	0.039845	0.049884	0.054279	0.073592	0.073592	0.079691	0.10625	0.10625	0.1143	0.11796	0.11796	0.1341	0.1439	0.1439	0.15669	0.16619	0.16619	0.18035	0.18781	0.20119	0.21991	0.21991	0.21991	0.21991	0.27619	0.27619	
wide peak boundaries	chr13:47125914-67864428	chr14:45721095-47120973	chr22:48668761-51304566	chr10:61122180-61715313	chr8:3548028-4251283	chr16:77819475-90354753	chr8:56679786-141475222	chr10:64099729-105619553	chr22:33832149-43904008	chr8:32046104-32118295	chr4:169416144-186879743	chr10:18427431-20580124	chr8:13416667-14713213	chr7:140415562-140586621	chr21:19188311-19650435	chr18:57094644-60993514	chr2:137146325-138273399	chr15:86711326-88151657	chr13:20792419-32982005	chr5:9026779-13956214	chr20:14301156-15274325	chr19:13008827-19627981	chr1:228880467-229407966	chr2:212238542-243199373	chr19:1-14253025	chr2:29318101-33627968	chr7:106673884-117519824	chr5:1-180915260	chr9:1-141213431	chr17:1-81195210	chrX:1-155270560	chr7:1-159138663	chr9:1-141213431	
genes in wide peak	LINC00355	LINC00871	ARSA	LINC00948	RN7SL872P	FAM157C	C8orf17	C10ORF32	SCUBE1	RNA5SP263	snoU13|ENSG00000239034.1	RNA5SP303	MIR383	U6|ENSG00000271932.1	CHODL	snoU13|ENSG00000238988.1	RNA5SP105	SNORD74|ENSG00000200206.1	ZAR1L	CT49	RNA5SP475	MIR640	TMEM78	CXXC11	SAMD1	RNA5SP92	RNA5SP239	TRIM52	FAM157B	MIR4525	WASH6P|ENSG00000182484.10	LINC00689	FAM157B	
	LINC00395		RN7SL500P	CCDC6	RNA5SP251	TUBB8P7	SNORA25|ENSG00000251744.1	SFXN2	RNU12	RNA5SP262	PDLIM3	U3|ENSG00000200545.1	C8orf48			RN7SL705P	RN7SKP141	LINC00052	EEF1DP3	ANKRD33B	FLRT3	MEF2BNB		RNA5SP122	RLN3	RNA5SP91	CAPZA2	SNORD95|ENSG00000264549.1	TUBBP5	RAB40B	WASIR1|ENSG00000185203.7	MIR595	TUBBP5	
	LINC00448		DENND6B	SLC16A9		URAHP	SNORA40|ENSG00000212273.1	RN7SL21P	RN7SKP80		UFSP2	C10orf112				RNF152			LINC00545	CMBL		MEF2B		MIR3133	NANOS3	SNORD112|ENSG00000252502.1	snoZ185	SNORD96A	MRPL41	snoU13|ENSG00000238403.1	F8A3	RN7SL142P	MRPL41	
	LINC00459		TTLL8			TUBB3	WISP1	SNORD112|ENSG00000253068.1	RRP7B		SNORD79	CACNB2				RN7SL342P			LINC00398	FAM173B		RN7SL70P		RNPEPL1	RN7SL619P	LINC00486	SNORA25|ENSG00000202377.1	LINC00847	snoU13|ENSG00000272272.1	snoU13|ENSG00000238947.1	F8A2	SHH	snoU13|ENSG00000272272.1	
	LINC00358		ALG12			SNORD68	HPYR1	FGF8	RRP7A		RN7SL28P	PLXDC2				BCL2			LINC00426	RNA5SP177		RN7SL155P		MIR149	C19orf53	MIR4765	MIR3666	MIR340	RNF224	DUS1L	FUNDC2	RN7SKP280	RNF224	
	RNY4P31		RN7SKP252			SLC22A31	OC90	snoU13|ENSG00000239091.1	snoU13|ENSG00000238498.1		snoU13|ENSG00000239116.1	NSUN6				MC4R			LINC00427	SNORD123		MIR3189		MIR2467	SYCE2	MIR558	RNA5SP238	RN7SKP150	TMEM210	PCYT2	SNORA56	HTR5A	TMEM210	
	RNY3P5		ACR			MIR4722	SNORA72|ENSG00000252158.1	SNORD112|ENSG00000252844.1	LINC00634		snoU13|ENSG00000238596.1	ARL5B				PMAIP1			LINC00365	MIR4636		RN7SL513P		MIR4441	SNORD41|ENSG00000209702.1	YIPF4	TSRM	MIR1229	MIR3621	SLC25A10	SNORA36A	RN7SL845P	MIR3621	
