Arm	# Genes	Amp frequency	Amp z-score	Amp q-value	Del Frequency	Del z-score	Del q-value
1p	1300	0.01	-0.985	0.995	0.01	-0.985	0.995
1q	1195	0.05	7.69	2.91e-13	0.01	-1.29	0.995
2p	624	0.00	-2.15	0.995	0.02	1.76	0.321
2q	967	0.00	-2.15	0.995	0.02	1.37	0.587
3p	644	0.01	-1.38	0.995	0.01	-1.38	0.995
3q	733	0.00	-1.77	0.995	0.01	-0.993	0.995
4p	289	0.01	-0.598	0.995	0.00	-1.77	0.995
4q	670	0.01	-0.598	0.995	0.00	-1.77	0.995
5p	183	0.04	5.7	1.23e-07	0.00	-2.12	0.995
5q	905	0.03	4.11	0.000133	0.00	-2.53	0.995
6p	710	0.00	-1.77	0.995	0.01	-0.993	0.995
6q	556	0.00	-2.16	0.995	0.01	0.185	0.995
7p	389	0.04	4.51	3.35e-05	0.00	-2.53	0.995
7q	783	0.04	5.29	8.13e-07	0.00	-2.52	0.995
8p	338	0.01	-0.194	0.995	0.01	-0.976	0.995
8q	551	0.01	0.201	0.907	0.01	-0.972	0.995
9p	301	0.01	-1.32	0.995	0.04	4.93	5.55e-06
9q	700	0.01	-0.895	0.995	0.05	7.31	2.69e-12
10p	253	0.00	-1.76	0.995	0.01	0.191	0.995
10q	738	0.00	-1.77	0.995	0.01	-0.204	0.995
11p	509	0.01	-0.179	0.995	0.01	0.212	0.995
11q	975	0.01	-0.566	0.995	0.02	0.997	0.933
12p	339	0.03	3.33	0.0018	0.00	-2.54	0.995
12q	904	0.03	3.33	0.0018	0.00	-2.54	0.995
13q	560	0.01	-0.543	0.995	0.03	2.97	0.015
14q	938	0.02	1.76	0.115	0.00	-2.15	0.995
15q	810	0.00	-2.55	0.995	0.02	0.573	0.995
16p	559	0.03	3.34	0.0018	0.00	-2.14	0.995
16q	455	0.03	2.56	0.0197	0.00	-1.74	0.995
17p	415	0.03	3.79	0.000435	0.02	0.667	0.995
17q	972	0.03	4.16	0.00013	0.01	-0.529	0.995
18p	104	0.01	-0.194	0.995	0.01	-0.976	0.995
18q	275	0.01	-0.194	0.995	0.01	-0.976	0.995
19p	681	0.02	0.602	0.701	0.01	-0.571	0.995
19q	935	0.02	0.979	0.448	0.00	-1.76	0.995
20p	234	0.02	2.15	0.0501	0.00	-2.54	0.995
20q	448	0.02	2.15	0.0501	0.00	-2.54	0.995
21q	258	0.01	-0.57	0.995	0.02	0.602	0.995
22q	564	0.00	-1.47	0.995	0.18	32.5	0
Xp	418	0.01	0.207	0.907	0.01	-0.575	0.995
Xq	668	0.01	0.206	0.907	0.01	-0.575	0.995
