Sample	Chromosome	Start.bp	End.bp	Num.Markers	Seg.CN
TCGA-3M-AB46-01A-11D-A40Z-01	1	3218610	9104465	3496	0.305025
TCGA-3M-AB46-01A-11D-A40Z-01	1	9112661	18443992	4489	1.092544
TCGA-3M-AB46-01A-11D-A40Z-01	1	18444009	24463116	3478	0.305025
TCGA-3M-AB46-01A-11D-A40Z-01	1	24464705	32041750	3570	-0.411351
TCGA-3M-AB46-01A-11D-A40Z-01	1	32049394	120523955	52495	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	1	120527361	197082208	28710	0.589549
TCGA-3M-AB46-01A-11D-A40Z-01	1	197086110	214546519	11257	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	1	214547938	247812431	21104	0.569148
TCGA-3M-AB46-01A-11D-A40Z-01	2	484222	58250717	33660	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	2	58251785	58362414	59	0.600617
TCGA-3M-AB46-01A-11D-A40Z-01	2	58366610	99674697	17830	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	2	99678207	120003642	10805	-0.689450
TCGA-3M-AB46-01A-11D-A40Z-01	2	120003780	136866646	8150	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	2	136867876	137030241	97	-0.414623
TCGA-3M-AB46-01A-11D-A40Z-01	2	137031718	206144833	38336	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	2	206146087	206411109	175	0.628610
TCGA-3M-AB46-01A-11D-A40Z-01	2	206412487	242476062	21678	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	3	2212571	11568676	5424	0.701676
TCGA-3M-AB46-01A-11D-A40Z-01	3	11571603	11857858	219	-0.694412
TCGA-3M-AB46-01A-11D-A40Z-01	3	11861839	33256726	12768	0.650783
TCGA-3M-AB46-01A-11D-A40Z-01	3	33261423	69779758	21178	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	3	69779990	70080890	280	-0.637931
TCGA-3M-AB46-01A-11D-A40Z-01	3	70081597	152775064	43482	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	3	152775129	174982732	11243	0.662191
TCGA-3M-AB46-01A-11D-A40Z-01	3	174986159	175078480	93	-0.768514
TCGA-3M-AB46-01A-11D-A40Z-01	3	175759770	195989305	10964	0.694727
TCGA-3M-AB46-01A-11D-A40Z-01	3	195996689	197538677	304	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	4	1053934	188762240	102132	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	5	914233	35325555	20122	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	5	35326442	40465720	3273	0.696960
TCGA-3M-AB46-01A-11D-A40Z-01	5	40467033	58337549	7590	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	5	58340339	68607165	5834	-0.667163
TCGA-3M-AB46-01A-11D-A40Z-01	5	68619972	68740653	51	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	5	70661208	73880403	2173	-0.675259
TCGA-3M-AB46-01A-11D-A40Z-01	5	73885546	73938452	34	-1.269945
TCGA-3M-AB46-01A-11D-A40Z-01	5	73939265	153173286	44427	-0.675259
TCGA-3M-AB46-01A-11D-A40Z-01	5	153178814	180360469	16518	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	6	1014281	33409825	19356	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	6	33411565	33412218	5	-0.729497
TCGA-3M-AB46-01A-11D-A40Z-01	6	33412320	170903919	76623	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	7	708774	158385118	80979	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	8	617885	90330683	48579	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	8	90330755	117509887	15005	0.529740
TCGA-3M-AB46-01A-11D-A40Z-01	8	117509900	118880613	917	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	8	118884141	119132382	192	-0.697756
TCGA-3M-AB46-01A-11D-A40Z-01	8	119137385	145232496	16412	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	9	789932	33816476	20282	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	9	33819365	35002131	570	3.523949
TCGA-3M-AB46-01A-11D-A40Z-01	9	35007336	36577217	795	2.846610
TCGA-3M-AB46-01A-11D-A40Z-01	9	36585024	36676818	46	3.656854
TCGA-3M-AB46-01A-11D-A40Z-01	9	36679444	37336855	477	0.533795
TCGA-3M-AB46-01A-11D-A40Z-01	9	37339451	71039940	1020	1.211840
TCGA-3M-AB46-01A-11D-A40Z-01	9	71041878	116301426	29926	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	9	116303230	126105276	6943	0.631709
TCGA-3M-AB46-01A-11D-A40Z-01	9	126105693	132957214	3722	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	9	132959318	133026640	38	0.739856
TCGA-3M-AB46-01A-11D-A40Z-01	9	133027116	140938752	3842	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	10	415240	24423030	16741	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	10	24426361	70609067	23378	0.616963
TCGA-3M-AB46-01A-11D-A40Z-01	10	70610605	70621086	14	-0.263118
TCGA-3M-AB46-01A-11D-A40Z-01	10	70626330	73491512	2030	0.565371
TCGA-3M-AB46-01A-11D-A40Z-01	10	73506129	73912635	258	-0.100263
TCGA-3M-AB46-01A-11D-A40Z-01	10	73914584	98817687	15129	-0.698478
TCGA-3M-AB46-01A-11D-A40Z-01	10	98821147	125535240	17527	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	10	125535906	132179257	4722	0.657632
TCGA-3M-AB46-01A-11D-A40Z-01	10	132914909	135225087	682	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	11	456120	26117967	16360	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	11	26125475	46536676	12766	0.626043
TCGA-3M-AB46-01A-11D-A40Z-01	11	46541413	104885167	28176	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	11	104893694	134132624	19505	-0.694802
TCGA-3M-AB46-01A-11D-A40Z-01	12	889902	19053509	10275	-0.688425
TCGA-3M-AB46-01A-11D-A40Z-01	12	19057106	133155338	63176	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	13	19450806	114290508	56168	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	13	114292398	114987458	110	0.516468
TCGA-3M-AB46-01A-11D-A40Z-01	14	20501368	55291695	18355	0.528882
TCGA-3M-AB46-01A-11D-A40Z-01	14	55293939	55455087	92	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	14	55455107	71611737	9726	-0.579013
TCGA-3M-AB46-01A-11D-A40Z-01	14	71614805	105986740	20979	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	15	23687685	95106397	39990	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	15	95106874	95133537	19	-0.583545
TCGA-3M-AB46-01A-11D-A40Z-01	15	95135993	101884307	4199	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	16	653503	78617931	33524	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	16	78621373	78666152	33	-0.595499
TCGA-3M-AB46-01A-11D-A40Z-01	16	78668208	86081387	5235	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	16	86083882	86085992	5	-0.556283
TCGA-3M-AB46-01A-11D-A40Z-01	16	86086133	89379936	1691	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	17	987221	80917016	36699	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	18	329586	14660482	8169	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	18	18689747	21894943	1696	1.351414
TCGA-3M-AB46-01A-11D-A40Z-01	18	21894977	22164167	213	0.580345
TCGA-3M-AB46-01A-11D-A40Z-01	18	22166762	48491524	16330	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	18	48492168	48594898	129	-0.595137
TCGA-3M-AB46-01A-11D-A40Z-01	18	48595017	55345082	4182	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	18	55345899	55352565	10	-0.595137
TCGA-3M-AB46-01A-11D-A40Z-01	18	55354420	77109240	11670	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	19	284018	4403017	973	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	19	4673514	4688844	7	-0.812451
TCGA-3M-AB46-01A-11D-A40Z-01	19	4692354	5885365	458	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	19	5893613	6055206	75	-0.727257
TCGA-3M-AB46-01A-11D-A40Z-01	19	6059840	38748739	14001	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	19	38752870	38787445	20	-0.739521
TCGA-3M-AB46-01A-11D-A40Z-01	19	38789177	50106486	4631	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	19	50110610	58878226	3530	0.492857
TCGA-3M-AB46-01A-11D-A40Z-01	20	456452	62219837	37012	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	21	15372509	44888666	19216	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	21	44889292	45025221	74	0.576835
TCGA-3M-AB46-01A-11D-A40Z-01	21	45026411	47678295	1107	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	22	17423930	49331012	16742	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	X	3157107	9932138	1726	0.858979
TCGA-3M-AB46-01A-11D-A40Z-01	X	10420185	25423744	7627	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	X	25426884	30079137	2481	0.883058
TCGA-3M-AB46-01A-11D-A40Z-01	X	30083423	136294288	42568	0.000000
TCGA-3M-AB46-01A-11D-A40Z-01	X	136296992	144303087	3623	0.407774
TCGA-3M-AB46-01A-11D-A40Z-01	X	144303153	154905589	4473	0.000000
TCGA-3M-AB47-01A-22D-A40Z-01	1	3218610	189190480	91858	0.000000
TCGA-3M-AB47-01A-22D-A40Z-01	1	189197433	189252858	32	-1.282974
TCGA-3M-AB47-01A-22D-A40Z-01	1	189256792	247812431	36709	0.000000
TCGA-3M-AB47-01A-22D-A40Z-01	2	484222	148292182	76822	0.000000
TCGA-3M-AB47-01A-22D-A40Z-01	2	148294818	148595506	192	-0.409368
TCGA-3M-AB47-01A-22D-A40Z-01	2	148595565	189291345	23205	0.000000
TCGA-3M-AB47-01A-22D-A40Z-01	2	189293689	189984180	378	-0.406609
TCGA-3M-AB47-01A-22D-A40Z-01	2	189986523	242476062	30193	0.000000
TCGA-3M-AB47-01A-22D-A40Z-01	3	2212571	197538677	105955	0.000000
TCGA-3M-AB47-01A-22D-A40Z-01	4	1053934	122215610	66946	0.000000
TCGA-3M-AB47-01A-22D-A40Z-01	4	122219129	122220332	5	-0.965697
TCGA-3M-AB47-01A-22D-A40Z-01	4	122221621	144717889	11964	0.000000
