cytoband	17q12	19q12	8q24.21	12p12.1	18q11.2	12q15	8p23.1	6p21.1	20q13.2	11q13.3	7q21.2	15q26.1	1q42.3	3q26.2	7p11.2	13q22.1	6q21	10q26.13	11p13	7q22.1	1q21.3	10q22.2	Xq27.3	1p36.22	5p13.1	9q34.3	9p24.1	9p13.2	7p22.1	10p11.22	5p15.33	13q12.3	6q12	11p11.2	19q13.32	14q21.3	
q value	1.2178e-73	4.0012e-55	1.51e-35	2.4608e-34	2.0923e-25	7.7245e-20	9.7666e-20	1.0258e-19	5.5657e-18	7.796e-18	1.337e-27	1.6367e-12	2.6203e-13	5.0488e-11	1.0022e-11	3.8612e-08	1.0667e-07	2.5741e-08	3.4401e-08	8.0319e-14	1.12e-06	6.569e-05	0.0021069	0.003761	3.3128e-05	0.0047873	0.0062179	0.00082114	0.0078915	0.021867	0.0018322	0.01734	0.0056259	0.01734	0.0018322	0.2486	
residual q value	1.2178e-73	7.1023e-51	1.51e-35	2.4608e-34	2.0923e-25	7.7245e-20	9.7666e-20	2.2377e-19	5.5657e-18	8.153e-18	2.1954e-15	1.6367e-12	2.1996e-11	5.0488e-11	3.7921e-09	1.0298e-07	2.7546e-07	6.1855e-07	6.2887e-06	1.8593e-05	0.00044589	0.0018322	0.0021069	0.003761	0.0047133	0.0047873	0.0092958	0.012364	0.020485	0.021867	0.043652	0.055957	0.058323	0.195	0.24148	0.2486	
wide peak boundaries	chr17:37854508-37876018	chr19:30287570-30358836	chr8:128714098-128729186	chr12:25339898-25414737	chr18:19594807-19790248	chr12:69281664-69978625	chr8:11547791-11638987	chr6:43845008-43936728	chr20:52246647-52427475	chr11:69406626-69595013	chr7:91743151-92669786	chr15:90663892-90703835	chr1:235072499-235128859	chr3:169766260-170486763	chr7:55025387-55372336	chr13:73725494-73857708	chr6:107129118-107221941	chr10:123172617-123399846	chr11:35244045-35263023	chr7:99549026-99679895	chr1:150033346-151224319	chr10:76839356-77572076	chrX:138601616-155270560	chr1:10686864-11068052	chr5:38167585-44523118	chr9:139857644-140151408	chr9:4764022-5711052	chr9:33804007-36412610	chr7:1-7930534	chr10:31856589-33304482	chr5:1-1891820	chr13:30754530-35520798	chr6:64001177-64323832	chr11:45847089-46475305	chr19:44887619-45385167	chr14:50242323-50678361	
genes in wide peak	ERBB2	CCNE1	[MYC]	KRAS	RNU6ATAC20P	RN7SL804P	C8orf49	[C6orf223]	[ZNF217]	CCND1	RN7SL7P	RN7SL755P	[RN7SL668P]	CLDN11	EGFR	RNY1P8	[MIR587]	FGFR2	CD44	AZGP1P1	MLLT11	MIR606	WASH6P|ENSG00000182484.10	PEX14	FGF10	RNF224	INSL4	LINC00961	RPA3	CCDC7	NDUFS6	LINC00457	PTP4A1	MIR4688	SNORA70|ENSG00000253027.1	RN7SKP193	
				CASC1	GATA6	CPM	GATA4			FGF4	GATAD1			PRKCI						SNORA40|ENSG00000222966.1	SNORA40|ENSG00000253047.1	VDAC2	WASIR1|ENSG00000185203.7	CASZ1	CCL28	TMEM210	JAK2	RGP1	PMS2CL	RN7SL825P	SDHAP3	SNORA25|ENSG00000199196.1	LGSN	PHF21A	snoZ6|ENSG00000252200.1	ARF6	
				LYRM5		LYZ	NEIL2			FGF19	KRIT1			SKIL						AZGP1	RN7SL600P	DUSP13	F8A3	C1orf127	ANXA2R	MIR3621	RLN1	RN7SL22P	GRID2IP	ITGB1	MIR4635	LINC00423		CHRM4	CEACAM22P	RN7SL2	
						YEATS4				ORAOV1	CDK6			GPR160						ZNF3	RN7SL473P	C10orf11	F8A2		SNORD72	snoU13|ENSG00000238824.1	RLN2	RMRP	FLJ20306	KIF5B	ZDHHC11B	RNY1P4		CRY2	CEACAM20	RN7SL3	
						FRS2					CYP51A1			SLC7A14						ZKSCAN1	C1orf138	ZNF503	FUNDC2		RPL37	SNORD62	RCL1	MIR4667	RN7SL851P	C10orf68	CCDC127	SNORA16|ENSG00000212293.1		MDK	ZNF180	SOS2	
						CPSF6					PEX1			PHC3						ZSCAN21	LINC00568	COMTD1	SNORA56		SNORA57|ENSG00000212567.1	CLIC3	INSL6	RN7SL338P	SNORA42|ENSG00000207217.1	EPC1	LRRC14B	ZAR1L		DGKZ	BCL3	NEMF	
											ANKIB1										snoU13|ENSG00000238526.1	SAMD8	SNORA36A		SNORA63|ENSG00000199552.1	C9orf141	CD274	FLJ00273	RN7SL556P	ARHGAP12	PLEKHG4B	EEF1DP3		PEX16	BCAM	KLHDC2	
