cytoband	Xq22.3	22q11.21	1q31.2	2q32.2	4q31.21	13q14.2	Xp11.22	5q33.1	5q21.1	
q value	1.2485e-16	0.056221	0.075436	0.075436	0.075436	0.075436	0.075436	0.075436	0.11768	
residual q value	1.2485e-16	0.056221	0.075436	0.075436	0.075436	0.075436	0.075436	0.12762	0.20054	
wide peak boundaries	chrX:108537285-108552899	chr22:1-22098686	chr1:158681167-215338621	chr2:189895124-189907238	chr4:144717707-144757841	chr13:48885811-48888508	chrX:50915432-50932081	chr5:126938390-152846208	chr5:98476809-99605070	
genes in wide peak	[GUCY2F]	RN7SL280P	RN7SL512P	COL5A2	[GYPE]	RB1	[NUDT10]	RNA5SP198	[CHD1]	
		RN7SKP221	SNORA16B					RN7SKP232		
		SCARNA18|ENSG00000252605.1	RN7SKP98					RNA5SP197		
		SCARNA17|ENSG00000252143.1	MIR3122					ZNF300P1		
		snoU13|ENSG00000252799.1	SNORA26|ENSG00000212187.1					snoU13|ENSG00000239191.1		
		TMEM191C	RN7SL344P					snoU13|ENSG00000238369.1		
		snoU13|ENSG00000252402.1	SLC30A1					MIR378A		
		SCARNA17|ENSG00000252020.1	KCNH1					RN7SL868P		
		SCARNA18|ENSG00000252314.1	SERTAD4					U3|ENSG00000221043.1		
		RN7SKP63	MIR4260					MIR143HG		
		FAM230C	MIR205HG					RN7SKP145		
		GGT2	MIR29B2					MIR584		
		FAM230B	MIR29C					SH3TC2		
		POM121L7	snoU13|ENSG00000238401.1					SPINK13		
		BCRP2	FAIM3					RN7SL791P		
		P2RX6P	IL20					RNA5SP196		
		P2RX6	SNORD112|ENSG00000252853.1					GPR151		
		RN7SL389P	C1orf147					RN7SKP246		
		POM121L4P	SRGAP2					KCTD16		
		SMPD4P1	SNORD60|ENSG00000252692.1					RN7SL87P		
		RN7SL812P	C1orf186					RN7SL68P		
		USP41	AVPR1B					PCDHGB8P		
		FAM230A	FAM72A					PCDHB18		
		RN7SKP131	SNORA72|ENSG00000201944.1					PCDHB17		
		SCARNA18|ENSG00000252024.1	SNORD112|ENSG00000252946.1					PCDHA14		
		SCARNA17|ENSG00000252571.1	SCARNA20|ENSG00000251861.1					WDR55		
		snoU13|ENSG00000271796.1	RNA5SP75					MIR3655		
		PI4KAP1	RNA5SP74					SNORA27|ENSG00000200235.1		
		GGTLC3	SNRPE					SNORD45|ENSG00000200051.1		
		MIR1286	ZBED6					CYSTM1		
		SNORA77|ENSG00000264346.1	SNORA77|ENSG00000221643.1					PURA		
		MIR1306	RABIF					TMEM173		
		MIR4761	PCAT6					ECSCR		
		GP1BB	SNORA70|ENSG00000253042.1					RN7SKP64		
		MRPL40	U6|ENSG00000272262.1					RNA5SP195		
		RN7SL168P	snoU13|ENSG00000239046.1					SNORA74A		
		SNORA15|ENSG00000251940.1	snoU13|ENSG00000238571.1					SNORA74|ENSG00000252213.1		
		GSC2	PTPRVP					RNA5SP194		
		DGCR5	GPR37L1					RN7SL867P		
		GGT3P	SNORA70|ENSG00000206637.1					snoU13|ENSG00000238745.1		
		PEX26	MIR1231					SNORD63|ENSG00000206989.1		
		LINC00528	MIR5191					SNORD63|ENSG00000222937.1		
		snoU13|ENSG00000251737.1	RPS10P7					RN7SL682P		
		RN7SL843P	ASCL5					snoU13|ENSG00000238605.1		
		CECR9	LINC00862					NPY6R		
		CECR3	MIR181A1HG					MIR874		
		CECR7	MIR4735					RNA5SP193		
		HSFY1P1	U3|ENSG00000252241.1					FBXL21		
		TPTEP1	MIR1278					TIFAB		
		KCNMB3P1	snoU109|ENSG00000238754.1					MIR4461		
		OR11H1	RN7SKP126					MIR4461		
		POTEH	RNA5SP73					PCBD2		
		ARVCF	RN7SKP156					RN7SL541P		
		ATP6V1E1	RNA5SP72					PPP2CA		
		BID	SNORD112|ENSG00000252790.1					SKP1		
		COMT	RN7SL654P					snoU13|ENSG00000238796.1		
		CRKL	RNA5SP71					HSPA4		
		SERPIND1	RN7SKP229					LEAP2		
