Sample	Chromosome	Start.bp	End.bp	Num.Markers	Seg.CN
TCGA-2A-A8VL-01A-21D-A376-01	1	3218610	46599744	22697	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	1	46601887	53641875	3558	-0.487214
TCGA-2A-A8VL-01A-21D-A376-01	1	53641911	58304399	3380	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	1	58314187	58497759	169	-0.468964
TCGA-2A-A8VL-01A-21D-A376-01	1	58498264	104381295	28126	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	1	104388744	119947714	9217	-0.484695
TCGA-2A-A8VL-01A-21D-A376-01	1	119954204	154539117	2524	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	1	154544836	154906775	245	-0.490670
TCGA-2A-A8VL-01A-21D-A376-01	1	154910107	247812431	58677	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	2	484222	201558766	106472	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	2	201560268	201562553	5	-1.191904
TCGA-2A-A8VL-01A-21D-A376-01	2	201567480	242476062	24301	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	3	2212571	10559238	4748	-0.480810
TCGA-2A-A8VL-01A-21D-A376-01	3	10560942	37315524	16001	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	3	37318294	38135233	532	-0.472712
TCGA-2A-A8VL-01A-21D-A376-01	3	38137863	168011298	69422	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	3	168013398	168127481	64	-0.502353
TCGA-2A-A8VL-01A-21D-A376-01	3	168129418	173666046	2956	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	3	173666525	197538677	12230	-0.494653
TCGA-2A-A8VL-01A-21D-A376-01	4	1053934	110057072	59985	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	4	110057087	110101176	27	-0.443863
TCGA-2A-A8VL-01A-21D-A376-01	4	110103455	111221128	659	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	4	111227309	111272275	32	-1.007534
TCGA-2A-A8VL-01A-21D-A376-01	4	111275436	112852213	865	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	4	112854134	112861295	6	-1.198432
TCGA-2A-A8VL-01A-21D-A376-01	4	112868343	130155315	9442	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	4	130156274	130255542	67	-0.498441
TCGA-2A-A8VL-01A-21D-A376-01	4	130259010	188762240	31039	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	5	914233	94298016	49947	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	5	94304257	94647688	217	-0.518783
TCGA-2A-A8VL-01A-21D-A376-01	5	94648399	180360469	49868	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	6	1014281	170903919	95986	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	7	708774	158385118	80987	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	8	617667	81071367	43797	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	8	81072967	81978867	478	-0.512404
TCGA-2A-A8VL-01A-21D-A376-01	8	81981261	145232496	36841	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	9	789932	77787517	27800	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	9	77791136	79786241	1552	-0.500239
TCGA-2A-A8VL-01A-21D-A376-01	9	79786316	86636270	4626	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	9	86638358	86712838	45	-0.489777
TCGA-2A-A8VL-01A-21D-A376-01	9	86713054	87076359	306	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	9	87079658	94386746	4957	-0.450135
TCGA-2A-A8VL-01A-21D-A376-01	9	94392989	110657974	9843	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	9	110658212	110662356	6	-1.031303
TCGA-2A-A8VL-01A-21D-A376-01	9	110662503	140938752	18536	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	10	415240	135225087	80483	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	11	456120	9047649	4572	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	11	9047944	9170673	87	-0.513718
TCGA-2A-A8VL-01A-21D-A376-01	11	9171721	134132624	72157	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	12	889902	26284946	14877	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	12	26285006	27033330	532	-0.512950
TCGA-2A-A8VL-01A-21D-A376-01	12	27033469	133155338	58048	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	13	19450806	114987458	56272	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	14	20501368	105986740	49162	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	15	23687685	101884307	44215	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	16	653503	49984167	15726	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	16	49984353	51187915	748	-0.481060
TCGA-2A-A8VL-01A-21D-A376-01	16	51189471	51726203	399	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	16	51727127	53066214	1040	-0.473718
TCGA-2A-A8VL-01A-21D-A376-01	16	53066296	55960747	2197	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	16	55963017	56321601	241	-0.475376
TCGA-2A-A8VL-01A-21D-A376-01	16	56323232	87947607	19927	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	16	87954852	87957458	5	-0.959090
TCGA-2A-A8VL-01A-21D-A376-01	16	87982930	89379936	214	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	17	987221	5159983	1764	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	17	5163300	9489155	2447	-0.492761
TCGA-2A-A8VL-01A-21D-A376-01	17	9489575	39865756	11860	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	17	39866336	45203532	1857	-0.457567
TCGA-2A-A8VL-01A-21D-A376-01	17	45210795	80917016	18780	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	18	329586	77107934	42401	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	19	284018	12022423	4041	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	19	12024607	14883171	1130	-0.458956
TCGA-2A-A8VL-01A-21D-A376-01	19	14884841	58878226	18524	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	20	456452	62219837	37019	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	21	15372509	28243429	7995	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	21	28243597	28899260	556	-0.483238
TCGA-2A-A8VL-01A-21D-A376-01	21	28906106	39857820	7128	0.000000
TCGA-2A-A8VL-01A-21D-A376-01	21	39858210	42827198	2269	-0.488451
TCGA-2A-A8VL-01A-21D-A376-01	21	42827478	42864812	101	-0.928595
TCGA-2A-A8VL-01A-21D-A376-01	21	42867190	42872410	24	-0.488451
