cytoband	7p11.2	12q14.1	4q12	1q32.1	12q15	12p13.32	3q26.33	8q24.21	7q31.2	2p24.3	17q25.1	1q44	17p13.2	19p13.3	13q34	7q21.2	1p36.21	4p16.3	7q32.3	11q24.1	10p15.1	Xp11.21	7q11.21	1q22	19q13.2	5p15.33	11p13	14q32.33	9q34.3	19q12	
q value	0	3.5024e-192	2.2587e-126	1.0232e-94	7.2016e-75	1.88e-24	3.4238e-23	1.9283e-12	3.0786e-14	2.0395e-09	3.483e-07	1.8403e-07	5.0804e-06	6.5163e-06	1.552e-05	4.0153e-09	5.1944e-05	0.00010315	4.6764e-09	0.0036642	0.0041195	0.0048849	6.4539e-11	0.0015739	0.024565	0.073651	0.083141	0.086431	0.13918	0.025734	
residual q value	0	8.2598e-167	2.2587e-126	1.0873e-93	1.7848e-26	1.88e-24	3.4238e-23	1.9283e-12	2.4366e-11	2.0395e-09	3.483e-07	7.5268e-07	5.0804e-06	6.5163e-06	1.552e-05	4.8822e-05	5.1944e-05	0.00010315	0.0019694	0.0036642	0.0041195	0.0048849	0.016504	0.039876	0.065617	0.073651	0.083141	0.086431	0.13918	0.17887	
wide peak boundaries	chr7:54964317-54973195	chr12:58135797-58152580	chr4:55139083-55158044	chr1:204443069-204529807	chr12:69178021-69265277	chr12:4277010-4432075	chr3:181256574-181508514	chr8:127927022-131296766	chr7:116318088-116493406	chr2:16015911-16358714	chr17:73270907-73596428	chr1:243003523-244858016	chr17:5120021-5142747	chr19:713557-827048	chr13:109765147-110444337	chr7:92179103-92530348	chr1:13862648-14377937	chr4:1778797-1816689	chr7:129605835-131642364	chr11:118074060-123443121	chr10:1-6398978	chrX:53647932-56536223	chr7:57925000-63128930	chr1:156119131-156752580	chr19:39363864-39953130	chr5:1019815-1314315	chr11:31372873-32350255	chr14:104982904-105333748	chr9:140012419-141213431	chr19:30036025-30321189	
genes in wide peak	[SNORA73|ENSG00000252054.1]	CDK4	PDGFRA	MDM4	SLC35E3	C12orf5	SOX2	SNORA12|ENSG00000212342.1	CAPZA2	RN7SL104P	MYO15B	RN7SL148P	SCIMP	MIR4745	LINC00676	CDK6	SCARNA11|ENSG00000253085.1	FGFR3	MIR29B1	U8|ENSG00000200496.1	DKFZP667F0711	SNORD112|ENSG00000252961.1	RN7SL855P	snoU13|ENSG00000238843.1	RN7SL566P	MIR4635	U3|ENSG00000212551.1	LINC00638	FAM157B	C19orf12	
		TSPAN31	FIP1L1	PIK3C2B	CPM	CCND2		SNORA25|ENSG00000200075.1	MET	MYCNOS	GRB2	MIR4677		AZU1	IRS2	FAM133B	RNA5SP41	LETM1	MIR29A	SNORD14C	MIR3155A	APEX2	ZNF733P	BGLAP	IFNL4	TERT	DNAJC24	ZBTB42	TUBBP5	POP4	
		MARCH9			MDM2			CCDC26		snoU13|ENSG00000238371.1	LLGL2	ADSS		PALM	MYO16		PRDM2		RNA5SP246	SNORD14D	RN7SKP78	SNORA11|ENSG00000221750.1		SNORA26|ENSG00000252236.1	snoU13|ENSG00000251709.1	SLC12A7	PAX6	AKT1	MRPL41	CCNE1	
		AGAP2						RN7SKP206		MYCN	KIAA0195	CEP170		PTBP1			PDPN		COPG2	SNORD14E	SNORA14	SNORA11|ENSG00000221716.1		CRABP2	NFKBIB	NKD2	RCN1	SIVA1	snoU13|ENSG00000272272.1	PLEKHF1	
								LINC00977			CASKIN2	AKT3		LPPR3					MIR335	snoU13|ENSG00000239079.1	RN7SL445P	GNL3L		HDGF	MRPS12	SLC6A19	ELP4	INF2	RNF224	VSTM2B	
								RN7SKP226			SLC25A19	ZBTB18		MISP					snoU13|ENSG00000239044.1	RNU4ATAC5P	AKR1C7P	U3|ENSG00000252175.1		MEF2D	RPS16	SLC6A18	IMMP1L	ADSSL1	TMEM210		
								TMEM75			TSEN54	SDCCAG8		MIR3187					snoU13|ENSG00000238336.1	RNU4ATAC10P	U8|ENSG00000251909.1	RNA5SP505		PRCC	SUPT5H	MIR4457	DCDC1	CEP170B	MIR3621		
