Arm	# Genes	Amp frequency	Amp z-score	Amp q-value	Del Frequency	Del z-score	Del q-value
1p	1300	0.02	-0.581	1	0.05	3.45	0.00113
1q	1195	0.05	2.26	0.0538	0.02	-1.79	1
2p	624	0.02	-2.77	1	0.03	-2.17	1
2q	967	0.01	-2.75	1	0.04	-0.246	1
3p	644	0.08	3.28	0.00299	0.02	-2.95	1
3q	733	0.11	6.63	1.72e-10	0.01	-3.53	1
4p	289	0.02	-4.04	1	0.05	-1.15	1
4q	670	0.02	-2.85	1	0.03	-1.63	1
5p	183	0.04	-2.27	1	0.03	-2.8	1
5q	905	0.03	-1.72	1	0.05	0.719	0.484
6p	710	0.02	-2.89	1	0.06	0.817	0.447
6q	556	0.01	-3.98	1	0.09	3.25	0.00194
7p	389	0.21	13.8	0	0.00	-4.73	1
7q	783	0.19	15.5	0	0.01	-3.87	1
8p	338	0.13	5.24	5.63e-07	0.44	34	0
8q	551	0.25	19.3	0	0.08	2.08	0.0544
9p	301	0.07	0.402	1	0.05	-0.865	1
9q	700	0.10	5.27	5.63e-07	0.02	-2.31	1
10p	253	0.03	-2.63	1	0.09	2.02	0.0588
10q	738	0.03	-2.01	1	0.09	4.84	3.85e-06
11p	509	0.05	-0.0881	1	0.02	-3.36	1
11q	975	0.06	2.35	0.0479	0.01	-2.9	1
12p	339	0.03	-2.75	1	0.10	3.84	0.000281
12q	904	0.04	-0.357	1	0.04	0.0854	0.868
13q	560	0.02	-3.06	1	0.16	10.6	0
14q	938	0.02	-2.3	1	0.05	1.52	0.147
15q	810	0.01	-3.26	1	0.07	2.93	0.00534
16p	559	0.07	1.18	0.491	0.07	1.76	0.0941
16q	455	0.02	-3.26	1	0.22	15.6	0
17p	415	0.02	-3.58	1	0.16	9.51	0
17q	972	0.02	-2	1	0.04	0.504	0.6
18p	104	0.04	-2.12	1	0.14	6.47	3.29e-10
18q	275	0.03	-3.03	1	0.21	13.1	0
19p	681	0.02	-2.58	1	0.04	-0.748	1
19q	935	0.02	-1.89	1	0.04	-0.0964	0.96
20p	234	0.05	-1.34	1	0.05	-1.51	1
20q	448	0.06	0.296	1	0.02	-3.67	1
21q	258	0.04	-1.63	1	0.05	-1.09	1
22q	564	0.01	-4.14	1	0.10	4.29	4.66e-05
Xp	418	0.02	-3.87	1	0.08	1.94	0.0674
Xq	668	0.01	-3.76	1	0.08	3.34	0.00158
