cytoband	9p21.3	13q14.2	5q12.1	4q22.1	2q37.1	16p13.3	2q22.1	3p14.2	16q23.1	10q23.31	14q24.1	6p25.3	4q34.2	19p13.3	11p15.5	8p23.3	18q23	17p12	22q13.32	2q34	15q13.1	1p36.11	9p23	Xp11.3	6q21	11q23.3	1q32.1	6q27	Xq21.33	12p13.1	7q36.3	8p21.3	9q22.33	11q25	10p11.21	12q24.33	
q value	6.9584e-213	7.568e-34	1.2146e-33	2.932e-29	2.0711e-36	3.2014e-16	1.2352e-21	9.7528e-15	6.1536e-14	1.7533e-10	1.3074e-08	1.8517e-08	3.0518e-13	7.2756e-08	2.9151e-06	6.7754e-08	2.627e-05	3.4897e-05	4.8268e-05	6.0232e-25	0.00034787	0.00052598	9.9535e-17	0.0047013	3.4915e-05	8.8603e-05	0.033566	0.00027473	0.042298	0.05664	0.062073	4.5185e-08	0.11788	0.00015732	0.16614	0.22328	
residual q value	1.7566e-203	8.0418e-34	1.2172e-33	1.3895e-25	2.4681e-18	3.2014e-16	5.9003e-15	9.7528e-15	6.1536e-14	1.785e-10	1.2604e-08	1.9349e-08	6.0848e-08	7.4896e-08	2.9151e-06	1.7517e-05	2.6067e-05	3.569e-05	5.0391e-05	0.000108	0.00034203	0.00052598	0.002361	0.0046243	0.0069405	0.025277	0.033566	0.039299	0.042383	0.057264	0.062758	0.07604	0.11548	0.12912	0.16327	0.21865	
wide peak boundaries	chr9:21931610-22003135	chr13:48875329-49563699	chr5:58998410-59780946	chr4:91271445-93240505	chr2:227663186-243199373	chr16:3675448-4004422	chr2:140708948-143637838	chr3:59034763-61547330	chr16:78098006-79031486	chr10:89617158-90034038	chr14:68275375-69288431	chr6:1-2624052	chr4:170674827-191154276	chr19:1-1867911	chr11:516521-748945	chr8:1-10530153	chr18:60983938-78077248	chr17:14111288-16121163	chr22:47571204-51304566	chr2:211542637-214176087	chr15:23689595-32934882	chr1:26963410-27155421	chr9:7887952-12687261	chrX:44702452-45008304	chr6:67919847-125441515	chr11:102825636-133308731	chr1:188124783-233120332	chr6:148058540-171115067	chrX:95661798-99356556	chr12:10607226-13714180	chr7:151211607-159138663	chr8:4985853-36623303	chr9:91360187-115924931	chr11:102700695-135006516	chr10:16858758-38300099	chr12:127253242-133851895	
genes in wide peak	CDKN2A	LINC00462	FKSG52	RN7SKP248	CXXC11	CREBBP	RN7SL283P	U3|ENSG00000212211.1	PIH1	SNORD74|ENSG00000200891.1	RN7SL108P	RN7SL352P	RNA5SP175	MIR1909	TMEM80	PRSS51	RBFA	RN7SL442P	ARSA	MIR548F2	RN7SL286P	RN7SL165P	RN7SL5P	KDM6A	CLVS2	snoU13|ENSG00000238693.1	NTPCR	MIR4644	SNORA25|ENSG00000252296.1	RNA5SP353	LINC00689	RNA5SP264	FAM225A	snoU13|ENSG00000238693.1	RN7SL314P	ANHX	
	C9orf53	RCBTB2	MIR582		RNA5SP122	TRAP1	LRP1B	NPCDR1		PTEN	RN7SL706P	snoU13|ENSG00000238438.1	RNA5SP174	ONECUT3	SCT	snoU13|ENSG00000238496.1	RBFADN	RNA5SP436	RN7SL500P	RNA5SP119	RN7SL539P	RN7SL501P	SNORD27|ENSG00000251699.1	DUSP21	RN7SL564P	RNU6ATAC12P	RN7SL299P	TCP10	RN7SL74P	HTR7P1	MIR595	RN7SKP201	FAM225B	RNU6ATAC12P	NAMPTL	ZNF891	
		RB1			MIR3133			FHIT		KLLN	ZFP36L1	FOXF2	HSP90AA4P	UQCR11	MIR210HG	snoU13|ENSG00000239065.1	SALL3	ZNF286A	DENND6B	ERBB4	GOLGA8O	snoU13|ENSG00000238316.1	PTPRD		SIGLECP3	RN7SL167P	LINC00582	TTLL2	RN7SKP194	SNORD88	RN7SL142P	RN7SL457P	ZNF883	RN7SL167P	SNORA40|ENSG00000237002.2	ZNF140	
		LPAR6			RNPEPL1						RAD51B	FOXC1	CYP4V2	RN7SL477P	DRD4	MIR597	RNA5SP461	SNORA74|ENSG00000252129.1	TTLL8	IKZF2	U8|ENSG00000206987.1	ARID1A			RNA5SP215	LINC00167	TRAX	GPR31	DIAPH2	GPRC5A	SHH	RN7SL621P	INIP	LINC00167	MIR4683	RNU4ATAC12P	
		CYSLTR2			MIR149							GMDS	SNORA31|ENSG00000253013.1	NDUFS7	HRAS	U3|ENSG00000252543.1	SNORA25|ENSG00000199392.1	CDRT1	ALG12		ULK4P1	PIGV			MIR548B	KCNJ5	RNA5SP80	FGFR1OP	RPA4	MIR613	RN7SKP280	SNORA70|ENSG00000252505.1	C9orf147	KCNJ5	LINC00838	RNA5SP379	
					MIR2467							IRF4	TLR3	C19orf24	IRF7	SNORA70|ENSG00000207244.1	GALR1	RN7SL792P	RN7SKP252		RN7SL185P				RN7SKP51	RN7SKP279	MIR1182	MIR1913		DUSP16	HTR5A	SNORD13	RN7SL430P	RN7SKP279	RN7SL398P	LRCOL1	
					MIR4441							EXOC2	snoU13|ENSG00000239034.1	POLR2E	RASSF7	RN7SL178P	LINC00683	MIR4731	ACR		GOLGA8K				RN7SKP18	RN7SKP121	snoU13|ENSG00000238985.1	SFT2D1		LOH12CR2	RN7SL845P	RNA5SP263	RNA5SP295	RN7SKP121	RN7SL847P	MUC8	
